,0,1
0,wall street journal,9.0
1,insolvency liquidation bankruptcy,9.0
2,undue reliance,9.0
3,measles tetanus,9.0
4,foreign object,9.0
5,treasury yield curve,9.0
6,vertically integrated biopharmaceutical,9.0
7,app serial,9.0
8,revision,8.777777777777779
9,utility insurance travel,8.777777777777779
10,representation warranty,8.692307692307693
11,physician specialist,8.583333333333334
12,significant setback,8.548387096774194
13,baseline serum sample,8.5
14,human plasma,8.427591463414634
15,human plasma,8.427591463414634
16,immune globulin,8.408244680851064
17,security holder,8.391304347826086
18,significant improvement,8.381720430107528
19,proprietary microneutralization,8.333333333333334
20,source plasma,8.330551989730424
21,florida,8.291666666666668
22,months,8.286377829820452
23,arm study,8.266666666666666
24,diminished liquidity,8.25
25,executive officer,8.2
26,immune globulin,8.189494680851064
27,incurring indebtedness engaging,8.173913043478262
28,immune system,8.15130023640662
29,human resource,8.144886363636363
30,months,8.13073310001842
31,collaboration opportunity,8.125
32,clinical trial,8.114317425083241
33,trial enrollment,8.114317425083241
34,clinical trial,8.114317425083241
35,rata percentage,8.10344827586207
36,bank,8.1
37,validation testing,8.094927536231884
38,month,8.084790528233151
39,confidential disclosure,8.020408163265305
40,bacterial infections,8.0
41,clinical stage,7.987890735004225
42,adma biologics,7.97991452991453
43,leasehold improvement loan,7.979797979797981
44,investing activity,7.975415282392027
45,hold certification,7.965753424657534
46,additional plasma,7.924912891986063
47,clinical trial,7.91431742508324
48,material plasma,7.91049240681086
49,advisory council,7.903225806451613
50,accounting policy,7.885416666666666
51,month,7.881149071650518
52,plasma collection,7.869745718733784
53,dilutive security,7.867494824016563
54,public offering,7.830510992275698
55,capital outlay,7.825099170573386
56,donor plasma,7.824912891986063
57,ivig product,7.8202614379084965
58,shelf registration statement,7.7831066571224055
59,business combinations,7.777777777777778
60,lived asset,7.777777777777778
61,estimation process,7.771428571428571
62,fractionation,7.7714285714285705
63,regulatory approval,7.765988372093023
64,personnel protection,7.758403361344538
65,cash flow segments,7.757909704941344
66,investment distribution,7.752777777777777
67,party contractor capability,7.732142857142858
68,month,7.725504341848485
69,syncytical virus,7.719298245614034
70,staff accounting bulletins,7.71875
71,period,7.71455525606469
72,innovation dependence,7.714285714285714
73,warning letter,7.712301587301588
74,ri wa submitted,7.698412698412698
75,inspection issue,7.682142857142857
76,drug product pharmaceutical,7.681372549019608
77,potentially significantly reduce,7.679347826086957
78,patient samples,7.677083333333333
79,year beginning,7.674059274059273
80,globulin product,7.672950563204005
81,unattractive term,7.671273291925466
82,resource difficulty,7.66994266994267
83,harbor provision,7.666666666666667
84,humoral immunodeficiency,7.6571428571428575
85,intercompany transaction,7.64594807238395
86,sk representing approximately,7.631642512077295
87,common stock,7.629844497607655
88,collectability criterion presentation,7.615384615384615
89,balance sheet arrangements,7.613605442176871
90,wa,7.61304945054945
91,based compensation,7.609061214324372
92,allotment option,7.605448423630241
93,plasma collection center,7.5963414634146345
94,collection supply,7.5963414634146345
95,debt financing,7.588922764227642
96,product candidate,7.550420168067227
97,predecessor product candidate,7.550420168067227
98,contract drug substance,7.544326241134751
99,regulatory approval,7.543766149870801
100,fixed obligation,7.542759094028826
101,term investment,7.539130434782608
102,biotechnology industry,7.537671232876712
103,blood plasma,7.535230352303524
104,contracting party,7.51981409001957
105,capital resources,7.518361581920903
106,method,7.514423076923077
107,requested access,7.494047619047619
108,development delays,7.49160447761194
109,growth company,7.481989708404803
110,intellectual property,7.469696969696971
111,source plasma,7.468483024213182
112,performance examples,7.454267125908917
113,response letter,7.444444444444445
114,tax liability,7.435771065182831
115,plasma plasma storage,7.435540069686411
116,debt facility,7.434483881192869
117,manufacturing scale,7.426623022367703
118,public offering,7.417812579577285
119,plasma,7.4166763916443
120,drug product,7.4147058823529415
121,final approval,7.411821705426357
122,contract testing laboratory,7.405920444033302
123,service period,7.405031446540881
124,traded option,7.401744719926538
125,accelerated filer,7.4
126,final product,7.398039215686274
127,cash flows,7.393685567010309
128,average number,7.392857142857143
129,external funding,7.38257691136156
130,equity offering,7.380131915466416
131,annual period,7.370827033068174
132,wa declared effective,7.364808362369338
133,transition period,7.363364779874214
134,equity offering,7.362064358514334
135,dividend yield,7.361111111111111
136,debt lender,7.350496838301716
137,regulatory approval,7.347383720930233
138,additional equity,7.346894409937888
139,substantial amount,7.342583732057416
140,byadma biocenters,7.342105263157895
141,bank credit facility,7.340753424657534
142,reporting period,7.335058437094188
143,loan,7.330498259910025
144,oxford finance,7.328358208955224
145,common stock,7.326273069036226
146,line basis,7.325757575757575
147,boca facility,7.324086757990868
148,deposit,7.315323041738136
149,trough level,7.303418803418803
150,insurance premium prepayment,7.293759512937595
151,development service,7.291009239516702
152,rent maintenance,7.285714285714286
153,compromised patient,7.272828014184397
154,tax asset,7.272372372372373
155,principal balance,7.271437522377372
156,operating activity,7.2695329294508495
157,potential commercialization,7.265116279069767
158,clinical trial,7.264317425083241
159,future policy,7.264096185737976
160,final payment,7.24748427672956
161,biologics license application,7.245371750289783
162,validation service,7.244244604316547
163,boca facility,7.244086757990868
164,auditing fee commercialization,7.240863787375416
165,service agreement,7.236430678466077
166,risk factors,7.233802816901408
167,cash runway,7.230876925035001
168,auditor provide,7.230769230769231
169,indebtedness,7.227010388611004
170,derived product,7.226836819451786
171,measurement period adjustments,7.221698113207547
172,stock option,7.212740011184987
173,stock option,7.212740011184987
174,business startups,7.206349206349206
175,adma biologics,7.202136752136752
176,equity investment loan,7.195740008783488
177,product,7.1952614379084965
178,market launch,7.193506493506494
179,term liquidity,7.189130434782609
180,significant risk,7.182189913675602
181,financial statement,7.180322054337802
182,wa approximately owned,7.17608695652174
183,facility fee,7.17583745827098
184,plasma,7.170785907859079
185,rsv titer,7.170731707317073
186,spot market,7.16969696969697
187,potential forfeiture,7.16956560864926
188,equity financing,7.1647604369457065
189,financing activity,7.160442754919499
