,0,1
0,wall street journal,9.0
1,executive officer,9.0
2,health authority,9.0
3,undue reliance,9.0
4,foreign objects,9.0
5,treasury yield curve,9.0
6,vertically integrated biopharmaceutical,9.0
7,revisions,8.777777777777779
8,estimation processes,8.6
9,significant setbacks,8.46875
10,significant improvement,8.46875
11,physician specialists,8.35
12,growth companies,8.256916996047432
13,home center properties,8.2
14,arm study,8.196428571428571
15,source plasma,8.19047619047619
16,ii dose,8.166666666666666
17,collaboration opportunities,8.125
18,security holders,8.125
19,rata percentage,8.10344827586207
20,administrative expenses,8.09958071278826
21,partnership agreements,8.0625
22,accounting pronouncements,8.05
23,measured baselines,8.03921568627451
24,response letter,7.974025974025974
25,public companies,7.951000690131124
26,confidential disclosures,7.945945945945946
27,shelf registration statement,7.944444444444445
28,public offering,7.93887200270179
29,venture debt lenders,7.93796992481203
30,leasehold improvement loan,7.933835845896148
31,clinical trials,7.915032679738562
32,clinical trials,7.915032679738562
33,syncytial virus,7.912698412698413
34,syncytical virus,7.912698412698413
35,immune globulins,7.885245901639344
36,donor plasma,7.876190476190477
37,plasma collection center,7.873160173160174
38,investor relations fees,7.871844660194174
39,plasma collection increases,7.865467865467866
40,dividend yield,7.864864864864865
41,warning letter,7.8573189522342055
42,clinical stages,7.842034805890227
43,specialty plasma,7.833333333333334
44,accounting policies,7.8277777777777775
45,gross proceeds,7.80952380952381
46,human plasma,7.793263646922183
47,advisory council,7.7894736842105265
48,collection supplies,7.7885447885447885
49,public companies,7.7605244996549345
50,capital outlays,7.752232142857142
51,diminished liquidity,7.75
52,alternative processes,7.733333333333333
53,intercompany transactions,7.71875
54,clinical trials,7.715032679738562
55,proprietary microneutralization,7.708333333333334
56,predecessor product candidate,7.690480118792279
57,specialty plasma,7.658008658008658
58,enrollment rates,7.647058823529411
59,certifications,7.619402985074627
60,traded options,7.611111111111111
61,party contractor capabilities,7.602941176470589
62,vendor payments,7.597389558232932
63,material plasma,7.590225563909774
64,antibody levels,7.585690045248869
65,equity offerings,7.583843329253366
66,human plasma,7.582737331132709
67,inspection issues,7.58199427690953
68,annual periods,7.571586879432624
69,clinical trial,7.551587301587302
70,immune globulin,7.532304725168756
71,fixed obligations,7.524338624338624
72,plasma collections,7.519047619047619
73,preclinical studies,7.515151515151516
74,orthe securities act,7.5033444816053505
75,pneumonia type 19a,7.5
76,humoral immunodeficiency,7.5
77,authorization safety study,7.5
78,milestone payment,7.49631751227496
79,reporting periods,7.49612496389718
80,fractionation,7.488888888888889
81,pharmaceuticals corporation,7.483851674641148
82,vendors,7.4661487236404
83,source plasma,7.455182072829132
84,fold increases,7.4423076923076925
85,plasma collection centers,7.43982683982684
86,additional plasma,7.427409988385598
87,public offering,7.4249831138129005
88,clinical trials,7.415032679738562
89,ranging trial,7.407142857142857
90,principal balance,7.4066012488849235
91,debt financing,7.404186141028246
92,balance sheet arrangements,7.4
93,accelerated filer,7.4
94,financial position,7.394953966896413
95,average number,7.392857142857143
96,regulatory approvals,7.387878787878789
97,immune system,7.385245901639344
98,significant risks,7.381793478260869
99,interest rate,7.376602564102564
100,biopharmaceutical company,7.359649122807017
101,specialty immunoglobulin company,7.359649122807017
102,specialty treatment organizations,7.357142857142858
103,common stock,7.353108411698045
104,reporting periods,7.345483938256153
105,external funding,7.337590361445782
106,specialty sales force,7.30952380952381
