,0,1
0,press release,9.0
1,powder inhaler,9.0
2,persuasive evidence,9.0
3,public offering,8.823076923076924
4,bankruptcy protection,8.8
5,balance sheet arrangements,8.7
6,substantial loss,8.682352941176472
7,specialty pharmaceutical,8.631578947368421
8,loan documents,8.53191489361702
9,wa fully amortized,8.487804878048781
10,months,8.444444444444445
11,advance payment,8.375
12,innovative medicine,8.333333333333334
13,health insurance provisions,8.285714285714285
14,existing treatment,8.2
15,adverse effect,8.2
16,months,8.2
17,vendor,8.107287449392713
18,qualitative factor,8.09090909090909
19,agreement,8.066666666666666
20,animal segment information,8.058823529411764
21,tax effect,8.049689440993788
22,temporary difference,8.0
23,corporate purpose,7.978632478632479
24,month,7.963924963924964
25,capital loan,7.934512296214423
26,recurring loss,7.933333333333333
27,administrative employee,7.923128342245989
28,future entry,7.914529914529915
29,additionally sale,7.895522388059701
30,additional funding,7.894910773298083
31,months,7.829787234042553
32,substantial loss,7.815686274509804
33,interest rate,7.800000000000001
34,year beginning,7.793706293706293
35,recent developments,7.777777777777778
36,pharmaceutical product,7.770133164235891
37,pharmaceutical product,7.770133164235891
38,cancer market,7.747368421052632
39,additional dilution,7.742405326674989
40,working capital,7.7359307359307365
41,reporting purpose,7.7272727272727275
42,month,7.71948051948052
43,response letter,7.716666666666667
44,expense,7.710121457489878
45,adamis pharmaceuticals corporation,7.7
46,annual report,7.681632653061224
47,important factor,7.672541743970315
48,pfs product,7.659766338079591
49,future funding,7.633986928104575
50,reporting unit,7.613636363636363
51,loss,7.6
52,offs,7.571428571428571
53,accounting policy,7.542857142857143
54,cancer product candidate,7.53230421686747
55,substantial time,7.525210084033613
56,balance management,7.5166666666666675
57,uncollectible amount,7.490196078431372
58,additional fund,7.48314606741573
59,respiratory market,7.473009446693657
60,explanatory paragraph,7.457142857142857
61,epinephrine pfs,7.418648018648019
62,net loss,7.41159420289855
63,working capital,7.402597402597403
64,sale,7.395522388059701
65,net proceeds,7.394927536231884
66,lived asset,7.385964912280702
67,sufficient funding,7.385448916408668
68,sterile formulation,7.373809523809523
69,year,7.369090909090909
70,class nda resubmissions,7.355555555555556
71,bonus,7.351190476190476
72,month,7.349267753523073
73,exercise price,7.347058823529412
74,product development,7.300716379029632
75,quarterly report,7.281632653061225
76,development,7.269449611554874
77,qualitative factor,7.257575757575758
78,bonus,7.250144592249855
79,subsequently differ materially,7.217391304347826
80,cash resource,7.163636363636364
81,company,7.151785714285714
82,development work,7.145308229577893
83,additional equity,7.129244071045495
84,license agreement,7.129166666666666
85,net proceeds,7.087235228539577
86,financial statement,7.068398268398268
87,financial statement,7.068398268398268
88,financial statement,7.068398268398268
89,clinical trial,7.0574324324324325
90,future cash,7.052525252525253
91,clinical trial,7.009615384615385
92,loan agreement interest,6.998581560283688
93,sum,6.9818181818181815
94,health product,6.964641173389209
95,business stock price,6.951837378307966
96,fiscal wa due,6.939086929330832
97,unexpected development,6.921421421421422
98,agreement interest payment,6.841666666666667
99,usc subsidiary,6.826086956521739
100,provide additional adequate,6.8164794007490634
101,equity financing transaction,6.802848575712144
102,company,6.785119047619048
103,impairment test,6.777777777777777
104,future activity,6.774179037336933
105,response time,6.773809523809524
106,marketing approval,6.7727272727272725
107,step,6.75
108,biotechnology product candidate,6.73230421686747
109,result,6.714251265975404
110,loan amendment agreement,6.7096926713948
111,factor study,6.665909090909091
112,net cash,6.641897233201581
113,amount management,6.640196078431373
114,product candidate,6.629740114303367
115,company,6.618452380952381
116,net cash,6.601897233201582
117,clarification difficulty scheduling,6.571428571428571
118,equity financing sale,6.56793618116315
119,company,6.551785714285714
120,estimate previously disclosed,6.528071411792341
121,condition industry,6.511904761904762
122,united states,6.492753623188406
123,operations information,6.491255961844197
124,directly impact,6.4906976744186045
125,related expense,6.427217660519585
126,stock price term,6.407370975145911
127,merger agreement,6.387987987987988
128,pdufa date,6.366459627329193
129,fasb issued asu,6.342592592592593
130,debt financing sale,6.336698858647937
131,approximately expenses,6.325673950589472
132,additional funding,6.305625059012369
133,sale,6.284411276948591
134,license acquisition,6.281854838709677
135,product,6.26355421686747
136,usc wa completed,6.230558501237186
137,compensation expense,6.195773111535315
138,business combination activity,6.168090681248575
139,production,6.159420289855072
140,event,6.134146341463414
141,company,6.118452380952381
142,actual event,6.005574912891985
143,expense research,5.972527676417837
144,comment,5.966450216450216
145,bank liability,5.963241436925648
146,review recoverability,5.9515789473684215
147,significant investment,5.902615902615903
148,operation satisfy,5.890194235588972
149,wa approximately million,5.880049938687623
150,source,5.764367816091954
151,goodwill impairment review,5.742690058479532
152,asset,5.661605937921728
153,expectation estimate,5.578576462297393
154,statement,5.576190476190476
155,fda approval,5.493723311210577
156,effective april,5.454439446943194
157,working capital,5.402597402597403
158,price,5.331269349845201
159,selling general,5.107287449392713
160,qualitative factor,5.090909090909091
161,recorded monthly based,5.071428571428571
162,compounded formulation,5.016666666666667
163,difficulty scheduling,5.0
164,involves comparing,5.0
165,temporary difference,5.0
166,related factor,4.982213438735178
167,expense,4.969736842105263
168,product,4.926433004746258
169,rate,4.9
170,additional funding,4.894910773298083
171,additional policy,4.88314606741573
172,goodwill,4.803418803418804
173,funding,4.745098039215686
174,previously disclosed,4.737373737373737
175,product candidate,4.73230421686747
176,target deadline,4.714285714285714
177,substantial amount,4.705882352941177
178,annual report,4.681632653061225
179,equity financing,4.672413793103448
180,significant funding,4.671023965141612
181,united states,4.666666666666667
182,unexpected development,4.662162162162162
183,compounded drug,4.648780487804878
184,september adamis,4.644444444444445
185,net cash,4.641897233201581
186,dpi product,4.63855421686747
187,marketing employee,4.636363636363637
188,pharmaceutical biotechnology,4.631578947368421
189,reporting unit,4.613636363636363
190,loan agreement,4.598581560283688
191,compensation expense,4.594736842105263
192,legal expense,4.594736842105263
193,expense,4.582541720154044
194,additional expense,4.577882909520993
195,corporate partner,4.555555555555555
196,prior year,4.551948051948052
197,management,4.55
198,capital resources,4.545454545454545
199,additional information,4.541969596827495
200,expense,4.5271692745376955
201,administrative expense,4.506501547987616
202,delaware corporation,4.5
203,remains hopeful,4.5
204,regulatory work,4.5
205,sufficient fund,4.5
206,individual requirement,4.5
207,adversely affected,4.5
208,qualitative assessment,4.5
209,agreement,4.4990990990991
210,sterile product,4.495697074010327
211,development expenses,4.495495495495495
212,interest expense,4.494736842105263
213,usc,4.492753623188405
214,related expense,4.48604118993135
215,expense,4.48604118993135
216,additional fund,4.48314606741573
217,additional assessment,4.48314606741573
218,net tangible,4.478260869565217
219,net realizable,4.478260869565217
220,financial performance,4.474747474747475
221,transaction,4.463768115942029
222,monthly accrual,4.458333333333334
223,related agreement,4.457971014492754
224,debt financing,4.4411764705882355
225,reserved comment,4.428571428571429
226,month period,4.428571428571429
227,step test,4.416666666666666
228,common stock,4.412486064659978
229,funding,4.411764705882353
230,unpaid interest,4.4
231,june adamis,4.4
232,net proceeds,4.394927536231884
233,bonus travel,4.392857142857142
234,related disclosure,4.391304347826087
235,loan document,4.3890577507598785
236,ha completed,4.383333333333334
237,principal payment,4.375
238,collateral,4.3589743589743595
239,additional consideration,4.35814606741573
240,debt funding,4.352941176470588
241,application,4.344947735191638
242,significantly changed,4.342857142857143
243,future performance,4.333333333333334
244,engaged primarily,4.323529411764706
245,business combination,4.308441558441558
246,product development,4.300716379029632
247,pharmaceutical company,4.283364661654136
248,preferred stock,4.282051282051282
249,quarterly report,4.281632653061225
250,estimated liability,4.263736263736264
251,year,4.255244755244755
252,activity,4.250953470633105
253,satisfactorily addressed,4.25
254,related document,4.248447204968944
255,purchase price,4.247058823529412
256,future business,4.244949494949495
257,planned activity,4.244264507422402
258,interim period,4.242424242424242
259,future achievement,4.222222222222222
260,differ materially,4.217391304347826
261,emergency treatment,4.2
262,intellectual property,4.2
263,revenues adamis,4.2
264,drug product,4.187334704672348
265,contractor,4.181818181818182
266,drug,4.173780487804878
267,applicable law,4.166666666666666
268,cash,4.163636363636364
269,cash resource,4.163636363636364
270,cash,4.163636363636364
271,development pathway,4.162162162162162
272,development effort,4.162162162162162
273,discovery development,4.162162162162162
274,business product,4.161281489594742
275,company,4.1395905923344944
276,product testing,4.13855421686747
277,product validation,4.13855421686747
278,product,4.13855421686747
279,product,4.13855421686747
280,event,4.134146341463414
281,future period,4.1313131313131315
282,similar transaction,4.130434782608695
283,financial condition,4.125541125541126
284,director fee,4.125
285,company,4.118452380952381
286,commercial introduction,4.111111111111111
287,remain open,4.111111111111111
288,goodwill,4.111111111111111
289,goodwill impairment,4.111111111111111
290,effective day,4.111111111111111
291,period adamis,4.109090909090909
292,actual result,4.097701149425287
293,wa approximately,4.088841147478832
294,financial statement,4.068398268398268
295,collaborative agreement,4.066666666666666
296,security agreement,4.066666666666666
297,insurance cost,4.066536203522505
298,recorded net,4.049689440993789
299,drug applications,4.048780487804878
300,drug administration,4.048780487804878
301,drug evaluation,4.048780487804878
302,drug quality,4.048780487804878
303,question,4.0396825396825395
304,future operation,4.038011695906433
305,product sale,4.034076604927171
306,approximately relating,4.033468701862484
307,equipment loan,4.031914893617021
308,march adamis,4.029787234042553
309,materially reduce,4.0269151138716355
310,sterile production,4.023809523809524
311,development activity,4.02181128496918
312,liability,4.015873015873016
313,operation,4.015789473684211
314,potentially reduce,4.0095238095238095
315,net change,4.009510869565217
316,future revenue,4.006006006006006
317,regulatory authority,4.0
318,instance,4.0
319,unmet medical,4.0
320,dose,4.0
321,proposed labeling,4.0
322,steroid hydrofluoroalkane,4.0
323,accumulated deficit,4.0
324,derivative,4.0
325,ultimate success,4.0
326,historical experience,4.0
327,readily apparent,4.0
328,security act,4.0
329,broad range,4.0
330,revenues revenues,4.0
331,remediation effort,4.0
332,independent contractor,4.0
333,device supply,4.0
334,covered person,4.0
335,warf agreements,4.0
336,underwriting discount,4.0
337,continuing development,3.9954954954954953
338,expenditure,3.991304347826087
339,planned expenditure,3.9846153846153847
340,estimate,3.9725158562367864
341,additional research,3.969632553902217
342,significant impact,3.959259259259259
343,merger agreement,3.9555555555555557
344,matter current,3.9545454545454546
345,revenue,3.9504504504504503
346,management plan,3.95
347,guidance,3.9444444444444446
348,development cost,3.9429840799703815
349,manufacture formulation,3.9166666666666665
350,operation,3.9157894736842107
351,comparable period,3.909090909090909
352,drug application,3.9059233449477353
353,sale representative,3.8955223880597014
354,sale discount,3.8955223880597014
355,primarily due,3.890196078431373
356,review process,3.8815789473684212
357,operating activity,3.8596491228070176
358,exchange commission,3.857142857142857
359,future event,3.8563685636856366
360,historical fact,3.833333333333333
361,therapeutic alternative,3.833333333333333
362,mid march,3.829787234042553
363,usc subsidiary,3.8260869565217392
364,primarily focused,3.8235294117647056
365,amount,3.8235294117647056
366,market consideration,3.822368421052632
367,future expenditure,3.8222222222222224
368,company,3.8184523809523805
369,additional submission,3.8164794007490634
370,defer reduce,3.8095238095238093
371,development,3.8079954954954953
372,licensing transaction,3.7971014492753623
373,estimated fair,3.794871794871795
374,growth estimate,3.7906976744186047
375,anticipated commercialization,3.7857142857142856
376,revenue,3.7837837837837838
377,indirect cost,3.780821917808219
378,cost,3.780821917808219
379,item,3.7727272727272725
380,regulatory approval,3.7727272727272725
381,effective date,3.763285024154589
382,condition revenues,3.761904761904762
383,expense,3.76140350877193
384,strategy objective,3.7272727272727275
385,distribution strategy,3.7272727272727275
386,satisfactory data,3.725
387,future research,3.7087087087087087
388,extent statement,3.704761904761905
389,statement,3.704761904761905
390,question,3.7012987012987013
391,judgment,3.6818181818181817
392,life,3.666666666666667
393,definite life,3.666666666666667
394,company,3.6517857142857144
395,company,3.6517857142857144
396,company,3.6517857142857144
397,company,3.6517857142857144
398,continuing operation,3.6491228070175437
399,commercialization activity,3.6453634085213036
400,cost,3.6269757639620654
401,timely manner,3.625
402,adoption,3.625
403,income expense,3.614736842105263
404,business alternative,3.6060606060606064
405,acquired business,3.6060606060606064
406,includes forward,3.6
