,0,1
0,specialty pharmaceuticals,9.0
1,allergic reactions,9.0
2,adverse effect,9.0
3,powder inhaler,9.0
4,hormone replacement therapies,9.0
5,balance sheet arrangements,8.90909090909091
6,public offering,8.9
7,bankruptcy protection,8.8
8,public offerings,8.7
9,integrative therapies,8.625
10,substantial losses,8.544757033248082
11,advance payments,8.391304347826086
12,press release,8.375
13,target response times,8.247619047619047
14,response letter,8.158333333333333
15,owned subsidiary,8.142857142857142
16,innovative medicines,8.133333333333333
17,committee meeting,8.125
18,compounded medications,8.12280701754386
19,compounded formulations,8.025584795321636
20,sterile formulations,8.025584795321636
21,losses,7.989855072463768
22,accounting pronouncements,7.896551724137931
23,loan documents,7.89145223306714
24,additional funding,7.84793491864831
25,reporting purposes,7.825174825174825
26,human factors,7.810344827586206
27,qualitative factors,7.810344827586206
28,temporary differences,7.782608695652174
29,additional funds,7.7695035460992905
30,losses,7.756521739130434
31,future entry,7.745254745254745
32,hospital outsourcing products,7.720588235294118
33,months,7.714285714285714
34,reporting unit,7.711538461538462
35,additional dilution,7.695429472025216
36,substantial losses,7.5780903665814145
37,expenses,7.574568288854003
38,cancer market,7.555555555555556
39,future funding,7.5416348357524825
40,interest rate,7.5
41,fiscal years,7.483333333333333
42,annual report,7.477551020408163
43,capital loan,7.464795918367347
44,net losses,7.423817336614712
45,product stress testing,7.416252072968491
46,including sterile injectable,7.407608695652174
47,accounting policies,7.396551724137931
48,pfs product,7.388624445340863
49,sufficient funding,7.385448916408668
50,september30,7.380952380952381
51,cancer product candidates,7.3499438292408925
52,clinical trials,7.257440476190476
53,tax assets,7.2523809523809515
54,subsequently differ materially,7.217391304347826
55,product development timelines,7.210423293369219
56,net proceeds,7.183962264150944
57,adamis pharmaceuticals corporation,7.134545454545455
58,specialty pharmaceutical products,7.120588235294118
59,pharmaceutical products,7.120588235294118
60,working capital,7.108333333333333
61,intangible assets,7.085714285714285
62,quarterly report,7.077551020408164
63,therapeutic vaccine,7.07427536231884
64,additional equity,7.0310665445043945
65,business combination activity,7.003663003663004
66,factors studies,6.977011494252873
67,qualitative factors,6.9770114942528725
68,working capital,6.975
69,net proceeds,6.966013546202226
70,company,6.964912280701754
71,completion dates,6.954545454545455
72,development work,6.952563655388908
73,financial statements,6.950792326939116
74,financial statements,6.950792326939116
75,financial statements,6.950792326939116
76,administrative employees,6.926686217008798
77,corporate purposes,6.895833333333333
78,loan amendment agreement,6.88168781025924
79,unexpected developments,6.880471380471381
80,exercise price,6.876470588235295
81,recent developments,6.833333333333334
82,future cash,6.829323681782698
83,cash resources,6.815395580898075
84,equity financing transactions,6.797074190177639
85,step,6.75
86,uncollectible amounts,6.715686274509805
87,marketing approval,6.708333333333333
88,clinical trial,6.669456388206388
89,impairment test,6.666666666666666
90,performance obligations,6.638461538461538
91,patent rights,6.614757614757615
92,loan documents,6.595330023901452
93,sums,6.492307692307692
94,fees,6.49010989010989
95,sales,6.415584415584416
96,property assets,6.372039072039072
97,taxable income,6.338095238095238
98,biotechnology product candidates,6.316610495907559
99,net cash,6.290278561161551
100,additional funding,6.258649204362596
101,pdufa date,6.241558441558442
102,fasb issued asu,6.23391812865497
103,product,6.1940298507462686
104,significant investments,6.191077441077441
105,amount management,6.166666666666666
106,related expenses,6.165347001666614
107,comments,6.133673469387755
108,workload issues,6.114886731391586
109,directly impact,6.113043478260869
110,estimates,6.094861660079051
111,merger agreement,6.089189189189189
112,assets goodwill,6.085714285714285
113,net assets,5.908565438754119
114,related expense,5.872829994863894
115,company overview,5.860745614035087
