,0,1
0,listing rules,9.0
1,consolidated statements,8.833333333333334
2,proceeding investigation,8.833333333333334
3,donepezil hydrochloride capsule,8.8
4,scholes model,8.777777777777779
5,secondary endpoint,8.75
6,onset seizures,8.75
7,release version,8.74645390070922
8,release version,8.74645390070922
9,merz pharma gmbh,8.666666666666666
10,merz pharmaceuticals,8.666666666666666
11,onset seizure,8.625
12,generic version,8.55895390070922
13,movement disorder specialist,8.545833333333334
14,significant improvement,8.518072289156626
15,compensation contractor,8.490322580645161
16,neurologic disorder,8.479166666666666
17,compensation stock compensation,8.417763157894736
18,stock unit,8.417763157894736
19,consolidated statement,8.369047619047619
20,shelf registration statement,8.369047619047619
21,accounting policy,8.368421052631579
22,accounting standards,8.368421052631579
23,record significant additional,8.360177552314521
24,reimbursed expense,8.304347826086957
25,net income,8.291634210936282
26,outcome measure,8.285714285714285
27,synchronous therapy,8.25
28,generic entry,8.229166666666666
29,severe dementia,8.204608294930875
30,court decision,8.2
31,cash flows,8.191666666666666
32,quoted price,8.18560606060606
33,line basis,8.181818181818182
34,phase trial,8.167919799498748
35,technical corrections,8.142857142857142
36,dose phase,8.142857142857142
37,commercial capability,8.126984126984127
38,single digit,8.125
39,clinical trial,8.091986723565672
40,clinical trial,8.091986723565672
41,trial accruals,8.091986723565672
42,preferred stock,8.084429824561402
43,permission,8.08108108108108
44,eitf meeting,8.06024096385542
45,subsidiary summary,8.0
46,ucb sa nv,8.0
47,delivery,7.988700564971751
48,credit risk,7.977272727272727
49,phase week proof,7.9714285714285715
50,cash cash,7.959090909090909
51,cash flow,7.953571428571429
52,monetary relief,7.945054945054945
53,financial contribution,7.904626911005366
54,fiscal year,7.817733990147783
55,month,7.816216216216215
56,generic version,7.804855540053483
57,vesting period,7.801204819277109
58,cmos expense,7.794670406732118
59,related expense,7.794670406732118
60,credit loss,7.787513691128148
61,equity offering,7.784782608695652
62,note thereto,7.781989247311827
63,financial statement,7.7556022408963585
64,orphan drug exclusivity,7.743303571428571
65,net loss,7.7396302768325205
66,additional fund,7.726720647773279
67,sale agent,7.699507389162561
68,liquid investment,7.695652173913043
69,cashless exercise,7.673076923076923
70,valuation technique,7.666666666666666
71,clinical trial,7.663415294994242
72,substantial doubt,7.657894736842105
73,wa primarily related,7.6468677898219495
74,namenda xr,7.639175257731959
75,net proceeds,7.622466236054022
76,asu rescission,7.616541353383459
77,based compensation,7.605797345928925
78,balance sheet arrangement,7.599832915622389
79,common stock,7.599581339712918
80,average number,7.5993589743589745
81,market price,7.598174366616989
82,commercial organization,7.59804567413263
83,fasb ha issued,7.59716617343736
84,net interest,7.595982037023239
85,interest income,7.595982037023239
86,commercial activity,7.580555555555556
87,sustained profitability,7.5777777777777775
88,wa primarily due,7.577597840755736
89,salary benefit,7.573476702508961
90,market data,7.569943451190952
91,expense allocation,7.554347826086957
92,month,7.526457180071637
93,decrease,7.51359649122807
94,investigator site,7.495495495495495
95,symptomatic relief,7.492063492063492
96,equity incentive plan,7.490243902439024
97,united states,7.479166666666667
98,component,7.467105263157895
99,andadministrative net,7.463703038467296
100,net cash,7.454389312977099
101,equity instrument,7.43531746031746
102,public offering,7.434782608695652
103,salary,7.433380084151473
104,net proceeds,7.426055979643765
105,net income,7.423213158304703
106,fasb issued asu,7.417989417989418
107,common stock,7.414396154527733
108,fda ha designated,7.4031149793861655
109,long term,7.3996003996004
110,term debt,7.3996003996004
111,capital stock,7.399244639376218
112,agreement,7.392544802867383
113,objective expectation,7.390243902439025
114,significant decrease,7.384738955823293
115,anda filer,7.380050505050505
116,automatically net exercised,7.3793893129771
117,generic namenda,7.368341924398626
118,underwriting discount,7.358108108108108
119,increased expense,7.357170406732118
120,issuance options,7.345000000000001
121,year beginning,7.34476101717481
122,footnote disclosure,7.336476426799008
123,product candidate,7.333852842260684
124,specific expense,7.332736104475236
125,month,7.316609917003618
126,quoted price,7.314638318670577
127,public offering,7.309782608695652
128,stock compensation plan,7.308007060333761
129,induced dyskinesia,7.296703296703296
130,similar security,7.294962812711291
131,generic version,7.289723131478452
132,clinical research,7.286455947472897
133,fda approval,7.281081081081081
134,approval,7.281081081081081
135,licensing arrangement,7.280701754385965
136,cash proceeds,7.2716666666666665
137,increased investment,7.258152173913043
138,effort,7.25
139,milestone payment,7.249582289055974
140,development expense,7.2394127611518915
141,business adamas pharmaceuticals,7.238636363636363
142,external cost,7.2375753278979085
143,anda filer,7.236111111111112
144,payment,7.23063492063492
145,market price,7.223174366616989
146,party data provider,7.213204373423045
147,specific basis,7.210206460206461
148,unobservable input,7.203659123736157
149,double digit,7.2
150,leaseback transaction,7.199507389162561
151,consulting fee,7.197994987468672
152,stock option,7.181808101714961
153,stock split,7.167763157894736
154,quoted pricing,7.166666666666667
155,beginning,7.166202284758986
156,clinical study,7.162162162162161
157,account,7.156989247311827
158,plan,7.152743902439024
159,financial statement,7.1306022408963585
160,ease lid,7.12199036918138
161,sale agent,7.116174055829228
162,judgment,7.108108108108108
163,based award,7.105797345928925
164,annual period,7.105552645364065
165,comprehensive loss,7.1019076305220885
166,advance payment,7.087301587301587
167,stage program,7.085470085470085
168,tax asset,7.0851449275362315
169,cash payment,7.078968253968254
170,significant loss,7.078313253012047
171,increased activity,7.077822580645162
172,dilutive security,7.0771756978653535
173,payment,7.073455433455434
174,clinical personnel,7.0669240669240665
175,common stock,7.059898800030378
176,increase wa offset,7.056020733652312
177,sales agreement,7.050370370370371
178,fiscal period,7.04251756058985
179,market input,7.034814219301618
180,backed loan,7.028505897771953
181,common stock,7.016248006379584
182,march license agreements,7.01229575837597
183,development expense,7.011342585713296
184,united states,7.006193693693694
185,operating loss,6.994979919678714
186,stock warrant,6.955397566496887
187,percentage revenue revenue,6.947222222222223
188,term success,6.945054945054945
189,preclinical testing,6.935064935064935
190,tiered royalty,6.933785400877543
191,significant increase,6.927163198247535
192,company,6.924750337381916
193,common stock,6.921615238018003
194,observable input,6.917944838021873
195,stock option,6.901808101714963
196,espp automatically increased,6.898863636363637
197,related note,6.897373862696442
198,drug application nda,6.897365196078431
199,early adoption,6.894444444444445
200,lease commitments,6.893162393162393
201,financial statement,6.8846344989608745
202,revenue recognition,6.883928571428571
203,filed lawsuit,6.864035087719298
204,period,6.86144578313253
205,ten year,6.853448275862069
206,research organization,6.851673338777244
207,tolerability issue,6.842105263157895
208,approval,6.830952380952381
209,attorney fee cost,6.8262001156738
210,selling price,6.8238446336272425
211,net cash,6.812232450232001
212,significant research,6.809032741134027
213,stock award plan,6.808007060333761
214,trial vendor,6.806272437851385
215,june license agreements,6.802448495307949
216,development expense,6.8019127611518915
217,noncurrent amount,6.792207792207792
218,product revenue,6.7890469061876235
219,maturity date range,6.784172661870503
220,concept study,6.761904761904762
221,clinical trial,6.758653390232338
222,research institution,6.755246166263116
223,product candidate,6.750519508927351
224,service fee,6.75
225,liability income tax,6.747448979591836
226,sale security,6.74692118226601
227,year,6.743448275862069
228,mandatory prepayment,6.7407407407407405
229,development expense,6.7394127611518915
230,partial exercise,6.738461538461539
231,issuance shares,6.730882352941176
232,significant spending,6.725619458967947
233,lid,6.718481597251556
234,lid trial,6.718481597251556
235,xr royalty,6.7033954412181975
236,price,6.695810142238713
237,common share,6.69298927193664
238,development expense,6.683857205596336
239,drug administration,6.6815275096525095
240,element arrangement,6.679197994987469
241,states court,6.679166666666667
242,financial information,6.670208468002586
243,interest income,6.66659272404614
244,forest,6.661190476190476
245,revenue,6.659764957264958
246,revenue,6.659764957264958
247,revenue,6.659764957264958
248,period,6.6515985200645105
249,clinical trial,6.64254852131848
250,xr litigation,6.639175257731959
251,product candidate expense,6.6382006683476416
252,subjective assumption,6.635719347980155
253,annual period,6.632579672391092
254,effective date,6.6290002480774
255,vimpat tablet,6.611111111111111
256,sclerosis patient,6.607956600361663
257,contractual obligation,6.605882352941176
258,recurring adjustment,6.583333333333333
259,significant loss,6.578313253012047
260,short term,6.567795908910367
261,asserted patent,6.557791537667699
262,wa declared effective,6.545328839339729
263,net cash,6.537722646310432
264,early adoption,6.5344444444444445
265,corporate debt,6.531468531468532
266,million net,6.526448136506511
267,relevant patent,6.526292335115864
268,development revenue,6.525342712842713
269,common stock,6.5138670539986325
270,common stock,6.502807146164532
271,district court,6.502422723475355
272,treasury note,6.491666666666666
273,net sale,6.484779055080837
274,product revenue recognition,6.483491350632069
275,pharmaceutical company,6.475042735042734
276,additional share,6.452747252747253
277,management judgment,6.447608968693306
278,product candidate,6.439735195201861
279,related expense,6.4375275495892605
280,development activity,6.4373376623376615
281,future period,6.434114199245312
282,fiscal year,6.424876847290641
283,year item management,6.424876847290641
284,anda filer,6.423325722983257
285,contract manufacturing organization,6.412675018422991
286,stock option,6.412577332484193
287,reporting period,6.410516560167797
288,activity level,6.390853658536586
289,based award,6.384390463337832
290,study research,6.381694042710992
291,license agreement,6.381304043769798
292,commercial activity,6.364869281045752
293,extension,6.359625668449198
294,short term,6.357948645842347
295,subtopic disclosure,6.346153846153847
296,million primarily related,6.339643847613487
297,product sale,6.314943184239074
298,purchase commitments,6.299906629318394
299,actual result,6.288461538461538
300,year revenue,6.27705938697318
301,financial result,6.271170006464124
302,public offering,6.268115942028985
303,external cost,6.247252747252747
304,development expense,6.2394127611518915
305,drug,6.236202485380117
306,public offering,6.234782608695652
307,memantine product,6.226546906187624
308,partial exercise,6.223076923076924
309,exercised option,6.2084893882646695
310,net loss,6.204336159185462
311,contract research organization,6.203635470400393
312,analysis expense,6.194670406732118
313,received million related,6.181695129664769
314,company interest,6.179390561129692
315,actual service,6.171052631578947
316,government contract research,6.138418079096045
317,product candidate,6.1181665677508805
318,short term,6.115398082309847
319,december wa derived,6.099429824561404
320,service,6.087719298245614
321,additional share,6.083916083916083
322,business entity,6.083333333333333
323,wa million compared,6.069969040247678
324,actual result,6.038461538461538
325,development expense research,6.030373213129293
326,exchange commission sec,6.02051282051282
