,0,1
0,nervous systems,9.0
1,listing rules,9.0
2,nervous system,9.0
3,secondary endpoints,8.8
4,purpose entities,8.666666666666666
5,movement disorder specialists,8.637362637362637
6,neurologic disorders,8.588888888888889
7,accounting pronouncements,8.478260869565217
8,accounting policies,8.478260869565217
9,consolidated statements,8.452631578947368
10,generic version,8.451652386780905
11,onset seizures,8.404040404040405
12,outcome measure,8.285714285714285
13,record significant additional,8.27362784471218
14,shelf registration statement,8.25
15,consolidated statement,8.25
16,additional funds,8.229239766081871
17,service fees,8.226415094339622
18,equity offerings,8.192857142857143
19,significant improvement,8.184738955823292
20,intellectual property,8.166666666666666
21,months,8.153297682709447
22,walking assessment,8.125
23,cash flow,8.10344827586207
24,stock unit,8.087179487179487
25,months,8.071770334928228
26,credit risk,8.06060606060606
27,quoted prices,8.023809523809524
28,trial accruals,8.001098901098901
29,severe dementia,7.992974238875878
30,september30,7.984051036682615
31,expenses,7.965254237288136
32,commercial capabilities,7.94980694980695
33,monetary relief,7.945054945054945
34,tolerability issues,7.9222222222222225
35,financial contribution,7.919647092306233
36,trial sites,7.91018981018981
37,property rights,7.904761904761905
38,balance sheet arrangements,7.860924369747899
39,financial statements,7.854206382096975
40,fiscal year,7.85064935064935
41,court decision,7.826666666666666
42,money market funds,7.80701754385965
43,investigator sites,7.794805194805195
44,generic version,7.784985720114239
45,interest entities,7.771144278606965
46,anda filer,7.751633986928105
47,mandatory prepayments,7.7407407407407405
48,credit losses,7.727272727272727
49,operating requirements,7.71875
50,market data,7.707193515704153
51,market prices,7.690476190476192
52,preferred stock,7.6871794871794865
53,additional funding,7.6722222222222225
54,generic versions,7.672203765227021
55,valuation techniques,7.666666666666666
56,party data providers,7.659574468085106
57,substantial doubt,7.657894736842105
58,safety study,7.633333333333333
59,permission,7.619047619047619
60,screening fees,7.6177194421657095
61,average number,7.5993589743589745
62,clinical trials,7.597835497835498
63,regulatory approval,7.594354838709677
64,product candidate,7.587692307692308
65,orphan drug exclusivity,7.552910052910053
66,vesting period,7.545454545454545
67,income tax consequences,7.485915492957746
68,consulting fees,7.482825350749879
69,sustained profitability,7.47008547008547
70,related notes,7.4551591128254575
71,underwriting discounts,7.45
72,objective evidence,7.444444444444445
73,potentially additional clinical,7.437566137566138
74,liquid investments,7.426229508196721
75,approval,7.419354838709678
76,symptomatic relief,7.406593406593407
77,clinical personnel,7.385714285714286
78,clinical personnel,7.385714285714286
79,clinical data,7.36347057198121
80,stock options,7.350337381916329
81,generic namenda,7.346881112801565
82,annual periods,7.30911330049261
83,united states,7.244897959183674
84,financial statements,7.229206382096975
85,net loss,7.208121827411167
86,equity instrument,7.206349206349206
87,leaseback transactions,7.195384615384615
88,net income,7.194037320368913
89,sales agent,7.192583732057416
90,similar securities,7.191081286883685
91,payment transactions,7.187559354226021
92,expense allocations,7.1849295369571475
93,balance sheet classification,7.174560733384262
94,quoted pricing,7.166666666666666
