,0,1
0,attenuated strain,9.0
1,access,9.0
2,america merrill lynch,9.0
3,square foot,8.823529411764707
4,owned subsidiary,8.818181818181818
5,adverse outcome,8.733333333333334
6,property protection,8.705882352941178
7,single digit,8.666666666666666
8,immune response,8.585858585858587
9,valid claim,8.571428571428571
10,steering committee,8.516666666666667
11,diluted earnings,8.5
12,substantial expenditure,8.5
13,months,8.464
14,treasury stock method,8.460818713450292
15,aduro biotech europe,8.389705882352942
16,monoclonal antibody,8.377777777777778
17,month,8.361058823529412
18,tax position,8.34045393858478
19,months,8.330827067669173
20,single digit,8.30952380952381
21,maturity assets,8.3
22,immune response,8.252525252525253
23,reduction post patent,8.25
24,month,8.227885891198584
25,common stock,8.219642242862058
26,common stock,8.219642242862058
27,preferred stock,8.175970228601809
28,immune system,8.167557932263815
29,insurance property tax,8.165383910573574
30,line basis,8.128787878787879
31,claim,8.097744360902254
32,clinical data,8.08531746031746
33,clinical testing,8.08531746031746
34,average period,8.081967213114755
35,future expectation,8.079365079365079
36,consolidated statements,8.0781045751634
37,income tax reserve,8.0673446948873
38,net property,8.052417006406522
39,planned program,8.01010101010101
40,tax benefit,8.005478569126652
41,indemnify hold harmless,8.0
42,action safety profile,8.0
43,capital resource,8.0
44,private placement,8.0
45,possession,8.0
46,stock split,7.994152046783626
47,tax rate,7.98980458793543
48,corporate law,7.987012987012987
49,salary bonus benefit,7.979310344827586
50,clinical trial,7.966269841269842
51,expectation charge,7.95
52,stock units,7.946532999164578
53,equipment,7.945670628183362
54,attribute,7.941880341880342
55,receptor,7.909803921568627
56,suppressive mechanism,7.909090909090909
57,common stock,7.886308909528724
58,rent expense,7.885792913656691
59,quoted price,7.883116883116883
60,promissory note,7.8786163522012576
61,gvax prostate agreements,7.857142857142858
62,equipment net,7.846534653465346
63,regulatory approval,7.843434343434344
64,fasb issued asu,7.819368131868132
65,square footage,7.8
66,average number,7.796875
67,pharmaceuticals corporation,7.773109243697479
68,note thereto,7.771598808341609
69,month,7.75
70,objective expectation,7.7368421052631575
71,personnel expense,7.719126246990024
72,related expense,7.719126246990024
73,calendar year,7.706896551724138
74,modulating asset,7.696969696969697
75,balance sheet arrangements,7.695054945054945
76,assets goodwill,7.68076923076923
77,professional service,7.680662329982259
78,stock option,7.675311467073481
79,balance sheet,7.667277167277168
80,prostate,7.655555555555555
81,wa partially offset,7.639682539682539
82,account payable approximate,7.633986928104575
83,stockholder,7.633333333333333
84,incentive stock option,7.6164879376617165
85,upfront payment,7.608630111173921
86,supplier liquidate asset,7.6
87,fka bionovion,7.6
88,marketable security,7.588114754098361
89,therapeutic efficacy,7.561111111111111
90,product,7.557142857142857
91,common stock,7.55297557619539
92,clinical trial,7.537698412698413
93,option,7.5144927536231885
94,effect,7.512345679012347
95,regulatory approval,7.51010101010101
96,security exchange,7.488976823063878
97,janssen ha agreed,7.475
98,low teen,7.470175438596491
99,oncology combination,7.467424242424243
100,expense,7.466619981325865
101,percentage,7.461538461538462
102,income tax expense,7.426821819070307
103,consolidated statement,7.422465477419038
104,berkeley,7.4
105,license,7.397961956521739
106,interest cost,7.364764267990075
107,option net,7.361027407088535
108,stock incentive plan,7.338837289301686
109,additional fund,7.330289193302892
110,worldwide license,7.309420289855073
111,development agents,7.299415204678363
112,wa primarily due,7.290465949820788
113,asset asu,7.285714285714286
114,income tax,7.267344694887301
115,increase wa attributed,7.258119658119658
116,share calculation,7.237835875090777
117,technology platform,7.175
118,performance condition,7.162974683544304
119,clinical development,7.1625104427736
120,material cost,7.158658620426247
121,performance obligation,7.155621742367833
122,administrative expense,7.144790739685302
123,research committee,7.107183908045977
124,stock warrant,7.10370021387655
125,annual increase,7.0987326849395815
126,wa approximately million,7.093223629142846
127,market price,7.09207210699748
128,grant options,7.088541666666667
129,license fee,7.085500766755223
130,heinz lease,7.07984267453294
131,balance sheet arrangement,7.058691308691309
132,aduro biotech,7.035859728506788
133,consolidated notes,7.011437908496732
134,accounting model,7.011007986186057
135,stock option,7.008644800406814
136,grant,7.000633169934641
137,profit novartis,6.995331465919701
138,financial statement,6.9943609022556394
139,performance obligation,6.988955075701167
140,development milestone,6.97641778865769
141,development cost,6.972693708145545
142,outstanding account,6.967320261437909
143,financial statement,6.966583124477861
144,development cost,6.958086282704279
145,technology platform,6.9527777777777775
146,development expense,6.950558995528036
147,legal proceeding,6.9298245614035086
148,trial agreement,6.929232804232805
149,business aduro biotech,6.926291248206599
150,state tax authority,6.926168224299065
151,license implementation guidance,6.903506311360449
152,product candidate,6.898319327731093
153,tax benefit,6.89436745801554
154,service cash,6.878775537529429
155,development expense,6.870632370790091
156,accounting policy,6.864498644986449
157,employee,6.852084741942754
158,significant loss,6.8499579700017215
159,company,6.843550198721272
160,regulatory approval,6.843434343434344
161,sale,6.836158192090394
162,product candidate,6.831652661064426
163,tax asset,6.826168224299066
164,revenue service,6.821371245127265
165,loss income net,6.812402482078273
166,equity incentive plan,6.795665634674922
167,cash sufficiency estimate,6.789022298456261
168,licensed product,6.786309523809525
169,data exclusivity expiration,6.785714285714286
170,amortization expense,6.784873949579832
171,market data,6.780383795309168
172,currency exchange,6.775862068965518
173,public offering,6.760551948051948
174,revenue,6.760537131519275
175,approval milestone,6.742659149635894
176,interim period,6.742573273720814
177,measurement category level,6.742245989304813
178,novartis agreement,6.736072206660442
179,stock purchase agreement,6.714690767322346
180,service loss,6.705353688006951
181,adu agreement,6.6922890103217965
182,operating expense,6.684873949579833
183,unobservable input,6.672727272727273
184,manufacture,6.665517241379311
185,lease classification,6.645787840478105
186,forfeiture,6.642079336271714
187,income taxes provision,6.641176470588236
188,upfront fee,6.632523053930962
189,officer insurance,6.631578947368421
190,tax rate,6.631108935761516
191,transfer,6.625
192,development activity,6.620529927201536
193,tax service loss,6.5946798070428585
194,potential amount,6.585093167701863
195,cash cash,6.58372641509434
196,ii item,6.581427581427581
197,collaboration agreement,6.576599326599326
