,0,1
0,valid claim,9.0
1,access,9.0
2,america merrill lynch,9.0
3,diluted earnings,8.789473684210526
4,corporate law,8.75
5,tax positions,8.699115044247787
6,tax rates,8.699115044247787
7,immune responses,8.624737945492662
8,steering committee,8.533333333333333
9,substantial expenditures,8.5
10,immune responses,8.40251572327044
11,planned programs,8.180555555555555
12,investor relations activities,8.152173913043478
13,property protection,8.125
14,immune system,8.116801437556155
15,trial accruals,8.065621370499418
16,income tax reserves,8.018080561489167
17,accounting policies,8.0
18,immune cells,7.958071278825996
19,monoclonal antibodies,7.933333333333334
20,pathway activator,7.923076923076923
21,tax benefits,7.914801318757592
22,balance sheet,7.910330173259235
23,possession,7.888888888888889
24,clinical data,7.884668989547038
25,preferred stock,7.874412955465587
26,immune response,7.867162187916906
27,calendar year,7.861111111111111
28,quoted prices,7.845238095238096
29,tax debt,7.8370460787305465
30,immune responses,7.83262325015216
31,promissory notes,7.817124183006536
32,predefined objectives,7.769230769230769
33,consolidated notes,7.767801857585139
34,stock units,7.742105263157894
35,aduro biotech holdings,7.723288320303245
36,tax attribute carryforwards,7.699115044247788
37,claims,7.693989071038252
38,stock split,7.675438596491228
39,accounts payable approximate,7.673913043478261
40,modulating assets,7.673349056603774
41,adverse outcomes,7.666666666666667
42,attenuated strains,7.65
43,upfront payments,7.6365699873896595
44,personnel costs,7.614864864864865
45,allocated expenses,7.6105072463768115
46,private placement,7.6
47,incentive stock options,7.592105263157895
48,stock options,7.592105263157895
49,stock options,7.592105263157895
50,balance sheet arrangements,7.591818376526023
51,additional funds,7.591794871794871
52,market prices,7.574404761904762
53,therapeutic efficacy,7.561111111111111
54,accounting pronouncements,7.555555555555555
55,stockholders,7.5476190476190474
56,fasb issued asu,7.543579404466501
57,consolidated statements,7.535627169528098
58,performance obligations,7.532608695652174
59,regulatory approval,7.532591414944356
60,pharmaceuticals corporation,7.519685039370079
61,interest costs,7.484864864864865
62,related notes,7.448891031822566
63,trial costs,7.430486235364284
64,johnson development corporation,7.427335640138408
65,minimum payments,7.397570850202428
66,technology platforms,7.3795795795795796
67,checkpoint inhibitors,7.3619047619047615
68,capital resources,7.342105263157895
69,reduction post patent,7.337662337662337
70,fka bionovion,7.327272727272728
71,square footage,7.2695035460992905
72,income tax expense,7.251413894822501
73,low teens,7.247121710526316
74,consolidated statement,7.239566563467493
75,tax rates,7.2393449293052585
76,aduro biotech europe,7.223288320303245
77,public offering,7.213157894736843
78,net income,7.212916813392203
79,regulatory approval,7.199258081611023
80,securities exchange,7.195660596667958
81,marketable securities,7.18876404494382
82,promissory note,7.173333333333334
83,common stock,7.170653907496012
84,activator technology,7.167521367521368
85,license fee,7.14042643424343
86,pancreatic cancer,7.130952380952381
87,clinical data,7.122764227642277
88,revenue service,7.120070113935145
89,goods,7.111111111111111
90,measurement category levels,7.1060606060606055
91,common stock,7.0997004706889175
92,rent expense,7.093989071038251
93,performance conditions,7.0861204013377925
94,professional services,7.084470435347628
95,products,7.067682926829269
96,product candidates,7.06555835817473
97,financial statements,7.042501284026708
98,outstanding accounts,7.037549407114625
99,product candidates,7.022701215317587
100,months,7.020833333333334
101,financial statements,7.016185494553023
102,element arrangement guidance,7.01038961038961
103,annual increase,6.984559958826557
104,technology platforms,6.97957957957958
105,share calculations,6.964912280701754
106,state tax authorities,6.943559488692232
107,future expectations,6.928792569659442
108,common stock,6.927017543859649
109,tax benefits,6.92133726647001
110,license implementation guidance,6.887893462469733
111,personnel expenses,6.887829650748396
112,related expenses,6.887829650748396
113,owned subsidiaries,6.885714285714286
114,administrative expenses,6.8802016674589535
115,tax assets,6.836615044247788
116,research committee,6.825178826895565
117,material costs,6.800209692451071
118,debt service obligations,6.793210537588349
119,development milestones,6.793189298674994
120,performance obligations,6.775032938076416
121,interest income,6.772298850574714
122,upfront fee,6.747771067011793
123,owned subsidiary,6.7448660714285715
124,lease classifications,6.738816738816739
125,currency exchange,6.706896551724138
126,cash sufficiency estimate,6.697945845004669
127,income taxes,6.69396551724138
128,owned subsidiary,6.685714285714285
129,interim periods,6.681118881118881
130,performance obligation,6.648550724637682
131,performance obligations,6.646894409937888
132,trial agreement,6.645331515426955
133,stock warrants,6.640350877192982
134,development tax credits,6.626450684386196
135,securities exchange act,6.624232025239387
136,data exclusivity expiration,6.604761904761904
137,development costs,6.6025453325894805
138,upfront fee,6.600789439715204
139,financial statements,6.594225421957741
140,percentage,6.5625
141,interest income,6.543443129181679
142,regulatory approval,6.532591414944356
143,stock options,6.529605263157895
