,0,1
0,quitman county georgia,9.0
1,county alabama,9.0
2,gwinnett county georgia,9.0
3,regulatory investigation,9.0
4,integrated provider,9.0
5,request paper copy,9.0
6,measurement criterion,9.0
7,foot building,9.0
8,duval county,8.833333333333334
9,tax position,8.78048780487805
10,input level,8.772727272727273
11,input level,8.772727272727273
12,financial instruments,8.71891891891892
13,chester county pennsylvania,8.714285714285715
14,category,8.666666666666666
15,investment grade rating,8.666666666666666
16,statutory rate,8.64406779661017
17,base rate,8.64406779661017
18,libor base rate,8.64406779661017
19,national provider,8.625
20,book income,8.579617834394904
21,post closure responsibility,8.575969962453065
22,assurance requirement,8.572381076728902
23,party engineering specialist,8.553191489361701
24,ubs securities,8.545454545454545
25,gas infrastructure system,8.528735632183908
26,bargaining agreement,8.507462686567164
27,le densely populated,8.5
28,financial resource,8.496696696696697
29,displaced material,8.49056603773585
30,base index,8.476190476190476
31,leverage ratio,8.466666666666667
32,remedial measure,8.454545454545455
33,working capital,8.447368421052632
34,macquarie capital,8.447368421052632
35,libor rate,8.44406779661017
36,month,8.416546373150489
37,month,8.410217259226435
38,deutsche,8.4
39,charlotte north carolina,8.4
40,financial statement,8.394243594243594
41,meritorious defense,8.392156862745098
42,accounting policies,8.384615384615385
43,strike price,8.384057971014492
44,consumer price index,8.384057971014492
45,capital requirement,8.373294346978557
46,september,8.365476854433911
47,income tax,8.360105639272954
48,income tax forfeiture,8.360105639272954
49,income tax items,8.360105639272954
50,month,8.359147740509858
51,holdings,8.30379746835443
52,waste,8.30379746835443
53,waste,8.30379746835443
54,waste systems,8.30379746835443
55,consolidated statement,8.25741422756348
56,surety bond,8.25
57,balance sheet arrangements,8.24074074074074
58,assurance instrument,8.230870735218561
59,dilutive instrument,8.227272727272727
60,unsecured basis,8.218614718614718
61,payroll tax transfer,8.211257035647279
62,march,8.151840490797547
63,month,8.145511376873495
64,infrastructure net,8.142857142857142
65,internal resource,8.11111111111111
66,disposal services,8.104294478527606
67,derivative instrument,8.091213291213291
68,financial instrument,8.091213291213291
69,accounting policy,8.051282051282051
70,accounting standards,8.051282051282051
71,impairment test,8.047619047619047
72,financial performance,8.044500314267756
73,waste stream,8.018083182640144
74,closure,8.015686274509804
75,accepted methodology,8.0
76,lawsuit dispute,8.0
77,integration strategy,8.0
78,tax earnings,7.980487804878049
79,financial statement,7.976333146482401
80,assurance insurance,7.974041357699528
81,bank securities,7.945454545454545
82,derivative instrument,7.941259889535752
83,post closure cost,7.9363303228134265
84,container fuel cost,7.929325877601739
85,fee revenues,7.91044776119403
86,north america,7.888888888888889
87,ton basis,7.880952380952381
88,tax benefit,7.875725900116144
89,compensation structure,7.87536231884058
90,financial assurance,7.8686773730252
91,lower margin,7.856038647342995
92,strategic alternative,7.855555555555555
93,consumption method,7.851851851851852
94,party marketing director,7.844858156028369
95,income tax net,7.83629611546343
96,dilution,7.83495145631068
97,interest rate cap,7.8314841286048145
98,income tax,7.828190745655932
99,operating margin,7.811594202898551
100,affiliate,7.8
101,term nature,7.77224281742354
102,office cost fee,7.77080812155439
103,exclusive contract,7.7677902621722845
104,attorney general,7.764705882352941
105,trucking landfill gas,7.751309471846355
106,uncertainty actions,7.75
107,effect,7.746031746031746
108,line method,7.730769230769231
109,municipal subscription,7.729166666666666
110,landfill retirement obligations,7.722573839662447
111,weather condition,7.703962703962704
112,rent,7.69640676783534
113,adverse effect,7.68104222821204
114,healthcare cost,7.677433531092067
115,basis,7.6768707482993195
116,collection activity,7.674055829228243
117,professional fee,7.663304904051174
118,diesel fuel price,7.653023488255872
119,tax purpose,7.653015277405522
120,valuation allowance,7.642857142857142
121,brokerage business,7.64
122,inactive landfill permit,7.639240506329114
123,revenue stream,7.634285714285714
124,operating income,7.605808310585381
125,integrated operation,7.605263157894737
126,recurring nature,7.602564102564102
127,segment revenues,7.6006006006006
128,cash flow,7.59777706185567
129,cash flow,7.59777706185567
130,quality transfer,7.584615384615384
131,energy project,7.5625
132,environmental fee,7.559445254928367
133,net income,7.55580831058538
134,public offering,7.555555555555556
135,income tax effect,7.550581829749144
136,aggregate price,7.537904124860646
137,fund rate,7.532956685499059
138,fall winter,7.531309297912713
139,stock compensation expense,7.500255481233742
140,closure,7.499426111908177
141,fuel fee,7.497931796953928
142,waste project,7.49129746835443
143,professional fee,7.48896627971255
144,contract price,7.485181566520111
145,credit agreement contingent,7.480884613477464
146,financial assurance,7.47624238484553
147,effect adjustment,7.476190476190476
148,average balance,7.461111111111111
149,collection landfill gas,7.461079586788884
150,material debt bankruptcy,7.459638202684303
151,financial statement,7.456743594243594
152,credit performance bond,7.44186046511628
153,operating income,7.431469686246757
154,transfer,7.430769230769231
155,contract performance,7.426704990854455
156,higher disposal,7.421367649259314
157,administrative expense,7.415856365856366
158,credit facility,7.408961996596711
159,interest fee,7.408321609528545
160,renewal period,7.397022332506204
161,operating cost,7.386550836550837
162,environmental fee,7.385106630589743
163,income expense net,7.38486813964521
164,expense income net,7.38486813964521
165,maintenance plan,7.3730158730158735
166,derivative instrument,7.372294372294372
167,guarantor party thereto,7.367585428755643
168,fuel fee,7.357191056213187
169,operating expense,7.355250305250306
170,fuel fee,7.346760217210919
171,landfill site,7.332097649186257
172,fuel price,7.3308012660336495
173,closure,7.321593447505585
174,stockholders equity,7.318181818181818
175,term loan,7.311835577604535
176,increased cost,7.31036036036036
177,belief market participant,7.309523809523809
178,market level,7.308441558441558
179,deductible goodwill,7.304297328687572
180,committed capacity,7.303846153846154
181,year acquisitions,7.303375104427736
182,waste volume,7.27879746835443
183,exclusive arrangement,7.277777777777778
184,fuel expense,7.275803124078987
185,post closure liability,7.2729396594227635
186,stock,7.258413461538462
187,revenue,7.253333333333334
188,insurance policy,7.251395730706076
189,substantive process,7.25
190,financial statement,7.243300198017179
191,cash impairment,7.24292587137948
192,administrative expense,7.241517741517741
193,party trucking revenue,7.223191489361702
194,commodity price,7.217391304347826
195,related noncompliance,7.21328320802005
196,rate debt,7.213139961558623
197,balance sheet debt,7.209812905689194
198,principal amount,7.20017559262511
199,performance criterion,7.1951466127401424
200,notes,7.190307328605201
201,capital spending,7.190225563909774
202,midwest segment,7.188882580059051
203,environmental fee,7.18366128280293
204,operating expense,7.180911680911681
205,neutral market,7.1638182880514165
206,disposal cost,7.1575119817451105
207,revenue,7.150769230769231
208,quarter,7.149402409454532
209,asset impairment,7.14757273377963
210,recycling transfer station,7.140118824265166
211,collection frequency type,7.138341543513957
212,company,7.138248847926267
213,corporate purpose,7.137666255313313
214,impairment charge,7.129523809523809
215,financial assurance,7.129213771492633
216,adverse impact,7.126929674099486
217,accounting policy,7.1253561253561255
218,cash flow litigation,7.124092851329354
219,credit agreement,7.123741756334606
220,debt level,7.119577215453505
221,equipment,7.119047619047619
222,based compensation,7.112372122762149
223,related claim,7.108683473389355
224,common stock,7.1045673076923075
225,litigation claim,7.101070691434469
226,wa primarily attributable,7.0928187803187805
227,loans obligations,7.083333333333334
228,recycling facility,7.072985957132298
229,collection revenue,7.072627257799672
230,collection operation,7.065033272837266
231,revenue,7.059240506329114
232,equity plan,7.059163059163059
233,landfill retirement obligation,7.048331415420023
234,midwest segment,7.045574986751458
235,related benefit,7.045238095238096
236,administrative selling,7.042703247306829
237,cash flows,7.040674789128397
238,priority security interest,7.034638554216867
239,price yield,7.034464475079533
240,stock award,7.032169117647059
241,economic condition,7.030939648586707
242,operating expense,7.029740101168673
243,maintenance cost,7.0222651222651225
244,expense,7.020979020979022
245,midwest segment,7.014543955720427
246,control evaluation,7.0
247,period,6.999586435070306
248,earliest period,6.997983870967742
249,regional segment,6.996025437201908
250,interest rate,6.994882821415272
251,disposal cost,6.983173357406486
