,0,1
0,regulatory investigations,9.0
1,star holdings,9.0
2,integrated provider,9.0
3,request paper copies,9.0
4,titled categories,9.0
5,remedial measures,9.0
6,executive officer,9.0
7,measurement criteria,9.0
8,training classes,9.0
9,investment grade ratings,8.88888888888889
10,party engineering specialist,8.846153846153847
11,tax positions,8.844827586206897
12,statutory rate,8.7
13,base rate,8.7
14,libor base rate,8.7
15,container weights,8.586206896551724
16,leverage ratio,8.578947368421053
17,strike prices,8.55056179775281
18,bank,8.392857142857142
19,deutsche,8.392857142857142
20,displaced material,8.387096774193548
21,consolidated statements,8.346168085894114
22,bargaining agreements,8.333333333333334
23,integration strategy,8.333333333333332
24,sec disclosure requirements,8.320512820512821
25,tax benefits,8.301970443349754
26,fuel tax credits,8.287004456955195
27,financial statements,8.286943660077988
28,consumer price index,8.27710843373494
29,lower margins,8.276729559748428
30,libor rate,8.271428571428572
31,base index,8.238095238095237
32,holdings,8.23076923076923
33,waste systems,8.23076923076923
34,dilutive instruments,8.191244239631336
35,capital requirements,8.184149184149184
36,host community fees,8.167701863354036
37,assurance requirements,8.163441036575366
38,book income,8.131147540983607
39,national providers,8.125
40,inactive landfill permit,8.125
41,financial instruments,8.105601027122452
42,recycled commodities,8.083333333333334
43,financial resources,8.057213930348258
44,accounting policies,8.056666666666667
45,interest rate,8.002083333333333
46,goods,8.0
47,consolidated statement,7.991438356164384
48,accounting standards codification,7.973333333333333
49,stock purchase rights,7.962214641826292
50,gas infrastructure system,7.943589743589744
51,effect adjustment,7.936507936507937
52,impairment test,7.918095238095239
53,common stock,7.913228155339805
54,revenue stream,7.908196721311476
55,public offering,7.904273504273505
56,market prices,7.9035029742233975
57,financial statements,7.903382016242372
58,bank securities,7.892857142857142
59,assurance instruments,7.891315312836738
60,commodity futures contracts,7.88
61,guarantor party thereto,7.86888111888112
62,waste streams,7.867132867132867
63,waste volumes,7.867132867132867
64,cash flow,7.852408547627672
65,internal resources,7.833333333333334
66,derivative instruments,7.77226769378912
67,financial instruments,7.77226769378912
68,field support functions,7.769230769230769
69,foreign subsidiary,7.75
70,surety bonds,7.75
71,accepted methodologies,7.7272727272727275
72,balance sheet arrangements,7.7142857142857135
73,working capital,7.696969696969697
74,energy projects,7.690789473684211
75,exclusive contracts,7.666666666666666
76,derivative instruments,7.65723063418916
77,subsequent event,7.656540084388186
78,employee relocation,7.656338028169014
79,tax purposes,7.650085619313031
80,income taxes,7.645999026132122
81,accounting standards,7.639999999999999
82,financial performance,7.636579009713339
83,capital requirements,7.627545410564279
84,diesel fuel prices,7.626072001834442
85,shale volumes,7.6091716274846135
86,aggregate prices,7.607704654895666
87,market participants,7.602941176470589
88,brokerage business,7.589473684210526
89,business rationalization strategy,7.589473684210526
90,executive officer,7.571428571428571
91,waste projects,7.5465587044534415
92,credit suisse securities,7.541666666666666
93,financial statements,7.536943660077989
94,valuation allowance,7.533692722371968
95,financial information,7.527802165642377
96,financial assurance,7.516841259540805
97,operating margin,7.511595022624435
98,integrated operations,7.510729613733906
99,party thereto,7.507770007770008
100,term market strategy,7.498774509803922
101,interest rate caps,7.483564814814814
102,healthcare costs,7.467860272943533
103,commodity prices,7.459973562458691
104,average balances,7.450896226415094
105,funds rate,7.45
106,exclusive arrangements,7.444444444444445
107,fuel prices,7.436134894916202
108,stock awards,7.435728155339806
109,compensation structure,7.403030303030302
110,attorney general,7.389671361502348
111,fuel fee revenue,7.350373592059775
112,credit facility,7.341666666666666
113,basis,7.327604726100967
114,adverse effect,7.323604710701485
115,credit agreement contingent,7.3184523809523805
116,offsetting variances,7.309523809523809
117,deductible goodwill,7.300314128649961
118,insurance policy,7.2959340237821255
119,unsecured basis,7.292517006802722
120,collection activities,7.276190476190476
121,financial statements,7.259165882300211
122,renewal periods,7.253333333333334
123,class actions,7.25
124,debt levels,7.243396226415094
125,collection services operation,7.24110275689223
126,stock,7.235139920045688
127,stock awards,7.235139920045688
128,related benefits,7.233223171416101
129,cash flows,7.2315800090776134
130,higher disposal,7.225355731860084
131,tax assets,7.220895962275272
132,committed capacity,7.207142857142857
133,landfill gas control,7.201923076923077
134,disposal volumes,7.196392522444157
135,party trucking costs,7.195813710099424
136,common stock,7.192639920045687
137,derivative instruments,7.177317914384256
138,months,7.173333333333334
139,weather conditions,7.166666666666666
140,asset impairment,7.154999999999999
141,time party thereto,7.152214452214453
142,contract performance,7.150793650793651
143,financial assurance,7.147276042149501
144,accretion expense,7.133333333333333
145,accounting policies,7.128095238095238
146,revenues,7.1257861635220126
147,months,7.122051282051283
148,income taxes,7.114084132515101
149,financial statements,7.113866737001065
150,control evaluation,7.111111111111111
151,customer relationships,7.109375
152,capital spending,7.106493506493507
153,credit agreement,7.104166666666666
154,fuel costs,7.101899627775637
155,rate debt,7.1000000000000005
156,ubs securities,7.1
157,solid waste,7.090144230769231
158,party disposal facilities,7.088268518609471
159,material erisa,7.0809743252139565
160,cash flow activity,7.078823641967294
161,fuel fees,7.05327496051743
162,asset impairments,7.046428571428571
163,performance stock awards,7.035093234704885
164,impairment charges,7.031153039832285
165,fuel expense,7.018906430496726
166,priority security interest,7.0163690476190474
167,cash flow,7.011062393781518
168,stock options,7.01081587463805
169,company,7.007984031936127
170,adverse impact,7.001775673276117
171,densely populated urban,7.0
172,based awards,6.992765192376844
173,increased costs,6.992406844885488
174,fuel fees,6.984878734102336
175,landfill retirement obligations,6.982142857142858
176,solid waste,6.980769230769231
177,fuel fees,6.978299786733915
178,tax rate,6.97816091954023
179,assets,6.962606837606837
180,performance criteria,6.959365079365079
181,equipment,6.956284153005464
182,stock units,6.955728155339806
183,landfill site,6.941976127320955
184,general management,6.937693960372404
185,recycling revenue,6.937608486017358
186,performance obligation,6.932511932511932
187,earliest period,6.927446102819237
188,stock options,6.9218065867123535
189,rent,6.919145690312738
190,stock,6.910273609885261
191,cash impairment,6.90253841775754
192,collection equipment,6.8991412958626075
193,waste slide,6.897435897435898
194,cash balances,6.889132494412594
195,party trucking revenue,6.887683900798655
196,severance expense,6.884867075664621
197,facilitating highly efficient,6.883333333333334
198,fund capital expenditures,6.881027667984189
199,environmental fees,6.877365550029219
200,december31,6.867028782916633
201,revenue,6.865643529822114
202,management information systems,6.851944167497508
203,balance sheet debt,6.847619047619047
204,cash purchase price,6.843276195121824
205,maintenance plan,6.839912280701754
206,salaries expenses,6.836931534232884
207,lenders party thereto,6.829407434670593
208,valuation allowances,6.819407008086253
209,price yield,6.8143564617805135
210,recurring nature,6.794871794871795
211,collection operations,6.786920089924382
212,cash flow,6.7809799761991005
213,cost,6.780361757105943
214,disposal costs,6.776355416692764
215,income tax effects,6.775975127190503
216,collection revenue,6.770594094053676
217,professional services,6.764912280701754
218,corporate purposes,6.762631734462721
219,permit lapse,6.7622641509433965
220,stock compensation expense,6.745425125036775
221,insurance recoveries,6.739065532168981
222,shale volumes,6.730872353978106
223,company indebtedness,6.725932749884846
224,cost categories,6.722222222222222
225,interest,6.715126811594203
226,lease investment,6.703907203907203
227,september30,6.70310391363023
228,aggregate consideration,6.699999999999999
229,year divestitures,6.689334799340296
230,stock options,6.679431859043509
231,term time frames,6.679166666666667
232,operating costs,6.67498037676609
233,environmental fees,6.666158653477494
234,recycling facilities,6.661340811269074
235,based compensation,6.64912882874048
236,interest rates,6.646812678062678
237,midwest segment,6.643447601052703
238,stock options,6.642394822006471
239,actuarial development,6.637566137566138
240,months,6.634992458521872
241,cash flows,6.631580009077613
242,cash expenditures,6.631215017231686
243,collection revenue,6.6277834239170454
244,days sales,6.627626050420168
245,redemption prices,6.627484874675886
246,related revenue,6.627481903738877
247,salaries expenses,6.625724637681159
248,multiemployer pension plan,6.625
249,acquisition activity,6.604288657558014
250,term service agreements,6.596813725490197
251,company,6.596636514205631
252,repairs expense,6.590507971820541
253,economic conditions,6.580147551978538
254,operating expenses,6.577799536466584
255,principal amount,6.575532900834105
256,disposal costs,6.56514852014104
257,mandatory prepayments,6.565096952908587
258,revenue,6.55935951200915
259,franchise fees,6.554854641131815
260,eleven quarters,6.5476190476190474
261,cases,6.545682102628286
262,year period,6.544558679937311
263,environmental fees,6.542692395808783
264,readily calculated based,6.537037037037037
265,acquisition spending,6.53452380952381
266,balance sheet date,6.534105534105533
267,fair values,6.532165508909695
268,hedge accounting,6.528888888888889
269,stock incentive plan,6.517394822006472
270,notes thereto,6.512693827911219
271,operating expenses,6.509378483835005
272,operating results,6.499233556298774
273,environmental fee,6.498456790123457
