,0,1
0,objectworld communications corporation,9.0
1,plant osp enclosure,9.0
2,unintended application,8.714285714285715
3,implementation issue,8.7
4,scholes model,8.666666666666666
5,subsequent redesign,8.666666666666666
6,prompt delivery,8.666666666666666
7,edge development,8.616438356164384
8,month,8.514761476147616
9,subscriber density,8.5
10,month,8.48663101604278
11,line card application,8.464285714285715
12,retrospective approach,8.435897435897436
13,individual user,8.375205254515599
14,exchange rate,8.353896103896105
15,month,8.322377622377623
16,wa,8.2985347985348
17,actual experience,8.287878787878789
18,cable mso industry,8.285714285714285
19,dilutive option,8.274725274725274
20,current ratio,8.255555555555556
21,dilution,8.241935483870968
22,global provider,8.222222222222223
23,current plan,8.190740740740742
24,earlier application,8.18796992481203
25,quick ratio,8.180555555555555
26,master netting arrangement,8.153846153846153
27,issued asus,8.125
28,technology,8.11111111111111
29,balance sheet arrangements,8.080988917306053
30,cable operator,8.066666666666666
31,public filing,8.062893081761006
32,term investment,8.04749612803304
33,financial institution,8.032894736842106
34,short term,8.030262373285629
35,step impairment test,8.015610545790935
36,term liquidity,8.009822121713302
37,unforeseen problem,8.0
38,royalty payment,7.984848484848485
39,fasb issued asu,7.976190476190476
40,technical corrections,7.976190476190476
41,subsequent events,7.9743589743589745
42,nsn bba business,7.972602739726027
43,accounting pronouncements,7.9393939393939394
44,quantitative information,7.9375
45,compensation plan,7.93121693121693
46,cost saving,7.917808219178082
47,key information,7.916666666666666
48,current asset,7.909677419354839
49,june,7.909597523219814
50,immaterial misstatement,7.907216494845361
51,regulation,7.888888888888889
52,product offering,7.873493975903615
53,generation,7.866666666666666
54,balance sheets,7.854901960784314
55,identified factor,7.853658536585366
56,document,7.838709677419355
57,succeeding generation,7.835978835978835
58,data voice,7.816666666666666
59,term investment,7.814937988498157
60,growing momentum,7.807017543859649
61,cash flows,7.791666666666666
62,related expense,7.7890442890442895
63,bargain purchase gain,7.767714884696017
64,exchange rate,7.762987012987013
65,cloud computing arrangement,7.753846153846153
66,march accounts,7.745344129554656
67,term cash,7.738595706618963
68,comprehensive income,7.730042016806722
69,tax income,7.72252321981424
70,derivative instrument,7.699999999999999
71,currency exchange rate,7.687229437229438
72,balance sheet,7.6809889173060535
73,inventory method,7.655392156862744
74,gross margin,7.653755868544602
75,similar security,7.651515151515151
76,quoted price,7.647727272727273
77,equity fund,7.636899498968464
78,investment gain,7.634675615212529
79,exercise price,7.62987012987013
80,exercise price,7.62987012987013
81,level values,7.625
82,rework cost,7.617808219178082
83,realized gain,7.615151515151515
84,financial statement,7.600691347011597
85,research,7.598256537982566
86,financial statements,7.583875128998969
87,general management,7.58294930875576
88,income gain,7.56813725490196
89,loss position,7.565826330532213
90,gross margin,7.559236947791165
91,specific project,7.551837270341208
92,annual report,7.551480051480052
93,adopt asu,7.5476190476190474
94,rate borrowing,7.535714285714286
95,currency transaction,7.528138528138528
96,expediting cost,7.506043513295729
97,undesignated hedges,7.502262443438914
98,product development enhancement,7.489932332067998
99,investment option tenure,7.47606755660447
100,european customer,7.468503937007874
101,interest rate,7.452256759633809
102,investment basis,7.449981120354693
103,market opportunity,7.44088669950739
104,gross margin,7.440476190476191
105,accounting policy,7.4393939393939394
106,market price,7.427899686520377
107,inventory topic,7.424999999999999
108,party transaction,7.421280473912053
109,services,7.419354838709678
110,higher cost,7.417808219178082
111,reasonable term,7.417582417582418
112,business plan,7.413343480466768
113,comprehensive income,7.396708683473388
114,management,7.39247311827957
115,stock option,7.388361638361638
116,stock option,7.388361638361638
117,account,7.385416666666666
118,early adoption,7.378446115288221
119,benefit partially offset,7.375874125874126
120,quality rating,7.35
121,software license element,7.348214285714286
122,retrospective adoption,7.340659340659341
123,cost basis,7.33886085075703
124,development tax credit,7.323205273457616
125,money market fund,7.3192749778956685
126,identification method,7.313725490196079
127,wa previously recorded,7.2905982905982905
128,product generation,7.280901383311022
129,carrier market,7.280172413793103
130,development expense,7.2751796149056425
131,option holder,7.274725274725275
132,tax benefit,7.267206477732793
133,customer network installation,7.256965475469412
134,subtopic customer,7.25421822272216
135,msan fiber,7.25
136,net income,7.235282390468149
137,greater research,7.231818181818182
138,customer devices category,7.229373502225265
139,accounting transaction,7.225108225108225
140,year beginning,7.212033152211294
141,core product,7.206827309236949
142,core product,7.206827309236948
143,financial statement,7.200691347011597
144,retained earnings,7.191244239631336
145,dividend payment,7.188733488733488
146,access technology,7.186111111111112
147,assets goodwill,7.168939393939395
148,customer device solution,7.168503937007874
149,implementation guidance,7.1678030303030305
150,based compensation,7.155303030303029
151,tax asset,7.154539574743309
152,payment term,7.134032634032634
153,income net,7.133550788736547
154,supplier purchases,7.1313131313131315
155,arrangement asu,7.13003663003663
156,financial position,7.120886455268606
157,gross margin,7.116666666666667
158,market share,7.108219008775183
159,additional fund,7.104453441295547
160,warranty expense,7.1033300033300035
161,financial statement,7.100691347011597
162,topic inventory,7.091666666666667
163,income tax,7.09094427244582
164,loan,7.083333333333334
165,net asset,7.063186191284664
166,product development effort,7.061360903496569
167,investment portfolio,7.061070788666525
168,asset information,7.059677419354839
169,balance sheet asu,7.057179393496529
170,intangible asset,7.053616813294232
171,minimal risk,7.051282051282052
172,tax effect,7.044378917695931
173,contractual period,7.0376512774540565
174,price,7.022727272727273
175,individual security,7.02076802507837
176,gain loss,7.015032679738562
177,network installation service,7.0110048910626945
178,unmarketable inventory,7.008333333333333
179,equivalent investment,6.99300894854586
180,credit rating,6.985714285714286
