,0,1
0,subscriber density,9.0
1,transfer mode,9.0
2,line card applications,8.818181818181818
3,implementation issues,8.8
4,key personnel,8.75
5,prompt delivery,8.666666666666666
6,exchange rates,8.639751552795031
7,line terminals,8.607655502392344
8,unintended application,8.555555555555555
9,provisioning platforms,8.482142857142858
10,retrospective approach,8.435897435897436
11,edge development,8.428571428571429
12,development initiatives,8.428571428571429
13,warranty accruals,8.42
14,individual users,8.375205254515599
15,objectworld communications corporation,8.363636363636363
16,pension benefit plan,8.361344537815127
17,accounting pronouncements,8.326923076923077
18,accounting policies,8.326923076923077
19,service providers,8.315476190476192
20,netting arrangements,8.291666666666666
21,network units,8.289473684210526
22,product offerings,8.28
23,exchange rates,8.223084886128365
24,currency exchange rates,8.195307108350587
25,fi access points,8.18888888888889
26,implementation expenses,8.144827586206896
27,step impairment test,8.124721293199553
28,rework costs,8.114634146341462
29,global provider,8.083333333333334
30,equipment repair/replacement plans,8.083333333333334
31,carrier ethernet routers,8.066666666666666
32,current plans,8.0525956284153
33,investment option tenures,8.041666666666666
34,earlier application,8.029239766081872
35,unforeseen problems,8.0
36,damages,8.0
37,communication service providers,7.982142857142858
38,currency transactions,7.980994152046784
39,generation,7.979619565217391
40,balance sheets,7.9666259666259664
41,cloud computing arrangement,7.938461538461539
42,cable operators,7.933333333333334
43,security master files,7.926829268292683
44,technology,7.923076923076923
45,regulations,7.888888888888889
46,stock option exercises,7.872023809523809
47,financial institutions,7.871428571428572
48,specific projects,7.849388379204893
49,compensation plans,7.84264705882353
50,key information,7.838235294117647
51,customer devices categories,7.834972714696722
52,accounts,7.81203007518797
53,bargain purchase gain,7.805555555555555
54,prior service cost/credit,7.802142857142857
55,option holders,7.791666666666666
56,including actively monitoring,7.7846153846153845
57,quoted prices,7.78125
58,cost savings,7.778523489932886
59,cable mso industry,7.75
60,actual experience,7.7486631016042775
61,derivative instruments,7.744736842105263
62,current plan,7.7413211186113795
63,product generation,7.739490740740741
64,financial statements,7.734331797235024
65,networking edge,7.712550607287449
66,balance sheet,7.705756401408575
67,voice,7.6894409937888195
68,communications service providers,7.679112554112555
69,related expenses,7.678160919540231
70,service access nodes,7.671031746031746
71,nsn bba business,7.670103092783505
72,business gateways,7.670103092783505
73,accounting transactions,7.669028340080971
74,managed services,7.663043478260869
75,minimal risk,7.631578947368421
76,generations,7.585978835978835
77,party transactions,7.575438596491228
78,reasonable terms,7.571428571428571
79,payment terms,7.5701754385964914
80,annual report,7.5574324324324325
81,similar securities,7.552083333333334
82,royalty payments,7.55072463768116
83,dividend payment,7.526268628560649
84,expediting costs,7.50286944045911
85,performance obligations,7.494152046783626
86,market prices,7.493551587301587
87,revenue shift,7.454010695187165
88,optical products,7.443885448916408
89,gross margins,7.440476190476191
90,stock units,7.422462406015038
91,service period,7.415476190476191
92,access technologies,7.406280193236715
93,exercise prices,7.40625
94,financial statements,7.404661467564694
95,equity funds,7.399887183008779
96,materials planning,7.396103896103896
97,inventory method,7.382596013612057
98,physical impacts,7.379310344827586
99,investment basis,7.36604774535809
100,customer devices solutions,7.356711845131503
101,development tax credit,7.352107868236899
102,factors,7.350574712643679
103,cash flow hedges,7.345220825274017
104,balance sheet arrangements,7.327093397745571
105,identification method,7.313725490196079
106,market opportunities,7.30952380952381
107,credit rating activity,7.291129032258064
108,product development efforts,7.279999999999999
109,payment accounting,7.2780508964719495
110,business exposures,7.270103092783506
111,generation technologies,7.2561413043478264
112,retrospective adoption,7.249850924269529
113,credit rating,7.236641852770886
114,financial statements,7.234331797235024
115,money market funds,7.227842127842128
116,employee compensation,7.19894787183166
117,gross margin,7.194444444444445
118,performance stock units,7.1856203007518795
119,domestic operations,7.175257731958763
120,warranty obligations,7.158888888888889
121,software platforms,7.15546218487395
122,customer devices,7.154665809325877
123,stock options,7.1535278745644595
124,future cost,7.128523489932886
125,gross margin,7.122659176029963
126,development expenses,7.093399014778324
127,projects,7.083333333333334
128,implementation guidance,7.0777777777777775
129,contractual period,7.076190476190476
130,european subsidiary,7.071428571428571
131,cost basis,7.066985028394424
132,tax effects,7.056530214424951
133,loans,7.041666666666668
134,benefit plan,7.028011204481793
135,psu awards,7.023809523809524
136,compensation retirement benefits,7.022408963585434
137,impairment charges,7.018803418803419
138,software license element,7.018099547511312
139,tax assets,7.016416416416416
140,return adjustment,7.0
141,compensation stock compensation,6.982317927170868
142,amp,6.975638371290545
143,business plans,6.972698721198807
144,government bonds,6.971025641025641
145,technical support,6.969187675070028
146,individual security,6.968701189474949
147,product failure rates,6.967370600414078
148,core products,6.96210407239819
149,core products,6.96210407239819
150,product development activities,6.958571428571428
151,compensation arrangements,6.956932773109244
152,product warranty returns,6.949999999999999
153,early adoption,6.930494841755552
154,computer hardware,6.8996732026143786
155,intangible assets,6.894906444906445
156,interest rate,6.875324675324676
157,impairment test,6.868768912247173
158,tax benefits,6.867724867724867
159,net accounts,6.8574846206425155
160,product failures,6.851428571428571
161,european customers,6.838028169014084
162,greater research,6.816666666666666
163,time division,6.81038961038961
164,months,6.802083333333333
165,enterprise networks division,6.796703296703297
166,communications networks,6.792207792207793
167,customer order patterns,6.76605504587156
168,retained earnings,6.764006791171478
169,market share,6.762626262626262
170,intangibles,6.7625
171,restricted stock,6.755795739348372
172,cash dividend,6.75396553038969
173,customer devices products,6.750254044619995
174,implementation guidance,6.7444444444444445
175,sufficient inventory,6.735537190082645
176,loss position,6.735294117647058
177,product cost reductions,6.725190156599552
178,pension liability,6.715151515151515
179,balance sheet classification,6.702093397745572
180,manufacturing costs,6.697967479674796
181,months,6.6960227272727275
182,financial performance,6.690977443609023
183,activities dividends,6.681034482758621
184,financial performance,6.6766917293233075
185,net assets,6.6711302211302215
186,fiscal years,6.662400502723084
187,financial information,6.659663865546218
188,compensation expense,6.601960784313726
189,administrative expenses,6.596553888780657
190,stock repurchase program,6.596194246929541
191,stock,6.589129072681704
192,unmarketable inventory,6.568870523415978
193,product selling prices,6.5676059322033895
194,aggregation systems,6.565570904004197
195,network solutions,6.539393055150277
196,benefit cost,6.538263749673146
197,income tax,6.536806993328732
198,current assets,6.519937970757644
199,investment gains,6.5
200,reportable segments,6.489237800383312
201,stock options,6.486861207897793
202,stock options,6.486861207897793
203,carrier systems products,6.4754643962848295
204,warranty expense,6.4709803921568625
205,investment portfolio,6.470797720797721
206,financial statements,6.464061526964753
207,product categories,6.463574879227053
208,unit volume,6.453634085213032
209,reporting period,6.421321321321321
210,tax rate,6.407407407407407
211,revenue bond,6.402941176470589
212,development expenses,6.384510125889436
213,cash flows,6.382978723404255
214,cash flows,6.382978723404255
215,compensation expense,6.382913165266107
216,periods,6.345878136200717
217,net income,6.341520798042538
218,research,6.340065681444991
219,administrative expenses,6.326309067688378
220,ont products,6.321078431372549
221,selling prices,6.320939265536723
222,stock options,6.3201945412311265
223,backlog levels,6.3109243697479
224,stock,6.306183336247596
225,dividend income interest,6.303746744139451
226,derivative instruments,6.300292397660819
227,lease assets,6.294723294723294
228,environmental regulations,6.281746031746032
229,liabilities,6.243697478991597
230,broadband access products,6.243300653594771
231,future periods,6.233720930232558
232,revenue components,6.208123249299719
233,network installation services,6.2065217391304355
234,information,6.196930946291561
235,hedging instruments,6.1912698412698415
236,amount,6.180147058823529
237,employment disputes,6.1692307692307695
238,products,6.1686974789915965
239,based products,6.16281512605042
240,additional funds,6.158084400189663
241,price,6.156247707095165
242,quality rating,6.154901960784313
243,purchase discounts,6.138888888888888
244,inventory reserves,6.124426078971533
245,principal amount,6.113782051282051
246,income tax expense,6.087787385485595
247,significant research,6.082438192668372
248,comprehensive income,6.080379978078188
249,amp,6.068131868131868
250,assets goodwill,6.063954063954064
251,asset information,6.063235294117647
252,income tax contingencies,6.0368069933287325
253,services network management,6.016702014846235
254,intrinsic values,6.0
255,management,5.984610917537747
256,corporate purposes,5.97108843537415
257,interim periods,5.947406082289803
258,market purchases,5.923508483853311
259,software,5.921176470588235
260,service access node,5.921031746031746
261,capital resources liquidity,5.910991636798088
262,capital adjustments,5.903361344537815
263,economic fit,5.896825396825397
264,cash dividends,5.895573489850819
265,market inputs,5.887301587301587
266,sales information,5.874257572234788
267,operating results,5.857761953318468
268,legacy product sales,5.813057851239669
269,revenue recognition requirements,5.8
270,securities markets,5.76875
271,liquidity,5.761589817183503
272,market price,5.747907647907648
273,service cost component,5.742147828557224
274,significant expenditures,5.737060041407867
275,selling prices,5.732050376647834
276,forward contracts,5.7303030303030305
277,enterprise networks sales,5.719371537553356
278,cash equivalents,5.698409974834135
279,inventory levels,5.697441951987406
280,economic conditions,5.692517006802721
281,hdsl product sales,5.6900631988332515
282,adverse effect,5.684523809523809
283,exchange rates,5.6397515527950315
284,product sales,5.631239669421487
285,notes thereto,5.6101190476190474
286,valuation allowance,5.549206349206349
287,net income,5.547513307405833
288,issued asus,5.541666666666667
289,impairment losses,5.516405580235368
290,support amounts,5.412559618441971
291,income investments,5.323769076836957
292,service providers,5.315476190476191
293,significant estimates,5.313899868247694
294,option holders,5.291666666666666
295,installation services revenues,5.277950310559007
296,thousand rsus,5.270053475935828
297,derivative transactions,5.2368421052631575
298,equity investments,5.2360545860063
299,generations,5.157407407407407
300,significant impact,5.108327192336035
301,customer devices,5.0958422799141125
302,worldwide financial,5.085714285714285
303,foreign subsidiary,5.083333333333334
304,credit rating,5.082795698924731
305,prior generation,5.03875
306,balance sheet,5.035426731078905
307,consolidated statements,5.033232896136122
308,product categories,5.019130434782609
309,development efforts,5.0
310,materially modified,4.996503496503497
311,costs,4.914634146341463
312,complete obligations,4.888888888888889
313,restricted funds,4.882645803698435
314,step,4.875
315,customer projects,4.849388379204893
316,carrier systems,4.821052631578947
317,undesignated hedges,4.818181818181818
318,accounts,4.81203007518797
319,warranty obligations,4.808888888888889
320,prices,4.78125
321,development expenses,4.773399014778325
322,intangibles,4.7625
323,intangibles,4.7625
324,network solutions,4.760869565217391
325,derivative instruments,4.744736842105263
326,implementation guidance,4.7444444444444445
327,financial statements,4.734331797235023
328,test equipment,4.733695652173913
329,service provider,4.732142857142858
330,administrative expenses,4.715197956577267
331,latin america,4.714285714285714
332,product development,4.708571428571428
333,loans,4.708333333333334
334,financing activity,4.708333333333334
335,dividend payments,4.701262272089762
336,total systems,4.680311890838206
337,development activities,4.678571428571429
338,money options,4.673170731707318
339,warranty returns,4.67
340,full retrospective,4.666666666666666
341,based compensation,4.665266106442577
342,tax,4.657407407407407
343,historical experience,4.654545454545454
344,interest rates,4.6397515527950315
345,investment principal,4.634615384615385
346,assets,4.6256756756756765
347,key components,4.607142857142858
