,0,1
0,elderly chronically ill,9.0
1,downers,9.0
2,wall street journal,9.0
3,errand mile,9.0
4,improper referral,8.91304347826087
5,asc topic,8.784188034188034
6,topic details,8.784188034188034
7,asc topic investments,8.784188034188034
8,commercial bancorp,8.772727272727273
9,care organization,8.728953771289538
10,forma information,8.714285714285715
11,personal care,8.684509326845093
12,accelerated method,8.661971830985916
13,asc topic,8.659188034188034
14,community care supervisor,8.657689403473446
15,start,8.579710144927535
16,reporting unit,8.532467532467532
17,system resubmission,8.502645502645503
18,leasing corporation,8.5
19,collection contracting marketing,8.473684210526315
20,balance sheets,8.392872117400419
21,tax gain,8.344186046511627
22,months,8.33811274833999
23,historical trend,8.321078431372548
24,workers compensation program,8.315416666666668
25,worker compensation program,8.315416666666668
26,trained manager,8.3
27,lived assets,8.284843205574912
28,consolidated statements,8.263492063492063
29,service,8.248548364254354
30,affirmative covenant,8.239804964539006
31,automated alert,8.2
32,labor union severance,8.2
33,treasury stock method,8.185227644939404
34,months,8.184498940357251
35,care expenditure,8.177564882400649
36,month,8.17232327465578
37,debt issuance costs,8.165007857517026
38,care program,8.14228710462287
39,worker compensation liability,8.133306962025316
40,scholes model,8.1
41,forma compliance,8.1
42,phone application,8.1
43,bargaining agreement,8.094972067039105
44,labor agreement,8.094972067039105
45,guaranty agreement,8.094972067039105
46,care service,8.06862532394969
47,unique client,8.057142857142857
48,months,8.049145405003715
49,insurance carrier,8.04033290653009
50,senior indebtedness,8.034996276991809
51,debt expense,8.02532966511716
52,care service,8.020014212838579
53,month,8.018709466673041
54,forma disclosure,8.017241379310345
55,asc topic accounting,8.014957264957264
56,care payors,8.012287104622871
57,service relationship,8.01143081191941
58,total indebtedness,8.007628524046435
59,community care program,8.004356070140112
60,financial reporting,8.002209595959595
61,developed software,8.0
62,legal proceedings,8.0
63,permitted acquisitions,8.0
64,revenue,7.983957219251337
65,relationship trade,7.9298784950958865
66,finite lived intangible,7.895013123359579
67,asc topic goodwill,7.885750534188034
68,month,7.883355931319505
69,health insurance coverage,7.880508859609268
70,health insurance reimbursement,7.880508859609268
71,leverage ratio,7.8774062816616
72,government,7.8760683760683765
73,consolidated statement,7.874119241192412
74,damage fee,7.852941176470589
75,social services,7.851648351648352
76,receivable balance,7.840626254516259
77,period balances,7.83030303030303
78,line method,7.824587571726656
79,potential loss,7.8225108225108215
80,lived asset,7.821428571428571
81,administrative proceeding,7.810204081632653
82,administrative proceeding,7.810204081632653
83,balance sheet arrangements,7.807951482479784
84,balance sheet guarantee,7.807951482479784
