,0,1
0,wall street journal,9.0
1,carve outs,9.0
2,trained managers,9.0
3,improper referrals,9.0
4,irreparable harm,9.0
5,errand miles,9.0
6,care organization,8.807881773399014
7,care organizations,8.769420234937476
8,affirmative covenants,8.74
9,leasing corporation,8.714285714285715
10,reporting unit,8.561904761904762
11,forma information,8.526315789473685
12,community care supervisors,8.504851470368711
13,commercial bancorp,8.46808510638298
14,september30,8.32464609580597
15,developed software,8.3125
16,months,8.294905291975576
17,tax positions,8.29
18,mileage reimbursement,8.277777777777779
19,care programs,8.26071196207826
20,months,8.225496398589065
21,phone applications,8.222222222222221
22,automated alerts,8.2
23,trinomial model,8.155172413793103
24,priority security interest,8.137755102040817
25,historical trends,8.088235294117649
26,balance sheets,8.087470449172576
27,consolidated statements,8.077822503354419
28,unique clients,8.068965517241379
29,financial covenants,8.060388349514563
30,collection rates,8.055555555555555
31,service revenues,8.030938950731294
32,forma disclosures,8.020408163265305
33,care expenditures,8.014230979748222
34,health care agencies,7.958675424192665
35,financial reporting,7.948959778085992
36,qualifying services,7.942455242966751
37,receivable balance,7.938905775075988
38,office personnel,7.9375
39,adult day care,7.92983299291121
40,leverage ratio,7.922491039426523
41,health insurance coverage,7.921072796934865
42,service duplication,7.912669683257919
43,administrative proceedings,7.906467661691542
44,administrative proceedings,7.906467661691542
45,billing conversions,7.887096774193548
46,floating rate,7.881720430107526
47,care payors,7.8713738368910775
48,community care program,7.847708613225855
49,bargaining agreements,7.833333333333333
50,debt expense,7.827884615384615
51,actuarial analysis,7.806666666666667
52,potential losses,7.802806389013285
53,text messages,7.800000000000001
54,insurance carriers,7.766935681095623
55,home care division,7.742028114862429
56,credit commitment,7.739737045630317
57,financial covenants,7.727055016181229
58,tax consequences,7.71948717948718
59,interest rates,7.693310657596372
60,healthcare continuum,7.668859649122807
61,capital expenditures,7.666666666666667
62,forma compliance,7.666666666666667
63,workers compensation liability,7.664246467817897
64,consolidated statement,7.664116662682286
65,workers compensation program,7.660164835164835
66,accumulated earnings,7.645962732919255
67,borrowing rate,7.642504743833017
68,qualitative analysis,7.640000000000001
69,forfeiture rate,7.632478005865103
70,payments,7.626106194690266
71,homecare corporation,7.626050420168068
72,shore sellers,7.6126623376623375
73,care services,7.599198300009659
74,agency heads,7.589285714285714
75,waiver programs,7.587158546888201
76,insurance recoveries,7.582908545727136
77,care treatment,7.569786535303777
78,predominately dual eligible,7.555555555555555
79,primarily credits,7.548543689320388
80,home care aide,7.542028114862429
81,personal care,7.518651004168245
82,thereto,7.518518518518519
83,doubtful accounts,7.51731671791552
84,care services,7.517293538104897
85,client eligibility issues,7.5048076923076925
86,floating libor,7.496762257169287
87,substantial doubt,7.49624060150376
88,method,7.487420042643922
89,interest rate,7.48614219881501
90,interest rate,7.48614219881501
91,interest rate,7.48614219881501
92,employee incentive program,7.481746031746033
93,care quality,7.474548440065681
94,debt balance,7.466303377473591
95,insurance recoveries,7.46551724137931
96,social services,7.457983193277311
97,opportunities,7.454545454545455
98,governmental agencies,7.443720595560967
99,consumer outcomes,7.428571428571429
100,stock awards,7.416173986486486
101,accounting standards codification,7.414893617021277
102,care model,7.407498631636562
103,unit factors,7.405042016806722
104,income tax consequences,7.403453815261044
105,claims experience,7.402941176470588
106,unit level,7.400614439324117
107,financial statements,7.398210852868981
108,expected volatility,7.392618040873855
109,reimbursement rates,7.388888888888889
110,increases,7.38865836791148
111,ongoing progress,7.383333333333333
112,collection efforts,7.352941176470588
113,billings,7.348614072494669
114,priority home healthcare,7.3446726572528895
115,home care aides,7.34202811486243
116,labor agreements,7.333333333333333
117,debt issuance costs,7.3311033793792415
118,limits,7.324886877828054
119,treasury stock method,7.3028218283582085
120,expiring november2,7.296403712296984
121,billable census,7.295096716149348
122,tax asset,7.288768472906404
123,indemnification reserve,7.266666666666667
124,care business,7.253839220207525
125,total indebtedness,7.246275586418506
126,based group,7.242890442890442
127,healthcare services,7.239938080495357
128,net accounts,7.2366385241938485
129,revolving loans,7.233917748917749
130,service costs,7.2255994005994015
131,accelerated methods,7.21917502787068
132,addus healthcare,7.20562435500516
133,accounts,7.202580553179356
134,cash flows,7.194602272727273
135,business segment,7.1826241134751765
136,unit goodwill,7.181307746979389
137,base rate,7.173387096774193
138,tax assets,7.1725247079964065
139,health insurance reimbursements,7.171072796934865
140,adverse effect,7.166666666666668
141,payroll information,7.16173245614035
142,health care entities,7.160873226390468
143,quantitative method,7.160603615827496
144,term loans,7.157782515991471
