,0,1
0,french enterprise,9.0
1,hereditary angioedema,8.866666666666667
2,combination attribution,8.636363636363637
3,single digit,8.592592592592592
4,owned subsidiary,8.545454545454545
5,tax authority,8.416666666666666
6,retinoschisis xlrs,8.4
7,additional funding,8.25561497326203
8,deemed definite lived,8.225
9,deprecation charge,8.222222222222221
10,irrevocable license,8.158371040723981
11,debt financing,8.153333333333334
12,combination service,8.149606299212598
13,vegf program,8.148148148148149
14,accounting pronouncement,8.13888888888889
15,consolidated statements,8.13797372584084
16,sustained expression,8.11111111111111
17,fa cns,8.095238095238095
18,average period,8.086206896551724
19,traded security,8.077777777777778
20,lived assets,8.053571428571429
21,utility parking maintenance,8.035714285714285
22,cash flows,8.032758620689656
23,incremental expense,8.011027359017309
24,webster professor,8.0
25,visual outcome,8.0
26,patient enrollment,8.0
27,upfront payment,7.998427672955975
28,annapurna therapeutics,7.986301369863014
29,line basis,7.974025974025974
30,continuing pre clinical,7.972527472527473
31,ticker symbol,7.972222222222222
32,efficacy,7.972222222222222
33,research,7.967625899280575
34,research committee,7.967625899280575
35,professional fee,7.961598224195338
36,balance sheet arrangements,7.948275862068965
37,business combinations,7.925
38,unrealized loss,7.909090909090909
39,durable efficacy,7.904761904761905
40,proceeding reorganization,7.888888888888889
41,technical corrections,7.883720930232558
42,additional billing,7.876383951244286
43,accounting policy,7.861111111111112
44,month,7.856682769726248
45,substantial expenditure,7.855555555555555
46,average assumption,7.842105263157895
47,service fee,7.828851582231466
48,additional funding,7.811170528817587
49,weill cornell,7.785714285714286
50,clinical material,7.78021978021978
51,financial instrument,7.775028121484814
52,preferred stock,7.7659176029962556
53,stock warrant,7.7659176029962556
54,approval promotion,7.762422360248447
55,additional personnel,7.757575757575758
56,term investments,7.75531914893617
57,administrative expense,7.748401096391046
58,month,7.729275362318841
59,rise,7.729166666666667
60,month,7.7098814229249015
61,development expenses,7.698412698412698
62,adequate funding,7.6900790166813
63,regulatory authority,7.686231884057971
64,insurance policy,7.67912565398599
65,filing prosecuting defending,7.678571428571429
66,projection,7.677777777777778
67,drug application ind,7.677777777777778
68,drug ind application,7.677777777777777
69,stock par,7.672968885047537
70,common stock,7.672968885047537
71,review committee,7.666666666666667
72,dilutive security,7.663636363636363
73,single digit,7.651416122004357
74,maintenance fee,7.637578616352202
75,administrative expense,7.630754037567517
76,dr crystal,7.629787234042553
77,basis,7.6103896103896105
78,park california,7.6
79,cash flow,7.596394984326019
80,month pursuant,7.590301003344481
81,forma result,7.585714285714285
82,money,7.580952380952381
83,ind meeting,7.5777777777777775
84,financial officer,7.577225923682616
85,public offering,7.575882352941177
86,court approval,7.574675324675324
87,discount commission,7.571428571428571
88,consolidated statement,7.556341072779617
89,preclinical study,7.547348484848484
90,operating officer,7.526223776223776
91,initial payment,7.5071996027805366
92,investor relation cost,7.504761904761905
93,development timeline,7.504273504273504
94,volatility,7.5
95,plaintiff,7.499145299145299
96,financial interest,7.4979718444285375
97,product quantity,7.496309963099631
98,net cash,7.493723532970357
99,fraction amount,7.488636363636363
100,program,7.481481481481482
101,licensed product,7.4717197991652045
102,retinal disease,7.469924812030075
103,wa publicly announced,7.467792680907435
104,lived asset,7.465490797546012
105,initial indication,7.461111111111111
106,equipment net,7.459135643988018
107,teen percentage,7.458823529411765
108,legal proceedings,7.446666666666667
109,licensed patent,7.4361941497910635
110,commercial supply,7.435028248587571
111,legal proceedings,7.427272727272728
112,employee,7.425
113,license fee,7.420949657076183
114,weighted average fair,7.396153846153846
115,annapurna therapeutics,7.386301369863014
116,money market fund,7.386225266362253
117,security bid,7.383333333333333
118,fa systemic expired,7.38095238095238
119,accounting policies,7.3788888888888895
120,substantial expense,7.372138470128419
121,tax service rent,7.3718285214348205
122,average number,7.37037037037037
123,equipment,7.369467028003614
124,equipment,7.369467028003614
125,toxicology study,7.365530303030303
126,exchange ratio holders,7.359090909090909
127,exchange commission sec,7.359090909090909
128,clinical study,7.338057775557775
129,worldwide license,7.32760180995475
130,additional infrastructure,7.324242424242423
131,anti vegf,7.319148936170213
132,facility allocation,7.302836052836053
133,net loss,7.295055821371611
134,net loss,7.295055821371611
135,annual period,7.294540229885058
136,transfert inserm,7.276190476190476
137,drug development,7.271746031746032
138,cash flows cash,7.26551724137931
139,regulatory approval,7.262422360248447
140,stock offering,7.2584666226040975
141,intellectual property,7.245270605926343
142,comprehensive loss,7.242424242424242
143,preclinical study,7.241792929292929
144,net sale,7.234704408079022
145,remaining advance,7.233686917389907
146,development expense,7.230681887495367
147,early application,7.227519379844962
148,financial statement,7.225378410854294
149,market development,7.22352685366384
150,product candidate,7.202192316040808
151,price allocation,7.18848347419776
152,interest expense,7.186906259756545
153,development service,7.18135233095863
154,development service budget,7.18135233095863
155,gene therapy trial,7.1719280560271645
156,lawsuit assert claim,7.166666666666667
157,termination fee,7.164093767867352
158,written notice,7.160233918128656
159,intellectual property,7.155335630195966
160,financial information,7.152725349629804
161,cash charge,7.146011258802629
162,revenue recognition,7.143262411347518
163,result overview,7.141269841269841
164,research fee,7.137780273208534
165,officer insurance premium,7.135531135531137
166,subtopic disclosure,7.11888111888112
167,accounting policy,7.101111111111112
168,future payment,7.100843131893173
169,capital stock,7.099250936329588
170,management,7.097288676236046
171,capital stock,7.092448215241152
172,material production,7.085470085470085
173,drug administration,7.081871345029239
174,original award,7.0649350649350655
175,contingent payment,7.051457975986278
176,acquisition cash equivalents,7.035575522098106
177,asu defines,7.033327229445157
178,purchase price,7.033083318797604
179,retrospective approach,7.033026755852843
180,period,7.032873563218391
181,leasing activity,7.029347826086957
182,year license,7.026984179410112
183,additional fund,7.018686868686869
184,overview summary,7.013123359580052
185,common stock,7.0063022183808705
186,interest income,6.997668997668997
187,acquisition,6.984635083226633
188,current liability,6.961038961038961
189,sale import export,6.959850606909431
190,preclinical proof,6.956277056277056
191,written claim,6.941666666666666
192,consulting audit,6.923076923076923
193,stock refer,6.922968885047537
194,commercialization,6.921683097427989
195,milestone payment,6.92105112766868
196,market demand,6.919053549190536
197,term nature,6.9132138857782754
198,master service agreement,6.909382835525447
199,fasb issued asu,6.907530454042082
200,clinical trial,6.905915630422209
201,undivided interest,6.903453136011276
202,manufacturing activity,6.90187529861443
203,conditional advance,6.900353584056574
204,impairment charge,6.895708778463851
205,considered indefinite lived,6.889285714285714
206,income expense net,6.882035006340745
207,preclinical study,6.880681818181818
208,securities act,6.868070953436806
209,manufacturing facility,6.862179487179487
210,global market,6.858447488584475
211,nervous system,6.857142857142857
212,retrospective approach,6.850961538461538
213,common share,6.850010283833813
214,price consideration,6.845049130763416
215,early adoption,6.843912822467912
216,early adoption,6.843912822467912
217,preferred share,6.841768525592055
218,exchange act,6.840798226164079
219,gene therapy product,6.840113019126796
220,therapeutic material,6.822843822843823
221,liability,6.817927170868347
222,tax authority,6.816666666666666
223,november regeneron,6.807560137457045
224,company,6.804834300409522
225,research period,6.8038327958322995
226,administrative expenses,6.798484848484848
227,inserm transfert,6.797871774408087
228,allergy program,6.794346978557504
229,identifiable asset,6.792871749926965
230,clinical trial,6.79195682035356
231,financial information,6.791931553248581
232,cornell,6.791403286978508
233,written notice,6.79078947368421
234,agreement,6.787554314090627
235,trial annapurna,6.786953842390487
236,amortization expense,6.785391108241393
237,license agreement,6.784814243703497
238,stock plans,6.765917602996255
239,securities exchange act,6.757649667405765
240,regenxbio,6.755689001264223
241,preclinical trial,6.751569976076555
242,marketable security,6.747742733457019
243,research period,6.746140488139992
244,accounting pronouncements,6.738888888888889
245,cornell university,6.736263736263736
246,development expense,6.733803806654091
247,expense impairment,6.730857236741922
248,research agreement,6.727402435593424
249,price,6.716931216931217
250,annapurna option,6.71689497716895
251,balance sheet date,6.698275862068965
252,substantive option,6.6948793215916504
253,sell product,6.691962137012674
254,net cash,6.691894264677673
255,lease agreement,6.688347964884278
256,aav vector,6.687500000000001
257,rare disease,6.677631578947368
258,early adoption,6.677246155801245
259,product candidate,6.6747197885682805
260,related expense,6.66284208863355
261,party service provider,6.649606299212598
262,biopharmaceutical company,6.648546144121365
263,price,6.643518518518518
264,million partially offset,6.638190595387091
265,based approach,6.637676344305868
266,milestone payment,6.637271182587723
267,equity interest,6.636363636363637
268,comprehensive loss,6.627899102759438
269,milestone fee,6.627313417626263
270,retrospective approach,6.625
271,gene therapy,6.613033825257935
272,milestone regeneron,6.5947087318345545
273,contract manufacturing organization,6.592171717171717
274,gene vector development,6.591557859703021
275,related expense,6.590946663796949
276,cash cash,6.5905172413793105
277,goodwill impairment,6.588358918128654
278,net property,6.580347765200139
279,fa program,6.576719576719578
280,milestone payment,6.568909600666817
281,development milestone payment,6.567322299079516
282,quarterly amount,6.564547294810453
283,material breach,6.547692307692308
284,year,6.545861815934808
285,intangible assets,6.5357142857142865
286,significant agreements,6.526833855799373
287,indemnification obligation,6.51865749426725
288,gene therapy expertise,6.5104697226938315
289,internal research,6.489603921258597
290,agreement,6.487485452746276
291,continued research,6.482777414432091
292,million wa received,6.480089218511924
293,reporting period,6.47635841170324
294,annapurna option,6.46689497716895
295,commercialization milestone payment,6.460949401661843
296,administrative expense,6.448401096391046
297,product basis,6.445745773191178
298,stockholder defendant,6.444444444444445
299,genetic disease,6.442543859649122
300,aggregate amount,6.438636363636363
301,lease obligation,6.433797909407666
302,early adoption,6.427246155801245
303,additional share,6.427065371603186
304,invoice regeneron quarterly,6.42294475284166
305,estimated liability,6.422360248447204
306,goodwill,6.418180128391121
307,recognize million ratably,6.415501519756839
308,research term,6.415252740524438
309,cornell university,6.414872798434443
310,december,6.413057583130575
311,year,6.413057583130575
312,product revenue,6.410160609741267
313,administration treatment,6.407797270955165
314,generate revenue,6.405154994467723
315,stock option,6.403562492353473
316,government agency security,6.3999999999999995
317,reporting company,6.393389536023581
318,sale price,6.385776532835356
319,remaining million allocated,6.379787234042553
320,market data,6.379280821917808
321,disease indication,6.370731473492474
322,milestone payment,6.3631624742300374
323,sufficient fund,6.343589743589744
324,recurring adjustment,6.340067340067341
325,year beginning,6.334192848831059
326,indication indications,6.330158730158731
327,impairment wa recorded,6.322511268741999
328,licensed product,6.320459294963524
329,development expense research,6.315954845599471
330,operating expense,6.31203746002741
331,based compensation,6.309035347606536
332,federal action,6.305092186128182
333,product candidate,6.303887231295045
334,clinical trial,6.300652472527473
335,alpha antitrypsin deficiency,6.295238095238095
336,increased cost,6.29187675070028
337,asset goodwill,6.27575865468887
338,development ipr amp,6.270634920634921
339,purchase price,6.2696523053665905
340,annapurna options,6.2613013698630136
341,obligation table,6.255226480836237
342,quarter,6.254358974358974
343,based award,6.253479792050981
344,million post,6.2524522402692035
345,deferred revenue,6.231141199226305
346,security liquidity,6.221212121212121
347,standard update,6.208037825059101
348,employee,6.206747445949157
349,stock option,6.206656137838422
350,license agreement,6.203861862751117
351,allergy license agreement,6.195925354814609
352,advm study,6.192693236714976
353,banque publique,6.1875
354,million wa excluded,6.181462216223594
355,reporting period,6.179789784252259
356,net asset,6.178836662207667
357,common stock,6.178657886311759
358,interim period,6.171884645912338
359,effective date,6.169117647058823
360,license agreement regenxbio,6.168147577036831
361,management,6.165907557354926
362,stock option award,6.163177876968858
363,stock option,6.163177876968858
364,development activity,6.15752242926156
365,future payment,6.156398687448728
366,period,6.152873563218391
367,development stage milestone,6.152227959456875
368,goodwill,6.151539112615823
369,intangible asset,6.1500146070698225
370,stock option,6.149479246831871
371,company,6.146939563567416
372,net proceeds,6.140752146323255
373,separation agreement,6.138347964884277
374,development program,6.132275132275133
375,ava,6.116666666666667
376,stock option,6.102571816362797
377,asu revenue,6.099710614307349
378,director,6.097727272727273
379,term investment,6.097424412094065
380,business entity,6.095168067226891
381,purchase approximately million,6.094248880770209
382,biotechnologies,6.08994708994709
383,credit loss,6.075757575757575
384,february regeneron,6.074226804123711
385,ava,6.061227024341779
386,clinical trial,6.058716988656505
387,service,6.0510486069049065
388,company,6.045524166099387
389,advance payment,6.035321377806335
390,warrant,6.033333333333333
391,regulatory goal,6.031103678929766
392,exclusivity obligation editas,6.025482344375683
393,treatment option,6.019482496194825
394,revenue recognition process,6.018262411347518
395,acquisition valuation,6.0113404934936865
396,product candidate,6.002192316040808
397,patent term,5.988830735388933
398,sale security,5.969635018186379
399,agreement annapurna,5.965590101297814
400,product basis,5.956637306988618
401,effective maturity,5.955882352941177
402,litigation,5.9523809523809526
403,revenue recognition requirement,5.950954719039825
404,effective date,5.93048128342246
405,party cornell university,5.928571428571429
