,0,1
0,impair,9.650382978723403
1,color blindness,9.0
2,french enterprises,9.0
3,choroidal neovascularization,9.0
4,patient enrollment,9.0
5,2a study,8.833333333333332
6,2a trial,8.773809523809524
7,trial,8.773809523809524
8,sustained expression,8.7
9,estate taxes,8.6
10,sh,8.407407407407408
11,clinical materials,8.376470588235295
12,macular degeneration,8.295566502463053
13,interest rates,8.272727272727273
14,executive officer,8.255952380952381
15,nervous system,8.23076923076923
16,service fees,8.209677419354838
17,financial officer,8.200757575757576
18,editing technology,8.192307692307693
19,therapeutic benefit,8.17142857142857
20,officer insurance premiums,8.147727272727273
21,accounting pronouncements,8.134146341463415
22,review committee,8.11111111111111
23,operating officer,8.089285714285715
24,additional funding,8.083216783216784
25,tax authorities,8.0625
26,market developments,8.042307692307691
27,product quantities,8.026178010471204
28,webster professor,8.0
29,accounting policies,7.977896341463415
30,unrealized losses,7.96875
31,transactions,7.964285714285714
32,research committee,7.887417218543046
33,toxicology lot production,7.875
34,administrative expense,7.874482758620689
35,substantial expenditures,7.855555555555555
36,tax positions,7.848214285714286
37,therapeutic targets,7.821428571428571
38,regulatory approval,7.811494252873564
39,additional billings,7.787874194770747
40,deprecation charges,7.775
41,visual outcomes,7.75
42,money market funds,7.7270903010033445
43,research,7.72075055187638
44,therapeutic material,7.699633699633699
45,consolidated statements,7.690301802503766
46,dilutive securities,7.684531590413943
47,deemed definite lived,7.654545454545454
48,traded securities,7.651851851851852
49,additional funding,7.6387723387723385
50,research budget,7.637417218543046
51,incremental expenses,7.625602409638555
52,investor relations,7.62202380952381
53,upfront payment,7.6089743589743595
54,financial instruments,7.603535353535354
55,owned subsidiary,7.6
56,additional funding,7.583216783216783
57,annapurna therapeutics,7.572811447811448
58,written notice,7.569444444444445
59,public offering,7.551818181818182
60,retinal diseases,7.535714285714286
61,preclinical data,7.534869976359339
62,production system,7.532786885245901
63,original award,7.511904761904763
64,administrative expense,7.506061705989111
65,consolidated statement,7.495558672276765
66,preclinical studies,7.494271685761047
67,regulatory approval,7.47816091954023
68,clinical trials,7.468666128544042
69,professional fees,7.464912280701755
70,preferred stock,7.463917525773196
71,cash flows,7.439075630252101
72,rise,7.434782608695652
73,fa cns,7.4298245614035086
74,programs,7.424242424242424
75,insurance policies,7.412043775190328
76,worldwide license,7.403049203049203
77,basis,7.3896103896103895
78,price allocation,7.384500745156483
79,income tax consequences,7.380681818181818
80,initial indication,7.375
81,projections,7.360160965794769
82,written notice,7.345000000000001
83,licensed products,7.343867272368161
84,financial statements,7.3386400234226326
85,facilities allocation,7.338636363636363
86,stock warrants,7.330584192439862
87,common stock,7.327012763868434
88,additional infrastructure,7.325641025641025
89,development timelines,7.320257570483815
90,regulatory approvals,7.2972085385878485
91,intellectual property,7.294485058829322
92,global market,7.292307692307692
93,master service agreement,7.279256707380728
94,initial payments,7.277665317139002
95,claims,7.272058823529411
96,financial interest,7.265151515151516
97,additional funds,7.260423634336679
98,obligations tables,7.25
99,price consideration,7.246670833133022
100,accounting policies,7.240191423430628
101,valuation model,7.238095238095238
102,commercial supply,7.226694915254237
103,fraction amount,7.21969696969697
104,product candidates,7.21565169468173
105,net loss,7.211695906432748
106,net loss,7.211695906432748
107,maintenance fees,7.208333333333334
108,substantial expenses,7.20615796519411
109,net losses,7.190972222222222
110,house manufacturing expertise,7.190058479532164
111,net sales,7.187739463601533
112,stockholder defendants,7.182539682539682
113,contract research,7.18153486560187
114,clinical studies,7.1666803784450845
115,toxicology studies,7.16520979020979
116,annual period,7.154069767441861
117,court approval,7.148484848484848
118,patent applications,7.138888888888888
119,pricing model,7.126984126984127
120,cash charge,7.121546894619917
121,patent rights,7.119509043927648
122,durable efficacy,7.1190476190476195
123,cash flow models,7.117647058823529
124,equity interests,7.115942028985508
125,fa systemic expired,7.11164274322169
126,development expense,7.109848688237632
127,license fee,7.10945945945946
128,maintenance fee,7.108333333333334
129,interest expense,7.102776533811016
130,milestone payments,7.092110538137525
131,contingent payments,7.085081585081586
132,party service providers,7.069677419354838
133,intellectual property,7.065461397357949
134,material production,7.056776556776557
135,research,7.054083885209714
136,leasing activities,7.053431372549019
137,additional personnel,7.0446886446886445
138,financial information,7.039380764163373
139,market demand,7.01958041958042
140,capital stock,7.009372071227741
141,compensation expense,6.9915120681090155
142,preclinical studies,6.969271685761047
143,milestone payments,6.967972607103042
144,event,6.966666666666667
145,contribution savings plan,6.962686567164179
146,allergy programs,6.95933014354067
147,balance sheet arrangements,6.957635467980295
148,color vision deficiency,6.955882352941177
149,employees,6.953125
150,substantive options,6.944278606965174
151,stock offering,6.932402374258044
152,impairment charge,6.929272970124746
153,balance sheet date,6.928877298045655
154,development expenses,6.927722725220409
155,identifiable assets,6.924151478773328
156,clinical trials,6.9135519279482125
157,written claim,6.910714285714286
158,interest rate yields,6.909090909090909
159,single digits,6.901086956521739
160,milestone payments,6.898238950928708
161,accounting standards,6.884146341463415
162,annapurna therapeutics,6.880503755503756
163,research fees,6.879724910850738
164,preclinical trials,6.877506871627812
165,liability insurance policies,6.866477272727273
166,future payments,6.855921338548457
167,regulatory agreements,6.848450774612694
168,preclinical studies,6.827605019094381
169,development services budget,6.823786982248521
170,stock units,6.821493283348953
171,gene therapy expertise,6.804891015417331
172,capital stock,6.79725085910653
173,sublicense fees,6.788732394366197
174,termination fee,6.787096774193548
175,rare diseases,6.785087719298245
176,quarterly amounts,6.782848730217152
177,development expense,6.773836243332265
178,conditional advance,6.765079365079365
179,money,6.756521739130434
180,based compensation,6.75259581195138
181,commercialization,6.7484002326934265
182,net cash,6.74727668845316
183,clinical trials,6.740492159883984
184,development milestone payments,6.740331017922991
185,lived assets,6.726709822685056
186,current liabilities,6.717234262125903
187,cash charges,6.713213561286584
188,preclinical proof,6.711854103343466
189,manufacturing facilities,6.703947368421053
190,common shares,6.692155067155067
191,milestone fees,6.6865357643758765
192,intangible assets,6.67257448433919
193,early adoption,6.669083826152258
194,early adoption,6.669083826152258
195,common stock,6.660346097201767
196,gene therapies program,6.654898785425101
197,separation agreements,6.646480331262939
198,amortization expense,6.644864075898559
199,patent rights,6.644099207862075
200,milestone payments,6.635253713093825
201,retrospective approach,6.618181818181818
202,early application,6.610377358490567
203,sales price,6.610157846675653
204,performance obligations,6.608722358722359
205,compensation expenses,6.60763171912688
206,product candidates,6.592122282917025
207,property rights,6.583848383266988
208,research period,6.583153652651573
209,financial information,6.5813240782206295
210,accounting pronouncements,6.578590785907859
211,preferred shares,6.57769370884125
212,lease agreement,6.56957928802589
213,cash flows cash,6.556722689075631
214,term a1at expression,6.55
215,manufacturing activities,6.533849329205367
216,additional shares,6.533488733488733
217,research period,6.525461344959266
218,biopharmaceutical company,6.524452234881682
219,interest income,6.51948051948052
220,commercialization milestone payments,6.518766257896694
221,research license fees,6.513543344669173
222,gene therapy products,6.513057012739955
223,retrospective approach,6.487500000000001
224,market data,6.486752136752137
225,early adoption,6.485750492818925
226,stage research programs,6.478326309452137
227,preclinical study,6.474483502929386
228,gene therapy,6.46301067353699
229,tax authorities,6.4625
230,research agreement,6.456996506568936
231,master services agreement,6.449579288025889
232,hereditary angioedema,6.444444444444445
233,reporting periods,6.417635658914729
234,license fees,6.414858520492324
235,purchase price,6.414803775459513
236,internal research,6.409395240521068
237,administrative expense,6.40478578892372
238,continued research,6.402568733694562
239,federal action,6.396480331262939
240,material breach,6.394871794871795
241,goodwill impairment,6.376949710904935
242,standard codification,6.366704480998298
243,development expense research,6.3656869594122565
244,consolidated complaint,6.364734299516908
245,fasb issued asu,6.3520564988290396
246,licensed product,6.336482460119917
247,recurring adjustments,6.328671328671329
248,amd program,6.3244444444444445
249,product candidates,6.317346609935967
250,product revenue,6.3162106902097666
251,aggregate amount,6.3077922077922075
252,stock options,6.304624704166942
253,product basis,6.304014927652384
254,contract manufacturing organization,6.301636444051304
255,cash flows,6.296218487394958
256,gene vectors development,6.287916536904391
257,reporting company,6.272715599424117
258,retrospective approach,6.261538461538462
259,invoice regeneron quarterly,6.253479853479854
260,intangible assets,6.238437193059042
261,disease indication,6.2265132408575035
262,acquisition,6.223529411764706
263,generate revenue,6.222236069569071
264,treatment options,6.222056384742952
265,stock options,6.216891784912283
266,forma results,6.214285714285714
267,equipment,6.214097496706192
268,equipment,6.214097496706192
269,drug development,6.206082064215734
270,product candidate,6.201178010471204
271,government agency securities,6.196296296296296
272,allergy license agreement,6.195705414152016
273,clinical trials,6.19290415466886
274,payment accounting,6.192574252350342
275,therapy programs,6.163636363636363
276,increased costs,6.158364661654135
277,net assets,6.146373700995549
278,development activities,6.13986541362107
279,reporting periods,6.121067031463748
280,fair values,6.119137149571932
281,development services,6.117904629307344
282,considered indefinite lived,6.113519813519813
283,related expenses,6.1128355787682755
284,stock options,6.108196132738369
285,transaction costs,6.0946736453201975
286,securities exchange act,6.091418247515809
287,interim periods,6.085677749360614
288,annapurna option,6.0672128259337565
289,remaining period,6.060022148394242
290,development programs,6.055104236422918
291,life,6.0549019607843135
292,business entities,6.030712530712531
293,management judgment,6.022901142573273
294,effective date,6.021241830065359
295,administrative expenses,6.0209054399415844
296,research terms,6.01075939360936
297,patent terms,6.00931731104145
298,regulatory goals,6.006366047745358
299,sell products,5.993190151911996
300,royalty payments,5.976923076923077
301,intangible assets,5.968029029793737
302,effective maturities,5.966666666666667
303,agreements university,5.9563944608492
304,estimated liability,5.95
305,fiscal years,5.947061191626409
306,year period,5.945736434108527
307,future payments,5.9434213385484576
308,licensed products,5.934031206794391
309,warrants,5.9
310,biotechnologies,5.898897058823529
311,operating expenses,5.895191154227299
312,assistance,5.874074074074074
313,significant judgments,5.858719784025718
314,credit losses,5.853365384615385
315,analysis,5.841463414634147
316,annapurna option,5.8172128259337565
317,rare diseases,5.816666666666666
318,annapurna options,5.807460425146992
319,aggregate stock,5.806012763868434
320,fair values,5.804851435286218
321,management,5.767083793399583
322,research activities,5.765848591092066
323,deferred revenue,5.752217553688142
324,expenses,5.730032478423356
325,sale securities,5.719247115968427
326,revenue recognition process,5.718253968253968
327,stock options,5.718044617586855
328,common stock,5.708607855892974
329,product sales,5.687347425763558
330,revenue recognition requirements,5.668803418803418
331,acquisition closing date,5.664002011060834
332,forma adjustments,5.660324749876989
333,financial assets,5.658072319837026
334,commercialization efforts,5.651503344373012
335,development expenses,5.649944947442631
336,operating results,5.646489104116223
337,lease obligations,5.6396103896103895
338,research costs,5.633472035818794
339,option exercise price,5.6071927818020075
340,rent expense,5.6050472747497215
341,development services unit,5.583786982248521
342,license agreement,5.552848271294874
343,stock options,5.5429787414340215
344,performance obligation,5.540540540540541
345,acquisition method,5.521022179363548
346,fair values,5.519137149571932
347,licensing revenue,5.511111111111111
348,fixed assets,5.510886172650879
349,fair values,5.504851435286218
350,financing arrangement,5.499351827845476
351,recorded revenue,5.49011111111111
352,marketable securities,5.483683683683683
353,acquisition activity,5.45102495543672
354,stock option plans,5.445091390667991
355,agreements regeneron,5.404013508468248
356,development costs,5.375888311152176
357,license agreement,5.362372080818683
358,stock option awards,5.343504089080689
359,financial liabilities,5.335933014354067
360,cornell,5.324452234881683
361,development milestones,5.290107328568867
362,deferred revenue,5.28015873015873
363,year performance period,5.266276974649068
364,executive officer,5.255952380952381
365,financing arrangement,5.227422003284072
366,earlier testing,5.171428571428572
367,significant estimates,5.166258496601359
368,services,5.166057692307692
369,early stage,5.160377358490566
370,balance sheet,5.157635467980295
371,company,5.155869997446986
372,written notice,5.125
373,ataxia license agreement,5.095705414152016
374,adequate funding,5.090909090909091
375,original award,5.083333333333334
376,option exercise period,5.077519379844961
377,incur substantial,5.055555555555555
378,consolidated complaint,5.053623188405797
379,termination costs,5.0424539170506915
380,purchase price,5.020864381520119
381,regenxbio,5.016210476639925
382,consolidated statements,5.012882447665056
383,goodwill impairment analysis,5.010079792205748
384,sublicense fees,5.0
385,company stock issuance,4.9815670395664435
386,accounting policies,4.977896341463415
387,compensation expense,4.958725182863114
388,approvals,4.9523809523809526
389,preclinical proof,4.911854103343465
390,administrative expense,4.874482758620689
391,severe allergy,4.868421052631579
392,regulatory authorities,4.844827586206897
393,professional fees,4.833333333333334
394,ceased conducting,4.833333333333334
395,licensed patent,4.830145719489982
396,consolidated statement,4.818139317438055
397,regulatory approval,4.811494252873564
398,clinical trials,4.808288770053476
399,interest expense,4.807210031347962
400,interest expense,4.807210031347962
401,public offering,4.801818181818182
402,increasing expenditures,4.8
403,milestone payments,4.79654403567447
404,intellectual property,4.769894894894895
405,fa cns,4.7631578947368425
406,adverse outcomes,4.75
407,owned subsidiaries,4.733333333333333
408,cash,4.7176470588235295
409,licensed technology,4.716897856242118
410,transactions,4.714285714285714
411,efficacy,4.714285714285714
412,combination service,4.709677419354838
413,therapy trials,4.704545454545455
414,therapeutic protein,4.696428571428571
415,gene therapy,4.69377990430622
416,activities,4.67843137254902
417,capital,4.666666666666667
418,accrued liabilities,4.6568264924606595
419,court approval,4.648484848484848
420,closing price,4.644640605296343
421,annual compensation,4.632575757575758
422,goodwill,4.628838335267783
423,material production,4.628205128205128
424,lawsuits,4.625
425,generally occurs,4.625
426,initial application,4.616666666666667
427,upfront payment,4.6089743589743595
428,stock price,4.605994028505436
429,financial instruments,4.603535353535353
430,charge equal,4.603070175438597
431,remains uncured,4.6
432,early adoption,4.585750492818924
433,financial statements,4.585016835016835
434,scientific meetings,4.583333333333334
435,manufacturing facilities,4.578947368421053
436,gene therapies,4.574898785425101
437,agent considerations,4.571428571428571
438,therapeutic levels,4.571428571428571
439,obligations,4.568181818181818
440,cash payments,4.566365007541478
441,tax position,4.5625
442,tax purposes,4.5625
443,company,4.560359570789019
444,publicly announced,4.555555555555555
445,substantial doubt,4.555555555555555
446,substantial damages,4.555555555555555
447,stock compensation,4.554826616682287
448,licensed product,4.550768174405631
449,fasb voted,4.535714285714286
450,clinical expenses,4.527072997873848
451,license fee,4.526126126126126
452,cash,4.525054466230937
453,service requirements,4.5173697270471465
454,funds,4.513729977116705
455,previously trading,4.5
456,final determination,4.5
457,minimum thresholds,4.5
458,scale production,4.5
459,united states,4.5
460,based approach,4.499453551912568
461,preclinical studies,4.494271685761047
462,product approval,4.492844677137871
463,administrative expenses,4.490602409638554
464,technology,4.487874194770747
465,development expense,4.4782697408692105
466,principally relating,4.475
467,losses,4.46875
468,credit losses,4.46875
469,based compensation,4.457029309488326
470,incur costs,4.455357142857142
471,options,4.452611940298508
472,related expenses,4.446168912101609
473,fa systemic,4.444976076555024
474,hereditary angioedema,4.444444444444445
475,tax services,4.4425
476,ongoing consideration,4.440092165898617
477,cash flows,4.439075630252101
478,accounting related,4.429712843926469
479,related stock,4.426150694902917
480,limited activity,4.425339366515837
481,rs1 gene,4.421052631578947
482,basis,4.41991341991342
483,cash charges,4.41764705882353
484,rare diseases,4.416666666666666
485,lower stock,4.4162984781541486
486,amounts,4.415584415584416
487,quarterly report,4.410256410256411
488,market activity,4.409954751131222
489,potentially revenue,4.407679738562091
490,exclusive license,4.403049203049203
491,product candidate,4.401178010471204
492,jointly owned,4.4
493,development payments,4.39250493096647
494,basis,4.3896103896103895
495,research fees,4.387417218543046
496,administration procedure,4.385964912280702
497,deferred taxes,4.385714285714286
498,separate recognition,4.375
499,initial indication,4.375
500,severe allergies,4.368421052631579
501,lived assets,4.358288770053476
502,benefits,4.35
503,amortization expense,4.349297573435504
504,regulatory functions,4.344827586206897
505,regulatory affairs,4.344827586206897
506,licensed products,4.343867272368161
507,fa program,4.3431578947368426
508,net cash,4.339869281045752
509,capital,4.333333333333334
510,remains outstanding,4.333333333333334
511,human primates,4.333333333333334
512,common stock,4.327012763868434
513,financial position,4.325757575757576
514,financial condition,4.325757575757576
515,clinical development,4.320257570483815
516,transaction price,4.319159836065573
517,securities,4.316296296296296
518,outstanding options,4.310945273631841
519,internal systems,4.3076923076923075
520,additional disclosures,4.307122507122507
521,complaint,4.3
522,restructuring charges,4.3
523,operating activities,4.292717086834735
524,market prices,4.292307692307692
525,market acceptance,4.292307692307692
526,market capitalization,4.292307692307692
527,securities,4.291418247515809
528,revenue,4.290032679738562
529,financial information,4.285757575757575
530,income approach,4.284848484848485
531,preclinical development,4.284212514163414
532,licensed patents,4.274590163934427
533,adverum biotechnologies,4.273897058823529
534,biotechnologies,4.273897058823529
535,insurance coverage,4.272727272727273
536,insurance carriers,4.272727272727273
537,undivided interest,4.272727272727273
538,therapy,4.272727272727273
539,expenses,4.270602409638554
540,separation agreements,4.265527950310559
541,significant influence,4.262295081967213
542,rent payments,4.261217948717949
543,average period,4.260022148394242
544,misleading statements,4.2592592592592595
545,related information,4.255566502463054
546,related costs,4.2509236453201975
547,stock offering,4.250584192439863
548,ophthalmic diseases,4.25
549,ophthalmologic diseases,4.25
550,contractual obligations,4.25
551,ocular diseases,4.25
552,diseases,4.25
553,wet amd,4.2444444444444445
554,additional collaboration,4.242307692307692
555,license,4.23482177830004
556,institutional stockholders,4.23015873015873
557,financial assets,4.229500891265597
558,potential license,4.227821041380364
559,avalanche biotechnologies,4.227678571428571
560,consideration,4.225806451612903
561,variable consideration,4.225806451612903
562,patents,4.225
563,net consists,4.222222222222222
564,impairment related,4.220939636791412
565,canceled prior,4.220000000000001
566,settled prior,4.220000000000001
567,intangible assets,4.218029029793736
568,product candidates,4.21565169468173
569,forma results,4.214285714285714
570,operating lease,4.214285714285714
571,net loss,4.211695906432748
572,annual periods,4.208333333333334
573,net property,4.208333333333334
574,annual tests,4.208333333333334
575,administration expenses,4.203233988585923
576,safety issues,4.2
577,assets,4.199309817971075
578,cash,4.196594427244582
579,concept data,4.194444444444445
580,data package,4.194444444444445
581,technology platforms,4.1923076923076925
582,net sales,4.187739463601533
583,entirety,4.186633039092055
584,losses,4.183035714285714
585,related research,4.182983721006101
586,judgments,4.1826923076923075
587,superior court,4.181818181818182
588,annapurna stockholder,4.1812770562770565
589,related services,4.175566502463054
590,record charges,4.175
591,aggregate intrinsic,4.171428571428571
592,aggregate balances,4.171428571428571
593,day notice,4.166666666666667
594,defendants,4.166666666666666
595,debt financings,4.166666666666666
596,internal medicine,4.15954415954416
597,manufacturing activities,4.157378740970072
598,period,4.155038759689923
599,concept studies,4.153846153846153
600,qualified expenses,4.150602409638554
601,travel expenses,4.150602409638554
602,marketable securities,4.15035035035035
603,patents,4.15
604,exercise price,4.149828440716736
605,exercise price,4.149828440716736
606,indefinite lived,4.146853146853147
607,ipr&amp,4.146382978723404
608,corporate bonds,4.142857142857142
609,cash,4.138055222088836
610,company,4.13159509202454
611,unrecognized stock,4.130584192439862
612,material respects,4.128205128205128
613,aggregate costs,4.126785714285714
614,license extends,4.126126126126126
615,irrevocable license,4.126126126126126
616,net assets,4.125965537730243
617,primary focus,4.125
618,primary reasons,4.125
619,commercial paper,4.125
620,option,4.124031007751938
621,interim reporting,4.121067031463748
622,patent rights,4.119509043927648
623,stage milestones,4.119047619047619
624,operating assets,4.118029029793735
625,cash equivalents,4.117647058823529
626,existing cash,4.117647058823529
627,cash receipts,4.117647058823529
628,additional indication,4.117307692307692
629,royalty term,4.116666666666667
630,revenue,4.115010946907499
631,revenue contract,4.113562091503268
632,related disclosures,4.110381317277869
633,stock options,4.10819613273837
634,planned levels,4.105263157894736
635,planned upgrade,4.105263157894736
636,personnel expenses,4.102983362019507
637,government grants,4.1
638,significant agreements,4.099251603706343
639,similar securities,4.0962962962962965
640,benchmark securities,4.0962962962962965
641,treasury securities,4.0962962962962965
642,agency securities,4.0962962962962965
643,development expenses,4.094389391887075
644,payment obligations,4.093822843822844
645,additional indications,4.092307692307692
646,interest income,4.090909090909091
647,exclusive rights,4.0908765652951695
648,options,4.086307592472421
649,retinal delivery,4.085714285714285
650,manufacturing processes,4.078947368421053
651,activities,4.078431372549019
652,payment,4.078272604588394
653,single injection,4.075
654,human patients,4.0701754385964914
655,current guidance,4.070135746606335
656,significant judgments,4.069987389659521
657,digit royalty,4.066666666666666
658,amounts,4.063424947145878
659,public company,4.0634132738427216
660,development activity,4.06143404107205
661,primarily related,4.053142260038812
662,drug administration,4.052631578947368
663,awards,4.05112205801861
664,current assets,4.050802139037433
665,lease term,4.05
666,liability,4.045566502463054
667,patents,4.045566502463054
668,effect,4.044444444444444
669,financing activities,4.04394861392833
670,net income,4.040404040404041
671,research expenses,4.038019628181601
672,sufficient funds,4.034782608695652
673,development programs,4.034696073157612
674,net decrease,4.02991452991453
675,related project,4.028899835796388
676,payment schedule,4.0256410256410255
677,development program,4.023786982248521
678,development activities,4.02221835479754
679,modified award,4.020833333333334
680,incurred prior,4.010697674418605
681,accrued expenses,4.007745266781411
682,annual report,4.003205128205129
683,vegf program,4.003076923076923
684,accounting identified,4.0008130081300814
685,menlo park,4.0
686,accumulated deficit,4.0
687,unmet medical,4.0
688,clause,4.0
689,significantly revises,4.0
690,temporarily impaired,4.0
691,prices,4.0
692,curves,4.0
693,prepayment spreads,4.0
694,northern district,4.0
695,purported class,4.0
696,san mateo,4.0
697,damages,4.0
698,insured retention,4.0
699,readily measurable,4.0
700,item,4.0
701,top,4.0
702,retinoschisis,4.0
703,strategic partnerships,4.0
704,discernible pattern,4.0
705,agree annually,4.0
706,profitable depends,4.0
707,laboratory supplies,4.0
708,highly uncertain,4.0
709,historical experience,4.0
710,readily apparent,4.0
711,larger scale,4.0
712,ticker symbol,4.0
713,commenced trading,4.0
714,people,4.0
715,combination attribution,4.0
716,informational purposes,4.0
717,anticipated synergies,4.0
718,achievable subsequent,4.0
719,collaboration targets,4.0
720,banque publique,4.0
721,laboratory space,4.0
722,office space,4.0
723,march2016,4.0
724,practical expedients,4.0
725,frequent injections,4.0
726,induce stable,4.0
727,technical corrections,4.0
728,chiron corporation,4.0
729,teen percentage,4.0
730,involuntary petition,4.0
731,office building,4.0
732,definitive documentation,4.0
733,positive control,4.0
734,leading crispr,4.0
735,exchange act,3.995121951219512
736,financial assistance,3.992424242424242
737,product sales,3.9916952518505147
738,advance payments,3.9915750915750916
739,comprehensive loss,3.9894736842105263
740,loss contingency,3.9894736842105263
741,stock plans,3.9877270495827197
742,genetic medicine,3.985185185185185
743,adverum,3.984313725490196
744,overhead expenses,3.9839357429718874
745,common stockholders,3.9821428571428577
746,common equity,3.9790372670807455
747,events,3.9782608695652173
748,product development,3.969964992719725
749,reporting unit,3.9693023255813955
750,increasing losses,3.96875
751,regulatory milestones,3.9638752052545154
752,license agreements,3.9630826478652565
753,savings plan,3.9626865671641793
754,annual basis,3.9615800865800868
755,historical information,3.96
756,current requirements,3.9547511312217196
757,patent claims,3.952614379084967
758,personnel,3.9523809523809526
759,specific personnel,3.9523809523809526
760,development,3.943786982248521
761,assay development,3.943786982248521
762,discontinue development,3.943786982248521
763,development initiatives,3.943786982248521
764,cornell informed,3.942857142857143
765,closing date,3.9404725992961285
766,action,3.938423645320197
767,research term,3.9374172185430463
768,hae program,3.9371428571428573
769,patients,3.936842105263158
770,manufacturing process,3.93609022556391
771,life,3.9327868852459016
772,foreseeable future,3.9322033898305087
773,future grants,3.9322033898305087
774,future periods,3.9322033898305087
775,future partners,3.9322033898305087
776,stock modifications,3.930584192439863
777,effective immediately,3.9285714285714284
778,impairment,3.925373134328358
779,2016 primarily relates,3.924242424242424
780,primarily relates,3.924242424242424
781,assets,3.9241514787733274
782,authoritative guidance,3.9230769230769234
783,vegf,3.9230769230769234
784,interim periods,3.9117647058823533
785,year license,3.906126126126126
786,identical assets,3.9037433155080214
787,similar assets,3.9037433155080214
788,single digits,3.9010869565217394
789,extension fee,3.9
790,shareholder notice,3.9
791,development costs,3.8991441251056633
792,future sales,3.8977206312098187
793,values,3.8962623951182307
794,financial liabilities,3.8959330143540667
795,sales organization,3.894088669950739
796,acquisition closing,3.892760180995475
797,based process,3.889929742388759
798,capital resources,3.8888888888888893
799,updated research,3.8874172185430464
800,research institutions,3.8874172185430464
801,stock awards,3.886139747995418
802,indemnification obligations,3.8829966329966332
803,operating facility,3.8809523809523814
804,executive officers,3.880952380952381
805,services,3.88
806,equity securities,3.87890499194847
807,future period,3.8779398239390357
808,full term,3.868181818181818
809,drug application,3.8666666666666667
810,wet age,3.861111111111111
811,revenue recognition,3.8611111111111107
812,business model,3.85971685971686
813,future adoption,3.8575765241588664
814,hae,3.857142857142857
815,related management,3.856172563069115
816,product revenue,3.845622454915649
817,alternative transaction,3.84375
818,partially offset,3.84
819,low single,3.8397058823529413
820,single unit,3.835
821,administered intravitreally,3.8333333333333335
822,research period,3.8331536526515735
823,outstanding shares,3.8290598290598292
824,efforts,3.8275862068965516
825,potential commercialization,3.82391713747646
826,business strategies,3.821621621621622
827,future research,3.8196206083735547
828,products,3.819277108433735
829,products,3.819277108433735
830,taxable income,3.8181818181818183
831,continuing decrease,3.8076923076923075
832,fair values,3.804851435286218
833,line basis,3.803246753246753
834,process development,3.8009298393913777
835,modification accounting,3.8008130081300813
836,accompanying notes,3.8
837,exchange ratio,3.8
838,exchange commission,3.8
839,periods,3.8
840,thereto,3.8
841,convertible notes,3.8
842,weill cornell,3.8
843,material breach,3.7948717948717947
844,average assumptions,3.7904761904761908
845,based awards,3.788342440801457
846,stockholders,3.7857142857142856
847,services,3.7847619047619045
848,year deferral,3.7800000000000002
849,calendar year,3.7800000000000002
850,product basis,3.7794247637179574
851,fiscal years,3.773148148148148
852,development efforts,3.7713731891450726
853,research services,3.7674172185430463
854,unobservable inputs,3.7666666666666666
855,conditional advance,3.765079365079365
856,low teens,3.764705882352941
857,proprietary vectors,3.7564102564102564
858,pretax basis,3.7532467532467533
859,respective fair,3.7514917514917516
860,lease liability,3.75
861,section,3.75
862,section,3.75
863,section,3.75
864,durable anti,3.75
865,collaboration partner,3.75
866,collaboration,3.75
867,costs,3.7460548172757475
868,purchase approximately 9,3.745454545454545
869,process research,3.7445600756859037
870,test goodwill,3.743243243243243
871,goodwill,3.743243243243243
872,additional time,3.7423076923076923
873,patients,3.736842105263158
874,cash milestones,3.7366946778711485
875,asu retains,3.734375
876,exclusive option,3.734287418008348
877,significant amount,3.7319920516641827
878,applicable period,3.7314507198228126
879,material effect,3.7282051282051283
880,financing arrangement,3.7274220032840724
881,year period,3.7257364341085273
882,actual acquisition,3.723529411764706
883,disclosures,3.7195767195767195
884,granted annapurna,3.718544137022398
885,terminate early,3.7183483729833195
886,current liabilities,3.7172342621259027
887,commercial sale,3.7151639344262293
888,single vector,3.715
889,leases,3.7142857142857144
890,evidence,3.7142857142857144
891,primarily due,3.7140974967061924
892,executive employees,3.709077380952381
893,potential effect,3.7016949152542376
894,generation,3.7
895,license agreement,3.695705414152016
