,0,1
0,money damage,9.0
1,flw dea,9.0
2,colombia,9.0
3,cautionary notice,9.0
4,surgery window,9.0
5,activation marker,9.0
6,visible swelling,9.0
7,mason,9.0
8,sequence peptide,9.0
9,biomarker test,9.0
10,bristol myers,9.0
11,anti pd antibody,8.875
12,medicines agency,8.8
13,bacterial vector,8.720930232558139
14,circulating serum,8.714285714285715
15,cavity pharynx,8.625
16,commercial success,8.625
17,retrospective approach,8.608695652173914
18,solid tumors,8.607142857142858
19,dose level,8.531512605042018
20,multiple function,8.515151515151516
21,control,8.5
22,reserved ruling,8.5
23,residual disease,8.5
24,lm technologytm,8.470930232558139
25,direct offering,8.458333333333334
26,lm llo,8.454263565891473
27,withholding tax,8.449350649350649
28,capital resource,8.444444444444445
29,feline lymphoma,8.419354838709678
30,cat certification procedure,8.4
31,dose escalation,8.397495631916133
32,months,8.388157894736842
33,allege count,8.384615384615385
34,dose level,8.34546609341411
35,cash flow,8.343023255813954
36,published literature,8.333333333333334
37,capital outlay,8.304093567251462
38,financial institution,8.3
39,months,8.286585365853659
40,control group,8.285714285714285
41,additional capital,8.285470085470084
42,disease progression,8.277777777777779
43,disease progression,8.277777777777779
44,profitability,8.25
45,investigational anti pd,8.243421052631579
46,cash position,8.237760097919217
47,preventative vaccine,8.228070175438598
48,occurrence rate,8.226651901070506
49,grade fatigue,8.210526315789474
50,escalation phase,8.175163398692812
51,balance sheets,8.172811059907835
52,tumor driver gene,8.166666666666666
53,retrospective approach,8.164251207729468
54,fever nausea,8.142857142857142
55,count,8.134615384615385
56,toxicity,8.125668449197862
57,obligation,8.117647058823529
58,committee membership,8.106382978723405
59,steering committee,8.106382978723405
60,intangible assets,8.09090909090909
61,year,8.077922077922079
62,disease control rate,8.055555555555555
63,month,8.04646510476819
64,spot mutation,8.043478260869566
65,common stock,8.042948038176034
66,oncology asco,8.042206966692092
67,anti tumor,8.041666666666666
68,significant cardiac hematological,8.027777777777779
69,track product,7.9875
70,oncology esmo,7.983277591973245
71,spot target,7.981818181818182
72,adverse events,7.968253968253968
73,cell immunity,7.96039603960396
74,cash flows,7.958407871198569
75,therapies cat,7.955555555555556
76,patented technology,7.947368421052632
77,month,7.944892575885007
