,0,1
0,cautionary notice,9.0
1,activation markers,9.0
2,visible swelling,9.0
3,retained interests,9.0
4,sequence peptides,9.0
5,biomarker test,9.0
6,cr,9.0
7,scientific officer,8.857142857142858
8,direct offering,8.833333333333334
9,medicines agency,8.8
10,circulating serum,8.777777777777779
11,withholding taxes,8.746268656716417
12,os status,8.6
13,preventative vaccines,8.523809523809524
14,multiple functions,8.513513513513514
15,control,8.5
16,reserved ruling,8.5
17,employee payroll taxes,8.449972360420123
18,conditional licensure,8.428571428571429
19,vice president,8.428571428571429
20,track product,8.41891891891892
21,security deposit,8.414285714285715
22,published literature,8.4
23,allege counts,8.384615384615385
24,operable refractory/recurrent disease,8.329113924050633
25,residual disease,8.329113924050633
26,financial institutions,8.324675324675326
27,financial officer,8.324675324675326
28,capital resources,8.3
29,marketing authorization application,8.3
30,side effects,8.285714285714285
31,control group,8.285714285714285
32,profitability,8.25
33,obligations,8.2389486260454
34,improved survival,8.217391304347826
35,occurrence rate,8.216763792821743
36,additional capital,8.214285714285715
37,bacterial vector,8.204081632653061
38,bank deposit accounts,8.2
39,health applications,8.19047619047619
40,capital outlays,8.188888888888888
41,executive officer,8.166666666666666
42,direct offerings,8.142857142857142
43,income tax,8.135261194029852
44,protein,8.125
45,enrichment claim,8.105263157894736
46,orphan drug designation,8.084745762711865
47,debt securities,8.070048309178745
48,protocol assessment,8.05982905982906
49,operating officer,8.058823529411764
50,balance sheets,8.05
51,disease control rate,8.017638514214568
52,patented technologies,8.0
53,tumor driver genes,8.0
54,tumor models,8.0
55,related symptoms,7.985994397759104
56,dose levels,7.969125902165196
57,cancer institute,7.955645161290322
58,steering committee,7.951219512195122
59,regulatory opportunities,7.95
60,multiple targets,7.942084942084942
61,service period,7.9411764705882355
62,osteosarcoma,7.931818181818182
63,losses,7.919512195121952
64,recurring accruals,7.914285714285715
65,related projects,7.902661064425771
66,conversion features,7.897435897435898
67,counts,7.884615384615385
68,cancer,7.876099706744868
69,balance sheets,7.873529411764707
70,footnotes thereto,7.819327731092438
71,accounting policies,7.814814814814815
72,expert committee,7.80836236933798
73,poor outcomes,7.800000000000001
74,recurrent/refractory cervical cancer,7.794281524926687
75,cervical cancer,7.794281524926687
76,accounting pronouncements,7.783950617283951
77,stock units,7.782258064516129
78,related symptoms,7.7637721755368805
79,lessees,7.753623188405797
80,lease rate,7.736143637782982
81,immune activation,7.733716475095785
82,unjust enrichment,7.723684210526316
83,expanded development,7.715789473684211
84,doubtful accounts,7.7
85,commercial success,7.7
86,net income,7.697761194029851
87,manufacturing responsibilities,7.6923076923076925
88,cash position,7.674107142857142
89,monoclonal antibody,7.666666666666667
90,multiple constructs,7.656370656370656
91,biologics license application,7.648837209302326
92,nol tax sales,7.6375
93,medicinal product,7.633204633204633
94,prostate cancer,7.626941457586618
95,damages,7.625
96,emerging markets,7.625
97,modification,7.617283950617285
98,interest rates,7.6159340659340655
99,vice president,7.595238095238095
100,patient dataset,7.588235294117647
101,sponsored trials,7.563172043010753
102,therapeutic partner,7.561904761904762
103,average number,7.560975609756097
104,disease progression,7.559883154819864
105,consumption,7.5588235294117645
106,competitive supply,7.555555555555555
107,accounting standards,7.547586980920315
108,product candidates,7.540942728442728
109,oncology group,7.523504273504273
110,related reactions,7.519327731092437
111,retrospective approach,7.510869565217391
112,month survival rate,7.5059158945117606
113,dose level,7.5
114,interest income,7.494647640916298
115,amounts previously accrued,7.491386735572782
116,prior chemo,7.472727272727273
117,performance obligations,7.470430107526882
118,performance obligations,7.470430107526882
119,common stock,7.462980956082394
120,conditional power,7.461538461538462
121,cervical cancer,7.4464554379701635
122,art manufacturing facility,7.4423076923076925
123,company shareholder,7.435114503816794
124,company,7.435114503816794
125,complete response,7.417460317460318
126,tumor targets,7.414285714285715
127,securities exchange act,7.406432748538012
128,cat certification procedure,7.4
129,response rate,7.3974134790528225
130,regulatory approvals,7.392857142857142
131,tolerated dose,7.388888888888889
132,damages,7.375
133,cash flows,7.364583333333333
134,retrospective approach,7.362060041407867
135,fusion protein,7.36082910321489
136,drug stability studies,7.360607831677383
137,scientific research,7.360498561840844
138,data,7.359937402190924
139,patent term extension,7.3527272727272734
140,product license request,7.339184699649817
141,liquid investments,7.336805555555555
142,stock options,7.3352850198851085
143,cash settlement provision,7.314583333333333
144,cancer immunotherapy agent,7.307389347336834
145,invasive stage,7.303921568627451
146,license fees,7.301614987080103
147,measurements defines fair,7.3
148,exercise prices,7.297435897435898
149,clinical trial,7.296108895599456
150,conversion prices,7.294871794871795
151,cancer programs,7.278152492668623
152,savings account balance,7.274358974358975
153,states department,7.271062271062271
154,conditional licensure,7.269480519480519
155,exclusive rights,7.269230769230769
156,exercise price,7.2518518518518515
157,significant losses,7.250376392652815
158,bevacizumab pre,7.25
159,papilloma virus,7.241379310344827
160,disease progression,7.22654982148653
161,previously treated metastatic,7.214650343682601
162,registrational opportunities,7.212820512820513
163,credit losses,7.21199339812947
164,adverse events,7.21110262286733
165,balance sheet arrangements,7.208333333333334
166,significant unmet medical,7.202192868859536
167,financial statements,7.201639850943847
168,front payment,7.195475113122172
169,risk factor,7.186325469812075
170,tumor model,7.181818181818182
171,american countries,7.180952380952381
172,operational costs,7.176452020202021
173,osteosarcoma specialists,7.173197492163009
174,additional claims,7.164285714285715
175,duty claim,7.157894736842105
176,potential applications,7.151866151866152
177,collaborations,7.151282051282051
178,prior period,7.141176470588236
179,risk mitigation measures,7.140255009107468
180,property rights,7.138461538461538
181,cancer society,7.135253456221198
182,safety profile,7.124053581828771
183,llo,7.115633074935401
184,line induction chemotherapy,7.113636363636363
185,cancer therapy,7.100486431131592
186,targeted therapies,7.095238095238095
187,risk,7.0945033751205395
188,specific performance,7.083333333333334
189,income tax expense,7.081927860696517
190,cell responses,7.073671497584542
191,compensation cost,7.071464483229189
192,impairment model,7.070707070707071
193,credit losses,7.069136255272327
194,product license application,7.067756128221244
195,clinical sites,7.052957680617256
196,determined fees,7.05
197,antibiotic treatment,7.0476190476190474
198,bevacizumab treatment,7.034632034632035
199,treatment interventions,7.030197444831591
200,clinical study,7.0282324058919805
201,cervical cancer,7.028047758692919
202,free survival,7.022695704588935
203,complete response,7.017460317460317
204,liability valuation,7.007936507936508
205,axalimogene filolisbac,7.007575757575758
206,regulatory incentives,7.003623188405797
207,significant revenues,6.989197530864198
208,notes thereto,6.988038277511962
209,general allegations,6.975065436010469
210,plaintiff,6.966666666666667
211,escalation phase,6.953759723422644
212,fully funded exclusively,6.952380952380952
213,promissory notes,6.94608023555392
214,trial programs,6.933826017187545
215,free survival,6.924351011307533
216,recommended combination,6.917721518987342
217,interest rates,6.917521367521368
218,upfront fees,6.917483660130719
219,stable disease,6.913240908177617
220,effect,6.906976744186046
221,taxes,6.889125799573561
222,tumor burden,6.888888888888889
223,therapeutic cancer,6.888680875576037
224,klebsiella lung infection,6.877192982456141
225,credit risk,6.869949615995058
226,operation support,6.86969696969697
227,osteosarcoma osteosarcoma,6.863636363636363
228,scholes model,6.848484848484848
229,treatment regimen,6.838095238095239
230,breast cancer,6.830645161290322
231,additional capital,6.829670329670329
232,corporate matters,6.8224043715847
233,treatment options,6.818003913894325
234,estimate,6.814285714285714
235,regulatory obligations,6.81100981767181
236,cervical cancer,6.794281524926687
237,epitope immunotherapies,6.787912436548224
238,repeat cycles,6.78108003108003
239,1b study,6.780682800345723
240,cell carcinoma,6.7700000000000005
241,capital management,6.768085106382978
242,tumor responses,6.754782608695653
243,biocon,6.754249815225425
244,adequate safety,6.753465346534653
245,project milestones,6.7479716024340775
246,survival time,6.741200828157351
247,drug controller general,6.740483467629898
248,development tax credits,6.736622807017545
249,salary,6.733516483516484
250,accounting standards,6.729405162738496
251,tumor response,6.70888888888889
252,compensation cost,6.696299188684975
253,quality trial,6.688206160037146
254,immune microenvironment,6.678160919540231
255,financial information,6.677616501145913
256,axalimogene filolisbac,6.674242424242424
257,anal cancer,6.6735023041474655
258,past employees,6.661616161616161
259,development program,6.659406494960806
260,performance bonus,6.642857142857142
261,communication,6.631372549019607
262,reporting date,6.629032258064516
263,clinical data,6.624899452707285
264,clinical activities,6.623723122072352
265,share settlement,6.6069767441860465
266,significant investments,6.59782848324515
267,revenue arrangements,6.594270833333333
268,adverse effect,6.594047619047619
269,development programs,6.593277462702742
270,patent costs,6.578643578643579
271,fda feedback,6.575581395348838
272,related expense,6.573686705451411
273,treatment regimen,6.561904761904762
274,intangible assets,6.552134646962234
275,worldwide license,6.53793977340489
276,concurrent chemotherapy,6.5348692403486925
277,based compensation,6.534112808756659
278,safety endpoints,6.521758029461482
279,escalation portion,6.5173697270471465
280,synonymous mutations,6.5166666666666675
281,efficacy endpoints,6.513419913419913
282,stock,6.50914882081865
283,derivative complaint,6.506827731092438
284,considered possibly related,6.497105508870215
285,expression,6.493714285714286
286,enrollment,6.491758241758243
287,patients,6.49153605015674
288,sale debt securities,6.470048309178744
289,product development capabilities,6.468041725936462
290,deferred revenue,6.4609375
291,payment accounting,6.458882284601405
292,infusion,6.457575757575758
293,neck cancer,6.457115749525617
294,clinical trials,6.454338083895191
295,adverse events,6.4505984211866565
296,research organizations,6.446972725974582
297,llo cancer immunotherapy,6.446278236225723
298,milestone,6.445652173913043
299,liability warrants,6.437150701049123
300,promissory note,6.430014430014429
301,testing axalimogene,6.424242424242424
302,cash bonus,6.424107142857142
303,balance sheet date,6.420698924731183
304,holding period,6.416176470588235
305,adjuvant axalimogene,6.415470494417863
306,trial expenses,6.412571871875516
307,accounting pronouncements,6.412522045855379
308,financial statements,6.406681867750571
309,future payments,6.404616724738676
310,biologics research,6.4033557046979865
311,amended lease,6.4018510225406775
312,notification,6.3998203861697345
313,employee excellence awards,6.394901394901394
314,cell carcinoma,6.394390243902439
315,drug development pipeline,6.383868569729408
316,common stock,6.366206762534007
317,metastatic disease,6.362880157816867
318,development payments,6.353308933985197
319,annual periods,6.3508536889332
320,cancer recurrence,6.349837080482242
321,laboratory space,6.34841628959276
322,cost spending,6.344444444444445
323,cervical cancer,6.339736070381232
324,legal proceedings,6.328571428571428
325,minimum payments,6.318902439024391
326,cancer,6.313284050179211
327,net loss,6.304878048780488
328,specific antigen,6.296296296296296
329,obligations table,6.295668202764976
330,stock options,6.265675512245041
331,trial collaboration,6.2624550494456095
332,common shares,6.259901777196764
333,share,6.235548172757475
334,common stock,6.232211725313163
335,protocol design,6.231944444444444
336,biocon,6.230440291415901
337,chemoradiation treatment,6.2301974448315915
338,cancer research,6.2276178872649055
339,compensation expense,6.1985214109071975
340,significant estimates,6.188868355535023
341,patent applications,6.177489177489178
342,interim periods,6.173280159521436
343,due accounts,6.161748633879782
344,shares,6.158441558441558
345,net sales,6.158333333333333
346,fair values,6.157142857142857
347,stock option plan,6.15607210626186
348,logistic model,6.143356643356643
349,based immunotherapy,6.124988255247796
350,compensation awards,6.124870617256404
351,expected payment,6.120054945054945
352,cash compensation expense,6.118942307692308
353,motions,6.102941176470589
354,maturity dates,6.095238095238096
355,advaxis constructs,6.085878489326765
356,approval process,6.077759197324415
357,stock,6.067372568332923
358,stock option awards,6.0584997439836155
359,instruments warrants,6.056294326241135
360,early closure,6.053571428571429
361,palliative radiation,6.051054852320675
362,stock set,6.034409527510965
363,generally measured based,5.995444487830275
364,efficacy endpoint,5.983910398544545
365,volatility input,5.974697716077026
366,market price purchases,5.963350109691572
367,advaxis studies,5.960847701149426
368,future payments,5.959811529933481
369,milestone payments,5.958608321377332
370,adxs,5.957277628032345
371,contract research organizations,5.953355704697986
372,1/2 study,5.947349467012389
373,osteosarcoma osteosarcoma,5.945269016697588
374,safety data,5.943958304281132
375,disclosure,5.934555760724868
376,pay advaxis,5.925561029009305
377,existing patents,5.921511126444713
378,efficacy criteria,5.907262277951933
379,statements advaxis,5.90684607136305
380,note agreement,5.8992815694943355
381,axalimogene filolisbac,5.872960372960373
382,enrollment,5.8420523138833005
383,neoepitope sequences,5.833333333333333
384,administrative expenses,5.832640241633654
385,companion dogs,5.821316614420063
386,estimates impact,5.811945278611946
387,credit risk support,5.808782388161163
388,hpv,5.802257382527451
389,study,5.801282051282051
390,conducting gog,5.791666666666667
391,market data,5.760731052984574
392,treatment,5.755182072829132
393,accounting estimates,5.753920587253921
394,continuing risks,5.746929824561404
395,guidance,5.745454545454545
396,lm technology,5.728538154392191
397,equity instruments,5.705899525750102
398,financial statements,5.693899912863353
399,early data,5.687979730233251
400,leases standard,5.676980003149111
401,lung cancer cases,5.674504810413129
402,significant revenue,5.670373126102293
403,results,5.647527910685805
404,neck cancer,5.641731134141001
405,cash amount,5.638392857142857
406,line basis,5.621794871794872
407,sublicense fees,5.595289855072464
408,deferred revenue,5.519270833333334
409,revenue,5.496052003816794
410,payment award,5.48527649490366
411,unjust enrichment,5.473684210526316
412,patients,5.466620225240915
413,investigational immunotherapy,5.455808225455378
414,digit royalties,5.453686246072033
415,radiation treatment,5.451735270379338
416,employee taxes,5.449972360420121
417,llo immunotherapy,5.448966408268734
418,fusion protein,5.416666666666666
419,target cells,5.401659125188537
420,amortization expense,5.36888888888889
421,interim analysis,5.352941176470589
422,treatment option,5.34080624403205
423,final results,5.331269349845201
424,capital resources,5.3
425,fiscal years,5.275038032454361
426,clinical study,5.272134844916371
427,positive osteosarcoma,5.257465240641711
428,modified retrospective,5.25
429,tme,5.177304964539007
430,support payment,5.1754662004662
431,data,5.162551781275891
432,interest rates,5.13974358974359
433,embedded derivative,5.104166666666666
434,full retrospective,5.101190476190476
435,european society,5.090322580645161
436,revenue,5.057816709699146
437,balance sheets,5.050000000000001
438,business plan,5.039362888557892
439,interest income,5.037504783773441
440,secondary endpoints,5.0285714285714285
441,tax credits,5.020833333333334
442,adxs,5.0146369353916525
443,upfront payment,5.0085470085470085
