,0,1
0,unspecified compensatory,9.0
1,bank,8.666666666666666
2,structure,8.666666666666666
3,trucking fleet,8.625
4,undeveloped reserve,8.6
5,threshold,8.523809523809524
6,measure,8.486486486486486
7,measure,8.486486486486486
8,accounting policies,8.481481481481481
9,payment technology,8.473684210526315
10,line basis,8.451612903225806
11,provider payer,8.416666666666666
12,care provider,8.416666666666666
13,line method,8.414285714285715
14,effecting,8.413533834586467
15,insurance brokerage,8.411764705882353
16,medical insurance,8.411764705882353
17,inflow subside,8.385026737967914
18,sell arrangement,8.380952380952381
19,entity,8.31578947368421
20,balance sheet,8.308333333333334
21,dry hole,8.258771929824562
22,effort method,8.247619047619049
23,developed reserve,8.207142857142856
24,revenue growth,8.166666666666666
25,reserve base,8.163636363636364
26,leasehold acquisition cost,8.154471544715447
27,tax basis,8.118279569892472
28,calendar year,8.067558057705842
29,management,8.066666666666666
30,rata share,8.06060606060606
31,energy user,8.05982905982906
32,singular event,8.016666666666666
33,impairment trigger,8.0
34,account receivable,7.9772727272727275
35,reduces,7.9772727272727275
36,account collection,7.9772727272727275
37,owned subsidiary,7.964285714285714
38,field basis fields,7.927803379416282
39,cash collateral,7.908836261777438
40,cash,7.906765868402697
41,price volatility,7.850686498855836
42,cash balance,7.8076457855869625
43,financial institution,7.805391578118851
44,medical claim,7.794372294372294
45,cash equivalents,7.770053475935828
46,california corporation,7.7696969696969695
47,_,7.745989304812834
48,_,7.745989304812834
49,_,7.745989304812834
50,_,7.745989304812834
51,accrued amount,7.73773987206823
52,exploration effort,7.7351190476190474
53,hole arec,7.733333333333333
54,dilutive security,7.722222222222222
55,reduced rate,7.708333333333334
56,administrative overhead,7.680769230769231
57,adverse effect,7.670731707317073
58,gas price,7.655263157894737
59,normal recurring accrual,7.65418956043956
60,medical claim,7.651515151515151
61,operation,7.644230769230769
62,depreciation depletion,7.643243243243244
63,depreciation depletion,7.643243243243244
64,depreciation depletion,7.643243243243244
65,umbrella insurance coverage,7.642533936651584
66,delaware corporation,7.636363636363637
67,revenue,7.612820512820512
68,office lease space,7.605442176870748
69,credit enhancement,7.5763855421686745
70,percentage increase decrease,7.571428571428571
71,cost provider,7.571138211382113
72,financial statements,7.568595041322315
73,exchange commission rule,7.5476190476190474
74,annual report,7.540178571428571
75,year beginning,7.530612244897959
76,pay scale,7.5285714285714285
77,credit agreement,7.527215581694367
78,credit exposure,7.524956970740103
79,resources energy,7.504273504273504
80,covenant statement,7.493236189647673
81,financial statement,7.493236189647673
82,lived asset,7.489992587101557
83,legal accrual related,7.485042735042736
84,cash,7.485026737967914
85,estimated net realizable,7.474443629249205
86,al,7.470588235294118
87,interest investments,7.463636363636363
88,earnings factoring,7.461492358405754
89,company,7.440298507462686
90,affiliated entity,7.432672590567328
91,gas leasehold interest,7.4263157894736835
92,expense costs,7.421818181818182
93,event,7.416666666666666
94,underlying data,7.392156862745098
95,financial institution,7.373060751051181
96,sale price,7.371958121109225
97,net cash,7.366941631584936
98,louisiana state court,7.357142857142858
99,accounting policy,7.350370370370371
100,address claim,7.345959595959596
101,property,7.341666666666667
102,collateral support,7.333333333333333
103,allegation,7.333333333333333
104,tax loss,7.314553990610328
105,average number,7.312693498452012
106,cash collateral,7.308836261777438
107,cash distribution,7.3081036610448376
108,similar measure,7.305750555750556
109,direct cost,7.302619692863595
110,accounting methodology,7.295767195767196
111,equity method,7.295767195767196
112,balance sheet date,7.291666666666666
113,operating lease,7.278061224489796
114,earnings concentration,7.268863179074447
115,interest owner,7.253846153846154
116,exchange commission sec,7.214285714285715
117,product acceptance trend,7.206451612903226
118,gas leasehold property,7.201315789473684
119,collection fee,7.199999999999999
120,crude oil,7.162111788101887
121,control,7.154471544715447
122,revenue basis,7.150194463509495
123,field level,7.127232142857142
124,debt obligation,7.122529644268775
125,revenue basis,7.118279569892472
126,sale contract comprise,7.117335077012497
127,annual period,7.110317460317461
128,administrative expense,7.106666666666667
129,refiner demand,7.1000000000000005
130,crude oil,7.095445121435221
131,financial statement,7.093236189647673
132,llc bencap,7.088888888888889
133,crude oil,7.08534411133421
134,operating activity,7.079945054945055
135,identified contract,7.074324324324325
136,states code,7.071428571428571
137,marketing business,7.065934065934066
138,company,7.062520729684909
139,volumes,7.056666666666666
140,capital expenditure,7.055357142857143
141,purchase obligation,7.039641943734015
142,investment arrangement,7.034094068289232
143,ae,7.033613445378151
144,share,7.032034632034632
145,largest customer,7.0258358662613976
146,cash payment,6.992044281827564
147,including vestacare,6.975438596491228
148,application management,6.966666666666667
149,oil marketing,6.962966488956589
150,vestacare product,6.939784946236559
151,accounting standard,6.9338624338624335
152,fungible commodity,6.923076923076923
153,company,6.919663586827767
154,cumulative effect,6.916666666666667
155,cash financing activity,6.9114003643415405
156,claim,6.911255411255412
157,difference contingency,6.909090909090909
158,intersegment sale,6.906647116324535
159,cash payment,6.903155392938675
160,temporary impairment,6.892156862745098
161,fact employee option,6.888888888888889
162,financial instrument,6.88475665748393
163,discussion bencap,6.877777777777777
164,pricing strategy,6.876498501498502
165,impairment,6.875
166,business accounting policy,6.87037037037037
167,production volume,6.866942719116633
168,funding request,6.866666666666667
169,expected claim,6.855072463768115
170,bankruptcy filing,6.852941176470587
171,sale contract,6.831620791298211
172,arec wa expected,6.826501035196689
173,term maturity,6.824444444444444
174,fuel cost fluctuation,6.821138211382113
175,financial measure,6.81568758841486
176,property interest,6.808333333333334
177,additional funding,6.800000000000001
178,fasb issued asu,6.794736842105263
