,0,1
0,measures,9.0
1,motor vehicle accidents,9.0
2,allegations,9.0
3,undeveloped reserves,8.8
4,points,8.8
5,chemical concerns,8.722222222222221
6,unspecified compensatory,8.714285714285715
7,structure,8.666666666666666
8,trucking fleet,8.625
9,pursue additional medical,8.56421052631579
10,leasehold acreage,8.5
11,medical insurance,8.453333333333333
12,entities,8.444444444444445
13,bank,8.416666666666666
14,developed reserves,8.407142857142857
15,balance sheet,8.398532172725721
16,payment technologies,8.387096774193548
17,york mercantile exchange,8.277777777777779
18,product acceptance trends,8.275862068965518
19,inflow subside,8.245535714285715
20,inventory inventory,8.1875
21,efforts method,8.18
22,worker compensation,8.13953488372093
23,leasehold acquisition costs,8.1375
24,assessing impairment,8.128205128205128
25,care providers,8.120000000000001
26,measure,8.08
27,affreightment contracts,8.035460992907801
28,compensation insurance policies,8.032792792792794
29,tax basis,8.020238095238096
30,dry holes,7.976666666666667
31,tank truck transportation,7.944444444444445
32,owned subsidiary,7.940476190476192
33,owned subsidiaries,7.934065934065934
34,revenue growth,7.924242424242424
35,legal accruals,7.905797101449275
36,legal fees,7.892857142857142
37,reserve base,7.863636363636363
38,accounting pronouncement,7.846963562753037
39,accounting pronouncements,7.846963562753037
40,cash inflows,7.845535714285715
41,similar measures,7.819264069264069
42,price volatility,7.8165760869565215
43,medical insurance,7.786666666666666
44,reduced rates,7.780701754385965
45,recurring accruals,7.778011204481793
46,refiner demand,7.772727272727273
47,product offering,7.764583873476797
48,umbrella insurance coverage,7.74
49,insurance brokerage,7.739047619047619
50,exploration efforts,7.7351190476190474
51,related accruals,7.729130434782608
52,eligible accounts,7.7132075471698105
53,reduces,7.7132075471698105
54,lease bonus,7.708148148148148
55,accounting policies,7.674844074844075
56,leasehold periods,7.671428571428572
57,account collections,7.666666666666667
58,price data,7.659226190476191
59,financial institution,7.653383458646617
60,cash collateral,7.645535714285714
61,adverse effect,7.613997879109226
62,sale price,7.600825471698114
63,accrual amounts,7.594285714285714
64,cash,7.593361801242237
65,credit exposure,7.580952380952381
66,line trade credit,7.569047619047618
67,medical claims,7.564989429175476
68,office lease space,7.548148148148148
69,gas leasehold interests,7.547095761381476
70,annual report,7.540178571428571
71,medical claims,7.5195348837209295
72,pay scale,7.508417508417508
73,administrative overhead,7.5055555555555555
74,financial position,7.502764976958526
75,balance sheet date,7.496679049870539
76,credit enhancements,7.485714285714286
77,gas prices,7.476326530612245
78,credit agreement,7.461904761904762
79,accounting standards,7.448717948717949
80,tax assets,7.445512820512819
81,exchange commission rules,7.444444444444445
82,dilutive securities,7.444444444444445
83,state collateral deposits,7.43448275862069
84,party insurance,7.43047619047619
85,debt obligations,7.416666666666667
86,address claims,7.37866531850354
87,financial statements,7.361629004497252
88,properties,7.345977011494253
89,largest customers,7.342857142857143
90,average number,7.320588235294117
91,underlying data,7.317927170868348
92,company,7.302197802197802
93,oil producers,7.289085545722714
94,estimated net realizable,7.277409372236958
95,collateral support,7.263636363636364
96,cash balance,7.2603505291005295
97,corporate accounts,7.246540880503144
98,collection fee,7.238095238095237
99,louisiana state court,7.235294117647059
100,claims,7.233652530779754
101,benefits marketplace,7.23
102,annual period,7.223867595818815
103,interest owners,7.2194199243379575
104,gas leasehold properties,7.195636875439831
105,sale contracts,7.167536464605915
106,tax impairment,7.155165912518854
107,control,7.152447552447552
108,credit facility places,7.152380952380952
109,fiscal years,7.148571428571428
110,attorney fees,7.142857142857142
111,development wells,7.115384615384615
112,capital expenditures,7.093131313131313
113,funding request,7.076255980861244
114,earnings factoring,7.056020066889632
115,delaware corporation,7.055555555555555
116,drilling activity,7.0332598939208495
117,oil inventory,7.024912048454954
118,cash flows,7.0246054817275745
119,financial measures,7.023502304147465
120,fungible commodity,7.023076923076923
121,accounting policies,7.008177408177408
122,insurance collateral deposits,7.007816091954022
123,impairment,7.007515473032715
124,annual periods,6.992857142857143
125,financial statements,6.9874354561101555
126,revenue basis,6.986147186147186
127,cumulative effect,6.981884057971015
128,administrative expenses,6.979411764705882
129,affiliated entity,6.977450980392156
130,crude oil,6.976616593909499
131,equity investment balance,6.975244475244476
132,cash equivalents,6.961659663865547
133,purchase obligations,6.96078431372549
134,payment arrangements,6.954898631778688
135,cash,6.945535714285715
136,equity method,6.94042966042966
137,additional funding,6.938755980861243
138,similar measure,6.899264069264069
139,cash collateral,6.895535714285714
140,revenue basis,6.88999333999334
141,liability insurance program,6.882857142857143
142,established relationships,6.88076923076923
143,identified contracts,6.868794326241135
144,service offerings,6.857142857142858
145,pricing strategy,6.853733031674208
146,cash distributions,6.835279304029305
147,corporate cash,6.834424603174603
148,financial institutions,6.831746031746032
149,business development opportunities,6.823717948717949
150,bankruptcy filing,6.814285714285715
151,income tax,6.813888888888888
152,fasb issued asu,6.81140350877193
153,sale contracts,6.810393607463057
154,accrued amounts,6.802619047619047
155,oil marketing,6.78671760401051
156,financial instruments,6.779395604395605
157,crude oil,6.764495381788288
158,states code,6.75
159,money market fund,6.740056818181818
160,miles,6.7333333333333325
161,marketing business,6.706746031746032
162,investment arrangements,6.698592635434741
163,net cash,6.697000915750916
164,purchase activity,6.679926560587516
165,product,6.675862068965518
166,lease term,6.6719576719576725
167,property interest,6.664864550633648
168,financial statements,6.654102122776822
169,cash equivalents,6.653623949579832
170,discretionary investments,6.643665158371041
171,sales support functions,6.643636363636364
172,fuel cost fluctuations,6.639969834087481
173,trading activity contracts,6.601352465776019
174,accounting methodology,6.601098901098902
175,crude oil,6.59782871512162
176,energy users,6.594444444444445
177,invoiced monthly based,6.594117647058823
178,amp,6.583333333333333
179,area drilling activity,6.565058139534884
180,revenue,6.55977355977356
181,market data,6.556795634920635
182,company,6.5466422466422465
183,drilling costs,6.546388888888889
184,commodity prices,6.540701754385966
185,end markets,6.53125
186,operating leases,6.528985507246377
187,based rate,6.515992647058823
188,purchase volumes,6.514035087719298
189,equity method investment,6.507096327096327
190,production volumes,6.483476272155517
191,oil purchases,6.478781096074002
192,inventory,6.467376373626374
193,oil contracts,6.466623041362755
194,expected claims,6.454027637344119
195,sale contracts,6.4532507503202
196,cash financing activities,6.447916666666667
197,production declines,6.442656307806141
198,adverse impact,6.440084835630965
199,standards,6.437593984962406
200,investments,6.4190009337068155
201,oil production,6.39342619939835
202,unit margins,6.3918128654970765
203,asset purchase agreements,6.368279569892473
204,market prices,6.362576754385965
205,future production,6.348647882154713
206,drilling operations,6.332177502579979
207,gas property interests,6.313053208189986
208,volumes,6.225708061002178
209,gas property costs,6.2197839774207555
210,applicable report,6.218750000000001
211,oil sales,6.211162048454955
212,operating earnings,6.210571184995738
213,cash flows,6.191272148394242
214,method investment,6.19025641025641
215,credit risk,6.188744588744589
216,commodity contract,6.184045584045585
217,armm elects,6.178571428571429
218,interest costs,6.16974043715847
219,gas segment revenues,6.131929367491678
220,method investments,6.128793363499246
221,sale contract,6.113556953179595
222,financial measure,6.103502304147465
223,transportation segment customers,6.071158392434989
224,vestacare product,6.0615763546798025
225,cost detail,6.061538461538461
226,patients,6.0600000000000005
227,period end,6.058689024390244
228,year periods,6.053781512605043
229,period end,6.027806671449067
230,prior period,6.018125298900048
231,business,6.010531135531135
232,due date,5.98236221202429
233,loans,5.975
234,early adoption,5.955357142857142
235,month basis,5.950632386481443
236,reporting periods,5.827678571428572
237,early payments,5.819940476190475
238,cash,5.747733516483517
239,balance sheet,5.624338624338624
240,control maintenance costs,5.561742424242424
241,continued efforts,5.5476190476190474
242,assets gains,5.542735042735043
243,credit valuation adjustments,5.480952380952381
244,party transactions,5.412062765609677
245,lower primarily due,5.368518518518519
246,deconsolidated arec,5.343332343332343
247,pricing information,5.219949861459296
248,acquiring developed,5.152597402597403
249,medical providers,5.12
250,title,5.111721611721612
251,investments investments,5.1078431372549025
252,insurance program,5.073333333333333
253,month fair,5.06729905314811
254,capitalized amounts,5.033982683982684
255,truck,5.007936507936508
256,amount,4.999343185550082
257,company,4.968864468864469
258,exchange commission,4.944444444444445
259,employee benefits,4.933333333333334
260,reserve base,4.863636363636363
261,consolidated subsidiaries,4.8511166253101745
262,individual employee,4.833333333333334
263,capital resources,4.779999999999999
264,consolidated action,4.774193548387097
265,line method,4.763333333333334
266,oil,4.75575221238938
267,wells,4.75
268,performance obligations,4.75
269,insurance coverage,4.74
270,financial position,4.728571428571429
271,monthly basis,4.728571428571429
272,equity method,4.725045045045045
273,major renewals,4.722222222222222
274,cash equivalents,4.716123949579832
275,relief,4.714285714285714
276,accounts,4.713207547169811
277,insurance costs,4.710833333333333
278,developed based,4.701260504201681
279,early pay,4.688311688311688
280,additional premiums,4.684210526315789
281,contracts,4.678318135764944
282,estimated average,4.677484787018256
283,accounting policies,4.674844074844075
284,fully impair,4.666666666666666
285,financial instruments,4.651190476190477
286,line basis,4.645238095238096
287,cash payment,4.632632488479263
288,cash payment,4.632632488479263
289,credit policies,4.6118404118404115
290,product implementation,4.609195402298851
291,inventory liquidations,4.59375
292,financial statements,4.587435456110155
293,bank debt,4.583333333333333
294,gas revenue,4.573902288188003
295,insurance carrier,4.573333333333333
296,commodity price,4.56875
297,trading activity,4.565891472868217
298,effecting,4.5600000000000005
299,reduced demand,4.553429027113237
300,annual report,4.540178571428571
301,average cost,4.532126696832579
302,cash flows,4.5246054817275745
303,measure,4.524444444444445
304,marketing segment,4.504491725768322
305,gas exploration,4.503826530612245
306,commercial paper,4.5
307,specific acreage,4.5
308,domestic refiners,4.5
309,alternative markets,4.5
310,values,4.5
311,rental obligations,4.5
312,united states,4.5
313,individual patient,4.5
314,patient obligations,4.5
315,medicare rates,4.5
316,debenture obligations,4.5
317,rate,4.5
318,offerings,4.5
319,remain flexible,4.5
320,related revenue,4.496706192358367
321,cash charge,4.480829831932773
322,security agreement,4.476190476190476
323,users,4.475694444444445
324,/sell arrangements,4.473684210526316
325,arrangements,4.473684210526316
326,operating entities,4.473429951690822
327,ongoing basis,4.4593406593406595
328,existing areas,4.458333333333334
329,reduced purchase,4.447368421052632
330,potentially represent,4.444444444444445
331,15% equity interest,4.443952148870181
332,financial stability,4.442857142857143
333,financial viability,4.442857142857143
334,financial status,4.442857142857143
335,financial covenants,4.442857142857143
336,financial condition,4.442857142857143
337,working capital,4.4338461538461535
338,crude oil,4.431162048454954
339,dry bulk,4.416666666666666
340,tax losses,4.410714285714286
341,prices,4.41
342,cost method,4.408205128205128
343,net expenses,4.403846153846153
344,net book,4.403846153846153
345,collateral postings,4.4
