,0,1
0,mapping software,9.0
1,lean principle,9.0
2,companies investments,8.818181818181818
3,administrative agent,8.777777777777779
4,financial forecast,8.666666666666666
5,lead arranger,8.59016393442623
6,concrete steel,8.529411764705882
7,single digit,8.5
8,market,8.455357142857142
9,meritorious defense,8.432835820895523
10,mandatory prepayment,8.40909090909091
11,fasb asc,8.311079545454545
12,long dated receivable,8.31
13,market data,8.288690476190476
14,average cost,8.283625730994153
15,revenues revenues,8.268115942028986
16,faster access,8.238095238095237
17,transformational solution,8.235294117647058
18,fibrwrap business,8.214285714285715
19,mechanical maintenance,8.19047619047619
20,certified applicator,8.166666666666666
21,fibrwrap system,8.157894736842106
22,tax consequence,8.153297682709447
23,quarterly reports,8.152777777777779
24,corrosion protection,8.144984917043741
25,corrosion protection,8.144984917043741
26,deepwater project,8.132818196658867
27,margin terminal,8.128474752732952
28,tyfo fibrwrap technology,8.096153846153847
29,private business,8.060439560439562
30,innovative solution,8.053475935828878
31,balance sheets,8.053273427471117
32,weak condition,8.043715846994536
33,market price,8.043194980694981
34,currency assets,8.042780748663102
35,processing efficiency,8.030303030303031
36,significant influence,8.015873015873016
37,alliance contract businesses,7.994219653179191
38,chase bank,7.98
39,gross profit,7.973882139019754
40,advance deposit,7.9728260869565215
41,market purchase,7.972211075441412
42,cash flow,7.959081967213114
43,cash flow,7.959081967213114
44,long term,7.95
45,low price,7.944980694980695
46,project revenues,7.937166022745823
47,pipeline corrosion,7.9357210626185966
48,pipeline corrosion remediation,7.935721062618596
49,recurring adjustment,7.932806324110672
50,international location,7.93018018018018
51,bayou companies,7.923076923076923
52,industrial project,7.914219162842442
53,gross margin,7.908345233035163
54,tax item,7.907683647621727
55,balance sheet,7.906214603941706
56,free rate,7.899557310361331
57,stock vest,7.872641509433962
58,contingent consideration,7.868253968253968
59,bcs import,7.863888888888889
60,capital requirement,7.857557967147008
61,wa,7.856306457009033
62,executive officer,7.856209150326798
63,currency rate,7.8531514240631495
64,exterior pipe coating,7.843999348640287
65,applicable rate,7.836157531845273
66,consolidated statements,7.835895075931892
67,market condition,7.832406323185012
68,lining operation,7.8270975056689345
69,retrospective approach,7.8125
70,energy services,7.811782276498283
71,hand,7.806451612903226
72,operating margin,7.804945340968246
73,dividend yield assumption,7.804347826086957
74,tax item,7.8005407904788715
75,utilization rate,7.799891224414758
76,option holder,7.786585365853659
77,exit,7.777746212121212
78,reporting unit,7.777484683458135
79,reporting unit,7.777484683458135
80,corrosion protection,7.776563864412163
81,venture partner,7.772534755094923
82,oil price trading,7.767837837837838
83,lived asset,7.75909090909091
84,financial data,7.758691206543967
85,operating segment,7.740537084398977
86,stock unit,7.732818500584404
87,risk uncertainty,7.726190476190476
88,capital resources cash,7.71973950145969
89,corrosion protection,7.70620940683966
90,interest entities,7.705234159779614
91,cash flows,7.704172876304024
92,anticipated estimated suggested,7.7003642987249545
93,wastewater pipeline,7.688172043010753
94,american market,7.68547379184972
95,underground solutions,7.6788025889967635
96,performance unit,7.670053534360319
97,funding status,7.666666666666666
98,net income,7.665218282434925
99,tax cost,7.663113889894076
100,profit margin,7.655298068223294
101,spending effort,7.644691780821917
102,deferred loss,7.644132135612866
103,market challenge,7.642857142857142
104,net,7.624212184873949
105,reporting unit,7.623638529611981
106,royalty payment,7.608888888888888
107,cash flow contingencies,7.601939110070257
108,revenues revenues,7.597573306370071
109,technology,7.596153846153847
110,regulatory requirement,7.595691130574851
111,unit investments,7.595666501639953
112,covenant requirement,7.59047619047619
113,leverage ratio,7.582407553107789
114,fibrwrap business,7.580139372822299
115,effective mode,7.570982052833233
116,book manager,7.567941712204008
117,income taxation,7.565505226480836
118,termination benefit cost,7.56140350877193
119,working capital,7.557218666807708
120,pipe coating,7.5461270082147545
121,energy services segment,7.544036047571931
122,mexico,7.53968253968254
123,gross profit,7.535106628815672
124,exchange rate,7.530509691313712
125,world class safety,7.527272727272727
126,borrowing rate,7.517116834170855
127,mandatory prepayment,7.51497769279796
128,insitumain cipp technology,7.5079185520362
129,protection operation,7.5003270538984825
130,early sign,7.5
131,joint venture,7.49645128800022
132,income tax net,7.493312713111852
133,higher margin,7.488861372079021
134,discount rate,7.482890643694663
135,margin activity,7.4804403194474425
136,energy services operation,7.478448943164951
137,common stock,7.477480219111382
138,common stock,7.477480219111381
139,energy services,7.473962042021514
140,interest rate,7.473839089188564
141,inventory step,7.472866949983654
142,financial data,7.469483568075117
143,tax loss,7.46815810963884
144,period charges,7.461038961038961
145,guidance,7.459888565891473
146,cash flow,7.459081967213114
147,american operation,7.458007805455162
148,continuing operation,7.4557823129251695
149,leading expertise,7.455357142857142
150,purchase price,7.450845616575953
151,consolidated operation,7.447652231624357
152,tax rate,7.447354172052716
153,tax cash flow,7.445712983255895
154,large project,7.4419969406202195
155,corrosion protection segment,7.438463177913307
156,retrospective basis,7.436084142394821
157,infrastructure solutions,7.424699667100883
158,working capital,7.412126205925773
159,employee incentive cost,7.408625730994152
160,cash flow,7.406140790742526
161,business development,7.396103896103896
162,tax asset,7.3957219251336905
163,market leadership position,7.390422077922079
164,entity,7.388147566718995
165,purchase price,7.380553839387625
166,project activity,7.377647058823529
167,contingencies loss contingencies,7.374384236453201
168,material property,7.369477911646587
169,corrosion protection,7.368389172362891
170,energy market,7.365410052910052
171,price,7.363699906803355
172,gross profit,7.36024577538339
173,transaction purchase price,7.358929058557701
174,inventory step,7.356024844720497
175,safer infrastructure,7.351570415400203
176,cash flow,7.348692356823504
177,account receivable,7.343667313079077
178,gross profit,7.342303191651332
179,open market,7.339972527472527
180,frp project activity,7.3391855203619905
181,disclosure requirement,7.338624338624339
182,financial statement,7.3377032520325205
183,stock unit,7.332818500584405
184,corrosion protection,7.331155129809699
185,corrosion protection backlog,7.329195443359531
186,cipp contracting operation,7.32147404416312
187,energy market,7.317791005291005
188,comprehensive income,7.315505226480836
189,consolidation,7.311079545454545
190,tax obligation,7.308853238265003
191,purchase price,7.3046917704221075
192,operating income,7.298278335724534
193,company investments,7.295181818181819
194,innovative solution,7.291571173924115
195,financial covenant,7.288888888888889
196,reimbursable contract,7.277845384173343
197,shift,7.274436090225564
198,interest rate risk,7.271458136807611
199,stock option activity,7.26922687528762
200,project activity,7.2640106951871655
201,infrastructure solutions,7.263475177304965
202,generally fully vested,7.26099706744868
203,company,7.254777777777778
204,aforementioned objective,7.253707285622179
205,market condition,7.249072989851678
206,data accuracy,7.247899159663865
207,project activity,7.243500717360114
208,strategic action,7.241935483870968
209,underground solutions,7.240027078792682
210,characteristic comparable,7.23374613003096
211,project performance,7.227523602033406
212,interest rate swap,7.221738248852429
213,accrual relating,7.220238095238095
214,iv reduced corporate,7.216374269005847
215,protection service,7.214102564102564
216,pipe coating,7.212420401271865
217,reporting unit,7.210320504353657
218,equity compensation program,7.208035714285714
219,equipment utilization rate,7.2070206803247014
220,strategic acquisition,7.206976744186047
221,pacific operation,7.206838524883638
222,cash balance,7.203332322831892
223,interest entity,7.198823903369357
224,gross profit,7.197286394338903
225,gross profit,7.197286394338903
226,equity investment,7.195454545454545
227,net exercise,7.194257703081233
228,wa negatively impacted,7.192634746206175
229,cash flow hedge,7.189851197982345
230,lump sum project,7.184313725490196
231,market activity,7.1837781954887205
232,operating segment,7.1733729052944994
233,contract cost,7.170702527030485
234,performance unit,7.170053534360319
235,unrecognized revenue,7.168896321070234
236,operating expense,7.157588868880886
237,infrastructure solutions segment,7.15695343817453
238,tax benefit,7.154019183430948
239,operating efficiency,7.153832442067736
240,cipp operation,7.153169375858452
241,equity,7.15
242,reporting unit,7.1433383419947205
243,labor productivity program,7.1374007936507935
244,year period,7.135317460317459
245,insituform business,7.133730158730159
246,claim,7.1313131313131315
247,balance,7.130847953216374
248,company,7.129777777777778
249,customer,7.1280739161336175
250,financial result,7.1236203090507715
251,exercise le ii,7.118717948717949
252,pipeline market,7.117888160226869
253,wastewater pipeline sector,7.116743471582181
254,coating operation,7.110537848098041
255,pipeline owner,7.10483870967742
256,wa favorably impacted,7.10334903192046
257,average price,7.102815530635798
258,entity,7.10243328100471
259,joint venture,7.101727301678775
260,maintenance provider,7.0995670995671
261,prior year,7.098853923853923
262,market growth,7.094246031746032
263,net income,7.0928885936207955
264,project activity,7.091932773109244
265,infrastructure solutions operation,7.091366333767549
266,cash capital expenditure,7.090109871830061
267,related business,7.085838117753012
268,facility maintenance,7.078860028860029
269,tax benefit,7.075884203656624
270,pipe coating operation,7.071890505102871
271,residual return,7.071428571428571
272,cash requirement,7.068891491022638
273,balance sheet presentation,7.06585983675767
274,price contract,7.062057491017028
275,legal counsel,7.060185185185185
276,currency impact,7.059302662181452
277,cash balance,7.058239861949957
278,canadian operation,7.051020408163266
279,infrastructure solutions,7.049645390070922
280,infrastructure solutions backlog,7.047685703620754
281,performance stock unit,7.042695043794281
282,period amount,7.040894220283533
283,contract term,7.040373499333037
284,operating activity,7.037828054298642
285,employee stock option,7.0342268752876205
286,pipeline corrosion inspection,7.0266301535276865
287,pipe coating plant,7.025817530458468
288,north america revenues,7.02164396225902
289,underground solutions,7.019228120911658
290,capital expenditure,7.018432159936095
291,discount rate,7.013110423914444
292,service period,7.013095238095238
293,cost saving,7.0110211426000895
294,cost saving,7.0110211426000895
295,earnings cash,7.01062448920725
296,credit facility,7.008754208754208
297,indirect cost,7.0070299863133005
298,march cash flows,7.006989777712475
299,foreign operation,7.00561066500319
300,experienced sale,7.003100775193798
301,closing adjustment,7.00098814229249
302,wa,7.000187805183423
303,financial position,6.99905303030303
304,subsequent adjustment,6.998685706166524
305,cash cost,6.995374364873933
306,innovative technology,6.991258741258742
307,reporting period,6.988736263736264
308,permitted ratio,6.983870967741936
309,world energy services,6.977830513975093
310,project activity,6.977647058823528
311,company,6.977
312,tax law,6.975519904931669
313,margin performance,6.97462580574675
314,advance change,6.973314606741573
315,inter company loan,6.967909090909091
316,balance sheet date,6.961963732861566
317,cash flow,6.959081967213114
318,expense saving,6.955338738059327
319,organizational structure,6.950793650793651
320,obligations,6.949010346378767
321,term contract,6.944219653179191
322,receivable write,6.938205128205128
323,inventory step,6.932103276093046
324,margin decline,6.924771049029248
325,underground solutions,6.920181899341591
326,__________________________,6.919886742171886
327,credit facility,6.9178451178451175
328,market condition,6.915739656518346
329,term debt,6.913414634146342
330,company,6.907555555555556
331,income loss,6.904175177219752
332,period assets,6.901215805471124
333,exercise price,6.8997425997426
334,risk profile,6.8992673992674
