,0,1
0,mapping software,9.0
1,lean principles,9.0
2,waste,9.0
3,density polyethylene liner,9.0
4,certified applicator,8.84
5,employment assistance programs,8.821428571428571
6,administrative agent,8.75
7,lead arrangers,8.65909090909091
8,financial forecasts,8.587234042553192
9,reinforced polymer,8.555555555555555
10,tyfo fibrwrap fiber,8.52421052631579
11,data gathering,8.464285714285715
12,borrowing rate,8.457142857142857
13,markets,8.430555555555555
14,balance sheets,8.419835007173601
15,executive officer,8.38888888888889
16,venture partners,8.381313131313131
17,mandatory prepayment,8.363636363636363
18,balance sheet,8.28825605980518
19,pipeline corrosion,8.261578044596913
20,pipeline corrosion inspections,8.261578044596913
21,pipeline corrosion remediation,8.261578044596913
22,transformational solutions,8.243559718969555
23,faster access,8.238095238095237
24,royalty payments,8.185185185185185
25,covenant requirements,8.17213970293055
26,lease termination,8.154761904761905
27,lease terminations,8.154761904761905
28,tax consequences,8.10914454277286
29,killeen trading,8.09090909090909
30,cash flow,8.083875319169437
31,significant influence,8.077922077922079
32,innovative solutions,8.061741537151374
33,tax laws,8.042477876106194
34,option holder,8.038461538461538
35,venture partner,8.006313131313131
36,representing funds,8.0
37,meritorious defenses,8.0
38,tite liner,8.0
39,market purchases,7.992442245510149
40,linings operation,7.982860196101562
41,stock vests,7.981790525858322
42,restricted stock,7.981790525858322
43,stock option exercises,7.96897001303781
44,stock option grants,7.96897001303781
45,coating operation,7.959219970780665
46,stock units,7.955677741576565
47,trenchless drainage inspection,7.930769230769231
48,geospatial mapping,7.927272727272728
49,corrosion protection,7.924408884642943
50,corrosion protection,7.924408884642943
51,early signs,7.904761904761905
52,tax obligations,7.904016337644656
53,material properties,7.894736842105263
54,stock options,7.893923108722612
55,average cost,7.878358208955223
56,master service agreements,7.875598086124402
57,chase bank,7.875
58,recurring adjustments,7.871212121212121
59,book managers,7.859090909090909
60,deepwater project,7.847084849416628
61,joint venture,7.831862581862582
62,year periods,7.823480803457921
63,low price,7.818181818181818
64,retrospective approach,7.8125
65,labor productivity programs,7.796934865900383
66,american operation,7.783311668556572
67,stock award compensation,7.763841807909605
68,acquisitions/strategic initiatives/divestitures acquisitions,7.738095238095238
69,experienced sales,7.735135135135135
70,capital requirements,7.733856709328409
71,leverage ratio,7.724214092140921
72,private businesses,7.721153846153847
73,protection operation,7.71695590573179
74,tyfo fibrwrap technology,7.71468671679198
75,stock appreciation rights,7.708286252354049
76,corrosion protection platform,7.702186662420719
77,monthly libor,7.7
78,gross profit,7.698272378258234
79,international locations,7.694664031620553
80,bond financing,7.6888297872340425
81,market conditions,7.686449992149473
82,market data,7.68103873673822
83,currency translation,7.676033591731266
84,work releases,7.666666666666667
85,american market,7.658060837444529
86,field coating services,7.652796641560687
87,financial position,7.649225912471891
88,fibrwrap business,7.644210526315789
89,project activity,7.639412525357978
90,financial statements,7.638322485680614
91,contingent consideration,7.631423034330011
92,aforementioned objectives,7.601762689733965
93,technologies,7.6
94,borrowing costs,7.5971867007672635
95,spending efforts,7.594246031746032
96,exterior pipe coatings,7.5887558563248305
97,market challenges,7.588547894247375
98,cash flows,7.587466854793588
99,cash flows,7.587466854793588
100,currency rates,7.582283591731266
101,performance unit vests,7.580322580645161
102,december31,7.5774853801169595
103,stock units,7.5767272347190815
104,effective mode,7.570782451379467
105,currency translation adjustments,7.569444444444445
106,pipeline inspections,7.568181818181818
107,operating margin,7.5673841451210855
108,equity compensation programs,7.562332182585347
109,energy services,7.560737757048972
110,stock option activity,7.556598879017191
111,industrial project,7.554306199495121
112,pipeline market,7.534934840634323
113,common stock,7.531283668374721
114,common stock,7.531283668374721
115,intangible assets,7.527523680849335
116,fibrwrap system,7.524210526315789
117,utilization rates,7.519776570048309
118,tax assets,7.518405798484139
119,discount rate,7.516666666666666
120,labor utilization,7.509056078021595
121,reporting unit,7.492157443030482
122,year period,7.490812926869898
123,applicable rate,7.489751552795031
124,business development professionals,7.488421052631579
125,funding status,7.485507246376812
126,service period,7.483121597096188
127,stock award activity,7.4726827951011074
128,weak conditions,7.469696969696969
129,interest rate,7.459243697478993
130,balance,7.459033613445378
131,gross margins,7.454082702387886
132,business models,7.453333333333333
133,disclosure requirements,7.442048517520217
134,fasb asc,7.4419738044471515
135,dividend yield assumptions,7.4399999999999995
136,insitumain cipp technology,7.436853002070394
137,performance units,7.436218760142811
138,market price,7.433419689119171
139,market activity,7.432587016637013
140,financial condition,7.4321716489059995
141,retrospective basis,7.422703510082151
142,comparative period,7.411275314723591
143,protection services,7.4105325765118115
144,pipeline owners,7.409848484848485
145,capital requirements,7.406240928882438
146,term loan prepayment,7.402777777777778
147,purchase price,7.400919732441471
148,tax rate,7.3920449756732935
149,corrosion protection,7.385947346181404
150,contract backlog,7.385597381342063
151,end markets,7.38510101010101
152,balance sheet presentation,7.377779341401633
153,profit margin,7.377517661277102
154,corrosion protection investment,7.368853329087386
155,recoverability,7.366114897760467
156,holding company,7.366114897760467
157,increased levels,7.365306122448979
158,project activity,7.359264102352412
159,cash flow,7.354367122448126
160,leading expertise,7.350086355785837
161,interest entities,7.349170437405732
162,project performance,7.341783659378597
163,corrosion protection segment,7.341075551309608
164,reporting unit,7.338311289184329
165,cash flow hedge,7.333875319169437
166,lessor extent midstream,7.333333333333334
167,prior year,7.33165658271188
168,residual returns,7.321428571428572
169,customer payments,7.3201058201058204
170,customer orders,7.319134727061556
171,performance stock units,7.315445183437031
172,innovative solutions,7.299836775246611
173,working capital,7.298607995777807
174,infrastructure solutions,7.29621901333501
175,cipp contracting operation,7.28838066515875
176,cash flow hedges,7.283875319169437
177,market growth,7.275727381426863
178,stock unit,7.272113106503484
179,frp project activity,7.270428568138726
180,cash requirements,7.270321595793295
181,accounting policies,7.267676767676768
182,negative industry,7.262537462537462
183,operating segments,7.254098360655738
184,balance sheet date,7.252930856553148
185,project activity,7.242894150116198
186,higher margins,7.239725400457665
187,capital adjustments,7.238001935171747
188,tax items,7.234144542772861
189,worldwide rights,7.229242979242979
190,net income,7.220884146341463
191,market conditions,7.2197833254828065
192,project activity,7.215579601525054
193,interest rate swap,7.207142857142857
194,oil prices,7.202857142857143
195,charge ratio,7.1977691977691975
196,reporting periods,7.1965717044905855
197,wastewater pipeline sector,7.194121667805879
198,project activity,7.193957979903432
199,working capital,7.1897563211366595
200,margin performance,7.187995283018868
201,sustainable market,7.187983181182663
202,regulatory requirements,7.185696174211351
203,purchase price,7.183528428093645
204,profit margins,7.178272378258233
205,cash charges,7.175096226795944
206,period balances,7.17243685849383
207,borrowing costs,7.170794633642931
208,organizational structure,7.16917670682731
209,linings operations,7.167939675870349
210,accrual relating,7.165750915750916
211,services operation,7.161467161791901
212,capital construction,7.145054945054946
213,company,7.143892675538245
214,cash flows,7.138748906075639
215,pipe coating operation,7.136211121223142
216,cathodic protection,7.135558112773302
217,project activity,7.130747277562296
218,equity investment,7.127988748241913
219,financial results,7.126296542553192
220,cost savings,7.116779261586803
221,cost savings,7.116779261586803
222,financial instruments,7.111043566362715
223,segment performance,7.1066666666666665
224,construction services activity,7.104161771276331
225,reimbursable contracts,7.10071593253246
226,stock awards,7.0984571925249895
227,open market,7.096338349406253
228,corrosion protection backlog,7.094621650600388
229,construction type contracts,7.086643437862951
230,stock option awards,7.085636679704477
231,pipe coating,7.0836809518691215
232,currency impact,7.081438997136671
233,operating efficiencies,7.080446554409911
234,interest rate risk,7.078291316526611
235,employee incentive costs,7.0773109243697485
236,concrete solutions,7.074204880259877
237,pipeline rehabilitation,7.072646103896104
238,corrosion protection,7.071626119831452
239,gross profit,7.066693430889813
240,pipe linings,7.059344091618948
241,insituform linings,7.051387032085562
242,consolidated statements,7.051088443127422
243,strategic actions,7.050505050505051
244,payment offsets,7.049419322955275
245,discount rates,7.03782894736842
246,net income,7.0376801552106425
247,tax cash flows,7.029944730899782
248,advance deposits,7.027777777777779
249,revolving line,7.027777777777778
250,government entities,7.0256410256410255
251,credit facility,7.0218719211822656
252,cash flow,7.021375319169437
253,company,7.018892675538245
254,joint ventures,7.016233766233766
255,risk profile,7.012531328320802
256,strategic acquisitions,7.0108225108225115
257,corrosion protection,7.007742217976276
258,pipe coating,6.995961653623507
259,guidance,6.9949438380003155
260,headcount reductions,6.994322344322344
261,transaction purchase price,6.986359570661897
262,capital expenditures,6.985314685314686
263,end markets,6.98510101010101
264,underground solutions,6.98362517011495
265,bayou wasco insulation,6.983366935483871
266,key revenue,6.979166666666666
267,credit facility,6.978393660312701
268,energy services segment,6.9774044237156385
269,permitted ratio,6.972222222222222
270,maximum amount,6.969920700027345
271,american operations,6.968391148325358
272,gross profit,6.963578500707214
273,generally fully vested,6.961538461538462
274,corrosion protection,6.961198182301805
275,cost reductions,6.960501066098081
276,compensation awards,6.960366826156299
277,reporting periods,6.960208068126949
278,infrastructure markets,6.9554370721432335
279,energy market,6.953448716695368
280,market transactions,6.944823197891101
281,termination benefit costs,6.941731409544951
282,intangible assets,6.940567159110206
283,sustainable growth,6.93992673992674
284,infrastructure solutions segment,6.9351079022238995
285,revenue growth,6.933974358974359
286,deferred loss,6.931430744668033
287,credit facility,6.930962830273176
288,remaining costs,6.929903945383821
289,net accounts,6.924503373313343
290,cash flows,6.923830491157224
291,maintenance provider,6.923076923076923
292,quarters,6.922596153846154
293,cash balances,6.9204309204309205
294,end markets,6.918434343434344
295,gross profit,6.917022378258235
296,asset disposals,6.916023166023166
297,cash costs,6.914192061250885
298,financial statements,6.909663949095248
299,llc,6.90909090909091
300,corrosion protection segments,6.908015442019991
301,intangible assets,6.904852873395919
302,tax provision,6.9027953364236545
303,quarters,6.9004110393423375
304,future adjustments,6.900247538218813
305,pipeline rehabilitation,6.898042929292929
306,equipment utilization rates,6.8977029914529915
307,energy services,6.8940710903823055
308,financial position,6.893540348859498
309,consolidated costs,6.8916837466694
310,environmental techniques,6.890168970814132
311,fee basis,6.889092976471618
312,fixed assets,6.887507194021515
313,compensation plans,6.883700159489633
314,corrosion protection,6.881551741785799
315,consolidated expenses,6.879109943914097
316,operating income,6.876921958489332
317,cash capital expenditures,6.87008127008127
318,price contracts,6.866952318171831
319,energy market,6.863531876778529
320,obligations,6.8565633371603525
321,savings initiatives,6.8529315209027954
322,contract review phase,6.8526395173454
323,shifts,6.852564102564102
324,cash balances,6.852249102249102
325,project dispute,6.849186256781194
326,lump sum projects,6.846153846153847
327,capital resources cash,6.846017098958275
328,gross profit,6.845489613446745
329,gross profit,6.845489613446744
330,future revenues,6.83495518565941
331,services projects,6.8322838210478665
332,market capitalization,6.818202297814823
333,exchange rates,6.813392857142857
334,contract terms,6.811538461538461
335,step impairment test,6.810382119682768
336,final costs,6.799867315347192
337,future payments,6.7993265993266
338,company,6.796670453316023
339,capital expenditures,6.79616828413956
340,interest entity,6.794117647058824
341,market leadership position,6.793676099375581
342,tax charges,6.793661116960427
343,insulation operation,6.793526289461983
344,tax benefits,6.791036634421051
