,0,1
0,owned subsidiary,9.0
1,design manufacture sell,9.0
2,dollar twd,9.0
3,usd cny,9.0
4,panel display,9.0
5,responsibility,9.0
6,undue reliance,9.0
7,base backlog,9.0
8,clarifying asus,9.0
9,statutory rate,8.903846153846153
10,aggregate account,8.878787878787879
11,doubtful account,8.878787878787879
12,significant personnel,8.714285714285715
13,feature size,8.571428571428571
14,performance goal,8.525
15,resource function,8.5
16,warranties provisions,8.5
17,treasury yield curve,8.5
18,balance sheets,8.443223443223443
19,receivable balance,8.417249417249417
20,compensation award,8.41025641025641
21,account excess,8.378787878787879
22,enhanced chemical,8.375
23,basis components,8.333333333333334
24,caption risk factors,8.333333333333334
25,electrical power,8.26923076923077
26,intercompany debt,8.242857142857142
27,free rate,8.237179487179487
28,accounting pronouncement,8.220338983050848
29,intercompany debt,8.187301587301587
30,inverter warranty,8.165718349928877
31,month,8.164408233276157
32,month,8.164408233276157
33,energy industries,8.119047619047619
34,financial statements,8.115186615186614
35,exchange commission sec,8.1
36,reason business overview,8.097560975609756
37,month,8.095284621920136
38,march,8.095284621920136
39,stock unit,8.068376068376068
40,voltage application,8.036363636363635
41,legal action,8.0
42,ha subsequently issued,7.99537037037037
43,month,7.940595611285266
44,september,7.940595611285266
45,accounting policies,7.934624697336561
46,schedule,7.918032786885246
47,surface treatment,7.916666666666667
48,inverter engineering manufacturing,7.914035087719299
49,income net,7.903957528957529
50,valuation technique,7.888888888888889
51,tax income,7.872456726389311
52,balance sheet,7.871794871794872
53,currency rate,7.871794871794872
54,electrical power,7.869230769230769
55,exchange rate risk,7.837179487179487
56,consolidated statements,7.833333333333332
57,penalty,7.830357142857142
58,credit facilities,7.821428571428571
59,arrangement asu,7.800000000000001
60,incentive plan,7.794871794871795
61,balance sheet,7.776556776556777
62,tax benefit,7.758245741210583
63,base calculation,7.75
64,stock option,7.742222222222223
65,stock option,7.742222222222223
66,integrated circuit,7.7368421052631575
67,dividend practice,7.725806451612903
68,additional financing,7.722222222222222
69,chemical process,7.721153846153847
70,tax rate,7.699726303658888
71,intercompany debt,7.692857142857142
72,accrued interest,7.6875
73,exercise price,7.663157894736842
74,exchange rate,7.661740890688259
75,wa,7.660256410256411
76,intangible asset,7.658705701078582
77,cash flow,7.648148148148148
78,accounting policies,7.6321036889332
79,field service capability,7.62280701754386
80,tax rate,7.5955596369922205
81,inverter business,7.590982028241335
82,program win,7.590909090909091
83,tax,7.579213483146067
84,cash flow,7.5588624338624335
85,product line,7.532238716449243
86,key information,7.507861635220126
87,notes thereto,7.5
88,dividend yield,7.5
89,financial information,7.49209586945436
90,ofourrevenuefrom sale,7.455
91,pension liability,7.422994987468672
92,improvement initiative,7.421875
93,gaap adjustment,7.4186046511627906
94,support customer requirement,7.417748917748918
95,marketable security,7.406603773584906
96,party customer,7.37012987012987
97,month,7.3590909090909085
98,capital resources liquidity,7.333333333333334
99,month period,7.325653082549634
100,income expense net,7.282162657162657
101,expense income net,7.282162657162657
102,worldwide operation,7.276942355889724
103,account receivables,7.26114081996435
104,film process,7.255244755244755
105,business combination,7.2514071294559095
106,guidance,7.25037037037037
107,guidance,7.25037037037037
108,treasury stock method,7.222222222222222
109,revenue recognition,7.211309523809524
110,special note,7.209090909090909
111,backlog,7.195993031358885
112,offshore acquisition,7.193181818181818
113,revenue opportunity,7.1875
114,note earnings,7.180952380952381
115,operation net,7.177804424855242
116,financial liability,7.172155961629646
117,average number,7.1688311688311686
118,currency fluctuation,7.153846153846154
119,stock option award,7.152478632478633
120,ii item,7.118563685636857
121,income taxes,7.118243243243244
122,advanced representing,7.112659698025552
123,securities exchange act,7.1
124,marketable security,7.0989114658925985
125,incentive plan,7.08058608058608
126,cash cash,7.0740740740740735
127,subsequent event,7.071428571428571
128,expense support,7.052014652014652
129,based award,7.0443473193473185
130,cost,7.024439102564102
131,pension liability,7.012280701754386
132,recurring adjustment,7.0
133,lease asset,6.967796610169492
134,coating application,6.953030303030302
135,term,6.947368421052632
136,related charge,6.945594662985967
137,related cost,6.939732142857142
138,stock option,6.932698412698413
139,operating performance,6.92102053915276
140,risk,6.912878787878789
141,term liability,6.912280701754386
142,net cash,6.911909028844512
143,temperature control,6.9111111111111105
144,accounting policy,6.907597670309534
145,cash flows,6.9058938746438745
146,purchase commitment,6.894736842105263
147,period,6.884574068106134
148,industrial application,6.8327437268613735
149,benefit obligation,6.8245209798690265
150,income tax provision,6.798382652315237
151,manufacturing market,6.793108207581891
152,net cash,6.785358160358161
153,benefit obligation,6.781663837011884
154,consolidated statement,6.770021645021645
155,year beginning,6.764186633039092
