,0,1
0,resource functions,9.0
1,korean won,9.0
2,responsibility,9.0
3,undue reliance,9.0
4,panel displays,8.95
5,panel display,8.95
6,statutory rate,8.72
7,field service capability,8.647058823529411
8,electron microscopy,8.545454545454545
9,treasury yield curve,8.5
10,performance goals,8.49090909090909
11,electrical power,8.457142857142857
12,aggregate accounts,8.4375
13,feature sizes,8.428571428571429
14,september30,8.402564102564103
15,september30,8.402564102564103
16,months,8.357142857142858
17,months,8.357142857142858
18,equivalent rights,8.343434343434344
19,months,8.290697674418606
20,months,8.290697674418606
21,schedule,8.26923076923077
22,intercompany debt,8.242857142857142
23,film renewables,8.23846153846154
24,tax benefits,8.224806201550388
25,intercompany debt,8.187301587301587
26,budgets,8.166666666666666
27,currency rates,8.132478632478634
28,receivable balances,8.104166666666666
29,balance sheets,8.059259259259258
30,electrical power,8.057142857142857
31,customer requirements,8.038302277432713
32,chemical processes,8.020833333333334
33,dividend practice,7.953405017921147
34,exchange rates,7.951432201432202
35,receivable balance,7.918981481481481
36,currency fluctuations,7.910256410256411
37,valuation techniques,7.888888888888889
38,significant personnel,7.875
39,inverter warranties,7.859848484848484
40,product line,7.846353606991904
41,balance sheet,7.831481481481481
42,extended warranties,7.803861788617885
43,exercise price,7.8
44,financial instruments,7.793756742179072
45,balance sheet,7.742592592592592
46,additional financing,7.722222222222222
47,tax rates,7.714572283421733
48,compensation awards,7.699248120300752
49,stock option exercises,7.698412698412698
50,stock units,7.68986568986569
51,semiconductor ion implantation,7.674603174603174
52,warranty reserves,7.65625
53,tax rates,7.655361757105943
54,exchange rate fluctuations,7.647927927927929
55,penalties,7.637195121951219
56,stock appreciation rights,7.597402597402597
57,local currency,7.589118198874296
58,stock grants,7.537087912087912
59,film process,7.532579185520362
60,key information,7.519841269841271
61,accrued interest,7.509615384615385
62,inverter revenues,7.501515151515152
63,intangible assets,7.494798168955472
64,term performance goals,7.49090909090909
65,intercompany debt,7.4870431893687694
66,energy industries,7.483766233766234
67,advanced energy,7.483766233766234
68,product warranty,7.480718085106383
69,solar energy,7.476190476190476
70,tax rate,7.46235006119951
71,stock options,7.461038961038961
72,accounting policies,7.446843853820598
73,enhanced chemical,7.444444444444445
74,financial information,7.431653567575897
75,ofourrevenuefrom sales,7.4222222222222225
76,thermal applications,7.387577639751553
77,consolidated statement,7.3396825396825385
78,cell manufacturing,7.333333333333334
79,balance sheet arrangements,7.3314814814814815
80,base calculation,7.321428571428571
81,marketable securities,7.303993004954824
82,integrated circuits,7.291666666666666
83,business decisions,7.291666666666666
84,semiconductor service industry,7.266106442577031
85,exchange rate risk,7.2645945945945956
86,financial statements,7.256650442966474
87,improvement initiatives,7.2105263157894735
88,revenue recognition,7.204600484261501
89,product development efforts,7.196089706728005
90,accounting policies,7.178986710963455
91,guidance,7.176296296296296
92,dividend yield,7.174603174603175
93,industrial applications,7.173291925465838
94,lease assets,7.150882825040128
95,treasury stock methods,7.142857142857142
96,incentive plans,7.142857142857142
97,securities exchange act,7.1219918548685675
98,revenue opportunity,7.097457627118644
99,specialty power applications,7.087577639751553
100,product warranty liability,7.080718085106383
101,financial condition,7.078478964401295
102,voltage applications,7.07487922705314
103,higher performance,7.0623376623376615
104,consolidated statements,7.047219097612798
105,stock option awards,7.040517961570592
106,repair services,7.033333333333333
107,december31,7.014993481095176
108,legal actions,7.0
109,notes thereto,6.985587583148559
110,marketable securities,6.946850147811967
111,program wins,6.944444444444445
112,bank,6.875
113,business processes,6.8639705882352935
114,party customers,6.862844472600569
115,risks,6.850393700787402
116,gaap adjustments,6.835548172757475
117,future periods,6.817948717948718
118,temperature control,6.813131313131313
119,net consists primarily,6.811594202898551
120,period,6.809216192937123
121,based awards,6.795977317029949
122,operating performance,6.753699788583509
123,stock compensation transactions,6.75
124,accounting standards,6.732558139534884
125,stock options,6.730269730269731
126,sales prices,6.7265700483091795
127,term,6.714285714285714
128,sales product line,6.700394011032309
129,accounts receivables,6.688888888888889
130,present information,6.686507936507937
131,financial liabilities,6.681481034794668
132,financial statements,6.678872665188695
133,taxes,6.663104965430547
134,customer information,6.659334023464458
135,offshore acquisition,6.636363636363637
136,common shares,6.602366388099136
137,coating applications,6.588990932341316
138,increased costs,6.5741138560687435
139,based processes,6.573539886039886
140,service sales,6.569281045751634
141,data storage,6.566666666666666
142,asr agreement,6.561538461538461
143,related charges,6.534177103933201
144,exchange gains,6.496451358520325
145,capital resources liquidity,6.488888888888889
146,fiscal periods,6.487179487179487
147,stock options,6.461038961038961
148,purchase commitments,6.445652173913043
149,administrative expenses,6.4449806949806945
150,power control,6.42936507936508
151,common shares,6.42715271288546
152,credit agreement,6.403940422322775
153,business performance,6.4
154,average shares,6.388237618545838
155,worldwide operations,6.3666140489344905
156,common stock,6.332235200159729
157,accounting estimates,6.321843853820598
158,implementation team,6.31764705882353
159,marketable securities,6.303993004954823
160,benefit obligation,6.302380952380952
161,market prices,6.301218914948032
162,sales,6.272222222222222
163,guidance,6.2672053872053874
164,semiconductor market,6.266654002026343
165,income tax provision,6.237094438248073
166,debt issuance costs,6.230576441102757
167,ii item1a,6.227777777777777
