,0,1
0,remain largely unchanged,8.833333333333334
1,condensed statements,8.642857142857142
2,charge ratio,8.544757033248082
3,forma basis,8.529411764705882
4,contractual term,8.527777777777779
5,addvantage technologies group,8.466666666666665
6,gross profit,8.420703933747411
7,forma earnings,8.35897435897436
8,profit margin,8.341798941798942
9,constraint sales,8.333333333333334
10,months,8.297549496916586
11,financial statements,8.292492179353493
12,surety payment bond,8.284210526315789
13,price allocation,8.258333333333333
14,purchase price,8.258333333333333
15,gross margin,8.257740970784448
16,pricing information,8.243243243243244
17,based enterprise,8.23
18,wa,8.227053140096618
19,month,8.186438385805474
20,estate market,8.141304347826086
21,merger activity,8.125
22,operating selling,8.113397129186602
23,condensed statement,8.112903225806452
24,management team,8.097222222222221
25,months,8.037245159509444
26,cable television operator,8.025839793281655
27,cable television network,8.025839793281655
28,yktg solutions subcontractor,8.009876543209877
29,yktg solutions,8.009876543209877
30,broker quote corroborated,8.0
31,materially adversely affected,8.0
32,annual installment,7.975093399750934
33,telecommunication industry,7.951666666666666
34,month,7.926134048398333
35,telecommunication networking equipment,7.916637168141593
36,telecommunication provider,7.903243243243244
37,dividend yield,7.87037037037037
38,yktg solutions,7.867019400352735
39,gross margin,7.8622290493258244
40,sale force,7.839955849889625
41,doubtful account,7.833333333333334
42,wholly owned collectively,7.833333333333333
43,final nave,7.820728291316526
44,installment payment,7.804758471521268
45,equity method investee,7.802748226950355
46,yktg solutions,7.792485238862051
47,advantage solutions,7.781305114638449
48,cash flow,7.768370256635227
49,cash flow,7.768370256635227
50,cash flow,7.768370256635227
51,cash flow,7.768370256635227
52,financial lender,7.76728209531988
53,financial statement,7.762538262302803
54,financial statement,7.762538262302803
55,financial statement,7.762538262302802
56,wireless provider,7.760484622553588
57,fasb issued asu,7.752688172043011
58,identifies area,7.752688172043011
59,interest rate,7.739354395604396
60,term loan,7.726386473429951
61,unused product,7.72
62,cell tower site,7.7
63,joint venture,7.7
64,venture partner,7.7
65,month,7.697758625849119
66,interest rate,7.69587613473483
67,cash flows,7.691298392329321
68,technology,7.666666666666667
69,active market,7.641304347826087
70,accounting policies,7.623161764705882
71,customer decommissioning service,7.621538461538462
72,source,7.617059891107078
73,guidance,7.615942028985507
74,financial reporting,7.6106739975353115
75,yktg solutions,7.609876543209877
76,disclosures defines fair,7.6089743589743595
77,recurring item,7.595238095238095
78,credit,7.574324324324325
79,stock option,7.55
80,stock option,7.55
