,0,1
0,tax rates,9.0
1,freight charges,8.75
2,recurring items,8.666666666666666
3,contractual term,8.644927536231885
4,remain largely unchanged,8.625
5,system operators,8.6
6,estate markets,8.5
7,addvantage technologies group,8.484210526315788
8,surety payment bond,8.4375
9,pricing information,8.333333333333334
10,transfer costs,8.316666666666666
11,price allocation,8.269841269841269
12,purchase price,8.269841269841269
13,condensed statements,8.131358968235013
14,day libor rate,8.08641975308642
15,merger activities,8.08
16,forma earnings,8.022222222222222
17,expected term,8.015297906602255
18,annual periods,8.000320512820512
19,broker quotes,8.0
20,materially adversely affected,8.0
21,forma basis,7.954545454545455
22,fringe benefits,7.953488372093023
23,financial statements,7.875856267275568
24,dividend yield,7.87037037037037
25,commodity prices,7.852941176470589
26,financial lender,7.809520616828696
27,annual installments,7.805681818181818
28,inventory quantities,7.7846153846153845
29,term loan agreement,7.776823163540356
30,financial statements,7.7619322166426565
31,historical information,7.761904761904763
32,charge ratio,7.7596491228070175
33,installment payments,7.7375
34,technology,7.7368421052631575
35,identifies areas,7.7272727272727275
36,rate term loan,7.716056769440629
37,complex estimates,7.703703703703704
38,cell tower sites,7.7
39,interest rate,7.689753086419753
40,unused products,7.688888888888889
41,cable television operators,7.688552188552189
42,cable television networks,7.688552188552189
43,equity method investee,7.632888568337541
44,income tax consequences,7.632
45,reporting units,7.630434782608695
46,financial reporting,7.595456191551456
47,stock options,7.587301587301587
48,stock options,7.587301587301587
49,stock options,7.587301587301587
50,venture partner,7.586206896551724
51,venture partners,7.586206896551724
52,term loan,7.5779938238659454
53,interest expense,7.558135593220339
54,interest expense,7.558135593220339
55,credit,7.551724137931035
56,economic conditions,7.550925925925926
57,cash flow,7.542937853107345
58,securities exchange act,7.5
59,reporting segments,7.498682476943346
60,employee stock options,7.4873015873015865
61,rate loan,7.471129233208744
62,final nave,7.454459203036054
63,inventory items,7.4512820512820515
64,bad debts,7.428571428571429
65,expense section,7.39924670433145
66,guarantee agreements,7.390756302521009
67,cash flows,7.389996676636757
68,cash flows,7.389996676636756
69,cash flows,7.389996676636756
70,accounting policies,7.389557926829268
71,employee share,7.386211901306241
