,0,1
0,urea cycle disorder,9.0
1,biomarker strategy,9.0
2,solid tumor,8.91304347826087
3,homocystine,8.586206896551724
4,toxicology study,8.5
5,consolidated statements,8.48966613672496
6,line method,8.48
7,capital resources sources,8.418604651162791
8,genetic disease,8.4
9,global market,8.342465753424658
10,examination,8.329896907216495
11,identification method,8.23
12,stock split,8.220319634703197
13,amino acid,8.204545454545453
14,additional equity,8.19047619047619
15,toxicology study,8.19047619047619
16,manufacturing partner,8.139194139194139
17,committed capital,8.109080841638981
18,line basis,8.10204081632653
19,government regulation,8.058823529411764
20,digit royalty,8.051282051282051
21,property portfolio,8.03448275862069
22,purchased cash,8.026398739164698
23,months,8.01896474788041
24,escalation trial,8.018354430379746
25,listing rule,8.0
26,repurchase agreement,8.0
27,clinical trial,7.945098616426258
28,split certificate,7.916666666666666
29,expenditure limitation,7.906666666666668
30,worldwide license,7.891891891891892
31,public offering,7.88909090909091
32,capital stock,7.888924285865986
33,resource function,7.864787386526517
34,substantial loss,7.8601190476190474
35,executive officer,7.857142857142858
36,human enzyme,7.846153846153847
37,leasehold improvement,7.846153846153847
38,balance sheet arrangements,7.819310344827587
39,balance sheet arrangement,7.819310344827587
40,monetary amount,7.815602836879432
41,regulatory approval,7.810987903225806
42,regulatory approval,7.810987903225806
43,regulatory approval,7.810987903225806
44,months,7.808014667365113
45,employee compensation,7.805780933062881
46,common stock,7.79464395902752
47,common stock,7.79464395902752
48,month,7.79141983770077
49,amino acid arginine,7.787878787878787
50,grant,7.782051282051282
51,outstanding grant,7.782051282051282
52,objective expectation,7.777777777777778
53,shares,7.777777777777778
54,tax benefit,7.750997150997151
55,preferred stock,7.743083862345472
56,cash flows,7.73936170212766
57,disease therapy,7.733333333333334
58,capital resource,7.722952477249747
59,average number,7.722222222222222
60,owned subsidiary,7.714285714285714
61,repeat dosing,7.714285714285714
62,institution employee,7.712643678160919
63,months,7.708342805182997
64,additional personnel,7.690476190476191
65,cash cash,7.682427107959024
66,service audit,7.664285714285715
67,capital expenditure requirement,7.658604651162791
68,fasb issued asu,7.6526038233355305
69,interim period,7.6395038167938925
70,clinical trial,7.635574806902449
71,accounting policies,7.634920634920634
72,contract cover,7.609443402126329
73,administrative expenses,7.604651162790698
74,additional funding,7.59047619047619
75,month,7.5804697571854724
76,net loss,7.5625
77,additional cost,7.552014652014652
78,biotechnology company,7.544031311154599
79,shelf registration statement,7.526083112290008
80,preferred stock,7.525447839831401
81,period employees,7.523594725884802
82,insurance premium,7.516339869281046
83,significant expense,7.509031198686371
84,development activity,7.50504761904762
85,cash rent payment,7.492587508579272
86,month,7.480797895003356
87,accounting policy,7.477906477906478
88,based compensation,7.4766871301549855
89,financial statement,7.468390804597702
90,tax position,7.461645299145299
91,approval milestone,7.458046726755217
92,regulatory approval,7.453845046082949
93,form cystine,7.45
94,employee headcount,7.444786535303777
95,current liabilities,7.442890442890443
96,clinical trial,7.4322781036057455
97,december,7.405305236405994
98,safety tolerability pharmacokinetics,7.4
99,royalty consideration,7.395032051282051
100,unrealized gain,7.388888888888889
101,dilution provision,7.384615384615385
102,sec requirement insurance,7.381074168797954
103,milestone payment,7.380181537197521
104,development milestone,7.3692657200811365
105,bond issuer property,7.3678160919540225
106,period presentation,7.359958362248439
107,nonclinical expense,7.345648604269295
108,effort,7.345098039215687
109,behalf amounts,7.344444444444444
110,company,7.335475161421979
