,0,1
0,urea cycle disorder,9.0
1,listing rules,9.0
2,biomarker strategy,9.0
3,solid tumors,8.967741935483872
4,subsidiary corporations,8.88888888888889
5,expenditure limitation,8.762820512820513
6,credit quality,8.666666666666666
7,rated banks,8.615384615384615
8,shareholder approval,8.517857142857142
9,toxicology studies,8.514285714285714
10,disease therapy,8.5
11,global market,8.327868852459016
12,manufacturing partner,8.324242424242424
13,product candidate,8.24561403508772
14,product candidate,8.24561403508772
15,product candidate,8.24561403508772
16,fasb issued asu,8.214634146341464
17,months,8.212121212121211
18,toxicology studies,8.196103896103896
19,consolidated statements,8.173160173160174
20,committed capital,8.124125874125873
21,accounting policies,8.07173601147776
22,amino acid arginine,8.058823529411764
23,capital expenditure requirements,8.057692307692308
24,additional equity,8.056818181818182
25,examination,8.051282051282051
26,repurchase agreements,8.037037037037038
27,royalty consideration,8.026607538802661
28,investor relations,8.004566210045663
29,digit percentages,8.0
30,life science companies,8.0
31,genetic diseases,8.0
32,stock split,7.979661016949152
33,split certificate,7.976470588235294
34,contract manufacturing organization,7.957575757575757
35,accounting pronouncements,7.949186991869919
36,product candidate,7.927432216905901
37,regulatory approval,7.891190476190475
38,regulatory approval,7.891190476190475
39,regulatory approval,7.891190476190475
40,regulatory approval,7.891190476190475
41,human enzymes,7.846153846153847
42,resources functions,7.841524216524217
43,property portfolio,7.829326923076923
44,1/2 protocol,7.819444444444445
45,public offering,7.8180484225972116
46,capital resources,7.812678062678063
47,contract manufacturing organizations,7.809427609427608
48,direct incremental legal,7.785714285714286
49,tax benefits,7.746091307066917
50,additional funding,7.717532467532467
51,repeat dosing,7.714285714285714
52,money market funds,7.694535519125683
53,additional costs,7.686384391863844
54,additional personnel,7.681818181818182
55,financial statements,7.664388243335612
56,product candidate,7.662280701754385
57,balance sheet arrangements,7.659113300492611
58,monetary amount,7.648484848484848
59,grant contract,7.648087431693989
60,lease classifications,7.623068630973769
61,capital stock,7.621968709256845
62,trial,7.620915032679738
63,government regulation,7.588235294117647
64,substantial losses,7.567619047619048
65,circulating levels,7.551282051282051
66,preferred stock,7.549423330107692
67,regulatory approval,7.5340476190476195
68,acid metabolism,7.5019607843137255
69,digit multiple,7.5
70,trial sites,7.496142719382835
71,credit risk,7.491551459293396
72,financial statements,7.47391205285942
73,cancer treatments,7.473076923076923
74,biotechnology company,7.470149253731343
75,aeglea biotherapeutics holdings,7.462406015037594
76,office space,7.461956521739131
77,equity incentive plans,7.458333333333334
78,clinical trials,7.453103216191529
79,form cystine,7.45
80,additional funds,7.4387287509238735
81,common stock,7.426648968756382
82,accounting model,7.423704898206006
83,dollar terms,7.421052631578947
84,product candidates,7.418027828191168
85,product candidates,7.418027828191168
86,stock appreciation rights,7.410430247718383
87,grant revenues,7.3874813710879295
88,obligation,7.384615384615385
89,shelf registration statement,7.357142857142858
90,intellectual property,7.3556427125506065
91,additional financing,7.324675324675324
92,annual periods,7.31789594053745
93,clinical trials,7.3167395798278925
94,escalation trial,7.309803921568626
95,underwriting discounts,7.300000000000001
96,unrealized gains,7.3
97,development activities,7.298684210526315
98,patent rights,7.286324786324786
99,preferred stock,7.251616088904225
100,quarterly report,7.25
101,offering price,7.2391010541761585
102,stock units,7.235216572504708
103,tax positions,7.232371794871795
104,drug product,7.225412014885698
105,equity instruments,7.208333333333334
106,arginine levels,7.2081447963800915
107,interest income,7.2072170585019135
108,amino acids,7.205882352941177
109,arginine excess,7.20024174053183
110,manufacturing expenses,7.187165356573251
111,grant,7.178267611874169
112,outstanding grant,7.178267611874169
113,liquid investments,7.17094017094017
114,expansion arms,7.166666666666666
115,income tax expense,7.166572674637191
116,gross proceeds,7.153401797175867
117,tax assets,7.129941239316239
118,significant expenses,7.117559523809524
119,nonclinical expenses,7.10254557384026
120,product candidates,7.099846010009349
121,manufacturing expenses,7.089420995670995
122,loss position,7.088400488400488
123,contract research organizations,7.08054942359578
124,proceeds,7.072756635885543
125,market data,7.07072599531616
126,service period,7.055181023720349
127,sec regulations,7.053571428571429
128,additional capital,7.052697302697303
129,security deposit requirement,7.035294117647059
130,research companies,7.03498687992003
131,party service providers,7.017460317460317
132,nonclinical expenses,7.0048012129380055
133,compensation arrangements,6.997227997227997
134,approval milestones,6.991190476190477
135,valuation allowance,6.986194808775455
136,license agreements,6.984405458089669
137,product candidates,6.968027828191167
138,nonclinical studies,6.965019466906259
139,rent liability,6.963312368972747
140,contract manufacturing costs,6.962141967621419
141,service providers,6.961904761904762
142,vesting schedule,6.958333333333334
143,accounting policies,6.952688392430143
144,common stock,6.940162482269896
145,financial institutions,6.916136495083863
146,financial statements,6.906812485759854
147,employee headcount,6.902972027972028
148,performance date,6.9
149,clinical trials,6.882396145484458
150,reimbursable costs,6.879566210045662
151,working capital,6.878021978021978
152,efforts,6.874509803921569
153,increased costs,6.871232876712329
154,reporting period,6.871054039593366
155,research organizations,6.8668882214099884
156,development programs,6.865724762726488
157,contracted amounts,6.863829787234042
158,costs,6.862803757938383
159,topline data,6.85
160,common stock,6.841283115097845
161,contractual obligations,6.834175084175084
162,require,6.829905613512171
163,safety monitoring,6.826330532212885
164,party transactions,6.817460317460318
165,interim periods,6.813566936208446
166,owned subsidiaries,6.809523809523808
167,milestone payments,6.801282051282051
168,financial instruments,6.8007518796992485
169,adverse effect,6.8
170,preferred share,6.77626637819919
171,preferred shares,6.772988119610153
172,cash equivalents,6.766871363930187
173,amount,6.756818181818182
174,payment obligations,6.750841750841751
175,payment accounting,6.75046904315197
176,cash equivalents,6.743061840120664
177,stage biotechnology company,6.742876526458616
178,intellectual property,6.698892140468228
179,license fee,6.689792663476874
180,noncumulative dividends,6.684210526315789
181,period presentation,6.664842859469141
182,hematological malignancies,6.662812133400369
183,patent application,6.65
184,clinical trials,6.647997363140471
185,development capabilities,6.643502540504266
186,current liabilities,6.640182030625423
187,accumulated depreciation,6.625152625152625
188,accounts,6.617135050741608
189,common stock,6.6158381579455705
190,adverse impact,6.6083333333333325
191,stock awards,6.607943845231981
192,net loss,6.601788165568734
193,equity securities,6.595946285140562
194,aeglea biotherapeutics,6.595739348370927
195,executive officer,6.571428571428571
196,product revenues,6.561819568684557
197,lease agreement,6.557434225490939
198,cash rent payments,6.553846153846154
199,nonclinical studies,6.549272594205744
