,0,1
0,reviewed journal,9.0
1,mdr acinetobacter baumannii,9.0
2,san francisco,9.0
3,application thereto,9.0
4,neonatal sepsis,9.0
5,producing enterobacteriaceae,9.0
6,antibiotic incentives,8.904761904761905
7,producing pathogen,8.68421052631579
8,resistant pathogen,8.588972431077694
9,consolidated statements,8.57852564102564
10,drug application ind,8.555555555555555
11,operating officer,8.5
12,authorize sublicenses related,8.446666666666667
13,inducement exemption,8.434782608695652
14,preferred stock,8.41390728476821
15,therapeutic antibody,8.4
16,bacterial infection,8.395833333333334
17,medical officer,8.375
18,thermo fisher,8.333333333333332
19,representation warranty,8.3125
20,application method,8.305555555555555
21,accounting policy,8.293522267206479
22,marketing authorization application,8.285714285714285
23,owned subsidiary,8.285714285714285
24,balance sheet arrangements,8.269841269841269
25,fide period,8.091503267973856
26,security,8.07857142857143
27,pharmaceutical ingredient,8.074074074074074
28,average number,8.068421052631578
29,balance sheet,8.040674603174605
30,average price,8.027511961722489
31,epic trial,8.0108566252588
32,income tax,8.003663003663004
33,average period,7.959924320605435
34,cash,7.94727668845316
35,patent protection,7.926666666666667
36,iii service,7.893203883495145
37,arm cohort,7.888888888888889
38,lactamase inhibitor,7.868421052631579
39,step decision sequence,7.863636363636363
40,funds,7.852873563218391
41,care trial,7.8342693236714975
42,consulting audit,7.833333333333333
43,consolidated statement,7.811654475381468
44,committed funding,7.768219944082013
45,substantial loss,7.7665903890160175
46,monthly payment,7.75
47,broad enrollment,7.75
48,accounting policy,7.740188933873144
49,net loss,7.734283625730995
50,infectious diseases,7.725563909774436
51,rise,7.72463768115942
52,negative infection,7.7201576576576585
53,substantial expense,7.719333950046252
54,work plans,7.6952380952380945
55,carbapenem antibiotic,7.682539682539683
56,equipment net,7.681652046783626
57,common stock,7.677976548837476
58,positive data,7.656370656370656
59,executive office,7.6410256410256405
60,leasehold improvement equipment,7.62609649122807
61,compensation cost,7.61284437146506
62,epic study,7.612571260898726
63,negative bacteria,7.61003861003861
64,substantial expenditure,7.608695652173912
65,shelf registration statement,7.608128834355828
66,gross proceeds,7.6
67,advance funds,7.598111658456487
68,tax liability,7.577572964669739
69,net proceeds,7.576388888888889
70,fasb issued asu,7.571847507331379
71,united states,7.555555555555555
72,advance payment,7.553571428571429
73,accounting policies,7.535603715170279
74,substantial research,7.51541207008436
75,efficacy data,7.513513513513514
76,clinical trial,7.500935990338164
77,customers,7.485714285714286
78,quot,7.4753086419753085
79,debt instrument,7.464705882352941
80,bacterial infection,7.4596631205673765
81,basis,7.457142857142857
82,ill patient,7.453488372093023
83,lease quot,7.449172576832151
84,annual period,7.439329354930378
85,care study,7.435983959311424
86,financial statement,7.434425743848102
87,additional information,7.431406384814496
88,quot allowance quot,7.430555555555555
89,institution serf,7.430463576158941
90,licensed product,7.428354371201496
91,sublicense revenue payment,7.4264705882352935
92,quot,7.422222222222222
93,cash flow,7.41764705882353
94,worldwide license,7.407407407407407
95,dividend rate,7.400584795321638
96,asset prepaids,7.388888888888888
97,current asset,7.388888888888888
98,accounting policy,7.381757561324125
99,advanced research,7.377304653204566
100,stock option,7.363345487015403
101,market development,7.361105266849007
102,preclinical study,7.359595070422535
103,drug candidate,7.35892634207241
104,qualified research,7.353383084577115
105,net proceeds,7.343055555555555
106,stock plan,7.333660371187965
107,stock plan,7.333660371187965
108,drug application nda,7.333333333333333
109,funding requirements,7.313229018492176
110,line basis,7.311688311688313
111,product candidate,7.3114353026458865
112,common stock,7.307606178467106
113,additional funding,7.307335632139624
114,charitable foundation,7.301044634377968
115,monthly payment,7.293032786885246
116,commercial launch,7.283333333333334
117,term investment,7.283008690440516
118,net cash,7.269035947712419
119,expense,7.268533034714445
120,debt obligation,7.265789473684211
121,cash cash,7.264923747276689
122,financial asset,7.263796909492274
123,pay royalty,7.260714285714286
124,fisher plan,7.253086419753086
125,cash flow,7.241971383147854
126,administrative expenses,7.240847387906211
127,planned operation,7.236714975845411
128,investment revenue recognition,7.236134125011507
129,operating plan,7.2253086419753085
130,additional financing,7.21912568306011
131,bank deposit cash,7.21764705882353
132,unexercised page,7.214285714285715
133,physician market research,7.212838866890039
134,wa,7.210108604845447
135,financial covenant,7.180463576158941
136,stock compensation expense,7.179717996433656
137,stock proceeds,7.177976548837476
138,common stock,7.177976548837475
139,derivative instrument,7.171515918195235
140,day,7.169230769230769
141,related party,7.160952380952381
142,operating asset,7.159722222222222
143,credit risk,7.137931034482758
144,payment cash flows,7.137091503267975
145,net cash,7.136893090569561
146,asprepaid,7.133333333333334
147,material manufacturing process,7.133333333333334
148,comprehensive model,7.131124913733609
149,offering proceeds,7.123287671232877
150,public offering,7.123287671232877
151,period,7.121503267973857
152,gates foundation,7.12127119144663
153,committed funding,7.1206789604754555
154,company,7.119472350343647
155,common stock,7.115476548837476
156,plan options,7.10976798954941
157,access commitments,7.109265734265735
158,note thereto,7.1024043715847
159,future period,7.10202958376333
160,clinical trial,7.094685990338164
161,trial progress,7.094685990338164
162,tax service rent,7.093203883495145
163,important data,7.084942084942085
164,cash proceeds,7.084313725490196
165,outstanding payment,7.080339221196307
166,maturity assets,7.08
167,loan balance,7.072804634488234
168,financial statement,7.0683543152766735
169,additional funding,7.066926424978499
170,debt financing,7.066666666666666
171,grant options,7.065014903129657
172,plazomicin,7.061227365602762
173,ionis,7.053651266766021
174,net headcount,7.049487219130076
175,operating lease,7.048378926038501
176,atm equity program,7.0338495575221245
177,management,7.029761904761905
178,million wa added,7.029156223893066
179,money market,7.014455782312925
180,service fee,7.013685811205988
181,financial statement,7.01141849747129
182,financial statement,6.996925743848102
183,gates foundation,6.995134827810267
184,cash dividend,6.979551820728291
185,material agreement,6.967845659163987
186,external expense,6.9573049645390075
187,trading day,6.956730769230769
188,financial information,6.956077611246661
189,regulatory approval,6.949520624303233
190,stock price comparison,6.947998193859121
191,term liability,6.945759388175312
192,cash dividend,6.936694677871149
193,cash,6.930980392156863
194,drug administration,6.9222222222222225
195,substantial doubt,6.9209911173445535
196,sale proceeds,6.916666666666667
197,improvement allowance,6.914959016393443
198,debt security,6.914935064935065
199,recurring adjustment,6.9125
200,operating expense,6.89985398414685
201,based compensation,6.88540622917356
202,program laboratory supply,6.8825337680484395
203,net loss,6.880950292397661
204,phase study,6.880428403755868
205,patient,6.873778227165487
206,stock option,6.871542208326878
207,market offering,6.866910120212468
208,revenue costs,6.864803921568627
209,stock option,6.863345487015403
210,cash requirement,6.863101604278075
211,product candidate,6.849896841107425
212,net sale,6.840881642512078
213,current asset,6.835555555555555
214,committed funding,6.834886610748681
215,allotment option,6.8326349235586665
216,retrospective basis,6.832053251408091
217,work plans,6.824270353302611
218,market data,6.8196359624931056
219,antidilutive impact,6.810496453900709
220,gates foundation,6.80049197066741
221,plan,6.799504548408057
222,additional funding,6.798018861953288
223,annual return,6.792270531400966
224,foreseeable future,6.790526315789474
225,wa primarily due,6.788975986064452
226,inducement plan,6.774825550187869
227,safety microbiology,6.7727272727272725
228,research,6.769391543472171
229,platform technology,6.763636363636364
230,development manufacturing registration,6.7633161512027495
231,solar capital,6.762800417972832
232,clinical trial,6.7613526570048315
233,development conditions,6.757685520572119
234,marketing approval,6.754047619047618
235,development authority,6.753363384671035
236,company,6.7522208883553425
237,balance sheet date,6.743915343915344
238,regulatory approval,6.729230769230769
239,manufacturing agreement,6.727845659163988
240,cuti,6.7060041407867494
241,substantial research,6.705556997620593
242,commercial validation,6.702564102564103
243,preclinical study,6.692928403755869
244,facility lease,6.68446669447921
245,company,6.68310871398001
246,development manufacturing,6.682433798261573
247,net property,6.681652046783626
248,liability instrument,6.679752967105496
249,financing requirement,6.67719298245614
250,health threat,6.666666666666667
251,expense advance payment,6.664209726443769
252,common share,6.657844559058718
253,approval,6.645554221688675
254,product candidate,6.64476863597922
255,aggregate amount,6.643589743589743
256,related cost,6.639632741985682
