,0,1
0,san francisco,9.0
1,applications thereto,9.0
2,neonatal sepsis,9.0
3,accounting pronouncements,8.596153846153847
4,balance sheets,8.545219638242894
5,step decision sequence,8.5
6,spectrum beta,8.428571428571429
7,accounting policies,8.396153846153846
8,therapeutic antibodies,8.384615384615385
9,authorize sublicenses related,8.362068965517242
10,medical officer,8.321428571428571
11,blood stream infections,8.295774647887324
12,owned subsidiary,8.285714285714285
13,operating officer,8.270547945205479
14,balance sheet,8.267441860465116
15,stock appreciation rights,8.255369928400954
16,inducement exemption,8.233333333333334
17,grade credit ratings,8.23076923076923
18,mdr acinetobacter baumannii,8.11111111111111
19,executive offices,8.092592592592592
20,pharmaceutical ingredient,8.0625
21,fide period,8.006993006993007
22,thermo fisher,8.0
23,consolidated statements,7.940891772217073
24,exercise dates,7.931506849315069
25,statistical superiority,7.9
26,raw materials,7.866666666666667
27,accounting policies,7.780364372469636
28,securities,7.777272727272727
29,income tax consequences,7.769230769230769
30,service period,7.756993006993007
31,substantial expenses,7.712969786293293
32,interest rate,7.6835607537361925
33,committed funding,7.674702667952427
34,shelf registration statement,7.673809523809523
35,substantial losses,7.6684782608695645
36,service fees,7.659090909090909
37,rise,7.568181818181818
38,positive data,7.567857142857142
39,united states,7.555555555555555
40,preferred stock,7.5494875754597786
41,product candidate,7.546511627906977
42,marketing authorization application,7.535714285714286
43,related notes,7.528735632183908
44,work plans,7.522197558268591
45,financial statements,7.479790373615675
46,unrecognized stock,7.4775921506231775
47,application methods,7.472222222222221
48,substantial expenditures,7.466555183946488
49,monthly payments,7.460917144346014
50,balance sheet arrangements,7.45740601817121
51,debt obligations,7.443486590038313
52,gross proceeds,7.439868462261195
53,operating plans,7.428869183715397
54,advanced research,7.420068728522337
55,annual period,7.41875771287536
56,melinda gates foundation,7.4172445677300045
57,stock options,7.376389036681209
58,stock options,7.376389036681209
59,stock options,7.376389036681209
60,broad enrollment,7.375
61,additional financing,7.37353228962818
62,charitable foundation,7.37029637029637
63,net proceeds,7.338265217138538
64,compensation costs,7.333730158730159
65,substantial research,7.323546989391901
66,comprehensive model,7.323153899240856
67,public offering,7.311567620445096
68,net loss,7.309924269108841
69,derivative instrument,7.3059163059163055
70,basis,7.3
71,accounting policy,7.291556145004421
72,bacterial infections,7.273552425665102
73,trial accruals,7.26302195436935
74,preclinical studies,7.260869565217391
75,common stock,7.247992879220626
76,commercial launch,7.246296296296297
77,signing fee,7.224206349206349
78,balance sheet classification,7.216936809960067
79,ill patients,7.213333333333333
80,commercialization rights,7.202865761689291
81,stock units,7.1996514533276414
82,simulation model,7.199494949494949
83,clinical trials,7.194372068785826
84,assets prepaids,7.193537056550755
85,fasb issued asu,7.190510465789691
86,trading day,7.1875
87,purpose discovery platform,7.179962894248609
88,product candidate,7.179844961240311
89,term investments,7.1490175621631025
90,qualified research,7.142137694039579
91,stock units,7.1398396253706515
92,market developments,7.122448979591837
93,financial statements,7.1137773017202495
94,external expenses,7.1105078593620235
95,expenses,7.106991525423728
96,sums,7.105092091007584
97,facility lease,7.102106227106227
98,financial covenants,7.096590909090909
99,bacterial infections,7.0963256120746525
100,royalties,7.084962406015038
101,reporting periods,7.075612486009202
102,related costs,7.0707991242474
103,unrealized gain,7.069951007076756
104,arm cohort,7.065217391304348
105,pricing model,7.063131313131313
106,term loans,7.061439473515781
107,stock awards,7.0582373119135
108,facility expenses,7.05044390637611
109,property rights,7.044117647058823
110,offering proceeds,7.0431313469478845
111,fluoroquinolone,7.04210236653825
112,financial statements,7.03534592917123
113,advance payments,7.0295261669024045
114,platform technology,7.0144300144300145
115,cash equivalents,7.007982929584536
116,stock awards,6.9984254839565105
117,important data,6.996428571428571
118,exercise price,6.9945699123781315
119,current assets,6.993537056550755
120,additional information,6.987734947435489
121,medicines agency,6.974025974025974
122,cre infections,6.970193252538487
123,equity offerings,6.967227564102564
124,fda granted fast,6.964627477785372
125,debt financing,6.962931034482759
126,monthly payments,6.954877454958611
127,financing arrangements,6.954810901001113
128,manufacturing processes,6.94927536231884
129,common stock,6.947992879220626
130,net sales,6.946362177605573
131,income taxes,6.94501763092595
132,balance sheet date,6.942901492759281
133,controlled study,6.9375
134,cash,6.929594905854467
135,cash requirements,6.92548048579177
136,sales proceeds,6.9147788565264285
137,physician market research,6.902517708114174
138,committed funding,6.89692489017465
139,cash flows,6.892846453157738
140,money market,6.890630797773655
141,antibiotic incentives,6.888888888888889
142,gram,6.886621315192743
143,financing requirements,6.88386524822695
144,notes thereto,6.8768115942028984
145,stock options,6.876389036681209
146,money market funds,6.867903525046382
147,net proceeds,6.866434231223044
148,additional financing,6.859246575342466
149,annual return,6.856209150326798
150,sublicense revenue payments,6.856038158560382
151,specific trial,6.855964325529543
152,credit risk,6.855769230769231
153,additional funding,6.8368893715914
154,asprepaid,6.833333333333333
155,priority review,6.832220943613349
156,drug candidates,6.827586206896552
157,money market,6.822448979591837
158,tax liabilities,6.813676835498468
159,equity incentive plans,6.80375393081761
160,liability instrument,6.801020408163265
161,health threat,6.794326241134752
162,cash dividends,6.789549749861034
163,period,6.780826678392602
164,payment accounting,6.773522503540466
165,financial statements,6.768679262504564
