,0,1
0,cortlandt town center,8.806451612903226
1,bankruptcy court,8.666666666666666
2,substantial doubt,8.571428571428571
3,op units,8.562480772721628
4,financial practice,8.527896995708154
5,financial institution,8.527896995708154
6,wa originally formed,8.508064516129032
7,winning bid,8.508064516129032
8,representation covenant,8.5
9,require extensive quantitative,8.466666666666667
10,quarterly dividend,8.4
11,wilmington,8.38888888888889
12,ltip,8.380952380952381
13,consumer price index,8.354166666666666
14,balance sheets,8.341463414634147
15,ownership limitation concentration,8.3125
16,leasable space,8.277777777777779
17,life,8.25
18,cost vehicle,8.246913580246915
19,analyst community ffo,8.242424242424242
20,balance sheet,8.223816355810618
21,balance sheet arrangements,8.223816355810616
22,period presentedare,8.214285714285715
23,error,8.2
24,equity style,8.186567164179104
25,distributed pro rata,8.166666666666666
26,foot portfolio,8.161347517730496
27,ltip units,8.159578335150854
28,ltip units,8.159578335150854
29,business combinations,8.15909090909091
30,wa originally scheduled,8.144428152492669
31,safety requirement,8.142857142857142
32,op units,8.113702206921785
33,incentive plan,8.053030303030303
34,op units,8.046903265122843
35,months,8.045454545454545
36,balance sheets,8.029582226515334
37,months,8.009389671361502
38,rata share,8.0
39,inflation index,8.0
40,month,7.969696969696969
41,master lease position,7.939873417721519
42,estate tax,7.9389140271493215
43,public equity,7.936567164179104
44,month,7.933632095603926
45,forma charge,7.928571428571429
46,manassas eden,7.916666666666666
47,month,7.912194231471339
48,balance sheet,7.911935167691805
49,cash flows,7.8957983193277315
50,financial statements,7.893435162428052
51,seasonal cost,7.8832772166105505
52,intercompany balance,7.868736141906874
53,public offering,7.867647058823529
54,asu outline,7.85258358662614
55,real estate,7.8426573426573425
56,lived asset,7.826388888888889
57,financial instrument,7.826142609743242
58,financial instrument,7.826142609743242
59,restricted shares,7.818796992481204
60,price averaging strategy,7.808712121212121
61,real estate,7.803503427265803
62,fiscal year,7.788576300085252
63,equivalent payment,7.777011494252873
64,financial statement,7.771571363144898
65,cash outflow,7.765136298421808
66,redemption date,7.757894736842105
67,city point project,7.75
68,common shares,7.741798941798942
69,acadia mervyn investors,7.732323232323232
70,cash dividend,7.697385620915032
71,phase,7.69263970922308
72,tower sale,7.689655172413794
73,plaza equity,7.686567164179104
74,quarterly distribution,7.684835210680017
75,market data,7.679487179487179
76,quarterly distribution,7.6781862745098035
77,anchor tenant,7.666666666666668
78,shopping center,7.660997067448681
79,shopping center,7.6609970674486805
80,ltip units,7.659578335150854
81,year beginning,7.656811594202898
82,plaza,7.653846153846153
83,funds fees,7.653179190751445
84,cash flow,7.650153720024596
85,analyst community noi,7.642857142857142
86,real estate,7.615384615384615
87,ground lease,7.603334956183057
88,foot property,7.589441535776613
89,inherent opportunity,7.581818181818182
90,year master lease,7.566685011924418
91,retail corridor,7.5625
92,structured financing,7.557198142414861
93,realty trust,7.55050505050505
94,term potential,7.542207792207792
95,negative covenant,7.522727272727273
96,term sources,7.513636363636364
97,consolidated statements,7.512824988425324
98,average rate,7.485714285714286
99,preferred return,7.482743406216295
100,core portfolio,7.480395136778116
101,core portfolio,7.480395136778116
102,year period,7.479986197377502
103,gaap requires,7.4787878787878785
104,financing portfolio,7.476878993478691
105,ground lease,7.473964326812428
106,derivative position,7.4734314980793854
107,financial instruments,7.467290935102094
108,risk uncertainty,7.465437788018432
109,flows classification,7.452941176470588
110,cash flow,7.4480631276901015
111,additional term,7.446969696969697
112,leasing cost,7.446913580246914
113,nature amount timing,7.441860465116279
114,interest,7.435374149659864
115,significant influence,7.4199556541019955
116,consolidated statement,7.410341034103411
117,common shares,7.408465608465608
118,net income,7.403479661543239
119,equity investor,7.40278338039532
120,leases asu requires,7.398038132080686
121,cash flow,7.397406467277342
122,cash payments,7.391239048811014
123,consolidated statement,7.390961189142169
124,report constitute forward,7.375
125,reporting period,7.369841269841269
126,trust,7.36950146627566
127,unsecured line,7.367293233082707
128,capital commitment,7.367160951498301
129,ground lease,7.364873417721519
130,comprehensive income,7.362155388471178
131,consolidated property,7.360893680991136
132,consolidated property,7.360893680991136
133,income tax expense,7.359154187990986
134,loan cost,7.3580246913580245
135,full amount,7.353625170998631
