,0,1
0,metropolitan areas,9.0
1,cortlandt town center,9.0
2,stores corporation,9.0
3,city point project,9.0
4,park center,8.75
5,financial practices,8.671875
6,financial institutions,8.671875
7,bankruptcy court,8.666666666666666
8,substantial doubt,8.571428571428571
9,quarterly dividend,8.55151515151515
10,require extensive quantitative,8.466666666666667
11,intercompany balances,8.46551724137931
12,consumer price index,8.452054794520548
13,investor returns,8.365384615384615
14,ltip,8.333333333333334
15,balance sheets,8.292682926829269
16,unamortized premium,8.266666666666666
17,financial statements,8.259672914105565
18,contingent features,8.241071428571429
19,op units,8.20109115903428
20,balance sheet,8.149825783972126
21,equivalent payments,8.138936535162951
22,theinterim periods,8.112903225806452
23,balance sheets,8.08909011245801
24,months,8.065855558241346
25,leasable space,8.055555555555555
26,personal guarantee,8.0
27,tower sales,8.0
28,shelf registration,8.0
29,financial instruments,7.990715579710145
30,financial instruments,7.990715579710145
31,fiscal year,7.988835725677831
32,significant renovation,7.9655172413793105
33,balance sheet,7.946232969600867
34,months,7.925980618366406
35,estate taxes,7.918382352941176
36,price averaging strategy,7.906600249066003
37,bank,7.902930402930403
38,real estate,7.902289538569919
39,redemption date,7.845238095238095
40,retail corridors,7.835714285714285
41,anchor tenant,7.833333333333334
42,ltip units,7.833333333333334
43,life investment vehicles,7.828571428571428
44,community shopping centers,7.813186813186814
45,accounting standards codification,7.8
46,accounting pronouncements,7.8
47,seasonal costs,7.785012285012286
48,balance sheet arrangements,7.774825783972125
49,september30,7.769559261945049
50,consolidated statements,7.754464580772231
51,life,7.75
52,general partner/managing member,7.723232323232322
53,ltip units,7.722222222222222
54,real estate,7.721266968325791
55,preferred returns,7.719237252423094
56,structured financing,7.714733989445158
57,quarterly distribution,7.693912577098418
58,op units,7.673696217305958
59,op unit,7.664054121997244
60,tenant costs,7.648648648648649
61,consolidated statements,7.647400563112187
62,managing member,7.645454545454545
63,financing segment,7.6390401290582775
64,financing portfolio,7.627169015434761
65,cash outflows,7.618977020014826
66,gross proceeds,7.616977225672878
67,general partner,7.615277777777777
68,real estate,7.605882352941176
69,additional growth,7.601604278074866
70,term incentive compensation,7.594444444444445
71,market data,7.576086956521739
72,market participants,7.576086956521739
73,fund strategy,7.575288488601182
74,financial statements,7.5743768395879325
75,voting rights,7.571428571428571
76,estate markets,7.534453781512605
77,cash flow,7.50977646180111
78,term ground leases,7.502824858757062
79,public offering,7.5
80,inflation indexes,7.5
81,ltip units,7.5
82,financial instruments,7.490715579710145
83,ground leases,7.486158192090395
84,quarterly distribution,7.47070707070707
85,public equity,7.46987951807229
86,cash flow,7.462727020014826
87,financial instrument,7.421875
88,year master lease,7.409888357256778
89,year period,7.406926406926407
90,significant influence,7.398850574712643
91,master lease position,7.394736842105263
92,cash dividend,7.393299189073837
93,core portfolio,7.392298894395729
94,discount rate,7.383449883449884
95,financial statements,7.372356637567731
96,accounting policies,7.371428571428572
97,consolidated properties,7.3637830721535655
98,reit subsidiary,7.350694444444445
99,credit facilities,7.3452883263009845
100,broughton street portfolio,7.336651053864169
101,department stores,7.333333333333333
102,ground lease,7.3331983805668015
103,restricted shares,7.298412698412698
104,acadia mervyn investors,7.297872340425532
105,ground leases,7.286882829771555
106,net proceeds,7.281930976957565
107,net proceeds,7.281930976957565
108,capital commitments,7.273049645390071
109,forma charges,7.2682926829268295
110,term investment horizon,7.261904761904762
111,rate swap agreements,7.255311355311356
112,nonfinancial asset,7.254901960784315
113,discounted payments,7.231469002695418
114,cash amounts,7.228963524738173
