,0,1
0,consolidated statements,9.0
1,coast hitech,9.0
2,binomial model,9.0
3,duty waste,9.0
4,estate footprint,9.0
5,qualified personnel,9.0
6,ontario canada,9.0
7,square foot,9.0
8,micro devices,8.9375
9,external funding,8.809090909090909
10,fujitsu microelectronics,8.777777777777779
11,joint venture,8.75609756097561
12,custom socs,8.75
13,revolving line,8.722607304718743
14,past adversely impacted,8.67142857142857
15,discrete gpus,8.666666666666666
16,bank,8.578947368421053
17,deferred gain,8.443873517786562
18,joint venture,8.40315638450502
19,balance sheet,8.40079365079365
20,balance sheet arrangements,8.40079365079365
21,derivative suit,8.4
22,retrospective approach,8.333333333333334
23,custom segment,8.305084745762713
24,retrospective method,8.290909090909091
25,tax benefit,8.290605043123314
26,tax benefit comprising,8.290605043123314
27,wa adversely impacted,8.281598062953995
28,joint venture,8.27022185476092
29,deferred rent,8.254782608695653
30,average number,8.25
31,reporting unit,8.231678486997636
32,numerous risk,8.2
33,taxes,8.191007508294046
34,income tax provision,8.182454938236358
35,income tax consequence,8.182454938236358
36,consolidated statement,8.177215189873419
37,debt discount,8.16117216117216
38,interest,8.12807881773399
39,tax gain,8.12756480467324
40,income tax,8.11723754693201
41,generation apus,8.1
42,assembly test mark,8.09090909090909
43,program termination,8.083333333333334
44,catchup method,8.068686868686868
45,adverse effect,8.047116736990155
46,venture relationship,8.041811846689896
47,borrowed amount,8.01048951048951
48,withholding tax,7.970561009919898
49,administrative expense,7.969565217391304
50,commitment fee,7.953560371517028
51,custom system,7.9523809523809526
52,rabbi trust,7.947368421052632
53,desktop,7.94531057178116
54,customers,7.942857142857143
55,condition infringe,7.926966292134832
56,custom product,7.923780487804878
57,chip soc product,7.923780487804878
58,risk factors,7.9228915662650605
59,compensation plan,7.921765252220352
60,tax expense,7.919073595732254
61,observable data,7.890161153519933
62,charge net,7.865646258503401
63,future impairment,7.860256410256411
64,financial position,7.855913978494623
65,industry data provider,7.847222222222222
66,negotiated transaction,7.824324324324325
67,estate transaction,7.824324324324325
68,fasb ha issued,7.820483749055178
69,impairment charge,7.799999999999999
70,operating efficiency,7.7641242937853105
71,financial liabilities,7.751152073732719
