,0,1
0,coast hitech,9.0
1,executive officer,9.0
2,qualified personnel,9.0
3,severe downturns,9.0
4,ordered mediation,8.90909090909091
5,estate footprint,8.90909090909091
6,deferred gains,8.898305084745763
7,fujitsu microelectronics,8.846153846153847
8,external funding,8.809090909090909
9,revolving line,8.732640424590889
10,balance sheets,8.639077340569878
11,micro devices,8.632352941176471
12,derivative lawsuits,8.614285714285714
13,bank,8.578947368421053
14,tax benefits,8.573584905660377
15,tax benefits,8.573584905660377
16,aib partners,8.547619047619047
17,consolidated statement,8.538461538461538
18,processing unit,8.538461538461538
19,processing unit,8.538461538461538
20,quantitative disclosures,8.5
21,derivative suit,8.5
22,chain logistics functions,8.5
23,balance sheet,8.476067936181163
24,retrospective method,8.433333333333334
25,operating efficiencies,8.360995850622407
26,joint venture,8.351284175642087
27,retrospective approach,8.333333333333334
28,program termination,8.333333333333334
29,tax attributes,8.29532403609516
30,ddr memory controllers,8.291666666666666
31,average number,8.25
32,consolidated statements,8.239520958083833
33,thereto,8.20627802690583
34,negotiated transactions,8.11111111111111
35,estate transactions,8.11111111111111
36,deferred rent,8.104583111651593
37,cash dominion,8.095070422535212
38,maturing liabilities,8.07741935483871
39,borrowed amounts,8.047619047619047
40,reporting unit,8.038461538461538
41,tax expense,8.007898076943587
42,venture relationships,7.989939637826962
43,industry data providers,7.965217391304348
44,rabbi trust,7.947368421052632
45,past adversely impacted,7.9405822935234704
46,mutual funds,7.932900432900433
47,materially adversely affected,7.925967752054709
48,observable data,7.8950046253469015
49,joint venture,7.894701542588867
50,income tax consequences,7.890772405660377
51,balance sheet arrangements,7.876067936181164
52,money market funds,7.853596757852078
53,selling price,7.85182663943726
54,7nm technology node,7.803030303030303
55,7nm technology nodes,7.803030303030303
56,tax benefits,7.7958071278825996
57,consumer protection act,7.790598290598291
58,income tax provision,7.762567277455249
59,substantial costs,7.758454106280194
60,debt discount,7.757743362831858
61,ryzen desktop processors,7.753174603174603
62,numerous risks,7.75
63,tax liabilities,7.74930934524485
64,license fee revenue,7.744444444444444
65,joint venture,7.739313071410922
66,securities balance,7.71152052238806
67,tax assets,7.70812187446411
68,interest,7.697302697302698
69,adverse effect,7.6943105110896814
70,tax credits,7.678346810422282
71,early application,7.6764705882352935
72,asset dispositions,7.666666666666667
73,key information,7.666666666666666
74,catchup method,7.6641025641025635
75,intangible assets,7.651616499442586
76,external financing,7.630021141649049
77,balance sheet classification,7.629914090027317
78,deposit accounts,7.60752688172043
79,financial statements,7.589520958083832
80,industry transitions,7.588679245283019
81,desktop,7.572505982135027
82,retrospective method,7.558333333333334
83,taxes,7.556388189606384
84,market conditions,7.544072948328267
85,market conditions,7.544072948328267
86,compensation plan,7.525686618697888
87,computer platform components,7.520833333333334
88,graphics processor unit,7.515909283236016
89,mostsignificant impact,7.506666666666667
