,0,1
0,joint ventures,9.0
1,frank act,8.833333333333334
2,undue reliance,8.714285714285715
3,preferred debenture,8.555555555555555
4,current sound worth,8.51578947368421
5,financial difficulty,8.506896551724138
6,loans,8.440860215053764
7,industry trend,8.435897435897436
8,real estate,8.380414312617702
9,legal reason,8.363970588235293
10,building loans,8.329749103942653
11,original underwriting,8.31578947368421
12,sec sab topic,8.314102564102564
13,debt restructuring,8.307692307692307
14,refinancing debt,8.307692307692307
15,real estate,8.29921773142112
16,banking agencies,8.288084464555052
17,commercial lot,8.26388888888889
18,consumer finance tool,8.214285714285715
19,formally renewed extended,8.210526315789474
20,fiduciary advisors,8.2
21,asc,8.177978034356519
22,wa originally purchased,8.16972010178117
23,exercise price,8.11111111111111
24,expanded capability,8.11111111111111
25,cash flow issue,8.082057961576034
26,financial institution,8.078325123152709
27,transferability loans,8.073887737989544
28,temporary impairment,8.072484166080224
29,mutual fund,8.071428571428571
30,call date,8.071428571428571
31,additional fund,8.0625
32,term investments,8.05
33,capital base,8.033333333333333
34,twelve month,8.019847328244275
35,land,8.011111111111111
36,virginia branch,7.958333333333333
37,loan facility,7.957068062827226
38,residence,7.943014705882353
39,considered anti dilutive,7.9423076923076925
40,portfolio risks,7.931372549019608
41,interest rate,7.915130859210636
42,requisite service,7.909977324263039
43,additional risk,7.909558823529412
44,adequate liquidity,7.887096774193548
45,real estate,7.8828297715549
46,plan options,7.864864864864865
47,remaining wa attributable,7.857322884829874
48,thirty day,7.857142857142858
49,interest rate fluctuation,7.852630859210636
50,sweep account,7.840909090909091
51,underpriced account,7.840909090909091
52,banking agency,7.8335390100095985
53,degree element,7.833333333333333
54,mortgage refinancing,7.825850340136054
55,effective control,7.818526543878657
56,standard representation,7.812709030100335
57,book balance,7.801991150442477
58,mortgage division,7.783127335441218
59,outstanding immediately prior,7.763888888888889
60,banking association,7.758169934640522
61,tax earnings,7.7451664876476904
62,estate market,7.7439063761097655
63,interest margin,7.717498845604527
64,compensation cost,7.704710144927536
65,reserve system,7.701025641025641
66,additional loss,7.700797872340425
67,document,7.697802197802197
68,financial difficulty,7.694396551724138
69,instrument commitments,7.688104605415413
70,cash flow hedge,7.682057961576033
71,banking segment,7.681578780379466
72,wa partially offset,7.6767713838324525
73,market rate,7.673949579831932
74,balance sheet,7.673003114550154
75,asset,7.665819164150644
76,environmental factor,7.642857142857142
77,fhlb stock,7.641666666666667
78,wealth management revenues,7.6370808678500985
79,labor market,7.6369963369963365
80,unusual items,7.631578947368421
81,income tax,7.620834347274198
82,financial statement,7.614423433444568
83,statement dividends,7.614423433444568
84,consumer framework,7.614285714285714
85,interest bearing deposit,7.602385761171421
86,temporary management,7.598000408079984
87,financial statement,7.5850116687386855
88,improve current gaap,7.584754990925589
89,risk rating scale,7.58235294117647
90,loss loans,7.579158087394189
91,average rate,7.575414781297134
92,entity,7.567857142857142
93,error,7.564102564102564
94,money market deposit,7.561204481792717
95,interest rate,7.5579880020677805
96,asset,7.556704980842912
97,stability loans,7.549555867227677
98,policy,7.53453689167975
99,current tax,7.53248706181037
100,sensitive asset,7.528044990380346
101,tax asset,7.515130190007037
102,primary expense,7.514888337468983
103,deposit,7.508823529411764
104,possession account,7.507575757575758
105,economic environment,7.5054263565891475
106,pricing service,7.4959422365437405
107,bank,7.484375
108,floating rate,7.479901960784314
109,balance,7.470553382202134
110,tdr modification,7.454545454545455
111,similar meaning,7.453488372093023
112,cash flow,7.448724628242701
113,middleburg stock,7.447222222222222
114,full immediately prior,7.443181818181818
115,fixed rate,7.439425770308123
116,bond rating agency,7.430748663101603
117,cash payment,7.426311305829378
118,preferred security,7.418888888888889
119,average yield,7.417645437000276
120,interest expense,7.416142876920947
121,asset,7.41172974212229
122,compensation,7.410592497868713
123,cash flow,7.40898103849911
124,economic activity,7.383333333333333
125,common stock,7.361918382913806
126,mortgage banking activity,7.356242496998799
127,financial institution,7.356102900930487
128,significant cost,7.344416027280477
129,interest rate,7.343702287782065
130,deposit forecast asset,7.343306288032454
