,0,1
0,preferred debentures,8.64102564102564
1,tax positions,8.628865979381443
2,undue reliance,8.6
3,real estate,8.566118463065028
4,underpriced accounts,8.515151515151516
5,mutual fund,8.51157894736842
6,financial difficulty,8.493297587131368
7,commercial lot,8.469135802469136
8,current sound worth,8.38679245283019
9,insurance expense,8.333333333333334
10,economic measures,8.325
11,real estate,8.311613958560525
12,consumer finance tool,8.295774647887324
13,life insurance,8.272727272727273
14,debt restructurings,8.26
15,debt restructuring,8.26
16,residential properties,8.25
17,financial institutions,8.207583301417081
18,cash sweep,8.206185567010309
19,real estate,8.205892565525698
20,real estate,8.197416427696327
21,governmental spending,8.183333333333334
22,possession accounts,8.181818181818182
23,life insurance,8.11056511056511
24,cash flow issues,8.081185567010309
25,commercial banking,8.073786965259835
26,additional funds,8.06149732620321
27,sweep accounts,8.015151515151516
28,legal reasons,8.0125
29,estate construction,8.001007897954464
30,fiduciary advisors,8.0
31,expanded capabilities,7.977777777777778
32,adequate liquidity,7.958333333333333
33,estate market,7.910098807045372
34,call date,7.906976744186046
35,scholes option,7.9
36,balance sheets,7.873514364423455
37,outstanding immediately prior,7.853571428571428
38,capital base,7.833333333333334
39,interest rate fluctuations,7.820512820512821
40,interest rate swaps,7.820512820512821
41,loan facilities,7.820224719101123
42,effective control,7.782929399367755
43,banking agencies,7.779864838004373
44,documents,7.7785714285714285
45,market rate,7.771561771561771
46,federal funds,7.766122766122766
47,economic environment,7.7625
48,public funds,7.757575757575757
49,income tax consequences,7.757167866173896
50,thirty days,7.75
51,interest margin,7.734170591313449
52,tax losses,7.7250198255352895
53,financial statements,7.722153308524403
54,average rate,7.720490716180372
55,banking association,7.7157622739018095
56,industry trends,7.714285714285714
57,financial statements,7.703105689476784
58,exercise price,7.70265780730897
59,bond rating agencies,7.700854700854701
60,consumer framework,7.695774647887324
61,estate company,7.680661577608143
62,compensation costs,7.644644644644645
63,risk rating,7.640058055152395
64,risk rating scale,7.6400580551523944
65,estate equity,7.639785050005952
66,floating rate,7.637362637362637
67,estate markets,7.632126779073344
68,reserve system,7.624637155297533
69,mortgage division,7.618310015545192
70,pricing service,7.582485966319166
71,book balance,7.571133412042503
72,preferred securities,7.569217130387343
73,additional losses,7.5667420814479645
74,core deposit,7.5562015503875966
75,temporary declines,7.550420168067227
76,economic activity,7.541216216216217
77,labor market,7.538961038961039
78,reporting periods,7.537037037037036
79,bank,7.5285714285714285
80,primary expense,7.5256410256410255
81,trust loans,7.51566120953876
82,cash flow hedges,7.509756995581737
83,payment defaults,7.495689655172414
84,federal funds,7.493553321678322
85,extinguishment costs,7.445185185185185
86,joint ventures,7.444444444444445
87,tax benefits,7.433310423825888
88,financial institution,7.42808019582702
89,residence,7.410256410256411
90,tax assets,7.385066020373451
91,additional risks,7.375350140056023
92,earning assets,7.370293678446988
93,fund investment,7.363649953285581
94,home equity lines,7.349004424778761
95,access insurance group,7.348579682233991
96,full immediately prior,7.345238095238095
97,interest rates,7.340012928248223
98,due amounts,7.32929917869677
99,significant costs,7.3280423280423275
100,rate lock commitments,7.327838827838828
101,lowest quality,7.306878306878307
102,target rate,7.29796461400235
103,consumer goods,7.295774647887324
104,standard representations,7.294117647058823
105,banking segment,7.27571004218291
106,interest rate,7.275058275058274
107,money market deposits,7.266723842195541
108,financial asset,7.263667957501738
109,mortgage banking segment,7.2538316236800195
110,treasury rate,7.252747252747253
111,sensitive assets,7.251675154114178
112,rate instruments,7.236835628139977
113,mortgage refinancing,7.2308394735184836
114,replacement loans,7.207968901846454
115,additional amounts,7.1943720190779015
116,interest expense,7.189102564102564
117,legacy access segment,7.179535017221584
118,working capital,7.153846153846153
119,mortgage banking subsidiaries,7.1519085467569425
120,environmental factors,7.1477272727272725
121,discussions,7.145522388059701
122,twelve months,7.143219076005961
123,subjective judgments,7.142857142857142
124,tax asset,7.134530467398873
125,income taxes,7.121660520568543
126,market information,7.120593692022263
127,mortgage division,7.118310015545192
128,mortgage division,7.118310015545192
129,office vacancy rates,7.109243697478991
130,common stock,7.1081674958540635
131,investment properties,7.102071005917159
132,government agency obligations,7.1005533232329885
133,client relationships,7.1
134,compensation stock compensation,7.099474474474475
135,estimates,7.097402597402597
136,exercise price,7.090644820295983
137,share price,7.090644820295983
138,income tax expense,7.09050119950723
139,equity method investees,7.070041010144615
140,loss rate,7.059923328305681
141,mortgage banking activities,7.051908546756943
142,legal control,7.051325363825364
143,unobservable inputs,7.042857142857143
144,target market profile,7.041708291708291
145,risk rating framework,7.040058055152395
146,public deposits,7.037286612758311
147,backed securities,7.03118657824598
148,total commitment,7.030842607313195
149,cash flows,7.013638983159377
150,cash flows,7.011506786997332
151,current taxes,7.0084933325955845
152,improve current gaap,7.007482108002603
153,national bank,7.0061833688699355
154,access bank,7.0061833688699355
155,definitions,7.0
156,middleburg stock,6.998737373737374
157,earning assets,6.996040804883769
158,average yield,6.991504247876062
159,subsequent events,6.970588235294118
160,risk profile,6.969728384822725
161,mortgage loans,6.962918593505005
162,cash flows,6.958693928214323
163,yields,6.958333333333334
164,treasury stock method,6.954476756306024
165,tax deficiencies,6.953865979381443
166,funding source,6.951063617297514
167,largest segment,6.947537112010796
