,0,1
0,accounting pronouncement,9.0
1,carlo simulation,9.0
2,adversary proceeding,9.0
3,shirt graphic,9.0
4,shirt fleece,9.0
5,minimum quantity,9.0
6,executive officer,9.0
7,executive officer,9.0
8,corporate governance,9.0
9,consolidated statements,8.787234042553191
10,legal proceeding,8.705882352941178
11,material labor,8.702127659574469
12,line basis,8.645604395604396
13,pretax income,8.552083333333334
14,stock units,8.537037037037038
15,stock unit,8.537037037037038
16,accounting policy,8.5
17,accounting policies,8.5
18,accounting estimate,8.476190476190476
19,profit rate,8.464912280701755
20,lease expiration,8.458333333333334
21,basis point,8.448036006546644
22,significant variation,8.442307692307693
23,balance sheet arrangements,8.428571428571429
24,contractual term,8.422764227642276
25,incentive compensation payment,8.375
26,governance structure,8.365384615384615
27,financial statements,8.348209652309288
28,share buyback,8.315366972477065
29,stock,8.273879142300196
30,average assumption,8.246498599439775
31,feature,8.236842105263158
32,selling season,8.233333333333334
33,term loan facility,8.22398746923249
34,quoted price,8.21875
35,growth initiative,8.16
36,remained highly promotional,8.15
37,diluted share,8.144213126323217
38,base rate,8.131578947368421
39,lived asset,8.120481927710843
40,north america europe,8.09090909090909
41,tax rate,8.088100686498855
42,average period,8.073809523809524
43,care product,8.068965517241379
44,currency basis,8.058731808731808
45,derivative contract,8.054072398190044
46,dollar earnings gains,8.032258064516128
47,consolidated statement,8.019607843137255
48,risk,8.0
49,libor rate,7.997776130467013
50,financial statements,7.963594267693905
51,term loan agreement,7.95609756097561
52,corporate purpose,7.9523809523809526
53,adverse condition,7.950380152060824
54,net sale,7.932467532467532
55,fashion trend,7.928571428571429
56,compensation lease tax,7.9148550724637685
57,net sale,7.901217532467532
58,financial measures,7.894308943089431
59,compensation cost,7.886363636363637
60,impact revenue,7.879518072289157
61,principal amount,7.873333333333334
62,gain wa reclassified,7.865065751858205
63,marketing general,7.850574712643678
64,common stock,7.849537037037037
65,investor understanding,7.833333333333333
66,week,7.8018976423231745
67,equipment net,7.782467532467532
68,week,7.78098788443616
69,loss,7.778103694307912
70,additional information,7.771014492753624
71,term loan debt,7.7560975609756095
72,term liquidity,7.7560975609756095
73,brand,7.753623188405797
74,considered indefinitely invested,7.75
75,unremitted earnings,7.698924731182795
76,net loss,7.687929717341481
77,fiscal primarily due,7.6865534354410885
78,expect anticipate intend,7.683333333333334
79,adverse effect,7.678200847470316
80,abl facility,7.676223241590215
81,anti dilutive fair,7.6761904761904765
82,fall season,7.675641025641026
83,future growth,7.675151515151516
84,apparel industry,7.666666666666668
85,remains highly sensitive,7.666666666666666
86,business venture,7.651162790697675
87,fiscal primarily attributable,7.648091896979549
88,franchise store,7.601851851851851
89,financial statement,7.580583452893352
90,income tax,7.580033643892339
91,marketing general,7.571831950029948
92,square footage,7.5701754385964914
93,hedge accounting,7.5476190476190474
94,income tax benefit,7.541938405797101
95,based compensation,7.534706595118574
96,significant input,7.532258064516129
97,income net,7.52992901706137
98,lease termination,7.525
99,holiday sale period,7.521428571428572
100,average number,7.488095238095238
101,net income,7.459550865800866
102,credit facility,7.426223241590214
103,credit facility,7.426223241590214
104,core tax rate,7.421434019832189
105,ended january due,7.420548645124916
106,comparable sale,7.42
107,week,7.418918918918919
108,net income,7.4178841991342
109,stockholder return,7.416666666666666
110,cash flow,7.401607538802661
111,unexpected expense,7.381856540084387
112,comparable sale,7.354545454545455
113,market price,7.352083333333333
114,reserve,7.330798479087452
115,operating income,7.330794817927172
116,financial statements,7.330191634291271
117,loss thousands,7.318252882548368
118,thirteen week,7.3066740209597345
119,information technology system,7.304347826086957
120,financing fee,7.302631578947368
121,sale activity,7.28888888888889
122,legal matter,7.277310924369748
123,legal regulatory political,7.277310924369748
124,vesting amount,7.276842105263158
125,capital expenditure,7.253787878787879
126,income tax effect,7.249984382808595
