,0,1
0,quoted prices,9.0
1,carlo simulation,9.0
2,adversary proceedings,9.0
3,approved authorizations,9.0
4,minimum quantities,9.0
5,executive officer,9.0
6,executive officers,9.0
7,approved authorization,9.0
8,selling seasons,8.833333333333334
9,accounting pronouncements,8.827586206896552
10,accounting policies,8.827586206896552
11,consolidated statement,8.732142857142858
12,stock appreciation rights,8.649122807017545
13,stock units,8.649122807017545
14,legal proceedings,8.62962962962963
15,agency fees,8.6
16,stock,8.517543859649123
17,contractual terms,8.5
18,term loan agreement,8.469999999999999
19,weather conditions,8.444444444444445
20,significant input,8.379999999999999
21,profit improvement initiative,8.377777777777778
22,features,8.368421052631579
23,profit rate,8.233707264957264
24,term loan facility,8.216875
25,tax benefits,8.213098729227761
26,accounting policies,8.20758620689655
27,interest entity,8.2
28,adverse conditions,8.166666666666668
29,attribution basis,8.157894736842106
30,tax rate,8.15154569892473
31,accounting estimates,8.140086206896552
32,base rate,8.135416666666666
33,balance sheet arrangements,8.127090301003346
34,knit tops,8.11111111111111
35,reinvestment rights,8.11111111111111
36,remained highly promotional,8.083333333333334
37,share buybacks,8.068298969072165
38,credit card fraud,8.056603773584905
39,incentive compensation payments,8.055555555555555
40,term lease deposit,8.02483870967742
41,principal amount,8.009803921568627
42,intercompany receivables,8.0
43,diluted share,7.997684933984446
44,common stock,7.961622807017544
45,consolidated statements,7.914938556067589
46,store fixture disposal,7.883116883116883
47,requirements,7.8775119617224885
48,fashion trends,7.875
49,pretax income,7.872142857142858
50,vendor payment terms,7.857142857142858
51,lease expirations,7.85483870967742
52,legal settlements,7.851851851851852
53,economic characteristics,7.841428571428572
54,term loan debt,7.836666666666666
55,october29,7.776923076923078
56,stockholder return,7.75
57,care products,7.75
58,considered indefinitely invested,7.75
59,governance structure,7.740384615384615
60,expense reduction efforts,7.715397215397215
61,risks,7.705882352941177
62,july29,7.7
63,remains highly sensitive,7.666666666666666
64,growth initiatives,7.66
65,significant variation,7.655862068965517
66,apparel industry,7.627450980392156
67,abl facility,7.626240079365079
68,adverse effect,7.623737373737374
69,market prices,7.616666666666667
70,credit facility,7.603478773584905
71,financing fees,7.6
72,brand,7.589743589743589
73,square footage,7.557354925775979
74,additional information,7.548701298701299
75,cash flow hedges,7.546296296296296
76,cash requirements,7.546296296296296
77,vesting amount,7.544891640866872
78,impact revenue,7.525
79,derivative contracts,7.505559038662486
80,core tax rate,7.484879032258064
81,valuation allowance jurisdictions,7.4393939393939394
82,future growth,7.420869565217391
83,business venture,7.413043478260869
84,financial measures,7.4112808460634545
85,jurisdictional mix,7.349462365591397
86,comparable sales,7.337737893348407
87,financial statements,7.335228411140052
88,unexpected expenses,7.327956989247311
89,conditions,7.321956406166933
90,forward contracts,7.319322033898305
91,cash requirements,7.307165861513687
92,settlement charges,7.306753812636165
93,comparable sales,7.296071226681741
94,fair values,7.289539369185388
95,cash flows,7.27885443583118
96,sales activity,7.276067323481117
97,holiday sales periods,7.276067323481117
98,net sales,7.260915808329601
99,hedge accounting,7.21974306964165
100,financial statements,7.218470169381811
101,legal matters,7.201058201058201
102,net sales,7.200309747723541
103,franchise store,7.192083744715323
104,reserves,7.1915708812260535
105,fund capital expenditures,7.183333333333334
106,dividend payments,7.166666666666666
107,libor rate,7.15922619047619
108,lease termination,7.154838709677419
109,spot exchange rate,7.14266304347826
110,thirteen weeks,7.087755102040816
111,adverse impact,7.050793650793651
112,voluntary payments,7.0396825396825395
113,settlement benefits,7.035858585858586
114,legal costs,7.033138401559455
115,financial instruments,7.02635046113307
116,mandatory prepayment,7.013186813186813
117,income tax effect,6.9894623655913986
118,compensation cost,6.98015873015873
119,distribution centers,6.975
120,franchise stores,6.97201033985931
121,income tax expense,6.9624353385643705
122,compensation awards,6.953535353535354
123,fair values,6.938723518369536
124,net income,6.926853497379813
125,information technology investments,6.904761904761904
126,currency basis,6.878482972136223
127,tax jurisdictions,6.849462365591398
128,credit facilities,6.8444825614636935
129,margin rate,6.802083333333334
130,customer demand,6.7875
131,debt service requirements,6.787356321839081
132,market conditions,6.783333333333333
133,compensation expense,6.75984165984166
134,expense dollars,6.751939104880282
135,abercrombie kids,6.744695326784878
136,information technology systems,6.738095238095238
137,similar measures,6.731027825855413
138,operating expense,6.706894059835236
139,required repayments,6.702020202020202
140,recurring nature,6.7
141,foreign affiliates,6.686868686868687
142,net loss,6.673493173493173
143,service period,6.660372194854953
144,loss claims,6.65663967611336
145,income tax benefit,6.656129032258065
146,notes thereto,6.625
147,fund operating expenses,6.623589787821287
148,fund operating activities,6.613814616755794
149,move product,6.576388888888889
150,tax provision,6.553425069554102
151,net income,6.547467532467532
152,operating income,6.54058775352893
153,fall season,6.525862068965518
154,derivative gains,6.52522342333762
155,business,6.524154589371981
156,costs,6.514619883040936
157,unvested shares,6.5120481927710845
158,costs,6.49874686716792
159,store level,6.466450216450216
160,net income,6.460755820755821
161,benefits,6.4117205924434835
162,obligations impact,6.4
163,cash flows,6.389965546942291
164,net loss,6.362406177653058
165,capital expenditures,6.333333333333334
166,gross borrowings,6.300104657247514
167,operating outlook,6.296245953534957
168,operating loss,6.28722742964229
169,corporate purposes,6.233333333333333
170,net loss,6.207395496869181
171,projected results,6.1997863247863245
172,ultimately vest dependent,6.15158371040724
173,forward contracts,6.148867488443759
174,net inventory,6.143278343278343
175,financial results,6.139133698916307
176,fiscal quarters,6.13791567695962
177,average shares,6.128571428571429
178,store closure,6.096149464570518
179,hollister store experiences,6.047561327561327
180,marketing expenses,6.045348293595138
181,consumer sales channels,6.034090909090909
182,asset impairment charges,6.033792240300375
183,currency exposure,6.008467023172906
184,operating performance,5.981277138566141
185,currency transactions,5.9608479755538575
186,date,5.952897516414502
187,fiscal year,5.874152139053483
188,year commences,5.874152139053483
189,fiscal year,5.874152139053483
190,income taxes,5.838746081504702
191,inventory write,5.813513513513513
192,fitch,5.747482394789339
193,exchange rates,5.646135265700483
194,financial results,5.640319094838546
195,activity,5.6309523809523805
196,gross profit,5.598290598290598
197,construction project assets,5.517543859649122
198,borrowings,5.488682745825603
199,fiscal year,5.374152139053483
200,graded vesting,5.368421052631579
201,diluted share,5.243298969072165
202,table presents,5.2407407407407405
203,stores,5.2296143594869235
204,tax benefits,5.213098729227761
205,excluded items,5.208985423858842
206,share attributable,5.197684933984446
207,fiscal year,5.189941612737694
208,dividend payments,5.166666666666666
209,tax rate,5.151545698924731
210,financial measures,5.1229925577751665
211,principal due,5.109195402298851
212,stock compensation,5.093567251461988
213,information technology,5.071428571428571
214,gaap measures,4.990990990990991
215,share,4.968203183631552
216,common stock,4.961622807017544
217,gaap rate,4.923704954954955
218,ongoing efforts,4.909090909090909
219,corporate governance,4.875
220,financial conditions,4.8647342995169085
221,legal settlements,4.851851851851852
222,tax effect,4.849462365591398
223,interest rate,4.835416666666667
224,operating performance,4.8336151205185605
225,capital expenditures,4.833333333333334
226,financing activities,4.818181818181818
227,line item,4.792406692406693
228,lease arrangements,4.789621318373072
229,operating jurisdictions,4.778966131907309
230,valuation allowance,4.772727272727273
231,similar arrangements,4.7562111801242235
232,lease termination,4.754838709677419
233,square footage,4.7368421052631575
234,industry trends,4.708333333333334
235,global economic,4.6866666666666665
236,comparable sales,4.671071226681741
