,0,1
0,patent copyright trademark,9.0
1,institutional buyer,9.0
2,leaf collimator,9.0
3,clinical study,9.0
4,scanner platform,9.0
5,wall street journal,9.0
6,gantry architecture,9.0
7,executive officer,9.0
8,institutional buyers,9.0
9,definite lived intangible,8.8
10,medical practice,8.666666666666668
11,legal proceeding,8.617647058823529
12,accounting standards codification,8.551724137931036
13,feasible manner,8.545454545454545
14,allocation rate,8.507692307692308
15,funds rate,8.507692307692308
16,adverse decision,8.5
17,longer potentially outstanding,8.5
18,group purchasing organization,8.5
19,departmental spending,8.395939086294415
20,advanced fully integrated,8.380952380952381
21,exchange rate,8.344901610017889
22,japanese yen,8.333333333333334
23,madison wisconsin facility,8.258064516129032
24,embedded derivatives,8.25
25,coverage ratio,8.25
26,accounting policy,8.244031830238727
27,employee stock plan,8.211922937113776
28,borrowing rate,8.174358974358974
29,risk factors,8.147540983606557
30,financial instrument,8.147430830039525
31,closing submission,8.126436781609195
32,revenue,8.117117117117118
33,net income,8.113784907902556
34,local currency,8.088055797733217
35,legal proceeding,8.059205500381971
36,month,8.055826043901634
37,unique feature,8.055555555555555
38,owned subsidiary,8.054054054054054
39,overview products,8.054054054054054
40,alleging misappropriation,8.04945054945055
41,transition method,8.02307571349949
42,south america,8.022727272727273
43,treasury stock method,8.020411549950216
44,lived asset,8.0
45,undue reliance,8.0
46,convertible notes,7.986797837692643
47,convertible notes,7.986797837692643
48,quarterly installment,7.9818181818181815
49,month,7.978479621173685
50,major market,7.977011494252873
51,trade secret,7.968421052631578
52,tax position,7.9604037267080745
53,cowealth,7.958333333333333
54,financial institution,7.94113712374582
55,generation tomotherapy,7.91
56,accuray wa liable,7.903857745629898
57,tradeshow,7.891385767790263
58,supporting evidence,7.888888888888889
59,month,7.878832354859752
60,total debt,7.869565217391305
61,tumor,7.867924528301887
62,senior notes,7.859138263224558
63,price besp,7.851347517730496
64,stage cancer,7.835555555555555
65,asset valuation,7.8
66,intangible asset,7.8
67,intangible asset,7.8
68,process selling,7.799999999999999
69,libor rate floor,7.793406593406593
70,exchange rate,7.786460051576331
71,service plan costs,7.775219298245615
72,party evidence tpe,7.7727272727272725
73,wa primarily due,7.765654873254054
74,america region,7.746411483253589
75,accounting policy,7.744031830238727
76,term debt,7.741418764302059
77,conversion rate,7.73183023872679
78,foreign currency,7.689271891230277
79,capital expenditure requirements,7.673758865248227
80,stock price,7.6708895024633215
81,net loss,7.651080945198592
82,anti dilutive additionally,7.647058823529411
83,edge technology,7.631578947368421
84,debt instrument,7.624725516029863
85,hospital group,7.618055555555555
86,retrospective approach,7.617647058823529
87,comprehensive loss,7.6139194139194135
88,similar expression,7.612159329140461
89,subsequent events,7.604651162790698
90,misappropriation,7.602307692307693
91,term success,7.596491228070176
92,international court,7.586956521739131
93,business strategy plan,7.5677655677655675
94,early adoption,7.567460317460318
95,cost submission,7.553516819571866
96,contracted maturity,7.538796229151559
97,wa partially offset,7.530362561039208
98,development project,7.528070175438597
99,security law,7.526578827805543
100,operating decision,7.506578947368421
101,bank certificate,7.5
102,harbor provision,7.5
103,accrual wa established,7.472310126582279
104,tomohda,7.467567567567568
105,exchange expense,7.452868821493873
106,balance sheet arrangements,7.446511627906977
107,conversion rate,7.441507658081629
108,unrealized gain,7.44110576923077
109,exchange loss,7.439098641057026
110,stock exceeds,7.436961339571534
111,sale agreement,7.434025524551157
112,original maturity,7.428571428571429
113,fewer system,7.408865979381443
114,average number,7.407407407407407
115,allocated expense,7.4000398247710075
116,deemed past due,7.395939086294416
117,loss position,7.375696767001115
118,exchange agreement,7.372284201850609
119,realized loss,7.360763267740012
120,balance sheet,7.3556025369978855
121,principal amount,7.35241397946316
122,conversion price,7.345162868119818
123,share price,7.332251472532755
124,development activity,7.332236842105264
125,actual performance,7.327561327561327
126,inventory purchasing activity,7.324074074074074
127,cash flow,7.319640564826701
128,customers,7.292307692307693
129,software license agreement,7.285902503293808
130,share count,7.278046811945117
131,dilutive share,7.273845131272848
132,dilutive share,7.273845131272848
133,recurring adjustment,7.2729885057471275
134,financial statement,7.270922382734618
135,legal fee,7.250248410174881
136,component,7.248447204968944
137,credit risk,7.230874316939891
138,credit risk,7.230874316939891
139,investment category,7.228
140,manufacture sell,7.227564102564102
141,operating lease,7.217785843920145
142,income tax expense,7.215027256693923
143,equity revenues,7.2076271186440675
144,income loss,7.204828504828505
145,company design,7.190718372536554
146,tax,7.190581943437274
147,equity investment,7.185627118644067
148,july fasb approved,7.1840909090909095
149,training revenue,7.183973447131342
150,manner inability,7.17878787878788
151,market data,7.1770114942528735
152,account receivable,7.176456984273821
153,income tax benefit,7.170612923661704
154,financial instruments,7.161172901921132
155,deferred rent,7.157843848199178
156,radiation therapy system,7.1554188480395755
157,financing receivables,7.148958333333333
158,income tax,7.140619515619515
159,doubtful account,7.132019927536232
160,robotic system,7.128865979381443
161,payment term,7.1246963562753045
162,conversion component,7.115442278860569
163,service contract signing,7.11311612364244
164,principal amount,7.099044707225963
165,sale price,7.094998229687951
166,legal fee,7.094549232736573
167,financial position,7.091386382280557
168,capital management,7.08709219858156
169,insurance expense,7.082515849182515
170,consulting expense,7.082451499118166
171,conversion rate,7.076657824933687
172,loan matures,7.074074074074074
173,capital requirement,7.071194762684124
174,account receivable,7.0677613320999075
175,asset,7.0675675675675675
176,actual condition,7.060982495765105
177,convertible notes,7.054365405260211
178,hedging activity,7.04054054054054
179,related cost,7.0369860224704155
180,net revenue,7.031297281936668
181,cowealth,7.029761904761904
182,channel sale,7.025162648296977
183,product development,7.023602821486707
184,foreign location,7.0124804396778755
185,revenue recognition,7.011976326623705
186,quoted price,7.011347517730496
187,business plan,7.0093240093240095
188,asu defines,6.994312704839021
189,earlier repurchased redeemed,6.9889705882352935
190,remaining change,6.986920516192669
191,significant judgment,6.983333333333333
192,conversion price,6.980313034971875
193,hearing wa held,6.972310126582279
194,final payment,6.971763262118592
195,report statements,6.967741935483871
196,revenue recognition process,6.966913035484463
197,lower margin,6.9615761519314825
198,interest method,6.9606221935414485
199,stock price,6.956603788177606
200,common share,6.955466166783827
201,note wa redeemed,6.952877353473035
202,maturity date,6.951552795031056
203,consolidated statement,6.9451698743734145
204,channel sale,6.941829314963643
205,fasb issued asu,6.9385198135198145
206,management,6.937142857142858
207,accounting estimate,6.936339522546419
208,pricing method,6.9275362318840585
209,interest rate maturity,6.926059654631082
210,pcs revenue,6.907657657657658
211,loss account,6.907397674788979
212,stereotactic body,6.904166666666667
213,service cost,6.896062372643735
214,convertible note,6.895394107009892
215,principal amount,6.8912102086147184
216,net order,6.8906890848067315
217,geographic region,6.889077865050406
218,material change,6.883928571428571
219,interim period,6.883173076923077
220,debt recovery,6.878260869565217
221,net loss,6.875800046322187
222,rotary systems,6.872302158273381
223,revenue recognition assessment,6.8677826007018545
224,side effect,6.857777777777779
225,cancer care group,6.851428571428571
226,guidance,6.838541666666666
227,quarter,6.8318555008210184
228,management,6.83
229,principal amount,6.828604455653636
230,tax expense,6.819770339697876
231,radiosurgery treatment,6.8184523809523805
232,part revenue,6.817117117117117
233,factor,6.806603773584905
234,debt security,6.793896455231112
235,series systems production,6.788968824940048
236,tax,6.7873511904761905
237,early adoption,6.781746031746032
238,amortization expense,6.776813271604938
239,additional amount,6.775719028844158
240,net revenue,6.775331279975243
241,radiation oncology company,6.772364796288241
242,system revenue training,6.772298885972245
243,service revenue,6.7524554629817795
244,faith belief,6.75
245,clearance license,6.7478590250329376
246,product revenue,6.745983096498561
247,net change,6.745346055088701
248,financial asset,6.744021739130435
249,slight offset,6.729927434456929
250,debt issuance net,6.728409413831408
251,term investment,6.7152958257713244
252,asset amortization,6.708061002178649
253,service cost,6.706873183454546
254,revenue conversion process,6.7012550481516
255,area revenue,6.6957124348428705
256,consulting expense,6.694770339697876
257,operation rate,6.687556561085973
258,common stock,6.680204582814778
259,decrease wa primarily,6.6800606145458445
260,offering cost,6.677772771952817
261,maturity date,6.665838509316771
262,condition change,6.652571522680217
263,increase wa primarily,6.651122822135516
264,low risk,6.647540983606557
265,system revenue,6.641922182792977
266,greater awareness,6.639285714285714
267,moderate risk,6.638612412177986
268,prior year,6.637942625153815
269,financial position,6.637723785166241
270,valuation allowance assessment,6.635869565217391
271,marketing expense,6.634363129154796
272,financial statement,6.628498140310375
273,company,6.624056773266259
274,benefit cost,6.617744461848288
275,interest expense,6.613137686636652
276,service contract,6.61311612364244
277,sell advanced radiosurgery,6.604166666666666
278,financial asset,6.604140786749483
279,service revenue,6.60380681433313
280,current period,6.591051684801686
281,loan interest,6.588010204081632
282,solely share,6.574750108648413
283,equity conversion component,6.5730693975046375
284,license,6.567424242424242
285,intangible assets,6.566666666666666
286,system sale agreement,6.562891503932601
287,primarily market,6.561917154630232
288,stock option,6.557861312463917
289,additional equity,6.550960451977401
290,credit loss,6.550080128205128
291,worldwide basis,6.543956043956044
292,quoted price,6.542116748499727
293,revenue,6.538604720422902
294,revenue,6.538604720422902
295,financial performance,6.5247757073844035
296,gross profit,6.5217426392457
297,exchange commission,6.516763895582619
298,net age,6.509204930917515
299,cowealth,6.505048221820374
300,decrease,6.495154954168486
301,million primarily due,6.493927795591001
