,0,1
0,sealing technologiesinc,9.0
1,institutional buyers,9.0
2,clinical studies,9.0
3,scanner platform,9.0
4,allocation rates,9.0
5,wall street journal,9.0
6,gantry architecture,9.0
7,executive officer,9.0
8,exchange rates,8.764705882352942
9,group purchasing organizations,8.666666666666666
10,tax positions,8.547619047619047
11,local currency,8.543010752688172
12,adverse decisions,8.5
13,dose distributions,8.5
14,marrow irradiation,8.456140350877194
15,longer potentially outstanding,8.428571428571429
16,coverage ratio,8.4
17,legal proceedings,8.336798336798337
18,judicial district,8.333333333333334
19,currency impacts,8.277777777777779
20,quarters,8.267605633802816
21,december31,8.235049430068607
22,alleging misappropriation,8.23076923076923
23,months,8.218798397863818
24,borrowing rate,8.194690265486726
25,maximum capex,8.151515151515152
26,closing submissions,8.126436781609195
27,departmental spending,8.121951219512194
28,exchange rates,8.113543091655266
29,currency impacts,8.111111111111112
30,operating officer,8.08695652173913
31,debt recoveries,8.083333333333334
32,treasury stock method,8.081196581196581
33,september30,8.080689745952348
34,feasible manner,8.077922077922079
35,radiation therapy,8.062687312687313
36,stage cancers,8.055555555555555
37,income tax consequences,8.04095238095238
38,undue reliance,8.0
39,tumors,8.0
40,payment history,7.982905982905983
41,accounting policies,7.962820512820513
42,trade secrets,7.868421052631579
43,generation tomotherapy,7.857142857142858
44,net income,7.770845295055821
45,net income,7.770845295055821
46,harbor provisions,7.769230769230769
47,unrealized gains,7.766612334634775
48,medical practice,7.7627450980392165
49,deliver highly accurate,7.75
50,efficient daily low,7.75
51,conversion features,7.734375
52,cowealth,7.724137931034482
53,component,7.696428571428571
54,minnesota state court,7.6923076923076925
55,international court,7.6923076923076925
56,legal proceedings,7.685635546100662
57,income tax benefit,7.677316017316016
58,credit risk,7.677031509121061
59,credit risk,7.677031509121061
60,software license indemnity,7.666666666666666
61,total leverage,7.6632110579479
62,stock price,7.662737799834574
63,capital expenditure requirements,7.634056054997355
64,treatment solutions,7.617021276595745
65,scheduling order,7.594104308390023
66,financial instruments,7.584398976982097
67,purchase pp&amp,7.578947368421053
68,gains,7.570131396218352
69,radiation therapy,7.562687312687313
70,maintenance services,7.555555555555555
71,unrealized gains,7.541894659212874
72,total debt,7.5394736842105265
73,exchange instruments,7.525575447570333
74,gross profits,7.515015015015015
75,share count,7.5
76,faith belief,7.5
77,exchange expense,7.497715591090805
78,securities laws,7.470094086021505
79,operating decisions,7.461956521739131
80,cost submissions,7.458333333333334
81,debt instrument,7.453703703703704
82,investment category,7.43859649122807
83,final payment,7.438190535751511
84,minimum ebitda,7.432467532467532
85,libor rate floor,7.425459496255956
86,principal amount,7.417953667953668
87,risk factors,7.416666666666666
88,exchange agreements,7.41485949218397
89,exchange adjustments,7.407563025210084
90,average number,7.407407407407407
91,significant judgment,7.402882205513785
92,exchange losses,7.402205882352941
93,accounting policies,7.401417004048583
94,performance stock units,7.3804797353184455
95,oncology systems group,7.379612257661037
96,stock units,7.378582202111614
97,cyberknife,7.377625570776256
98,software license agreements,7.376344086021504
99,capital projects,7.359094457455113
100,market data,7.358649789029537
101,development projects,7.35064935064935
102,unrealized losses,7.338894943330428
103,sales agreements,7.338709677419354
104,fewer systems,7.3375609756097555
105,quarterly installments,7.335664335664335
106,leverage defines,7.335642135642136
107,conversion price,7.331149193548386
108,retrospective approach,7.323529411764706
