,0,1
0,responsibility,9.0
1,san jose,9.0
2,firewall cfw,9.0
3,reportable segment,8.88888888888889
4,higher backlog,8.627906976744185
5,additional functionality,8.607142857142858
6,remaining weighted average,8.584415584415584
7,changing environment,8.538461538461538
8,treasury yield curve,8.5
9,lived assets,8.5
10,data center,8.487179487179487
11,underlying net tangible,8.48235294117647
12,protocol translation service,8.448717948717949
13,leverage ratio,8.396825396825397
14,base rate,8.368479467258602
15,tax base,8.348193822983738
16,asia,8.344827586206897
17,taxing authority,8.333333333333334
18,quoted price,8.313725490196079
19,design manufacturer,8.3
20,consolidated basis,8.27827380952381
21,consolidated statements,8.276190476190475
22,functional category,8.275
23,accounting policy,8.274442538593481
24,lived asset,8.269005847953217
25,credit card,8.251396648044693
26,segment structure,8.215419501133788
27,comprehensive income,8.199175824175825
28,accounting pronouncement,8.16255442670537
29,tax benefit,8.128942486085343
30,cash collection,8.122049221496734
31,support training,8.121951219512194
32,development team variation,8.119047619047619
33,jose california,8.1
34,california,8.1
35,tax authority,8.098639455782314
36,quick ratio,8.09090909090909
37,interest income,8.081766917293233
38,operating expenses,8.076530612244898
39,owned subsidiary,8.05
40,application analytics visibility,8.045454545454545
41,fire retirement system,8.044444444444444
42,data center application,8.032634032634032
43,line basis,8.024305555555555
44,higher bonus,8.01252236135957
45,credit history,8.001396648044693
46,currency exchange rate,7.996630727762803
47,commitment fee,7.992857142857142
48,debt expense,7.988304093567251
49,prior litigation,7.986301369863014
50,software platform,7.956521739130435
51,tax withholding purpose,7.947124304267161
52,fiscal year,7.943965517241379
53,payment,7.9375
54,hardware appliance,7.896115627822944
55,prime rate,7.889487870619946
56,income loss,7.84143717728055
57,comprehensive loss,7.823580034423408
58,financial statements,7.82212223472066
59,public offering,7.8143939393939394
60,global basis,7.802083333333334
61,interest,7.796052631578947
62,common stock,7.79296066252588
63,taxable income,7.787296564195298
64,quality control cost,7.758771929824561
65,tax asset,7.751703274750023
66,benefit bonus,7.748251748251748
67,governance measure,7.7272727272727275
68,comprehensive loss,7.719184430027804
69,eliminating additional paid,7.718253968253968
70,cash flows,7.708629308076821
71,related note,7.705128205128204
72,acquisition,7.693693693693694
73,insured limit,7.693548387096774
74,stock repurchase program,7.692960662525881
75,security challenge,7.677777777777778
76,quality assurance,7.666666666666667
77,sale cycle,7.6647058823529415
78,technology patent,7.651515151515152
79,products revenue,7.6344519015659955
80,impairment test,7.622119815668203
81,revenue service,7.616503183617278
82,chase bank,7.615384615384615
83,income tax purpose,7.607838589981447
84,accounting policy,7.600529495115222
85,settlement approval,7.6
86,contract,7.577326135281041
87,greater agility,7.571428571428571
88,backed security,7.569005847953217
89,year anniversary,7.568965517241379
90,based compensation,7.558528428093646
91,prime rate,7.556154537286613
92,asset net,7.5513587891296865
93,balance sheet arrangements,7.549019607843137
94,year end,7.548965517241379
95,tax rate,7.539292473312086
96,target price,7.5359477124183005
97,trading day,7.5359477124183005
98,legal proceedings,7.529411764705882
99,negative industry,7.526086956521739
100,credit risk,7.4736188702669155
101,credit risk,7.4736188702669155
102,fiscal year,7.473377281947261
103,security contingency,7.472549019607842
104,income expense net,7.46470465379134
105,net loss,7.463075832742735
106,net components,7.447870182555781
107,credit facility,7.444253790901836
108,credit facility,7.444253790901836
109,professional fee,7.4441391941391934
110,service provider,7.432675167969286
111,debt issuance costs,7.424242424242424
112,party,7.418918918918919
113,united states,7.416666666666667
114,cgn tps,7.416666666666666
115,equity incentive plan,7.413888888888889
116,rent expense,7.412546517809675
117,income tax provision,7.388983371126228
118,jurisdiction segment information,7.388888888888889
119,retrospective method,7.383333333333333
120,depreciated asset,7.38264221158958
121,acquisition,7.371854613233923
122,existing product,7.35770665901263
123,fasb issued asu,7.357142857142857
124,contract support,7.355993772703685
125,service fee,7.354395604395604
126,common stock,7.351100197409601
127,operation,7.346153846153847
128,securities act,7.333333333333334
129,exchange rate,7.3299640610961365
130,average period,7.327272727272726
131,commitment fee,7.326190476190476
132,income loss,7.323790118457021
133,basis difference,7.320601851851852
134,shareholder litigation,7.319634703196348
135,stock price,7.3150194860552915
136,recurring adjustment,7.313186813186813
137,account,7.307244843997885
138,capital requirement,7.301948051948052
139,end customer,7.300212765957447
140,individual investment,7.3
141,covenant statements,7.2972049689441
142,trading history,7.2859477124183005
143,appliance basis,7.283564814814815
144,customer base,7.27820223039994
145,borrowing base,7.271199388846448
146,revenue allowance,7.26979192386254
147,hardware replacement,7.259078590785908
148,service revenue,7.244410160361463
149,month,7.239166107257402
150,note thereto,7.238095238095238
151,assets goodwill,7.2375
152,total revenue,7.231277298391392
153,exchange gain,7.226190476190476
154,valuation allowance,7.210323445617563
155,stockholder equity,7.207081807081807
156,office expense,7.205695397915077
157,salary benefit,7.20530303030303
158,cloud application environment,7.195027195027195
159,weighted average fair,7.193939393939393
160,interest income,7.184331019857336
161,additional capital,7.182900432900434
162,inter company,7.1799719887955185
163,month,7.1712893819785215
164,intangible asset,7.167906946854314
165,cash cash,7.165874341513555
166,intangible asset,7.1642439431913125
167,consolidated statement,7.159117305458769
168,service revenue,7.154964722078816
169,significant stockholder,7.153010033444817
170,impairment charge,7.14989759344598
171,financial officer,7.145931758530184
172,period participants,7.141666666666667
173,stock option,7.141331589844176
174,goodwill impairment,7.131048387096774
175,service revenue,7.12932369643779
176,operating expense,7.107627498604942
177,intangible asset,7.096032874980244
178,professional service,7.083489681050657
179,accounting,7.080503144654088
180,personnel,7.079842163938274
181,related cost,7.079842163938274
182,service provider network,7.079733991498697
183,operating asset,7.077889401374586
184,customer inventory,7.074974670719351
185,development expense,7.0740183792815365
186,service provider customer,7.07347616922085
187,native software,7.067632850241545
188,future grant,7.066753218651952
189,loss position,7.061675272518646
190,service cost,7.053643724696356
191,retrospective adoption,7.05
192,service period,7.0487179487179485
193,inventory,7.048552754435107
194,common share,7.048417132216015
195,operating expense,7.044993435970879
196,equipment cash,7.031289406598989
197,total revenue,7.031277298391393
198,wa primarily due,7.023954409349947
199,average number,7.022727272727272
200,solution purchase,7.011784511784512
201,gross profit,7.009890498057223
202,stock option,7.002137450650037
203,identification method,7.0
204,year beginning,6.999521072796934
205,accrued sale,6.998039215686275
206,marketing expense,6.995851263378572
207,operating loss,6.9896064449876345
208,office cost,6.976163234172388
209,credit risk,6.9736188702669155
210,early adoption,6.967914438502674
211,expense,6.965970835939876
212,operation,6.963800904977376
213,action lawsuit,6.963241436925648
214,product revenue,6.959986089600183
215,wa primarily attributable,6.954104718810601
216,stock option,6.950855399367986
217,repurchase program,6.948417132216015
218,purpose entity,6.946524064171123
219,stock option activity,6.94310346138349
220,term growth,6.933333333333333
221,credit risk,6.933078329726374
222,revenue sales,6.924610631724725
223,wa,6.918207282913166
224,administrative expense,6.909516214779373
225,professional fee,6.905677655677655
226,cost sales,6.901380625476735
227,financial statement,6.895525254465142
228,financial statement,6.895525254465142
229,marketing activity sales,6.893128565160158
230,settlement expense,6.893065998329156
231,june,6.891472868217054
232,expense sales,6.8744945697577275
233,financial instrument,6.872057884656311
234,market acceptance,6.868131868131869
235,msusand msus,6.866666666666667
236,considered cash,6.862006938198638
237,internet cloud,6.850505050505051
238,common stock,6.838415207980425
239,libor rate,6.830879812011887
240,related claim,6.825673278503467
241,software solution,6.820158102766798
242,market data,6.8186813186813175
243,plan,6.813888888888889
244,product revenue,6.810115288566592
245,japan distribution center,6.80952380952381
246,customer base,6.801585314977054
247,settlement,6.8
248,customer purchase,6.798360914105595
249,network security technology,6.7946524064171125
250,period discount,6.793548387096774
251,administrative service,6.787321374277896
252,capital requirement,6.785673187571922
253,developed technology,6.7855731225296445
254,service revenue revenue,6.784288418516606
255,development effort,6.77608655785806
256,litigation expense,6.774605463430265
257,marketable security,6.771450118508941
258,executive officer,6.766666666666667
259,product portfolio,6.764423076923077
260,year impairment,6.762513904338153
261,personnel cost,6.758771929824562
262,wa,6.7555555555555555
263,balance sheet arrangement,6.752723311546841
264,states securities,6.75
265,purchase period,6.7481481481481485
266,purchase period,6.7481481481481485
267,million loan,6.730555555555555
268,loss position,6.728341939185313
269,product revenue,6.723874978489072
270,december,6.722811671087532
271,year,6.722811671087532
272,capital investment,6.7186147186147185
273,personnel,6.713794418580184
274,month,6.713551453520504
275,service revenue cost,6.708608446775172
276,estimated contribution,6.705242075931731
277,financial statement,6.705049063988953
278,million partially offset,6.699346405228758
279,employee stock purchase,6.696664366229584
280,market,6.688644688644689
281,income tax effect,6.676020408163265
282,product development effort,6.668558415268942
283,maturity,6.665584415584416
284,level asset,6.659499790171297
285,end customer,6.650212765957447
286,sale return allowance,6.649321266968325
287,settlement,6.649122807017544
288,product revenue,6.648874978489072
289,cash flow,6.64074683593903
290,credit facility,6.63780217799861
291,security provision,6.635511982570805
292,margin cost,6.63421052631579
293,cash item,6.631598495751891
294,income taxes,6.628105590062112
295,million remaining authorized,6.626984126984127
296,cash flows,6.621327720775234
297,expense,6.6192564745196325
298,service revenue,6.616503183617278
299,stock award activity,6.614477017224312
300,cash increase,6.611056945798577
301,credit facility,6.610920457568502
302,payment,6.604166666666666
303,address end customer,6.600212765957446
304,litigation activity,6.597597050926137
305,note concentration,6.594017094017094
306,market price,6.585703512174101
307,existing product,6.575097963360456
308,covenant commitments,6.574128045867177
309,early adoption,6.562937062937063
310,marketable security,6.561437908496732
311,performance target,6.55988455988456
312,impairment test,6.559619815668203
313,revenue recognition criterion,6.556674123788217
314,stock issuance,6.550536420101638
315,purchase consideration,6.544973544973545
316,credit facility,6.543154889802935
317,compensation subject,6.538011695906433
318,reporting unit,6.536153846153846
319,cash flows,6.533163469567505
320,credit facility,6.531210312640967
321,business,6.529033852236225
322,network address,6.526470588235294
323,cash consideration,6.526089625537139
324,debt issuance cost,6.5163476874003186
325,forfeiture,6.515734265734266
