,0,1
0,executive officer,9.0
1,responsibility,9.0
2,wall street journal,9.0
3,tax bases,8.81578947368421
4,threat protection system,8.705882352941178
5,governance measures,8.666666666666666
6,data centers,8.653846153846153
7,higher backlog,8.644444444444444
8,higher bonus,8.644444444444444
9,reportable segment,8.555555555555555
10,functional category,8.52
11,treasury yield curve,8.5
12,additional functionality,8.482758620689655
13,payments,8.428571428571429
14,accounting policies,8.375730994152047
15,taxing authorities,8.342105263157894
16,fire retirement system,8.305882352941175
17,currency exchange rates,8.287045666356011
18,protocol translation services,8.27659574468085
19,accounting pronouncements,8.209064327485379
20,leverage ratio,8.192660550458715
21,financial officer,8.185714285714285
22,distribution channel partner,8.172549019607843
23,tax authorities,8.157894736842106
24,interest rates,8.134037819799778
25,tax withholding purposes,8.131578947368421
26,chase bank,8.10344827586207
27,silicon valley bank,8.10344827586207
28,changing environment,8.055555555555555
29,negotiated transactions,8.052631578947368
30,debt expense,8.048648648648648
31,base rate,8.036191974822975
32,target prices,7.964285714285714
33,metal software,7.961538461538462
34,stock appreciation rights,7.961044710048694
35,underlying net tangible,7.931034482758621
36,quick ratio,7.916666666666667
37,design manufacturers,7.909090909090909
38,commitment fees,7.8655462184873945
39,hardware replacements,7.850588235294118
40,application delivery controllers,7.846153846153847
41,credit cards,7.823970037453183
42,interest rate,7.794256490952007
43,segment structure,7.752136752136752
44,vesting dates,7.75
45,borrowing base,7.748387096774194
46,tax rates,7.737715303222272
47,public offering,7.723684210526316
48,cash collections,7.713438735177865
49,hardware appliances,7.713333333333333
50,security protection,7.704761904761905
51,year anniversary,7.638461538461538
52,exchange rates,7.620378999689345
53,tax benefits,7.607456140350877
54,accounting policies,7.59795321637427
55,impairment test,7.59375
56,tax assets,7.587218045112782
57,significant stockholder,7.572222222222223
58,greater agility,7.571428571428571
59,stock units,7.540409789413774
60,common stock,7.538822487826472
61,stock issuances,7.538822487826472
62,rent expense,7.515315315315315
63,cash collection,7.513438735177865
64,capital requirements,7.48970398970399
65,eliminating additional paid,7.482758620689655
66,revenue service,7.449477351916377
67,interest income,7.436886395511921
68,data center applications,7.424216524216525
69,negative industry,7.404040404040404
70,parties,7.4
71,stock repurchase program,7.368452117456101
72,settlement approval,7.362068965517241
73,accounts,7.334195216548158
74,market prices,7.331932773109243
75,related notes,7.31734496124031
76,credit risk,7.308818522301668
77,credit risk,7.308818522301668
78,periods,7.304192685102587
79,service teams,7.30031746031746
80,stock awards,7.272155821159805
81,income tax purposes,7.262013729977117
82,consolidated statements,7.250399488654523
83,credit facility,7.22272393153418
84,quality assurance,7.222222222222222
85,quoted prices,7.214285714285714
86,impairment charge,7.204861111111111
87,asia,7.202507232401158
88,equity incentive plans,7.185964912280701
89,retrospective method,7.183333333333334
90,periodic stock,7.183266932270916
91,service provider networks,7.175172894016363
92,distribution channel partners,7.172549019607843
93,financial information,7.1657142857142855
94,prime rate,7.154471544715447
95,contracts,7.153763099396634
96,legal proceedings,7.153409090909091
97,exchange gains,7.151564722617355
98,asu,7.148809523809525
99,month interest periods,7.136960087479498
100,product portfolio,7.122549019607844
101,web security,7.121428571428572
102,existing products,7.120305068066262
103,fair values,7.119047619047619
104,touch sales organization,7.116915422885572
105,professional fees,7.113962608299134
106,intangible assets,7.107794842074761
107,financial performance,7.093406593406593
108,cloud application environments,7.086894586894587
109,interest income,7.081330839956365
110,interest,7.075682382133995
111,insured limits,7.0636363636363635
112,purpose entities,7.05
113,recurring adjustments,7.0476190476190474
114,japan distribution centers,7.0458823529411765
115,office application performance,7.039560439560439
116,financial statements,7.031351869606903
117,financial statements,7.031351869606903
118,commitment fees,7.024637127578305
119,basis differences,7.0144927536231885
120,remaining weighted average,7.014090177133655
121,services fees,7.0107133917396744
122,accompanying notes,7.008928571428571
123,loss position,6.996894409937888
124,additional capital,6.996272134203169
125,product revenues,6.993238674780256
126,balance sheet arrangements,6.989947089947091
127,product revenue,6.982398566379173
128,tax asset,6.95357749211739
129,repurchase program,6.952627045650301
130,stock price,6.950298050857964
131,action lawsuits,6.9372674109516215
