,0,1
0,ticker symbol,9.0
1,pari passu,9.0
2,apple app store,9.0
3,app annie intelligence,9.0
4,inconsequential separate deliverable,9.0
5,allowances,9.0
6,smart phone,9.0
7,advertising sponsorship tournament,8.88888888888889
8,retrospective transition,8.857142857142858
9,treasury yield curve,8.777777777777779
10,subscription card,8.630434782608695
11,price protection allowance,8.618556701030927
12,advanced warfare,8.589041095890412
13,infinite warfare,8.589041095890412
14,payable semi,8.582887700534759
15,consolidated statements,8.58160133298255
16,global developer,8.579871109282875
17,class fan experience,8.571428571428571
18,executive officer,8.55685618729097
19,cloud computing arrangement,8.55
20,sony playstation ps,8.464285714285715
21,wa originally executed,8.462962962962962
22,interpretation,8.452830188679245
23,games,8.428571428571429
24,underwritten offering,8.393939393939394
25,unrealized gain,8.392080069625761
26,forma basis,8.380281690140844
27,average rate,8.374183006535947
28,ii legacy,8.35
29,line expense,8.345744680851064
30,month,8.341665756311972
31,month,8.341665756311972
32,carlo model,8.333333333333334
33,nonstop games,8.317460317460316
34,income taxes,8.308043554618898
35,product releases,8.269485903814262
36,provide warehousing logistical,8.25
37,warehousing logistics,8.25
38,credit facility,8.24401913875598
39,twelve month,8.243326885880078
40,continually exploring additional,8.236842105263158
41,owned subsidiary,8.231884057971016
42,revenue,8.231300345224396
43,social connectivity,8.230019493177387
44,falling month,8.228801746215273
45,taxable year,8.180327868852459
46,year,8.180327868852459
47,stockholder,8.175824175824175
48,entertainment provider,8.165078223341126
49,term alliance,8.155932203389831
50,subscriber base,8.109649122807017
51,legal proceedings,8.107142857142858
52,sony computer entertainment,8.100401606425702
53,candy crush franchise,8.096459096459096
54,onlinein china,8.089041095890412
55,income tax,8.088684908150276
56,tax income,8.088684908150276
57,property licenses,8.088235294117647
58,guitar hero,8.083333333333334
59,month,8.076660219213412
60,operations,8.074074074074074
61,consolidated statements,8.043702278229562
62,cloud arrangement,8.019387755102041
63,tax dispute,8.004417577307603
64,economic benefit,7.993421052631579
65,purchase price,7.959689705957036
66,average basis,7.948909141121237
67,principal repayment,7.9399585921325055
68,high percentage,7.921052631578947
69,tax benefit,7.9182931753937265
70,tax benefit,7.9182931753937265
71,september,7.890537186309262
72,month,7.890537186309262
73,royalty rate,7.886200716845877
74,pricing grid,7.875672043010752
75,asac,7.875
76,licensed property,7.8731092436974786
77,online functionality,7.862794612794613
78,policy election,7.862244897959183
79,lived asset,7.86
80,requisite service,7.857752489331437
81,retrospective method,7.857142857142858
82,balance sheet arrangements,7.8533536585365855
83,consolidated statement,7.848617039788832
84,middle east,7.842105263157895
85,taxing authority,7.833333333333332
86,sego merger corporation,7.823529411764706
87,operating segment,7.815734989648034
88,quarterly basis,7.8127141225732775
89,quarterly basis,7.8127141225732775
90,tranchea term loans,7.811669908307864
91,developer royalty,7.802199648469809
92,tax law,7.799872122762148
93,discontinue hedge accounting,7.790816326530612
94,net revenue,7.790047081516824
95,pricing methodology,7.782738095238095
96,online activity,7.774410774410775
97,estate planning purpose,7.773809523809524
98,digital distribution,7.759314873256644
99,claim labor,7.75
100,tax position,7.742993815883841
101,tax benefit,7.741822587158433
102,statutory rate,7.736557886557886
103,online functionality,7.726002159964424
104,gaming effort,7.722441809398331
105,nonrecurring factor,7.722060957910014
106,mass market consumer,7.716666666666667
107,combination service,7.714138286893705
108,selling price,7.713794796269022
109,operating segment,7.708592132505176
110,person action gameplay,7.708333333333334
111,stock market,7.703527980535279
112,mobile gaming,7.700487012987013
113,working capital,7.7
114,google play store,7.694444444444445
115,statutory rate,7.691445707070707
116,principal balance,7.685643115942029
117,average cost,7.6853466938826
118,financial strength,7.677248677248677
119,online channel,7.674980299448385
120,destiny franchise,7.667887667887668
121,iii reaper,7.666666666666667
122,content pack,7.660651629072682
123,cash flow,7.66012084592145
124,cash flow,7.66012084592145
125,operating income,7.660096658053217
126,prior year,7.6599197055871535
127,equity offering,7.65809033733562
128,offsetting factor,7.651946818613485
129,service forworld,7.6381578947368425
130,notional amount,7.6365469208211145
131,significant source,7.625
132,principal amount,7.621148370096477
133,principal amount,7.621148370096477
134,translation loss,7.618255578093306
135,accounting policies,7.612244897959183
136,remaining balance,7.612205882352941
137,financial statement,7.610931050721627
138,financial statement,7.610931050721626
139,development production marketing,7.595238095238095
140,base rate,7.594771241830066
141,cash,7.576787512588117
142,cash,7.576787512588117
143,player action,7.56140350877193
144,line item,7.560672917815775
145,base rate borrowing,7.550179211469534
146,entertainment industry,7.549693607956511
147,addressable market,7.549224806201551
148,irs appeals,7.5476190476190474
149,net income,7.543713367834402
150,regulatory requirement,7.540217391304347
151,location income taxes,7.538812785388128
152,purchase price,7.536220318201934
153,game development cycle,7.531135531135531
154,net revenue,7.530378573229531
155,france,7.52690426275332
156,executive management,7.518003273322423
157,downloadable content,7.515261558150696
158,principal amount,7.51400551295362
159,interest rate,7.505388331475288
160,quarterly report,7.5038610038610045
161,effective hedge,7.5023419203747075
162,entertainment software,7.496159304422207
163,net revenue,7.493750785220527
164,reasonable effort,7.484057971014493
165,readily determinable fair,7.482233502538071
166,gaming revenue,7.479849668241804
167,term loans,7.478336574974529
168,diablo franchise,7.477335164835166
169,property plant,7.472031076581575
170,average maus,7.470035901684617
171,contingent liabilities,7.469473684210526
172,principal balance,7.464088628762542
173,foreign earnings,7.4504034171808255
174,software industry,7.447039749278556
