,0,1
0,substantial doubt,9.0
1,specific section,9.0
2,baby boomers,9.0
3,unplatted scattered mixed,9.0
4,undue reliance,9.0
5,chase bank,8.75
6,flagstar bank,8.75
7,national association,8.75
8,operating metric,8.689655172413794
9,north carolina,8.666666666666668
10,surety bond,8.55072463768116
11,taxable income,8.550387596899224
12,reward sharing experience,8.5
13,executive officer,8.5
14,bank,8.416666666666668
15,specific criterion,8.4
16,decline,8.384615384615385
17,wedonotexpectthe adoptionofasu,8.333333333333334
18,months,8.314606741573034
19,surety bond cancellation,8.304347826086957
20,estate tax,8.301169590643275
21,earnings,8.288888888888888
22,simulated earnings,8.288888888888888
23,sufficient capital,8.285714285714285
24,tax income,8.281381748946007
25,rata basis,8.203125
26,month,8.194003726497657
27,agoingconcern asu,8.19047619047619
28,aggregate retention,8.186274509803923
29,investing activity,8.176470588235293
30,tax consequence,8.125730994152047
31,tax benefit,8.123851294903925
32,capital contribution,8.103896103896105
33,disclosure,8.07843137254902
34,months,8.038277511961724
35,months,8.028985507246377
36,credit suisse,8.025641025641026
37,insurance policy protect,8.0
38,jen arizona,7.966666666666667
39,verifiable evidence,7.96
40,quantitative information,7.947368421052632
41,taxable income,7.945124439004489
42,month,7.917674496886346
43,warranty reserve,7.917350848385332
44,month,7.908382492171
45,adult market,7.904761904761904
46,net income,7.888049934561562
47,stockholder dependence,7.878787878787879
48,growth market,7.853479853479853
49,consolidation topic amendments,7.839285714285714
50,consolidated statements,7.838095238095239
51,common stock,7.821808510638298
52,performance bond,7.800724637681159
53,accounting policies,7.7924528301886795
54,consolidated statement,7.776923076923076
55,estate activity,7.746646026831785
56,action fluctuation,7.738095238095239
57,required theamendments,7.733333333333333
58,business,7.714285714285714
59,decision,7.712158808933003
60,florida cantamia,7.700826446280992
61,tax asset,7.690772322562964
62,operating agreement,7.689655172413794
63,financial statement,7.689319771137953
64,income tax benefit,7.674238891803151
65,product segment diversification,7.662406015037594
66,outstanding principal,7.66183574879227
67,retrospective method,7.644927536231883
68,adult community,7.623809523809523
69,utility infrastructure cost,7.617647058823529
70,bonterra builders acquisition,7.590444862155389
71,operating decision,7.585039787798408
72,temporary difference,7.576923076923077
73,gross margin,7.576923076923077
74,tax return judgment,7.571903242955874
75,arizona,7.566666666666666
76,residential market,7.5562770562770565
77,selling price,7.555302796266652
78,lot position,7.546296296296297
79,arizona income taxes,7.517054263565892
80,bonterra builders community,7.5125
81,public offering,7.511363636363637
82,executive overview,7.5
83,income tax expense,7.49912368442988
84,qualified asset,7.492565055762082
85,administrative expense,7.482622887864823
86,fund operating deficit,7.475369458128079
87,financial information,7.459765115267508
88,maturity,7.459468068163721
89,cyclical impact,7.450819672131147
90,secured facility,7.443452380952381
91,financial institution,7.431315613133796
92,sufficient cash,7.430232558139535
93,incentive compensation plan,7.417460317460318
94,loss position forecast,7.415904139433551
95,carryforward period,7.4145569620253164
96,subtopic disclosure,7.411764705882353
97,money market,7.404761904761905
98,identifiable asset,7.404329761644435
99,cash flow,7.391771019677996
100,capital contribution,7.383896103896104
101,gross margin,7.382186234817814
102,customers,7.380952380952381
103,equipment assets,7.373358348968106
104,intercompany account,7.358156028368795
105,sufficient liquidity,7.357142857142857
106,warranty type claim,7.3419540229885065
107,financial data,7.312396694214876
108,stock option,7.308877476155539
109,community,7.306540447504303
110,simulated path,7.303030303030303
111,material warranty reserve,7.301104349785891
112,home ownership warranty,7.294334975369458
113,revenue ratio,7.2938813813813805
114,newer community,7.29047619047619
115,financial statement,7.2893197711379525
116,residential community,7.275324675324676
117,broader economy,7.273333333333333
118,fasb issued asu,7.270476190476191
119,bonterra builders business,7.269642857142857
120,undeveloped land,7.265625
121,market level,7.254488680718189
122,arizona segment,7.25109649122807
123,florida segment,7.185256270842395
124,note net,7.181818181818182
125,industry condition,7.177027027027027
126,sale price,7.175965086144727
127,term nature,7.175
128,area allocation basis,7.167410714285714
129,june deutsche bank,7.163277511961723
130,gross margin,7.1610352264557875
131,revenue,7.154124436936936
132,asset,7.146411209608235
133,opportunistically sell existing,7.1405483405483405
134,carolinas segment,7.119292209882504
135,total selling,7.1143477564744035
136,aggregate consideration,7.109919830000965
137,senior debt,7.099474993092015
138,valuation allowance,7.098188405797101
139,term growth,7.082051282051282
140,market price,7.068079068079069
141,adverse impact,7.048858887817421
142,equity interest,7.035502958579881
143,cumulative profit,7.0285565939771555
144,consideration,7.026819923371647
145,homebuilding selling general,7.026178113617259
146,debt issuance costs,7.024549918166939
147,revenue recognition model,7.023048048048048
148,deposit,7.005263157894737
149,income taxes,7.003512596899225
150,common stock,6.9957215541165585
151,accounting standards,6.99245283018868
152,entity asu,6.992129083038174
153,market data,6.988095238095238
154,savvy homes,6.987212276214834
155,management,6.982142857142857
156,florida segment,6.978241502909906
157,wa,6.971913377565423
158,impairment assessment,6.964102564102564
159,change dependence,6.9638418079096045
160,speculative home,6.95995670995671
161,sale incentive,6.95894876912841
162,revenue recognition,6.9527355480480475
163,payment obligation,6.923157894736843
164,income loss,6.92268361207949
165,lot acquisition,6.918421052631579
166,acquiring entitling developing,6.915032679738562
167,gross margin,6.911785462244178
168,redemption price,6.905372405372406
169,year,6.8999016232169215
170,maturity period,6.890747438215793
171,bonterra builders operation,6.888690476190476
172,comprehensive income,6.888661354527821
173,line method,6.887351778656127
174,cancellation rate,6.883712905452036
175,liability companies,6.881610576923077
176,average number,6.88060606060606
177,stock subject,6.877364066193853
178,indenture,6.876395534290271
179,asset position,6.867292724607397
180,employee stock option,6.854332021610085
181,balance sheet,6.8537878787878785
182,income loss,6.840991111032151
183,share data,6.8352941176470585
184,unobservable input,6.834346504559271
185,administrative expense,6.826036866359447
186,community expenditure,6.820634920634921
187,sale incentive,6.816091626271268
188,valuation allowance,6.814855072463768
189,debt,6.81000664893617
190,administrative expense,6.803456221198156
191,lease asset,6.802088865285891
192,incentive plan,6.802075702075703
193,price increase,6.797960209724915
194,valuation allowance,6.794855072463768
195,term growth,6.790384615384616
196,june shareholder,6.788277511961723
197,cash flow,6.78650786178326
198,interest reserve requirement,6.779947403024326
199,cancellation rate,6.776570048309179
200,unit,6.772151898734178
201,utility completion obligation,6.7631578947368425
202,common share,6.761018755328218
203,principal amount,6.7557189542483655
204,cash flow,6.743122371029348
205,net asset,6.741992099306772
206,earnings loss,6.741830065359477
207,early adoption,6.733333333333334
208,achievement earnings volatility,6.726388888888889
209,market price,6.716727716727717
210,inthousands,6.714665451507556
211,tax benefit,6.712086589021574
212,financial position,6.709402210369328
213,margin community,6.707142857142857
214,incentive plan earnings,6.7063492063492065
215,capitalized interest,6.682938856015779
216,risk uncertainty,6.681818181818182
217,vie factors,6.678571428571429
218,note thereto,6.675324675324674
219,wa primarily due,6.6600630657151125
220,business plan,6.642857142857143
221,revenue,6.642422169004448
222,land position,6.640352668845316
223,year beginning,6.634351383982471
224,cost leverage,6.630147058823529
225,outstanding note,6.607867494824015
226,purchase price,6.605905205905207
227,category level,6.601188764260377
228,change,6.59973924380704
229,arizona segment,6.594510469722694
230,year,6.591574836099875
231,million capacity,6.585447470817121
232,goodwill,6.584687499999999
233,observable input,6.584346504559271
234,location,6.5837320574162685
235,cash flow asu,6.582247210154187
236,committed amount,6.575549450549451
237,product line,6.570921266233767
238,equipment net,6.557174532784289
239,tax rate,6.553216374269006
240,backlog,6.549929676511955
241,future issuance,6.548582995951417
242,housing contract,6.545500287521564
243,wa unit,6.541382667964946
244,investment factors,6.537142857142857
245,notes,6.5371237458193985
246,florida segment,6.528670249337019
247,operational profitability,6.524038461538462
248,equity ownership contract,6.518018018018017
249,labor decline,6.509615384615385
250,administrative expense,6.49303955453149
251,aggregate consideration,6.490872210953347
252,affected results,6.488721804511279
253,net cash,6.487407090923824
254,january,6.484112149532711
255,industry condition,6.4817145270270276
256,carolinas segment,6.462706188377128
257,interest entity,6.462155851141865
258,quarter,6.438076416337286
259,joint ventures,6.434448160535117
260,land position,6.428587962962963
261,performance level,6.424288179465056
262,actual result,6.4235618597320725
263,effect adjustment,6.416666666666667
264,purchaser backlog backlog,6.412698412698412
265,senior notes,6.398001998001998
266,community count,6.397619047619047
267,real property,6.393588137009189
268,liability,6.389482821637427
269,compliance impact,6.387183308494784
270,segment information,6.3825017088174985
271,result performance,6.378779395296752
272,result differences,6.378779395296752
273,estimated cost,6.368998410174881
274,positive evidence,6.36
275,segment florida,6.359935758021883
276,time,6.357881136950905
277,result performance,6.35441292356186
278,management effect,6.339285714285714
279,interim period,6.331223628691983
280,net property,6.325031675641432
281,wa,6.322248860595845
282,sale volume,6.309643213572855
283,financial position,6.308692990511172
284,net income,6.3026068965868784
285,goodwill impairment,6.299047619047619
286,lot ability,6.291666666666667
287,community count,6.290476190476191
288,million partially offset,6.288725062790365
289,start,6.283604581072936
290,expenditure,6.283134306354121
291,purchase price,6.2679741714224475
292,homebuilding previously included,6.266808712121211
293,arizona segment,6.261513157894736
294,land inventory repairs,6.258378623188406
295,revenue,6.2401751615746175
296,statement purpose,6.23098643780462
297,unit level,6.2247267759562845
298,expenditure,6.217064400130761
299,decreased sale,6.211559444319731
300,share amount,6.2102941176470585
301,business activity,6.208938120702827
302,goodwill impairment asu,6.203809523809524
303,recognize revenue,6.203603603603604
304,diluted earnings,6.203445850914205
305,florida segment,6.195672937509062
306,interest payment,6.1955029585798815
307,annual assessment,6.194444444444445
308,senior notes,6.1870507870507865
309,capitalized interest,6.185191108268032
310,opened community,6.17936507936508
311,goodwill note land,6.1754951298701295
312,earnings loss,6.170401493930906
313,liability,6.156452205882353
314,asc,6.155693581780538
315,disclosures asc fair,6.150012712941774
316,location,6.147306397306397
317,notes,6.141787526264542
318,homeowner association amenity,6.130252100840336
319,carolinas segment,6.129708876549171
320,sale contract cancellation,6.125759057677829
321,year result,6.0981547027242
322,timeframes,6.093521279479534
323,contract backlog,6.09066759066759
324,exchange notes,6.07051282051282
325,core homebuilding operation,6.049785539215686
326,future impairment,6.0469890943575155
327,member interest,6.035502958579881
328,unit,6.02781577747378
329,unit,5.995841995841996
330,change,5.9939647211365354
331,housing community indicator,5.990577507598784
332,unit,5.977742448330684
333,note investments,5.967610514485514
334,estimated lot,5.942147371251849
335,additional community,5.937218758471131
336,diluted share,5.92433521353747
337,home order activity,5.920518207282913
338,unconsolidated entity,5.917931962329425
339,important factor,5.908672248803828
340,early adoption,5.907462686567165
341,home sale,5.897931028698904
342,increased sale,5.878562132491773
343,financing term,5.863025210084033
344,debt issuance cost,5.8421969769904685
345,senior notes,5.839560439560439
346,entity asu,5.838282929192021
