,0,1
0,substantial doubt,9.0
1,executive officer,9.0
2,baby boomers,9.0
3,unplatted scattered mixed,9.0
4,undue reliance,9.0
5,phoenix area,8.73913043478261
6,specific sections,8.736842105263158
7,operating metrics,8.617647058823529
8,insurance policies,8.5
9,sufficient capital,8.436363636363637
10,declines,8.333333333333334
11,chase bank,8.32
12,carryforward periods,8.304347826086957
13,capital contributions,8.303030303030303
14,taxable income,8.290502793296088
15,seasonal patterns,8.285714285714285
16,party engineer evaluations,8.206896551724139
17,september30,8.169004563123206
18,accounting standards,8.157894736842106
19,accounting standards codification,8.157894736842106
20,accounting policies,8.157894736842106
21,surety bonds,8.154037267080746
22,months,8.084742268041238
23,healthcare costs,8.073333333333334
24,credit suisse,8.069767441860465
25,specific criteria,8.036842105263158
26,adult market,8.033333333333335
27,income tax consequences,8.031882103640918
28,months,8.024742268041237
29,participating rights,8.0
30,bank,7.986666666666666
31,accounting pronouncements,7.957894736842105
32,tax consequences,7.954862456412243
33,growth market,7.95
34,verifiable evidence,7.923076923076923
35,financial statements,7.887494476358816
36,adult community,7.883333333333334
37,stock options,7.854395604395604
38,tax assets,7.8367362057017225
39,institutional buyers,7.833333333333332
40,retrospective methods,7.833333333333332
41,deposits,7.797570850202429
42,qualified assets,7.792792792792792
43,indenture,7.791666666666666
44,residential market,7.79
45,community counts,7.770588235294118
46,lot positions,7.758064516129032
47,estate activities,7.752753623188406
48,contributions,7.7523809523809515
49,area allocation methods,7.739130434782609
50,area allocation basis,7.736398194345451
51,estate taxes,7.728468468468469
52,decisions,7.712158808933003
53,tax benefits,7.678879310344827
54,business,7.6767676767676765
55,sales price,7.669713375796178
56,consolidated statements,7.657526881720431
57,active adults,7.647163120567376
58,payment obligations,7.635714285714285
59,income tax benefit,7.631882103640917
60,industry conditions,7.617647058823529
61,quantitative information,7.6118421052631575
62,retrospective method,7.6028368794326235
63,money market,7.6
64,price increases,7.596794871794872
65,cash outflow,7.592853670393778
66,capital contributions,7.588744588744589
67,financial statements,7.58104286345559
68,north carolina area,7.578291273943448
69,rata basis,7.563934426229508
70,community counts,7.55
71,utility completion obligations,7.535714285714286
72,operating decisions,7.51874595992243
73,revenue recognition model,7.507383966244726
74,taxable income,7.503985939363505
75,employee stock options,7.497252747252747
76,identifiable assets,7.4945471787577045
77,sufficient cash,7.475206611570248
78,income tax expense,7.465215436974249
79,adult communities,7.462280701754387
80,investing activities,7.459420289855072
81,intercompany accounts,7.451587301587301
82,selling price,7.421363636363637
83,balance sheets,7.401881720430107
84,stock appreciation rights,7.392857142857142
85,financial information,7.381849315068493
86,product lines,7.369223765080811
87,bonterra builders acquisition,7.356537260151717
88,equity interests,7.333333333333333
89,net income,7.331825107345677
90,raw land,7.313063063063064
91,cyclical impact,7.310344827586206
92,common stock,7.309523809523808
93,utilities infrastructure costs,7.287619047619048
94,executive overview,7.280701754385965
95,bonterra builders acquisitions,7.256296296296296
96,cash flows,7.249400159957345
97,economic conditions,7.246148459383754
98,savvy acquires,7.239583333333334
99,capital resources,7.237950937950938
100,undeveloped land,7.22972972972973
101,residential communities,7.218947368421053
102,newer communities,7.212280701754386
103,performance bonds,7.207792207792208
104,administrative expenses,7.205773368395889
105,secured facility,7.176801801801801
106,bonterra builders communities,7.175243664717349
107,operating agreement,7.173202614379084
108,accounting standards,7.157894736842105
109,cyber risks,7.151515151515151
110,tax provision,7.141379310344828
111,sales incentives,7.1392588303416336
112,capital accumulation plan,7.13201581027668
113,indirect costs,7.114999999999999
114,purchase price,7.089583333333334
115,redemption price,7.07481684981685
116,cash flow,7.066115702479339
117,assets,7.0546975546975546
118,market prices,7.046078431372549
119,fund operating deficits,7.026737967914439
120,opportunistically sell existing,7.014285714285714
121,member interests,7.0
122,consideration,6.977124183006536
123,completion costs,6.973333333333334
124,bonterra builders business,6.973063973063972
125,aggregate consideration,6.96218487394958
126,capitalized interest,6.9408760645583945
127,outstanding principal,6.94021164021164
128,average number,6.913333333333333
129,tax asset,6.895795264760782
130,selling prices,6.8924420677361855
131,cancellation rate,6.887761759444386
132,cash flows,6.867047218780875
133,revenue,6.863117136197568
134,valuation allowance,6.859535201640465
135,operating results,6.859008037026614
136,fasb issued asu,6.858585858585858
137,public offering,6.858333333333334
138,cancellation rates,6.857558139534884
139,revenue recognition,6.825883093644377
140,consolidated indebtedness,6.824920936116381
141,gross margins,6.824632416536932
142,due diligence,6.8237877618849785
143,carolinas segment,6.82022584583188
144,term growth,6.8161764705882355
145,communities,6.815311004784689
146,interim periods,6.812622057765443
147,market conditions,6.811990950226244
148,unobservable inputs,6.801587301587301
149,financial data,6.794728102947281
150,capital market financing,6.793340380549683
151,goodwill goodwill,6.777777777777778
152,balance sheet,6.776881720430107
153,impairment assessments,6.7736263736263735
154,industry conditions,6.769479519556514
155,market prices,6.753221288515406
156,tax rates,6.716379310344827
157,consolidated statements,6.715219189412737
158,liability companies,6.711121695641818
159,debt service requirements,6.710526315789474
160,administrative expenses,6.706418113721485
161,market data,6.7
162,payment accounting,6.695394736842105
163,principal amount,6.689684569479966
164,interest,6.676041858624712
165,interim periods,6.674718196457327
166,estimated costs,6.673333333333333
167,claims,6.67
168,interest entity,6.651620268727497
169,cash flows,6.649400159957345
170,land positions,6.641494435612083
171,arizona segment,6.6221978106691335
172,debt,6.612358776522458
173,cumulative profit,6.611882716049383
174,credit facility,6.5799025769956
175,operational profitability,6.5777777777777775
176,bonterra builders operations,6.576998050682261
177,florida segment,6.571473172987974
178,sufficient liquidity,6.571428571428571
179,interest reserve requirement,6.558842081549899
180,observable inputs,6.551587301587301
181,purchase price,6.5375
182,net assets,6.535869492807292
183,tax rate,6.525994694960211
184,common shares,6.514285714285714
185,joint ventures,6.508274231678487
186,committed amount,6.507180798740901
187,warranty reserve,6.499522965789833
188,valuation allowance,6.497582339687603
189,continuing involvement,6.489087301587301
190,temporary differences,6.479520479520479
191,sales incentive,6.470427661510463
192,cost leverage,6.468201754385965
193,cash flows,6.462883306024761
194,payment transactions,6.446590909090909
195,land positions,6.396396396396396
196,positive evidence,6.393665158371041
197,interest expense,6.382191517942814
198,valuation allowance,6.379348721453985
199,unit,6.373803208285967
200,development liability,6.3730815588589795
201,business plan,6.3724198506807195
202,interest payments,6.327165062916358
203,administrative expenses,6.325946733250104
204,financing costs,6.3136434108527135
205,net contracts,6.312956929434202
206,sales volume,6.310444369948225
207,statement purposes,6.306849315068493
208,capitalized interest,6.287756195921284
209,margin communities,6.278947368421053
210,home sales,6.278171319721412
211,interest entity,6.276620268727497
212,home closing volume,6.274799663002801
213,recognize revenue,6.257383966244726
214,housing contracts,6.252403846153847
215,annual assessments,6.238095238095238
216,interest expense,6.211626215798564
217,interest expense,6.211626215798564
218,business activities,6.176187966622749
219,independent appraisals,6.155935050391937
220,administrative expenses,6.155381431105855
221,homebuilding previously included,6.147446495820704
222,adverse impact,6.138916256157636
223,land sale gains,6.133575883575883
224,december31,6.116049382716049
225,capitalized interest,6.103156766312781
226,opened communities,6.101169590643275
227,asset positions,6.096949891067538
228,customer deposits,6.095816464237517
229,gross margin,6.091223510595762
230,home sales,6.078171319721412
231,fair values,6.071052631578947
232,future issuance,6.065406222990493
233,debt issuance costs,6.058859649122807
