,0,1
0,terminates employment,9.0
1,federal state,9.0
2,utilized uncertainties,9.0
3,content quality,9.0
4,mountain region,9.0
5,ward reeves,9.0
6,petroleum engineer,8.807692307692307
7,twelve month,8.607257904155896
8,valorem tax,8.580645161290322
9,texas,8.545454545454545
10,ward county texas,8.545454545454545
11,counties,8.545454545454545
12,negotiation execution delivery,8.538461538461538
13,petroleum corporation,8.363247863247864
14,reserve factors,8.346007604562738
15,unescalated price,8.343347639484978
16,judgment,8.333333333333334
17,reference rate,8.304347826086957
18,modeling technique,8.285714285714285
19,restricted stock,8.258741258741258
20,dollar increment requirement,8.212121212121211
21,rig loan agreement,8.1996891996892
22,valuation technique,8.1875
23,regulatory agency,8.13888888888889
24,deferred tax,8.111895161290322
25,downward revision,8.105882352941176
26,contractual commitment,8.1
27,north fork prospect,8.1
28,anti dilutive due,8.066666666666666
29,restricted share,8.048484848484849
30,additional reserve,8.047157029850094
31,depreciation depletion,8.046984126984126
32,raven rig,8.046153846153846
33,tax position,8.035190615835777
34,proved reserve,8.024839721351059
35,reserve securing,8.024839721351059
36,site restoration,8.019607843137255
37,purchase price,8.01776624413614
38,subsidiary,8.007751937984496
39,fasb issued asu,8.0
40,competitive relationship,8.0
41,balance sheet gains,7.972222222222222
42,months,7.969127375826946
43,determined semi,7.960714285714285
44,months,7.954402361042794
45,netting agreement,7.932900432900434
46,cash item,7.890693399634493
47,owned mineral,7.888888888888889
48,dickinson north dakota,7.884615384615385
49,commodity price,7.881809177946517
50,commodity price,7.881809177946517
51,prime rate,7.849802371541502
52,quoted price,7.843347639484978
53,factor,7.833333333333334
54,reference rate advance,7.804347826086957
55,ford formation,7.8
56,cost pool,7.799748354626403
57,dilutive security,7.798245614035087
58,nonpayment,7.759087669280114
59,environmental law,7.733333333333334
60,months,7.732894888658129
61,long put combined,7.718166383701188
62,provision,7.717948717948718
63,environmental expenditure,7.698701298701299
64,derivative contract,7.686868599050617
65,derivative contract,7.686868599050617
66,contract equate,7.686868599050617
67,funds rate,7.66798418972332
68,recovery reserve,7.658507604562738
69,cash charge,7.641845473367212
70,additional covenant,7.639947239495006
71,coupon interest rate,7.639426360118371
72,cash flow,7.628092145949289
73,geologic risk,7.625
74,market price,7.606505534221821
75,level commitments,7.6
76,month,7.590403971571626
77,factor,7.585174625801853
78,energy supply,7.583333333333334
79,exploration project,7.576388888888889
80,month,7.575678956787474
81,log analysis,7.571428571428571
82,property comprising,7.56879283078545
83,prepayment provision,7.566433566433567
84,adverse effect,7.5640394088669956
85,working interest,7.562351261304141
86,market activity,7.5600328947368425
87,unpledged asset,7.558989697573945
88,stock activity,7.555616258741258
89,fiscal quarter,7.537032359462266
90,valuation account,7.520833333333332
91,market price,7.51954901248269
92,share,7.514002089864159
93,current ratio,7.503710575139147
94,ranch,7.5
95,valuation allowance,7.4890521064301545
96,million wa attributable,7.480183377698905
97,accounting policies,7.472222222222222
98,balance sheet arrangements,7.472222222222222
99,highly capital,7.454761904761905
100,production volume,7.453947368421053
101,stock,7.452603349031921
102,year beginning,7.445837687216997
103,restricted share,7.444318181818182
104,field decline,7.44112308345885
105,customary covenant,7.43879781420765
106,tax asset,7.43375250592309
107,interest coverage ratio,7.425987624940505
108,estimate recently adopted,7.423076923076923
109,cash charge,7.422672273082108
110,capital expenditure,7.420129870129871
111,proved reserve,7.413075015468706
112,derivative position,7.3909308684395185
113,additional reserve,7.380490363183428
114,balance sheet arrangement,7.372222222222222
115,supersedes,7.36
116,topic,7.36
117,lessee,7.357142857142858
118,month,7.354171484402809
119,cash flow,7.346402005104219
120,production volume,7.34525171624714
121,credit facility,7.331694505986906
122,net loss,7.309027777777778
123,capital resource,7.307326007326006
124,unproved property,7.3068880688806885
125,wa partially offset,7.292942176870748
126,customer contract asu,7.288944723618091
127,successful exploration,7.28888888888889
128,property accounting,7.279110291102912
129,loss minus,7.277777777777778
130,vesting period,7.274337721436697
131,market price,7.273172200888487
132,stock option,7.271606984969054
133,united states,7.266666666666667
134,activity comparison,7.2658672480620154
135,working interest,7.263500686591497
136,principal payment,7.263448784082534
137,basis differential swap,7.254040077569488
138,maturity date,7.253757106434192
139,derivative contract,7.242424154606172
140,swap price,7.241751122794122
141,price swap,7.241751122794122
142,contract current,7.232323144505163
143,cash payment,7.231907585168454
144,derivative contract,7.225330137512155
145,additional oil,7.218591285752472
146,additional reserve,7.217888737167168
147,lower price,7.207425309387891
148,coupon debt instrument,7.204661654135339
149,material item,7.201228878648234
150,williston basin,7.191666666666666
151,length basis,7.182728410513142
152,net income,7.17455985915493
153,stock option activity,7.17264865163572
154,capitalized cost,7.1615674603174595
155,market price,7.151960079676366
156,project position,7.142045454545455
157,engineering report,7.14176570458404
158,accounting rule,7.138888888888889
159,commodity price,7.131809177946517
160,ebitdax ratio,7.124922696351268
161,additional write,7.122687886825818
162,gas property,7.1209287977124145
163,gas property,7.1209287977124145
164,salary reduction,7.11969111969112
165,current asset,7.116871749242243
166,current liability,7.115877080665813
167,period depreciation depletion,7.115607562706538
168,hedging activities,7.111021233569262
169,ceiling limitation,7.108987463837994
170,spot market price,7.106505534221821
171,insurance claim,7.098173515981735
172,purchase price,7.093347639484978
173,management,7.090909090909091
174,additional debt,7.090021605738485
175,future price,7.06883783556341
176,current forecast,7.068710359408033
177,project loe,7.065651260504201
178,collar contract,7.061671996345363
179,additional information,7.058292282430214
180,completing previously drilled,7.055555555555555
181,term maturity,7.054395951929159
182,financial statement,7.049102542081759
183,business combination,7.03780964797914
184,existing condition,7.035204081632653
185,boe wa due,7.032052821128451
186,contract price,7.030216238535595
187,economic benefit,7.019607843137255
188,property impairment,7.019053519002344
189,derivative instrument,7.015332782315117
190,future contract,7.014434919696522
191,semiannual april,7.012590799031477
192,additional property,7.012102534818451
