,0,1
0,terminates employment,9.0
1,competitive relationships,9.0
2,mountain region,9.0
3,eye 101h,9.0
4,modeling techniques,9.0
5,ourpermian/delaware basinassets,9.0
6,twelve months,8.82778466881667
7,valorem taxes,8.710144927536232
8,judgment,8.705882352941178
9,petroleum engineers,8.67741935483871
10,tax positions,8.49016393442623
11,fiscal quarters,8.48390804597701
12,rig loan agreement,8.384625668449198
13,reference rate,8.373737373737374
14,shut eye,8.333333333333334
15,field declines,8.220702820632695
16,dollar increment requirements,8.212121212121211
17,deferred taxes,8.189018166972852
18,eagle ford/austin chalk,8.17142857142857
19,regulatory agencies,8.1625
20,downward revisions,8.105882352941176
21,additional reserves,8.0914044575549
22,savings measures,8.073333333333334
23,saving measures,8.073333333333334
24,deferred taxes,8.020489755122439
25,september30,8.020445219275386
26,political environment,8.0
27,months,7.992833212505991
28,ford formation,7.9714285714285715
29,reserves,7.964424951267057
30,termination rights,7.95870795870796
31,commodity prices,7.950584052818689
32,commodity prices,7.950584052818689
33,commodity prices,7.950584052818689
34,derivative positions,7.89760304004677
35,months,7.893574142500881
36,market activity,7.8901098901098905
37,a2 zone,7.884615384615385
38,a1 zone,7.884615384615385
39,properties,7.878524046434494
40,reference rate,7.873737373737374
41,vesting periods,7.856335754640838
42,unsecured notes,7.848484848484849
43,north fork prospect,7.840579710144928
44,production strategies,7.835555555555556
45,cost pool,7.829430894308943
46,prime rate,7.816775348420919
47,ranch,7.8
48,acreage acquisitions,7.777777777777778
49,prepayment provisions,7.770979020979022
50,restricted shares,7.764411027568922
51,adverse effect,7.761187416925122
52,market fundamentals,7.756224787870358
53,additional indebtedness,7.725663716814159
54,unpledged assets,7.689753320683112
55,recovery reserves,7.6782407407407405
56,valuation account,7.672348484848484
57,workover projects,7.642512077294686
58,basis differential swap,7.620689655172413
59,net income,7.620049710024855
60,derivative contracts,7.594505020747634
61,derivative contracts,7.594505020747634
62,contracts equate,7.594505020747634
63,petroleum corporation,7.589700056593095
64,tax assets,7.574034902168165
65,log analysis,7.571428571428571
66,environmental laws,7.533333333333333
67,market price,7.522767651510167
68,basis differential swaps,7.509578544061302
69,unescalated prices,7.508872822872165
70,restricted stock,7.50250626566416
71,dilutive securities,7.5
72,geologic risk,7.5
73,valuation allowance,7.4890521064301545
74,highly capital,7.406666666666666
75,spot market prices,7.395589047823686
76,production volumes,7.395079365079365
77,cash flow,7.391721352852095
78,factors,7.388888888888889
79,principal payments,7.386945546339704
80,provisions,7.384615384615385
81,coupon interest rates,7.382654149775977
82,proved reserves,7.373515860357966
83,capital resources,7.342564102564102
84,market prices,7.341241221736729
85,net income,7.338359569179785
86,exploration projects,7.337606837606837
87,balance sheet arrangements,7.328571428571429
88,market prices,7.312255714490352
89,cash charges,7.301659241050853
90,repay amounts,7.301394204483324
91,extraordinary losses,7.2936507936507935
92,successful exploration,7.282051282051282
93,operated properties,7.263246268656717
94,additional reserves,7.262136164871974
95,fasb issued asu,7.255
96,derivative instruments,7.24760304004677
97,contractual volumes,7.244539100043687
98,interest coverage ratio,7.2431192660550465
99,salary reductions,7.240570846075434
100,derivative contracts,7.212686838929452
101,successful development,7.21
102,commodity derivatives,7.205681818181818
103,current assets,7.204686720203258
104,delivery location,7.198412698412699
105,derivative settlements,7.18894503138876
106,valuation techniques,7.1875
107,commodity prices,7.18135328358792
108,additional information,7.173715664866107
109,fiscal years,7.173040752351096
110,contractual commitments,7.166666666666666
111,accounting rules,7.1625
112,income taxes,7.161666225710674
113,capital expenditure budget,7.160289855072463
114,maturity date,7.155067155067155
115,current assets,7.145218801580409
116,reserves,7.140895539502351
117,financial statements,7.139362490733877
118,collar contracts,7.138160721959605
119,collar contracts,7.138160721959605
120,additional information,7.126917635309457
121,cash charges,7.12435569099102
122,coupon debt instruments,7.122549019607844
123,swap price,7.114342743085258
124,cash flow,7.110031212007024
125,salary reduction,7.107142857142858
126,lessees,7.105882352941176
127,unproved properties,7.100746268656716
128,sales prices,7.0990689013035375
129,market prices,7.088627022507229
130,production declines,7.087108350586612
131,cost environments,7.07974358974359
132,stock activity,7.079429342587238
133,property impairment,7.066295546558704
134,funds rate,7.063659854357528
135,current liabilities,7.051371308016877
136,additional oil,7.049763439805849
137,unproved properties,7.045190713101161
138,additional write,7.040535511685954
139,capitalized cost,7.039706572769952
140,credit facility,7.038897995208675
141,energy supplies,7.033333333333334
142,agreements,7.023809523809524
143,material items,7.020947176684881
144,hedge accounting,7.020058139534884
145,price swaps,7.003231631974147
146,additional properties,6.997141692787949
147,restricted shares,6.993224586890956
