,0,1
0,owned subsidiary,9.0
1,willful misconduct,9.0
2,rapp,9.0
3,employing scheme,9.0
4,safe harbor,9.0
5,swing profit,9.0
6,payroll deduction,9.0
7,delivering significantly faster,8.833333333333334
8,retrospective approach,8.777777777777779
9,novo request,8.75
10,executive officer,8.714285714285715
11,order defendants,8.666666666666666
12,pheno system,8.604651162790699
13,license agreements,8.528735632183908
14,item note commitments,8.528735632183908
15,patient outcome,8.521739130434783
16,sponsored incentive,8.5
17,states securities,8.472222222222221
18,month,8.469808596993547
19,manufacturing space,8.444444444444445
20,financial institution,8.432203389830509
21,provision,8.371428571428572
22,trial agreements,8.37037037037037
23,market authorization,8.325581395348838
24,tax deficiency,8.305555555555555
25,annual wage,8.25
26,balance sheet item,8.246808510638298
27,balance sheet arrangements,8.246808510638298
28,cir,8.233333333333334
29,cash flows,8.23076923076923
30,month,8.2246523066293
31,currency transactions,8.208791208791208
32,district court district,8.2
33,financing activity,8.196291208791209
34,line basis,8.170212765957446
35,retrospective basis,8.170212765957446
36,system,8.168181818181818
37,option feature,8.157894736842106
38,note commitments,8.128735632183908
39,review process,8.128571428571428
40,entity,8.115384615384615
41,comparable terminology,8.1
42,leveraged lease,8.092105263157894
43,clinical study,8.074074074074074
44,trial site,8.037037037037036
45,existing arrangement,8.020703933747413
46,drug administration,8.0
47,judgment,8.0
48,month,7.963023330714609
49,instrument engineering supply,7.950819672131147
50,states court,7.95
51,price hierarchy,7.921568627450981
52,attribution method,7.916666666666667
53,interest rate,7.907692307692307
54,financing lease,7.87781954887218
55,wa,7.8411324786324785
56,securities exchange act,7.813131313131313
57,debt security,7.7635392829900844
58,milestone milestone relocation,7.75
59,repair event,7.737037037037037
60,consolidated statement,7.723098579886557
61,future event,7.721247563352827
62,business assumptions,7.709219858156027
63,economic performance,7.708465608465609
64,repurchase agreement,7.683712121212121
65,bank repurchase agreement,7.683712121212121
66,recent period,7.681818181818182
67,significant factor,7.672268907563025
68,contributing factor,7.672268907563025
69,bargain renewal option,7.657894736842105
70,tax withholding purpose,7.638888888888889
71,economic life,7.636363636363637
72,national institute,7.632911392405063
73,eliminating additional paid,7.628571428571428
74,income tax consequence,7.62719298245614
75,financial reporting,7.622679580306699
76,granting accelerate,7.604651162790698
77,credit loss,7.596618357487923
78,credit loss reversal,7.596618357487922
79,grant wa extended,7.581662781662782
80,market price,7.5804833561331515
81,tax year,7.572258592471359
82,period,7.561128526645768
83,market data,7.542972699696664
84,agreement,7.541666666666666
85,economic benefit,7.537037037037037
