,0,1
0,reportable segment,9.0
1,plaines illinois,9.0
2,unsecured note,9.0
3,undue reliance,9.0
4,networked system,8.96
5,automation system,8.96
6,automation solution,8.859649122807017
7,external forecast,8.7
8,balance sheets,8.685924369747898
9,comprehensive model,8.636363636363637
10,economic condition,8.55239099859353
11,credit facility,8.53261795264861
12,legal proceeding,8.5
13,financing arrangement,8.5
14,financial statements,8.474851468856095
15,energy usage,8.473684210526315
16,quoted price,8.46808510638298
17,average number,8.454545454545455
18,integrated system,8.42153846153846
19,balance sheet classification,8.418956043956044
20,principal,8.318181818181818
21,currency exposure,8.307692307692307
22,account,8.277777777777779
23,state lighting,8.272727272727273
24,lighting fixture,8.272727272727273
25,networked lighting,8.272727272727273
26,led luminaires,8.243697478991596
27,sensory network,8.23076923076923
28,reporting period,8.212478741496598
29,collateral requirement,8.2
30,asu rescission,8.2
31,management solution,8.197486960644856
32,outdoor application,8.19047619047619
33,market presence,8.161616161616163
34,unexpected cost,8.15909090909091
35,net earnings,8.145019100793418
36,technological factor,8.130434782608695
37,production activity,8.104807692307691
38,financial performance,8.10291519434629
39,ago period,8.096691493955095
40,comprehensive income,8.080808080808081
41,affairs trade,8.071428571428571
42,international market,8.070707070707071
43,financial position,8.060268135522762
44,economic benefit,8.055555555555555
45,net income,8.052878179384203
46,miscellaneous income,8.052878179384203
47,income net,8.052878179384203
48,related manufacturing,8.028373266078184
49,resource,8.0
50,historical experience,8.0
51,inefficiency amortization,7.994633273703041
52,comprehensive income,7.9631610219845514
53,year period,7.960327857591459
54,facility fee range,7.955179733444687
55,plans,7.944444444444445
56,outstanding balance,7.936595327445614
57,capital structure,7.903743315508022
58,nonforfeitable dividend,7.875
59,energy efficiency,7.873684210526315
60,geometri llc,7.871794871794872
61,economic political governmental,7.861111111111111
62,bond discount,7.829411764705882
63,anticipated benefit,7.818181818181818
64,based luminaires,7.817082997582594
65,capitalization net,7.814316087880936
66,solid growth,7.813311688311687
67,interest tax depreciation,7.796752519596865
68,outdoor application,7.790476190476191
69,stock award,7.788156288156287
70,accounting standards,7.787878787878788
71,fasb issued asu,7.777777777777778
72,credit,7.760233918128655
73,casualty insurance program,7.758333333333333
74,line basis,7.758064516129032
75,facility fee,7.75676703503199
76,identifiable asset,7.728070175438597
77,diluted earnings,7.725687929956223
78,party forecast,7.7
79,repurchasing share,7.699999999999999
80,lighting system,7.694265734265735
81,software solution,7.692982456140351
82,net sale,7.688147863581871
83,energy management solution,7.671171171171171
84,abl ip,7.666666666666667
85,strength management,7.665753032184127
86,extended warranty,7.663847780126851
87,future development,7.66
88,subsidiary eliminations,7.659090909090909
89,volume,7.649122807017544
90,legal claim,7.642857142857142
91,financial statement,7.633523949476249
92,market price,7.62970126799914
93,acquisitions investments,7.625
94,share grant,7.622222222222222
95,balance sheet asu,7.618956043956044
96,share unit,7.614285714285714
97,building management,7.610565110565111
98,customer base,7.6
99,registered note,7.594594594594595
100,lighting solution,7.593914857072752
101,based product,7.581004566210046
102,profitable growth,7.580357142857142
103,future warranty,7.543116883116884
104,freight charge,7.541666666666666
105,period amount,7.539909511784511
106,outstanding thereunder,7.539404978749241
107,topic earnings,7.536585365853659
108,total debt,7.524064171122995
109,establishes,7.5
110,retirement benefit,7.5
111,net income,7.488111340005966
112,lighting solution,7.485317572004879
113,leading lighting,7.483253588516748
114,geometri llc,7.48020123336579
115,historical amount,7.469360269360269
116,credit support,7.461622807017544
117,financial performance,7.455856370816878
118,regulatory tax,7.451417004048583
119,acuity brands,7.408421052631578
120,revenue bond,7.392156862745098
121,financial position,7.37791519434629
122,financial condition,7.364285521105195
123,eitf meeting,7.363636363636363
124,financial measure,7.35934964870456
125,note thereto,7.357142857142858
126,cash flows,7.348780487804878
127,currency rate,7.346153846153846
128,capital stock,7.341606480950743
129,operating income,7.323514211886305
130,geometri llc,7.316631380851565
131,acuity brands,7.3127272727272725
132,current period,7.282373366013072
133,warranty cost,7.273636363636364
134,light level,7.271585557299844
135,amortization expense,7.27006751687922
136,equity plan,7.251961639058413
137,equity incentive plan,7.251961639058413
138,financial covenant,7.247523037483544
139,voluntary disclosure,7.242562929061784
140,product category,7.237777777777778
141,period,7.217610472033915
142,term debt,7.214733542319749
143,common stock,7.208536652228741
144,total revenue,7.193627450980392
145,oral statement,7.1899224806201545
146,export regulation,7.186274509803923
147,annual period,7.151934523809524
148,charge amortization,7.146075581395349
149,fund capital expenditure,7.1439393939393945
150,rate instrument,7.143724696356275
151,charge footnote,7.135416666666666
152,term asset,7.124621899576527
153,professional fee,7.116129032258064
154,employment plan asset,7.115166949632145
155,american lighting,7.106060606060607
156,gaap measure,7.1051186648845865
157,net sale,7.093376621751805
158,financial information,7.085058051489147
159,stock agreement,7.077622377622378
160,information,7.06820843091335
161,financial position,7.06745007806722
162,lead time,7.066037735849057
163,acuity brands,7.063255813953488
164,basic earnings,7.061585365853659
165,cash flow reserves,7.059306803594352
166,management discus,7.052123552123552
167,preliminary estimate,7.050351288056206
168,presentation acuity brands,7.039999999999999
169,continued investment,7.0397727272727275
170,net income,7.035636800073859
171,fiscal period,7.035061538056082
172,renovation project expansion,7.033333333333334
173,net sale,7.026569308109048
174,basic earnings,7.02538464900778
175,smart building,7.022222222222222
176,income tax expense,7.017449537823052
177,bond,7.0165912518853695
178,management,7.012676547515257
179,term liquidity,6.99655172413793
180,american market,6.994949494949496
181,short term,6.993103448275862
182,participating security,6.991883116883118
183,policy change,6.991752577319588
184,identical term,6.99089134677944
185,financing agreement,6.987671232876712
186,affiliate,6.981424148606811
187,year period,6.960490777109218
188,month period,6.958010057471265
189,acquisition,6.9521625163827
190,year presentation,6.945037082190389
191,cash flow,6.941659744770822
192,special charge,6.93808962264151
193,amortization expense,6.9300675168792205
194,growth initiative,6.9278571428571425
195,adverse effect,6.919657097288677
196,cost basis,6.917155425219941
197,acuity brands,6.903799283154122
198,income loss,6.895622895622896
199,remedial action,6.8836846213895395
200,diluted earnings,6.8811538797770115
201,term liability,6.878694581280788
202,cash flow,6.877488621776171
203,amortization expense ebitda,6.870067516879219
204,price competition ability,6.8680851063829795
205,streamlining activity,6.854551194359676
206,discrete item,6.8540880503144646
207,legal claim,6.853383458646617
208,outstanding debt,6.852575903684873
209,related market,6.850622911857242
210,product portfolio,6.846274509803923
211,period,6.842515371533229
212,information earnings,6.838172667440961
213,acquisition,6.8271625163827
214,identifiable asset,6.823308270676692
215,charge,6.822176684881603
216,margin,6.815476190476191
217,net sale,6.814523575156823
218,repurchase program,6.800000000000001
219,leverage ratio,6.8
220,fiscal year,6.799032443775884
221,rate obligation,6.788461538461538
222,report references,6.772727272727272
223,tax benefit,6.771929824561403
224,capital spending,6.77056277056277
225,interest expense,6.767665032125758
226,interest expense net,6.767665032125757
227,month,6.7565482135183075
228,event performance,6.7492857142857146
229,measurement period adjustment,6.744791666666668
230,company,6.742140296979007
231,lease termination,6.73051948051948
232,thereto,6.723367161072079
233,cash flow,6.7193068035943515
234,operating profit,6.70627283257596
235,distech controls,6.699055330634279
236,related note,6.69320843091335
237,common share,6.685459729151818
238,component cost,6.685406698564593
239,adverse impact,6.679372842347527
240,month,6.6527038628385124
241,sale channel,6.651609553478712
242,sale channel sales,6.651609553478712
243,asset net,6.646848737964563
244,market growth opportunity,6.611291486291487
245,income component,6.607123870281765
246,instrument,6.5924426450742235
247,acuity brands,6.589738219895288
248,shipment product warranty,6.581212121212122
249,product recall,6.581004566210045
250,retrospective method,6.578089244851258
251,led lighting,6.558441558441559
252,amount,6.544226579520696
253,related cost,6.540611028315946
254,additional disclosure,6.5354915590863945
255,based payment,6.533825079030558
256,borrowing capacity,6.520754716981132
257,tax rate,6.507523979510397
258,activity,6.497758426060313
259,unfavorable impact,6.494608532583216
260,accounting policy,6.4787878787878785
261,reserve,6.449801587301588
262,amortization expense,6.4402802828366665
263,operating subsidiary,6.43816067653277
264,user,6.436572199730095
265,year beginning,6.432365777109217
266,damage cost,6.420995670995671
267,december asu permit,6.416666666666667
268,owned subsidiary,6.409090909090909
269,lighting acquisition,6.403461217681402
270,material reclassification,6.397727272727273
271,additional expense,6.382836275106513
272,employee compensation plan,6.379919740700725
273,intangible asset,6.374480576795294
274,asu outline,6.354838709677419
275,related item,6.350132852057953
276,compensation cost,6.3169856459330145
277,financial instrument,6.309368828431502
278,wa,6.298701298701299
279,fiscal management,6.29254621190105
280,level hierarchy,6.290816326530612
281,accounting allocation,6.287878787878788
282,location software,6.277777777777778
283,cash flow,6.269833119383826
284,equivalent level,6.264596814335491
285,intangible asset,6.260637225247026
286,business,6.256103231806557
287,financial instrument,6.233178352241026
288,retrospective method,6.230263157894736
289,acquisition management,6.218571782791966
290,million cash,6.2167005258819845
291,year,6.209376583821203
292,production transfer cost,6.206885026737968
293,end market,6.203282828282829
294,million commitment,6.195192765349834
295,month,6.17982863679873
296,provisional amount,6.165925925925926
297,management belief,6.165922835277674
298,distech controls,6.143891839690971
299,fiscal wa compared,6.142485919098823
300,trade law,6.106516290726817
301,source,6.068106312292359
302,goodwill impairment,6.056159420289855
303,stock option exercise,6.054955480951685
304,accounting standards,6.050173869846001
305,favorable impact,6.032299164391495
306,tax rate,6.024677077308656
307,item management,6.020909391066459
308,million _______________________________________,5.977411175870131
309,business combination,5.972727272727273
310,company,5.964362519201229
311,strategic investment,5.963383838383838
312,share,5.957539682539682
313,accounting estimate,5.956709956709957
314,funding operation,5.9542002847650695
315,acquired share,5.945751633986927
316,customer management belief,5.902123552123552
317,goodwill impairment asu,5.881159420289856
318,company,5.874481074481075
319,fiscal wa million,5.859966074477982
320,affiliate provision,5.857081728712024
321,provisional amount,5.811640211640212
322,growth opportunity,5.806818181818182
323,company,5.755221625378694
324,million due primarily,5.7551889536479095
325,consolidated statements,5.746936274509804
326,fiscal increased million,5.583750269006857
327,manufacturing facility,5.5758028379387605
328,company,5.537039807196876
329,prior period,5.525094696969697
330,financial condition,5.474750637384265
331,dglogik,5.44952380952381
332,company cash flow,5.446608390895939
333,present information,5.440037593984963
334,acquisition date,5.425132852057953
335,balance sheet,5.418956043956044
336,company fund acquisition,5.418035532255716
337,reporting unit,5.408163265306122
338,canadian dollars,5.405415499533147
339,period,5.3553358843537415
340,precisely quantify,5.333333333333333
341,outstanding balance,5.328161592505855
342,financial strength,5.327915194346289
343,future period,5.321458333333334
344,company,5.297023809523809
345,luminaires,5.243697478991597
346,solution,5.212590299277606
347,outdoor application,5.190476190476191
348,period,5.173306674565561
349,current period,5.171262254901961
350,basic earnings,5.161585365853659
351,earnings,5.136585365853659
352,future warranty,5.114545454545455
353,production activity,5.104807692307692
354,company,5.0992831541218635
355,comprehensive income,5.080808080808081
356,partially offset,5.071428571428571
357,solution portfolio,5.059649122807018
358,net income,5.052878179384203
359,acuity brands,5.04
360,diluted earnings,5.017354596622889
361,legal fee,5.016129032258064
362,trade compliance matter,5.004761904761905
