,0,1
0,reportable segment,9.0
1,circuit television,9.0
2,cloud computing arrangement,9.0
3,supply chain,9.0
4,undue reliance,9.0
5,facility fee,8.853146853146853
6,external forecasts,8.636363636363637
7,energy consumption,8.565217391304348
8,energy usage,8.565217391304348
9,future developments,8.564516129032258
10,networked systems,8.55
11,credit facility,8.517576383348196
12,balance sheets,8.502795899347623
13,automation solutions,8.483288409703505
14,stock option exercises,8.46236559139785
15,average number,8.454545454545455
16,market presence,8.423076923076923
17,market presence,8.423076923076923
18,collateral requirements,8.346153846153847
19,legal proceedings,8.333333333333334
20,automation systems,8.304716981132074
21,bond discount,8.291666666666666
22,comprehensive model,8.26
23,financing arrangements,8.25
24,term perspective,8.245901639344263
25,stock awards,8.224270353302611
26,facility fee,8.210289710289711
27,computing costs,8.2012987012987
28,unexpected costs,8.2012987012987
29,lease termination,8.2012987012987
30,contract termination,8.2012987012987
31,economic conditions,8.194444444444445
32,production activities,8.110372340425531
33,extended warranties,8.106382978723405
34,net miscellaneous income/expense,8.069565217391304
35,sensory networks,8.052631578947368
36,nonforfeitable dividends,8.026315789473685
37,lighting fixtures,8.022346368715084
38,networked lighting,8.022346368715084
39,repurchasing shares,8.014285714285714
40,repurchase program,8.0
41,historical experience,8.0
42,accounts,7.976190476190476
43,reporting periods,7.947645951035781
44,payment awards,7.932258064516129
45,statements,7.919599427753933
46,rate bank loans,7.911342894393742
47,quoted prices,7.897058823529411
48,restructuring reserves,7.888888888888889
49,gross profit,7.878468133214
50,eurocurrency rate,7.872881355932203
51,technological factors,7.869565217391305
52,balance sheet classification,7.86870026525199
53,integrated systems,7.860344827586207
54,registration rights agreement,7.833333333333334
55,identifiable asset,7.823529411764706
56,related manufacturing,7.801253045596937
57,international markets,7.793148880105402
58,term bank loans,7.7843631778058
59,fasb issued asu,7.767522940897553
60,plans,7.762649973917579
61,financial statements,7.745142935333369
62,financial goals,7.739913615392167
63,financial performance,7.737255219291148
64,working capital,7.673214285714286
65,credit support,7.6644295302013425
66,currency exposure,7.638888888888889
67,party forecasts,7.636363636363637
68,energy efficiency,7.631884057971014
69,special charge,7.603283898305085
70,software solutions,7.595238095238096
71,customer base,7.59375
72,volume,7.576576576576576
73,operating profit,7.573660440906307
74,charge footnote,7.572916666666666
75,incentive compensation,7.565591397849463
76,patent infringement,7.5440000000000005
77,management solutions,7.523610990348666
78,share units,7.516587677725118
79,abl ip,7.5
80,based payments,7.495415959252972
81,bond,7.477642276422763
82,historical amounts,7.47396293027361
83,legal claims,7.472222222222223
84,profitable growth,7.455357142857142
85,equity plan,7.453900709219858
86,equity incentive plan,7.453900709219857
87,oral statements,7.450782223452858
88,financial position,7.438876840912769
89,outstanding thereunder,7.436084142394822
90,product,7.432258064516129
91,revenue bond,7.423809523809524
92,outdoor applications,7.4236453201970445
93,gross profit,7.41391662518423
94,economic benefits,7.407519504977132
95,facility performance,7.404082404082404
96,net income,7.395530726256983
97,unsecured notes,7.395522388059701
98,leverage ratio,7.392857142857142
99,total debt,7.391836734693878
100,users,7.382417582417583
101,resources,7.372727272727273
102,accounting policies,7.365792759051186
103,subsidiary guarantor,7.358757062146893
104,quality costs,7.345442845442846
105,accounting standards codification,7.338014981273409
106,may31,7.335581912527798
107,energy management solutions,7.334111400520938
108,comprehensive income,7.320395591121848
109,market prices,7.320135746606335
110,share grants,7.27849243962988
111,casualty insurance programs,7.272727272727273
112,miscellaneous income,7.265095943648287
113,net earnings,7.26
114,american market,7.256410256410257
115,securities laws,7.25
116,common stock,7.249402628434886
117,freight charges,7.235621521335807
118,preliminary amounts,7.2324352272074455
119,subtracting accounts,7.226190476190476
120,capital structure,7.219047619047618
121,special charges,7.211064510549983
122,miscellaneous income,7.209240087792431
123,total revenue,7.200170068027211
124,months,7.182391163092917
125,stock agreements,7.180314309346567
126,financial measures,7.173664358427287
127,financial performance,7.170588552624482
128,capital stock,7.1647465437788025
129,product categories,7.157957957957958
130,february28,7.156762158560959
131,sales volume,7.156009200690052
132,gaap measures,7.153336592905698
133,months,7.153070175438596
134,management,7.151433691756273
135,operating subsidiary,7.1375
136,payment expense,7.13633969716919
137,amortization expense,7.111773940345369
138,management,7.111751152073733
139,operating profit,7.109108932876538
140,voluntary disclosure,7.089285714285714
141,warranty costs,7.071937279310551
142,lighting solutions,7.061262624872719
143,may31,7.053846752710447
