,0,1
0,practical expedient,9.0
1,alamosa county colorado,9.0
2,transmission grid,9.0
3,regulation engineering design,9.0
4,companies,9.0
5,fico score averaging,9.0
6,written notice,9.0
7,clark county nevada,9.0
8,data notes,8.9
9,designed engineered constructed,8.76923076923077
10,average duration,8.6
11,retrospective approach,8.6
12,fico score,8.6
13,decision maker,8.5
14,working capital,8.397058823529411
15,retrospective method,8.393162393162394
16,income taxes,8.379032258064516
17,switch station,8.375
18,minority investor protection,8.363265306122448
19,monterey county california,8.326732673267326
20,kings county california,8.326732673267326
21,supplementary data,8.23157894736842
22,davis project,8.213740458015266
23,hills project,8.213740458015266
24,north star project,8.213740458015266
25,program,8.172852598091199
26,balance sheet arrangements,8.158192090395481
27,rebate receivables,8.143382352941178
28,tax equity structure,8.131614155884417
29,capital loan,8.118797953964194
30,line basis,8.079365079365079
31,forma basis,8.079365079365079
32,retrospective basis,8.079365079365079
33,metering policy,8.041238584474886
34,tax rate,8.020580903240766
35,corporate rate,8.019342359767892
36,income tax,8.016634437901029
37,income tax consequence,8.016634437901029
38,energy program,8.00410528857764
39,energy,7.990910566466484
40,srec sales agreement,7.987816764132553
41,tax credit,7.965471032295529
42,project loan,7.9354795884500495
43,financial metric,7.924242424242424
44,accounting policy,7.905577956989248
45,policy election,7.905577956989248
46,accounting policy,7.905577956989248
47,recording asset,7.904929577464789
48,early adoption,7.9
49,stage construction,7.873684210526315
50,refund,7.869047619047619
51,operability,7.864247311827956
52,credit facility,7.848304819761468
53,employee benefit plan,7.833333333333334
54,net income,7.826520842539402
55,net income,7.826520842539402
56,conflict committee cash,7.823809523809524
57,remaining term,7.821077552191692
58,minority membership interest,7.8116770186335405
59,credit facility,7.800112048677131
60,party,7.792317433516251
61,switch station,7.785256410256411
62,solar energy,7.764440536717764
63,operating budget,7.758699633699633
64,attractive rate,7.757978723404255
65,period computation,7.735632183908046
66,lease term,7.707590480214055
67,balance sheet,7.6966536288570175
68,derivative instrument,7.687632135306554
69,tax payment,7.684268846503179
70,caa,7.665813953488373
71,unconsolidated investees,7.648289315726291
72,commodity price,7.646396396396396
73,cash grant,7.644961240310078
74,agreement,7.637816764132554
75,financing receivables,7.637241905157998
76,observable data,7.635135135135135
77,operating lease,7.635052910052909
78,promissory notes,7.627495908346972
79,income tax,7.616634437901028
80,tax equity financing,7.615485123626351
81,sale leaseback financing,7.615184099055067
82,promissory note,7.613714213586412
83,note debt,7.603866248693835
84,solar previously granted,7.598855012648116
85,rpu project,7.598355842630651
86,equity method investees,7.581051920230706
87,rate debt,7.5799484203739524
88,noncontrolling interests,7.572873900293255
89,master formation agreement,7.571150097465887
90,owned entity,7.564676616915422
91,term loan facility,7.534950763136474
92,access capital market,7.532193958664546
93,income tax,7.528262344877772
94,capital doe,7.522058823529411
95,customers,7.521367521367521
96,stock unit,7.521235521235521
97,investees equity,7.517301291774195
98,income tax,7.516634437901028
99,county california,7.5153690369036905
100,quinto project,7.514815726832472
101,energy sector,7.514440536717764
102,omnibus agreement,7.510964912280702
103,omnibus agreement,7.510386208576998
104,negative implication,7.5
105,tax equity investor,7.494879462006866
106,costs,7.481074481074481
107,interest rate,7.480370027752081
108,minimum lease,7.480155723905725
109,thereunder,7.479767586636232
110,tax credit,7.477098939272272
111,institution payment,7.470909090909091
112,higher loss,7.466087962962963
113,interest rate swap,7.443332990715044
114,future rental,7.437552447552448
115,financial institution,7.433951162106502
116,test energy,7.432043204320433
117,consulting fee,7.418608578183046
118,term note,7.405554570064554
119,shareholders equity,7.400908527772042
120,credit support,7.399297423887587
121,lease financing,7.384400068271036
122,forma result,7.383928571428571
123,equity method equity,7.381186345258202
124,bank loan net,7.376124266633806
125,additional debt,7.373160173160173
126,accounting policies,7.373052446785166
127,equity security,7.372172895588134
128,facility,7.371552592612626
129,applicable underlying contractual,7.3673585673585675
130,gen project,7.364319608594418
131,proportionately increase resulting,7.354700854700855
132,minority investor distribution,7.349797292654435
133,california flats,7.336989083523736
134,secured credit,7.327868852459016
135,limitation,7.324696237739715
136,wa primarily driven,7.311008758683178
137,omnibus agreement,7.307261208576998
138,swap rate,7.286240193829904
139,local rebate,7.274664750957855
140,combined carve,7.271428571428571
141,switch station,7.260714285714286
142,owned subsidiary,7.257575757575758
143,tax equity doe,7.256614155884416
144,power system,7.254569877520697
145,california california flats,7.253465346534654
146,industry,7.25
147,project budget potential,7.249454743729553
148,energy asset,7.24606369087613
149,net income,7.23341739426354
150,entity,7.231343283582088
151,remaining term,7.231333962448102
152,energy system,7.2290870013642285
153,tax purpose,7.229065594470658
154,quoted price,7.2239826032929475
155,climate change,7.223880597014926
156,project entities,7.214253870927601
157,california project entities,7.213942519037696
158,cash flow ratio,7.212797619047619
159,financing agreement,7.207402017588775
160,fossil fuel doe,7.204545454545455
161,swap agreement,7.200779727095517
162,utility project entities,7.19970984577037
163,equity method,7.199002326199546
164,terminated earlier pursuant,7.19758064516129
165,term debt,7.195627715310113
166,station cuyama,7.193181818181818
167,financial statement,7.189759665621734
168,energy segment,7.185289957567186
169,receivable net,7.181359552216822
170,doubtful account,7.174796747967481
171,financial ratio,7.167992424242424
172,local incentive,7.1581196581196584
173,share data,7.157546337157988
174,credit facility,7.149380088578673
175,tax asset,7.142531757301302
176,term growth,7.1415151611975585
177,california flats project,7.140473131282594
178,offtake,7.1397515527950315
179,ratings services,7.136904761904762
180,balance sheet arrangement,7.135969868173258
181,operating lease,7.13505291005291
182,contingent rental,7.134206219312603
183,additional fund,7.133333333333333
184,generation system,7.132466994535959
185,partnership,7.131768902370521
186,alternative,7.125247198417931
187,exploring alternative related,7.125247198417931
188,interest,7.124810659186536
189,contractual arrangement,7.124648786717753
190,lease payment,7.120572390572391
191,corporate purpose,7.117132867132867
192,repayment,7.109980620155039
193,future borrowing,7.096132075471698
194,test electricity generation,7.090140178624239
195,adjustment costs,7.0880396552038345
196,wa,7.0877811666031265
197,credit facility agreement,7.0861215838940215
198,consolidation accounting guideline,7.081058726220016
199,term basis,7.078023097705495
200,jointly owned indirectly,7.076470588235295
201,commitment doe,7.06712962962963
202,opco,7.063151057524459
203,management services agreements,7.044765760555235
204,offtake agreement homeowner,7.043372319688109
205,rofo agreement,7.041173692489481
206,project entities,7.037788996349519
207,substantial doubt,7.035714285714286
208,note thereto,7.0344827586206895
209,term agreement,7.030592429531794
210,msa fee,7.027366104181951
211,significant factor,7.015769944341373
212,quinto project,7.014815726832472
213,term loan bear,7.014514795834022
214,party valuation specialist,7.009708737864077
215,month,7.006161034056844
216,test energy shortfall,7.003471775749004
217,borrowing capacity,6.999650593990217
218,power purchase agreement,6.9995238956259485
219,project developer,6.999454743729553
220,electricity generation,6.999231087715147
221,cure period,6.9971706454465075
222,partnership,6.99589933715313
223,promissory note,6.993769031212387
224,term debt,6.989745362368936
225,fasb ha issued,6.987139008776757
226,solar module,6.9839124839124835
227,general purpose,6.980769230769231
228,income approach,6.979032258064516
229,energy project,6.978180994733031
230,offtake agreement,6.973531049846839
231,sale price,6.970332478529199
232,loss,6.968776916451335
233,purchase price,6.966247850069594
234,expense income net,6.963775744500186
235,purchase price,6.96138221641438
236,rofo,6.959795321637427
237,sponsor wa granted,6.957737030411449
238,nameplate capacity,6.953389531353695
239,director independence agreements,6.9512820512820515
240,average number,6.948484848484848
241,rofo projects,6.9462140712140705
242,credit facility interest,6.945696124109294
243,interest balance,6.93891672807664
244,sale agreement,6.934347286750032
245,months,6.933738971706723
246,maryland project,6.930687300359656
247,roseville california,6.926004075817419
248,early adoption,6.9255102040816325
249,purchase price,6.925009265594708
250,balance sheet,6.922897972748421
251,equity investment financing,6.905419175673897
252,government incentive,6.902564102564102
253,collectability criterion presentation,6.9
254,early adopt potentially,6.9
255,shareholder,6.898038132080686
256,term growth strategy,6.897171269794844
257,sale agreements,6.892977696256386
258,interest income,6.8912383772271575
259,cost,6.89047619047619
260,acquisition,6.8896995007680495
261,construction cost,6.879239766081872
262,kingbird seller,6.8776231757363835
263,balance sheet date,6.875173222470952
264,kingbird project,6.86336512833379
265,hooper project,6.859237769843224
266,cash flow,6.859047619047619
267,demand,6.857142857142858
268,sunpower assetco,6.852852852852853
269,month,6.851494002555664
270,lower income,6.851388027295285
271,income loss,6.841995221027479
272,operating costs,6.841902145473574
273,sunpower costs,6.8384318384318385
274,state income,6.838123167155425
275,risk factors,6.836641852770885
276,material construction fabrication,6.833684210526316
277,earnings approach,6.833415233415234
278,project cash flow,6.832788077062887
279,financial statement,6.832616808478877
280,indirect interest,6.829083021648754
281,taxable income,6.826520842539402
282,equity method investment,6.8147106010943554
283,equity method investee,6.810251292287221
284,wa partially offset,6.8058139534883715
285,purchase agreement,6.8010398483846295
286,financing receivables estimate,6.799922812208536
287,repaying borrowing,6.799313893653516
288,income loss,6.789483805502365
289,unconsolidated investees,6.787995198079232
290,month,6.783267357405942
291,credit agreement,6.783076920939395
292,solar llc,6.77940797940798
293,financial instrument,6.775804924242424
294,wa generated prior,6.773772224725333
295,electricity generation,6.7719583604424205
296,net income,6.770965286983847
297,regulatory uncertainty,6.77
298,commercial operation,6.767600896860987
299,additional demand,6.765476190476191
300,energy technology,6.764440536717764
301,management fee,6.760364929846519
302,solar project,6.7586858057775165
303,partnership,6.756768902370521
304,purchase agreement,6.754545830513964
305,sale type lease,6.7536751159392665
306,reporting year,6.749338701520987
307,cash flow item,6.746320346320346
308,project entity,6.745083741597357
309,distribution waterfall,6.7438952403889285
310,information management,6.742217245240761
311,remaining balance,6.741138785931103
312,income tax provision,6.740772368935511
313,interest,6.740442020569274
314,asset retirement obligations,6.738262910798122
315,term ppa,6.7377884531230245
316,underlying allowance,6.7359307359307365
317,operating performance,6.732250107250107
318,financial statement,6.7282212040832725
319,kern project,6.724957466812921
320,tax year end,6.722096953355676
321,project entity,6.719277289984452
322,project entities,6.718378676939201
323,partnership,6.716396231563067
324,commercial operation,6.709267563527653
325,sg amp,6.703379224030037
326,longer deemed probable,6.7020202020202015
327,term asset,6.6977052428640285
328,adoption,6.6875
329,purchase agreement,6.687223658488099
330,event words,6.686808510638298
331,iii class,6.686489898989898
332,opco,6.685490941446666
333,hooper purchase agreement,6.683096299997532
334,interest expense net,6.682134790783497
335,financing arrangement,6.67904004986754
336,joinder agreement,6.678044468117374
337,management input,6.6760233918128655
338,project entity,6.672783272113788
339,promissory note,6.668885744564395
340,residential lease,6.665234982882041
341,project entity,6.6630324595460735
342,cash purchase price,6.652092598928041
343,solar llc,6.639785337898545
344,purchase price,6.637403333391319
345,trade account,6.634615384615385
346,interest rate risk,6.6342161815982355
347,party investor,6.632714303726786
348,valuation represent,6.627177700348432
349,note debt,6.619995280951899
350,utility scale asset,6.617429577464789
351,future acquisitions,6.613737373737374
352,unrealized loss,6.612118685289417
353,hooper project entity,6.601333741597356
354,omnibus amendment,6.6001921733053805
355,lease portfolio,6.599716092399019
356,operating income,6.599270353302611
357,hooper omnibus amendment,6.596064814814815
358,cash flow hedge,6.582010582010581
359,rofo agreement,6.581285232601022
360,project entity,6.579492343747894
361,service provider,6.577423552374756
362,executory cost,6.574291697462429
363,table valuation methodology,6.571428571428571
364,ii adjustment,6.570959739346744
365,offtake agreement,6.5701697053090236
366,level level prices,6.56043956043956
367,hedge transaction,6.560185185185185
368,hooper project,6.55180863983345
369,critical estimate,6.551345962113659
370,capitalized expense,6.549953314659197
371,purchase agreement,6.54881599696723
372,predecessor costs,6.547741147741148
373,consolidated entity,6.547582599821405
374,subordinated unit,6.5434501487133065
375,prior period,6.541252792807343
376,lease asset,6.539982487517699
377,sponsors,6.530082256169212
378,utility company,6.528583916083916
379,operating performance,6.527805662805663
380,recurring item,6.527272727272727
381,asset management agreements,6.521123909448594
382,rate debt,6.520246927836638
383,lease revenue,6.519901394901395
384,environmental contingencies,6.5125
385,ii item,6.511432210031348
386,operating revenue,6.51133658008658
387,net cash,6.5083581496922776
388,basis difference,6.507936507936508
389,term state,6.507590480214055
390,adjusted ebitda,6.506053268765133
391,project entity,6.504223526543592
392,higher sg,6.503379224030038
393,november firstenergy corp,6.501317365269461
394,interest,6.5002126209622455
395,price allocation,6.498351102329402
396,agreement sunpower,6.497951899267688
397,primary factor,6.496212121212121
398,fund rate,6.494606630381
399,term liquidity,6.49277566539924
400,adjusted ebitda,6.4925852552971195
401,public offering,6.491666666666667
402,rofo projects,6.486325611325611
403,operating revenue,6.482135760414449
404,year system warranty,6.480818256799169
405,basis,6.479365079365079
406,based compensation,6.475728155339806
407,ii sunpower,6.474623771498772
408,increasing demand,6.472142857142858
409,liability level measurements,6.470941429704316
410,project entity,6.467053438567053
411,partner holdings,6.464669051878355
412,commitment,6.46380023640662
413,project asset,6.460133450114203
414,accretive project,6.45964209735953
415,million loans,6.458152958152958
416,energy information administration,6.457833017344289
417,acquisition qualifies,6.457373695486902
418,atm program opco,6.4550613741431535
419,hooper acquisition,6.453246336996337
420,lease customer,6.438990638990639
421,ipo project entities,6.438680434005663
422,adverse impact,6.437513227513227
423,credit facility commencement,6.436540113879115
424,commenced operation,6.431489785749875
425,related event,6.425874105108956
426,wa,6.413382391491593
427,accounting guidance,6.411827956989248
428,partnership,6.408667636547736
429,entity transfer,6.408426616915422
430,cash distribution,6.40736531986532
431,equity investment borrowing,6.40268028340366
432,portfolio project,6.398641735599472
433,interest,6.391835748792271
434,month period,6.389872428076348
435,acquisition,6.38657450076805
436,project asset,6.3802084970185176
437,dividend income,6.379032258064516
438,partner opco,6.378607340372047
439,interest method revenue,6.3754021823587035
440,schedule iii,6.368308080808081
441,interest expense,6.367979539641944
442,market firstenergy,6.366563706563706
443,acquisition,6.3650555019305015
444,local rebate,6.3597222222222225
445,maryland project,6.358106655198366
446,unconsolidated affiliate,6.357289462547609
447,debt covenant,6.352493369853485
448,credit facility,6.344336565793215
449,fiscal quarter,6.344317543531174
450,fourth phase,6.340129259694477
451,customer contract,6.335875331564987
452,current asset,6.328745933275405
453,agreement,6.32648671487147
454,financing fee,6.322203719747517
455,opco,6.316946778711484
456,cash flow guidance,6.304232804232804
457,million primarily driven,6.301226551226551
458,current asset,6.294974826333567
459,opco cash flows,6.287581699346406
460,wa million consisting,6.287559985234403
461,msa opco,6.281839010845096
462,distribution,6.281403781403782
463,performance measure,6.2763587763587765
464,operation,6.273370127630217
465,cash distribution,6.27044447044447
466,hooper acquisition,6.268630952380953
467,lease payment,6.268499025341131
468,capital expenditure acquisition,6.267773109243697
469,parent sunpower,6.261429130994349
470,srecs,6.260180995475113
471,managing,6.257575757575758
472,tax indemnity,6.256855053399731
473,indirect interest,6.255326589401756
474,exchange agreement,6.2391107599917675
475,significant factors,6.238529454334925
476,cash distribution,6.23850938766193
477,future acquisition,6.235714285714286
478,party thereto,6.2334375514234
479,service provider,6.228002702953907
480,kern project,6.223291854331369
481,construction cost,6.220703180716018
482,internal control,6.217073170731708
483,charge,6.215608912483912
484,observable input,6.214285714285714
485,cash distribution,6.204971702844043
486,day negotiation period,6.19991789819376
487,solar project,6.191905815490969
488,lease revenue,6.19057239057239
489,obligation arrangement,6.1900438072481085
490,commitment,6.187624875124875
491,future maturity,6.183095696852923
492,partnership,6.174829103039416
493,subject,6.17461430575035
494,financing obligation,6.174387241591543
495,united states,6.170588235294118
496,period liabilities,6.166666666666667
497,net cash,6.164155251141552
498,iii adjustment,6.155334739346745
499,project,6.149224328983009
500,accounting guidance,6.148911876351647
501,project acquisition,6.148091107365916
502,ii adjustment,6.139455253494432
503,february opco,6.131565920253703
504,july opco,6.120542361872285
505,ppa,6.119944388270981
506,law overview description,6.117647058823529
507,financial measure,6.116550116550117
508,noncontrolling interest,6.114057971014493
509,common unit,6.11105811694047
510,partnership atm program,6.108306548181761
511,iii item,6.095807210031348
512,operation post ipo,6.094071485096281
513,related cost,6.092733255903988
514,opco,6.091193249446249
515,debt,6.091055461356752
516,observable input,6.088235294117647
517,million wa paid,6.083812912634872
518,cash distribution,6.081403781403782
519,ii revenue,6.080727108036891
520,market valuation adjustment,6.0754336425978215
521,capital contribution,6.065614828927522
522,land lease expense,6.052069716775599
523,debt issuance cost,6.051581856298838
524,adjusted ebitda,6.04865416562612
525,operating expense,6.048183687889571
526,ii increase,6.04540755404726
527,rofo projects,6.041536559979183
528,financial position,6.038940226440227
529,full amount,6.032634032634032
530,sponsors,6.030082256169212
531,transaction,6.029365079365079
532,june opco,6.022966604296528
533,unconsolidated affiliate,6.018003748261894
534,purchase price,6.014791011626455
535,significant influence,6.011224489795918
536,interest expense,6.010156410390243
537,phase asset,6.009782157317368
538,wa year,6.003781433163169
539,cash flow,5.998357963875206
540,solar directly contributed,5.981747981747982
541,recorded amount,5.977092314078615
542,operation liabilities,5.9736353796196076
543,time,5.97258064516129
544,management,5.971397951893308
545,partnership,5.970191952750093
546,iv phase,5.969622809622809
547,interest holder,5.967391304347826
548,partnership,5.96585981146143
549,issuance cost,5.965723270440252
550,downtime impact,5.96412037037037
551,period,5.962757612806254
552,march opco,5.957465438795362
553,limited partnership,5.952654830374261
554,iii phase,5.949430501930502
555,september opco,5.947209028538952
556,commercial operation,5.939029468289558
557,remaining assets,5.937932725566938
558,ipo,5.936072420511545
559,risk factor,5.93597781528816
560,member,5.932490079365079
561,partnership,5.932040641500955
562,key assumption,5.930169491525424
563,cash distribution,5.92688286372497
564,financial statement,5.920528896390965
565,hand cash,5.913131313131313
