,0,1
0,redeemable noncontrolling,9.190410052910053
1,practical expedients,9.0
2,transmission grid,9.0
3,effectively convert floating,9.0
4,written notice,9.0
5,rebate receivables,8.642857142857142
6,fico score,8.6
7,energy segments,8.58974358974359
8,test energy billings,8.58974358974359
9,energy sector,8.58974358974359
10,average duration,8.5375
11,tax credits,8.436363636363637
12,site ground lease,8.417525773195877
13,lost hills,8.411764705882353
14,retrospective approach,8.41025641025641
15,connected system,8.320754716981131
16,decision maker,8.3
17,retrospective method,8.284671532846716
18,hills project,8.272908366533866
19,north star project,8.240650302017736
20,holding company,8.137254901960784
21,lost hills,8.127303182579563
22,bernardino county,8.125
23,north star,8.095045118063435
24,star holdings,8.042122100773128
25,tax equity structures,8.005821764442453
26,corporate rates,7.998065764023211
27,tax rates,7.998065764023211
28,davis project,7.987194080819579
29,term loan bears,7.980875343059367
30,imperial valley,7.972222222222222
31,forma basis,7.965986394557823
32,retrospective basis,7.965986394557823
33,accounting policies,7.957516339869281
34,companies,7.947368421052632
35,alternatives,7.915368518949082
36,alternatives,7.915368518949082
37,credit facility,7.892628834006354
38,refunds,7.869047619047619
39,credit facility,7.856592797970318
40,tax payments,7.850104094378904
41,tax authority,7.845849802371541
42,income tax consequences,7.821773970710141
43,master formation agreement,7.816343042071198
44,cash flow ratio,7.814687859670805
45,omnibus agreement,7.811072949844583
46,tax credits,7.80845665961945
47,metering policies,7.790849673202614
48,omnibus agreement,7.761797587525743
49,future rentals,7.7514193025141935
50,capital loan,7.750148221343873
51,attractive rates,7.736702127659575
52,site restoration,7.726775956284153
53,accounting pronouncements,7.722222222222222
54,policy election,7.722222222222222
55,energy sector,7.717046772323155
56,rate payments,7.702112551038523
57,lease term,7.676661985820461
58,energy programs,7.666666666666666
59,period computation,7.662576687116564
60,cash flow hedges,7.662064648224064
61,interest yield,7.642566191446028
62,contingent rentals,7.638888888888889
63,interest rate swaps,7.630938284469284
64,interest rate,7.630938284469284
65,recording assets,7.617710583153348
66,access capital markets,7.613636363636363
67,additional debt,7.610404191616766
68,test energy,7.589743589743589
69,working capital,7.573863636363636
70,operating lease,7.572865579021119
71,term loan facility,7.544327119709113
72,power plan,7.538647342995168
73,rate debt,7.536276284640023
74,energy,7.527243589743589
75,tax equity investor,7.5219507967005175
76,interest rate swap,7.509726163257163
77,financial advisory,7.500322819394359
78,minimum lease,7.473081328751432
79,interest rate volatility,7.464271617802618
80,power systems,7.45443780803792
81,power purchase agreement,7.449524435245578
82,tax equity financing,7.448935536897544
83,forma results,7.445945945945946
84,aged rebates,7.442724458204335
85,primary factor,7.4393939393939394
86,additional funds,7.429166666666667
87,may31,7.427906034149803
88,connected system,7.426017874875869
89,project loans,7.421056514682013
90,months,7.420704196439491
91,accounting policies,7.401960784313726
92,performance guarantee settlement,7.401503759398496
93,credit facility agreement,7.375638542744218
94,income taxes,7.3752837520680234
95,lease financing,7.3655900407004715
96,test electricity generation,7.362745098039215
97,interest rate hedges,7.360668014199014
98,lease payments,7.353488453433365
99,commercial operation,7.352380952380953
100,term financing receivables,7.345107127936817
101,equity method investees,7.345038751834624
102,investees equity,7.335877423069541
103,rofo agreement,7.33580308739586
104,secured credit,7.329177057356608
105,financial statements,7.299240014730993
106,commercial operation,7.294047619047619
107,operating company,7.2925947077860265
108,taxable income,7.287058685994856
109,borrowing capacity,7.2861111111111105
110,energy systems,7.283311832564118
111,entity,7.275280898876405
112,combined carve,7.271428571428571
113,equity securities,7.265291461412151
114,tilt carports,7.25
115,credit facility,7.249771691149212
116,net income,7.240965889902061
117,net income,7.240965889902061
118,financial instruments,7.2352810978308995
119,financial metrics,7.2352810978308995
120,generation systems,7.22298000752641
121,contractual arrangements,7.214211076280042
122,power system,7.208927464778088
123,cash flow items,7.208196987459852
124,project cash flow,7.205243285028198
125,noncontrolling interests,7.190410052910053
126,holding companies,7.1893039049236
127,credit facility,7.185732282282217
128,dividend income,7.185410334346505
129,capital loans,7.176557239057239
130,interest balances,7.173399524779361
131,minority membership interests,7.170126170126171
132,credit agreement,7.16932962323733
133,tax credits,7.163139592647789
134,test energy shortfall,7.161172161172161
135,tax equity investors,7.1605836692043585
136,investment tax credits,7.159767891682785
137,swap rate,7.157857646229739
138,balance sheet,7.142271662763466
139,financing receivables,7.141526470867788
140,operability,7.140432098765432
141,thereunder,7.138700866880418
