,0,1
0,lead arranger,9.0
1,duty abuse,9.0
2,rlp,8.838709677419356
3,nature,8.8
4,fficer duly authorized,8.75
5,corporate existence,8.714285714285715
6,global economic political,8.666666666666666
7,lease agre,8.641509433962264
8,estate lease,8.641509433962264
9,software offering,8.625
10,financial institution,8.583333333333334
11,arrangement signature,8.547619047619047
12,selling cycle,8.5
13,priced printersin,8.473684210526315
14,circuit county,8.468531468531468
15,payment pension benefits,8.37037037037037
16,sponte,8.357142857142858
17,line basis,8.333333333333334
18,ronald barranco,8.326923076923077
19,contractual arrangement,8.313333333333334
20,asu address,8.306122448979592
21,hearing wa held,8.281333333333334
22,capitalized lea,8.264705882352942
23,corporate headquarters,8.214285714285715
24,officer insurance coverage,8.18918918918919
25,local currency,8.142857142857142
26,recent issuances,8.142857142857142
27,changing technology,8.133333333333333
28,month,8.13067906467654
29,ii allege,8.10953177257525
30,precision healthcare gros,8.071428571428571
31,unit volume,8.070175438596491
32,interest,8.060521674556762
33,operating lease,8.052035749751738
34,accounting policy,8.036630036630036
35,pacificregion apac,8.025
36,serv ice sale,8.020833333333334
37,term nature,8.01639344262295
38,accounting treatment,8.012820512820513
39,month,8.007136675770143
40,accounting pronouncement,7.967365967365968
41,monetary damage,7.9523809523809526
42,additional financing,7.936781609195403
43,briefing,7.914285714285715
44,gregoire,7.911764705882353
45,tax deficiency,7.906823184152604
46,north carolina claimants,7.901666666666666
47,fasb issued asu,7.894357743097238
48,executive officer,7.8558558558558556
49,exchange rate,7.8536934330037775
50,net income,7.844609460946095
51,balance sheet arrangement,7.833333333333334
52,average share,7.827586206896552
53,legal matter,7.79
54,interests,7.785645933014354
55,financial measure,7.774242424242425
56,financial officer,7.772522522522523
57,material category,7.763824884792626
58,mgl,7.753156812205473
59,proceeding disruption,7.75
60,exchange act,7.738811912724956
61,vice president,7.722222222222222
62,exchange rate,7.692773892773893
63,venture investment initiative,7.6923076923076925
64,effected amortization,7.682685253118121
65,undue reliance,7.666666666666666
66,wa partially offset,7.653128205128205
67,settlement date,7.651748251748252
68,related application,7.6513658755038065
69,governance action,7.649769585253456
70,financial measure,7.649242424242425
71,relevant information,7.648809523809524
72,recurring nature,7.645833333333334
73,basis beginning,7.645833333333334
74,product category,7.642857142857142
75,lease obligation,7.634786744886633
76,similar matter,7.623333333333333
77,interest,7.608641975308641
78,additional share,7.603448275862069
79,design tool,7.6010101010101
80,tax withholding obligation,7.600911854103344
81,balance sheet,7.6
82,stock trade,7.596273291925466
83,common stock,7.596273291925466
84,debt security,7.591036414565826
85,carolina howes,7.590769230769231
86,payment,7.575498575498575
87,wa,7.573
88,average number,7.568326947637292
89,accounting pronouncement,7.5556012614836146
90,consolidated case,7.548051948051947
91,cash balance,7.523648648648649
92,derivative complaint,7.519883040935673
93,unconsolidated entity,7.5166666666666675
94,packard company,7.508741258741258
95,company,7.508741258741258
96,dec rease,7.5020746887966805
97,operating lease,7.5000357497517385
98,contractual date,7.495384615384616
99,credit facility,7.491118077324975
100,stock option,7.489130434782609
101,business,7.48235974551764
102,currency translation,7.476190476190476
103,tax year,7.472340425531915
104,income tax,7.462618203309693
105,cash payments,7.454771097628241
106,mr barranco,7.452973497091144
107,damon gregoire case,7.448051948051948
108,confidential information,7.445
109,net loss,7.444651232040497
110,existing cash,7.442766295707472
111,ease obligation,7.428571428571429
112,information technology infrastructure,7.425000000000001
113,weighted average fair,7.422180801491146
114,compensation cost,7.420380194518125
115,profit margin,7.411317928968764
116,securities exchange act,7.394896568809612
117,function compliance,7.388888888888889
118,dental material,7.387634408602151
119,based compensation,7.3853669939223945
120,integrated material,7.3802270011947435
121,incentive stock plans,7.377225672877847
122,financial statement,7.376398210290828
