,0,1
0,industry pressures,9.0
1,expensive tooling,9.0
2,judicial circuit,8.923076923076923
3,lease agre,8.666666666666666
4,changing technology,8.666666666666666
5,corporate existence,8.636363636363637
6,accounting standards codification,8.56140350877193
7,accounting policies,8.56140350877193
8,mr,8.533333333333333
9,priced printersin,8.523809523809524
10,hsbc bank,8.5
11,executive officer,8.453900709219857
12,local currency,8.434782608695652
13,contractual arrangements,8.416666666666666
14,sponte,8.357142857142858
15,capitalized leas,8.351851851851851
16,software offering,8.321428571428571
17,similar matters,8.316666666666666
18,systems corporation,8.311646586345383
19,lead arranger,8.277777777777779
20,financial officer,8.250870406189556
21,selling cycle,8.1875
22,exchange rates,8.148737808376362
23,hedge exposures,8.136363636363637
24,corporate headquarters,8.136363636363637
25,venture investment initiative,8.1
26,lease obligations,8.08994708994709
27,accounting treatment,8.06140350877193
28,exchange rates,8.056632545218468
29,real estate,8.03448275862069
30,serv ices sales,8.0
31,legal matters,7.994202898550725
32,derivative complaints,7.987878787878788
33,unconsolidated entities,7.967948717948719
34,systems corp,7.959992642325025
35,profit margins,7.9434945838016215
36,tax benefits,7.942465753424658
37,accounting standards,7.93640350877193
38,tax withholding obligations,7.91389432485323
39,balance sheet arrangements,7.909961685823755
40,briefing,7.88
41,values,7.871428571428572
42,obligations,7.871428571428571
43,currency translation,7.842677345537758
44,product quality problems,7.833333333333334
45,pacific region,7.821719457013574
46,noncontrolling interests,7.81015037593985
47,earnings levels,7.808510638297872
48,material impacts,7.756756756756757
49,vice president,7.722222222222222
50,profit margin,7.716520899591095
51,financial measures,7.697610722610722
52,innovative products,7.696428571428571
53,tax deficiencies,7.693817104776009
54,systems corporation,7.693325975658358
55,additional financing,7.667391304347826
56,undue reliance,7.666666666666666
57,exchange contracts,7.651870640456563
58,governance actions,7.636363636363637
59,accounting pronouncements,7.629514963880288
60,design tools,7.612121212121212
61,information technology infrastructure,7.595959595959595
62,currency contracts,7.592677345537758
63,financial position,7.570779220779221
64,additional shares,7.546774193548387
65,surgical planning,7.533333333333333
66,surgical instruments,7.533333333333333
67,stock awards/units,7.5256410256410255
68,unit volume,7.519607843137255
69,lease obligation,7.518518518518518
70,balance sheet,7.517104542966613
71,interest,7.515873015873016
72,settlement dates,7.5
73,debt securities,7.480392156862745
74,parts,7.466666666666667
75,credit facility,7.455840455840456
76,minerals regulations,7.434782608695652
77,compensation stock compensation,7.423076923076923
78,cash balance,7.414504324683966
79,insurance coverage,7.404761904761905
80,product design shop,7.4
81,derivative complaints,7.339230139230139
82,stock trades,7.325641025641026
83,common stock,7.325641025641026
84,stock options,7.292307692307693
85,operations outs,7.289256198347108
86,minority interest shareholders,7.2825396825396815
87,exchange gain,7.276870640456563
88,business,7.26984126984127
89,existing cash,7.264177527298345
90,lenders party thereto,7.230769230769231
91,operating leases,7.223671947809879
92,compensation retirement benefits,7.215384615384615
93,monetary damages,7.214285714285714
94,financial statements,7.210549943883278
95,additional talent,7.205555555555556
96,reasonable assurance,7.20414673046252
97,range production,7.201298701298701
98,lease agreements,7.182222222222222
99,credit facility,7.17012617012617
100,debt expense,7.166666666666666
101,credit agreement,7.1632996632996635
102,credit agreement,7.1632996632996635
103,contractual date,7.1557971014492745
104,product development efforts,7.153846153846153
105,period exchange rates,7.148737808376362
106,securities exchange act,7.133788350332275
107,market data,7.133333333333333
108,ronald barranco,7.13302752293578
109,ii allege,7.13302752293578
110,margin performance,7.118133802816902
111,tax liability,7.110093958552863
112,notes thereto,7.093548387096774
113,fasb issued asu,7.086166007905138
114,additional funds,7.0762626262626265
115,average number,7.062169312169312
116,market risk,7.04822695035461
117,business segment,7.0476190476190474
118,appellate process,7.044117647058823
119,financial statements,7.043883277216612
120,financial measure,7.038636363636364
121,cautionary statements,7.038580246913581
122,derivative litig,7.025974025974026
123,stock units,7.0256410256410255
124,original award,7.0212765957446805
125,future periods,7.00186713836478
126,financial statements,6.984359467692801
127,integrated materials,6.9771825396825395
128,lower selling,6.968201754385965
129,recurring nature,6.9616228070175445
130,basis beginning,6.955555555555556
131,selling prices,6.9375
132,tax rates,6.91389432485323
133,capital purposes,6.911210317460318
134,mix effects,6.8776223776223775
135,loan facility,6.8701923076923075
136,compensation costs,6.86917499112621
137,dental materials,6.866071428571429
138,severance expenses,6.863851351351351
139,investing activities,6.861852433281005
140,call option,6.856060606060606
141,net income,6.8557294477424
142,consolidated statements,6.8540564373897706
143,stock appreciation rights,6.853846153846154
144,impairment testing,6.852941176470589
145,ted loss,6.846103896103896
146,operating income,6.835547732606556
147,actual forfeitures,6.833333333333333
148,final award,6.828968903436989
149,potential amount,6.783380865957998
150,company,6.7794326241134755
151,month interest period,6.765873015873016
152,payment provisions,6.7625
153,future results,6.7551523947750365
154,materials category,6.754960317460318
155,operating expenses,6.74905761024182
156,financial statements,6.736190969524303
157,additional information,6.730644280644281
158,manufacturing services,6.725581395348837
159,principal amount,6.684952978056426
160,weighted average fair,6.672779922779922
161,adverse effect,6.671042471042472
162,lower revenue,6.650493421052632
163,printing solutions,6.637055733398999
164,obligations,6.613095238095237
165,relevant information,6.595959595959596
166,lease liabilities,6.583674583674583
167,supply commitments,6.58060036320906
168,stock,6.571740316421168
169,implied covenants,6.562289562289562
170,libor rate,6.53888888888889
171,potential impact,6.537639278920192
172,awards,6.532667876588021
173,revenue service,6.531556372549019
174,geographic area,6.52748538011696
175,additional amounts,6.516901408450704
176,payment accounting,6.500039872408293
177,net loss,6.480799475753605
178,money market instruments,6.466666666666667
179,compensation expenses,6.466520979020979
180,consolidated case,6.4649206349206345
181,balance sheet,6.445675971538041
182,cash incentive awards,6.441324248055613
183,financial covenants,6.431228956228956
184,healthcare revenue,6.419242216117216
185,share calculations,6.4185185185185185
186,company,6.412765957446808
187,significant acquisitions,6.404761904761905
188,pension cost,6.397025171624714
189,prejudgment interest,6.390873015873016
190,vesting period,6.388888888888889
191,amortization expense,6.384684684684684
192,income tax expense,6.381681439699167
193,company,6.379432624113475
194,intangible assets,6.371319603356216
195,common shares,6.369642410602651
196,software revenue,6.3636340311986865
197,term nature,6.357456140350877
198,compensation expense,6.354020979020979
199,latin america,6.351010101010101
200,intercompany transactions,6.3479853479853485
201,income tax effects,6.336226894244621
202,capital item,6.333132239382239
203,outstanding thereunder,6.3314362921716345
204,compensation costs,6.327347449298668
205,cash flow statement,6.314887466446417
206,expenses,6.301689189189188
207,equipment,6.297297297297297
208,service cost component,6.296932169997185
209,stock options,6.292307692307693
210,income taxes,6.268382352941177
211,materials revenue,6.2596726190476195
212,fiscal years,6.244639376218323
213,payment provisions,6.233333333333333
214,investing activities,6.2189952904238615
215,impairment test,6.216577540106952
216,corporate purposes,6.207070707070708
217,amortization expense,6.184848484848485
218,effect adjustment,6.164285714285715
219,domestic subsidiaries,6.1567567567567565
220,printer revenue,6.1544070512820515
221,tax rate,6.148021308980214
222,service products,6.108193277310924
223,property rights,6.102714932126697
224,breach,6.101449275362319
225,software revenue,6.091220238095238
226,amount,6.075862068965517
227,strategic acquisitions,6.058441558441559
228,stock option activity,6.027534965034965
229,management information systems,6.027086701785497
230,net losses,6.025488120442249
231,earnout consideration,6.0219696969696965
232,earlier application,6.016071428571429
233,products revenue,6.01358865914787
234,product liability,6.0065466448445175
235,healthcare revenue,6.006543803418804
236,reporting period,5.996753246753247
237,revenue guidance,5.994791666666667
238,important factors,5.989203778677463
239,interest expense,5.985932896112537
240,3d printers,5.970568278201866
241,interim periods,5.9586805555555555
242,accounts,5.952540106951871
243,company,5.950861195542046
244,holding company,5.9349881796690305
245,product designs,5.933333333333334
246,lead times,5.92063492063492
247,facilities,5.919298245614035
248,consolidated complaint,5.918970814132105
249,net loss,5.918299475753605
250,hawaii court,5.910052420598212
251,materials revenue,5.908276888341544
252,financial information,5.892929292929293
253,total liability,5.8903625110521665
254,impairment loss,5.880863254392667
255,district court,5.872414523129036
256,arbitration agreement,5.867003367003367
257,operating losses,5.855702950657079
258,administrative fees,5.853679653679654
259,net loss,5.839773834727963
260,management,5.811788211788212
261,company stockholders,5.808004052684904
262,scheduled timing,5.787878787878789
263,future payments,5.780724120346762
264,deductible goodwill,5.777530688489592
265,year presentation,5.752173913043478
