,0,1
0,constitution bancorp,9.0
1,discretionary bonus,9.0
2,pay dividend,8.714285714285715
3,sponsored corporation,8.666666666666666
4,single family,8.666666666666666
5,net worth,8.624087591240876
6,frank act,8.545454545454545
7,oxley act,8.545454545454545
8,tier capital,8.541666666666666
9,permanent default,8.5
10,undue reliance,8.5
11,exit price notion,8.5
12,real estate,8.464285714285715
13,real estate,8.464285714285715
14,real estate,8.464285714285715
15,global market,8.415458937198068
16,financial difficulty,8.384297520661157
17,charge offs,8.378787878787879
18,internally risk rated,8.356687898089172
19,assets holdings,8.30952380952381
20,top tier,8.294117647058822
21,special mention,8.285714285714285
22,approved revision,8.23076923076923
23,family building,8.23076923076923
24,months,8.163398692810457
25,larger balance,8.155339805825243
26,months,8.151315789473685
27,employer withholds,8.130681818181818
28,repayment,8.109756097560975
29,automatic stay,8.108695652173914
30,interest rate,8.091828439501837
31,interest rate shock,8.091828439501837
32,real estate,8.075396825396826
33,negotiated transaction,8.048780487804878
34,mortgage unit,8.006216006216007
35,net income,8.003869012005904
36,charge offs,8.002875470028755
37,sponsored agency,8.0
38,workout strategy,8.0
39,early adoption,8.0
40,federal reserve,7.980311730926989
41,worthless loan,7.968847352024922
42,entity,7.961038961038961
43,evaluation,7.9515503875969
44,goodwill,7.9499780605528745
45,executive officer,7.928104575163399
46,tier leverage ratio,7.918918918918919
47,additional capital,7.916666666666666
48,net cash,7.905337591240876
49,debt restructurings,7.880681818181818
50,estate market,7.879744651483782
51,mortgage market,7.874734955297615
52,net worth,7.874087591240876
53,closer supervision,7.863636363636363
54,month,7.860207203448756
55,interest margin,7.855841403877042
56,basis,7.848484848484848
57,month,7.848124300111982
58,product,7.829001367989056
59,fee income elements,7.824225865209472
60,interest income,7.819868566734526
61,leasehold depreciation expense,7.795716112531969
62,unconfirmed loss,7.7914861426311806
63,impaired obligations,7.772058823529411
64,inventory receivables,7.761904761904762
65,financial performance,7.734297520661157
66,unregistered sales,7.72
67,interest rate environment,7.716828439501837
68,financial institution,7.713967850331487
69,supplemental information,7.7073170731707314
70,mortgage warehouse unit,7.696692196692197
71,wa partially offset,7.696174043510878
72,credit quality,7.681888495004834
73,credit quality,7.681888495004834
74,credit quality indictor,7.681888495004834
75,credit quality indicator,7.681888495004834
76,quoted price,7.666666666666666
77,unrestricted asset,7.658208955223881
78,term debt,7.649456521739131
79,income tax rate,7.620996398507892
80,rate loan,7.620588645557261
81,additional incentive,7.613095238095238
82,subordinated debentures,7.611111111111111
83,lending emphasis,7.607456140350877
84,wa,7.606312292358805
85,stock grant,7.606060606060606
86,credit,7.605298570227081
87,tax income,7.598884734605184
88,interest rate,7.591828439501837
89,supervisory guidance,7.586956521739131
90,estimated project,7.5625
91,cash equivalents,7.5625
92,treasury yield curve,7.5622389306599835
93,loan quality,7.557632398753894
94,quality loan underwriting,7.557632398753894
95,financial asset,7.5425064758850375
96,term relationship,7.538569424964937
97,asset,7.537990375988908
98,mention rating,7.535714285714286
99,additional asset,7.533208955223881
100,service period,7.523920236072611
101,preferred security,7.52059052059052
102,asset,7.5148968533130525
103,interest rate,7.508495106168503
104,market interest rate,7.507287376699905
105,monetary policy,7.504761904761905
106,income simplifies,7.503869012005904
107,repurchase program,7.501942501942502
108,purchase price,7.5
109,stock dividend,7.499908364141941
110,interest income,7.498439995305954
111,maintenance expense,7.497073578595318
112,month,7.496808510638298
113,income tax benefit,7.490994235410337
114,loans,7.46987951807229
115,loan,7.468847352024922
116,delinquent loan,7.468847352024922
117,operating scale,7.4658634538152615
118,trend concentration,7.455284552845528
119,market business,7.451173222912353
120,credit risk,7.449791346365034
121,interest rate risk,7.448516337591009
122,owned subsidiary,7.448275862068965
123,occupancy expense,7.444875776397515
124,interest income,7.443956157975402
125,tax loss,7.443021888903769
126,reporting period,7.441460417763736
