,0,1
0,constitution bancorp,9.0
1,attractive returns,9.0
2,workout strategies,9.0
3,real estate,8.571428571428571
4,real estate,8.571428571428571
5,capital conservation buffer,8.565217391304348
6,permanent default,8.5
7,itsbalance sheetand,8.5
8,discretionary bonuses,8.5
9,global market,8.493506493506494
10,net worths,8.446107784431138
11,financial difficulties,8.389570552147239
12,mortgage unit,8.26058484082215
13,approved revisions,8.23076923076923
14,exit price notion,8.225
15,automatic stay,8.169491525423728
16,real estate,8.167919799498748
17,real estate,8.159057437407952
18,operating histories,8.117021276595745
19,unit condominium building,8.09090909090909
20,assets holdings,8.077720207253886
21,estate market,8.064935064935064
22,executive officer,8.055555555555555
23,worthless loan,8.039390088945362
24,mortgage warehouse unit,8.021270581584341
25,trade execution data,8.0
26,debt restructurings,7.955492424242424
27,family homes,7.928571428571429
28,core deposit base,7.927272727272728
29,additional capital,7.907322654462242
30,mortgage market,7.90175658599632
31,trading levels,7.897435897435897
32,cash flows,7.8973846410128274
33,employer withholds shares,7.895348837209302
34,negotiated transactions,7.894736842105263
35,dealer quotes,7.87037037037037
36,closer supervision,7.863636363636363
37,repayment,7.863013698630137
38,mortgage originations,7.843918174155483
39,core deposits,7.838383838383838
40,federal reserve,7.833206397562833
41,accrued interest,7.815658996822952
42,lending group,7.791332569683085
43,repurchase program,7.790404040404041
44,occupancy expense,7.760752688172044
45,interest rate shocks,7.747064444908226
46,selling costs,7.739605734767025
47,financial performance,7.739570552147239
48,supplemental information,7.739130434782608
49,basis,7.7170263788968825
50,undue reliance,7.714285714285714
51,interest rates,7.696126568466994
52,net cash,7.691318512400486
53,developed models,7.666666666666667
54,net income,7.654924489767565
55,stock grants,7.6435108777194305
56,internally risk rated,7.6286764705882355
57,quoted prices,7.625
58,supervisory guidance,7.607843137254902
59,unconfirmed losses,7.597463768115942
60,additional incentive,7.580200501253133
61,unrestricted assets,7.577720207253886
62,accrued interest,7.565658996822952
63,loan quality,7.514799925010935
64,quality loan underwriting,7.514799925010935
65,lending emphasis,7.503703703703703
66,sponsored corporations,7.5
67,relevant provisions,7.5
68,cash surrender values,7.479778629203917
69,stock dividend,7.473568269367956
70,compensation costs,7.453258456314483
71,interest margin,7.450842411506191
72,operating scale,7.450354609929079
73,mortgage warehouse lines,7.437937248251007
74,financial institutions,7.437189599766288
75,credit,7.435024703944789
76,market businesses,7.4310064935064934
77,monetary policy,7.426811594202898
78,additional assets,7.41982547041178
79,credit quality,7.398239418059143
80,credit quality,7.398239418059143
81,credit quality indictor,7.398239418059143
82,credit quality indicators,7.398239418059143
83,credit quality indicator,7.398239418059143
84,interest income,7.392122760982907
85,interest income,7.392122760982907
86,financial resources,7.389570552147239
87,stock repurchase program,7.389112050739958
88,valuation allowances,7.3816906607604285
89,average yields,7.372973856209152
90,rate loans,7.363037235415591
91,treasury stock method,7.352596899224807
92,periodic expense,7.34395724679673
93,management,7.341186736474695
94,liquid assets,7.327720207253886
95,delinquent loans,7.299278846153847
96,treasury yield curve,7.2891025641025635
97,average balances,7.2882319134550375
98,producing assets,7.2865369125903126
99,reporting periods,7.2829796088223056
100,constitution bank,7.276643990929705
101,performing assets,7.273981889496877
102,term market rates,7.270215895215895
103,reserve board,7.268445839874411
104,benefit post,7.2681818181818185
105,program replaces,7.2681818181818185
106,life insurance,7.258176010678872
107,merit increases,7.256410256410256
108,interest rate,7.247064444908226
109,service period,7.23956546598056
110,loan repayments,7.239390088945362
111,maintenance expense,7.238758553274682
112,estate developers,7.238095238095238
113,financial statements,7.226566561914376
114,common stock,7.225763391319175
115,stock incentive plans,7.225692137320044
116,preferred securities,7.220833333333333
117,assessment rate,7.2166616150681975
118,atm operating expenses,7.205516851816984
119,additional collateral,7.19031954887218
120,market interest rates,7.189633061973487
121,exchanges,7.1835443037974684
122,additional borrowings,7.179605263157894
123,quarters,7.173913043478261
124,interest rate,7.163731111574892
125,trading market,7.1601731601731595
