,0,1
0,chase bank,9.0
1,landlord,9.0
2,deliver smile,9.0
3,stuffed animal,9.0
4,pro gram,8.6875
5,debt issuance costs,8.6625
6,tax position,8.558310376492194
7,present dtas,8.53125
8,english muffin,8.5
9,forma basis,8.493333333333332
10,comparable basis,8.493333333333332
11,retrospective approach,8.481781376518217
12,exit price notion,8.470588235294118
13,month liquidity,8.450000000000001
14,cloud computing arrangement,8.425
15,indefinite lived intangible,8.424242424242424
16,functionality,8.42156862745098
17,christmas holiday season,8.410732714138287
18,holiday season,8.410732714138287
19,tax withholding purpose,8.361729179910999
20,significant influence,8.359375
21,forma information,8.32258064516129
22,term incentive,8.32
23,financial instruments,8.31949715370019
24,pronouncement,8.319457013574661
25,database system technology,8.303571428571429
26,retrospective basis,8.28280701754386
27,supplemental basis,8.27111111111111
28,storage fee,8.263157894736842
29,pan european floral,8.254545454545454
30,crop volume,8.232323232323232
31,edible arrangements,8.226190476190476
32,arrangements functionality,8.226190476190476
33,market capitalization,8.209302325581396
34,sherman act,8.196103896103896
35,based compensation,8.175666988106718
36,gross margin,8.171791443850267
37,synergy saving,8.166666666666666
38,financial position,8.138824884792626
39,quoted price,8.137254901960784
40,future utilization,8.121212121212121
41,transaction lessees,8.120000000000001
42,legal proceedings,8.105882352941176
43,mark cancellation,8.1
44,cautionary statements,8.1
45,tax benefit,8.097992916174734
46,statutory rate,8.040513833992094
47,december,8.037121212121212
48,corporate expense,8.03393665158371
49,month,8.029978354978354
50,pool calculation,8.0
51,london candies,7.9847931873479325
52,term debt,7.9825
53,fund rate,7.958695652173913
54,month,7.9250975800156125
55,balance sheet,7.911412921976302
56,wholesale volume,7.893162393162393
57,easter holiday,7.8844169246646025
58,consolidated statement,7.864494569757728
59,comparable information,7.85383064516129
60,production deduction,7.844444444444445
61,lived asset,7.8441558441558445
62,security,7.841666666666666
63,mutual fund,7.838095238095238
64,employee consultant,7.833333333333333
65,price fluctuation,7.829963235294118
66,state examination,7.8256578947368425
67,term nature,7.82
68,sales expense marketing,7.816545347235884
69,earnings stream association,7.8125
70,valuation approach,7.807692307692308
71,tax credit,7.800259075048947
72,credit facility,7.800187617260788
73,lanham act invalidity,7.8
74,supplemental measure,7.8
75,goodwill,7.794117647058824
76,david holdings,7.788556628208147
77,harry amp david,7.788556628208147
78,david seasonalkiosks,7.788556628208147
79,attrition rate,7.780264279624893
80,credit agreement,7.773792443806791
81,statutory requirement,7.769230769230769
82,consumer sentiment,7.75929054054054
83,applicable margin,7.738140417457306
84,colonial gifts,7.733333333333333
85,corporate purpose,7.732848232848233
86,contractual obligations,7.728571428571429
87,state income tax,7.715997920724325
88,trading market,7.709302325581396
89,income tax expense,7.687434572308035
90,stock repurchase plan,7.670169789227166
91,month,7.6690476190476184
92,professional florist,7.653846153846153
93,debt issuance cost,7.635326086956521
94,profit margin,7.6308823529411764
95,government security,7.63
96,fasb issued asu,7.628673389544195
97,inbound,7.623988877654196
98,month,7.618783068783069
99,gross profit,7.6125
100,smile,7.6
101,common share,7.596011396011396
102,category contribution margin,7.589940323955669
103,estate property,7.586956521739131
104,income tax benefit,7.582069349295754
105,tobe,7.575757575757576
106,equity instrument,7.574626865671641
107,sunday date placement,7.565280572322826
108,dilutive note,7.5486486486486495
109,designpac revenue,7.542808219178083
110,month,7.541341991341991
111,income expense net,7.534962237247102
112,share,7.5242165242165235
113,synergy saving,7.512820512820513
114,tax benefit,7.509757622057087
115,cash flow,7.509227614490772
116,month,7.508646616541353
117,financial information,7.500366568914956
118,manufactured finished good,7.5
119,administrative expense,7.489492207139266
120,added service,7.483992467043315
121,term debt repayment,7.4825
122,cost effectively acquire,7.4728260869565215
123,bloomnet initiative,7.472591362126245
124,price guide,7.470588235294118
125,segment contribution margin,7.468439430566748
126,footnote thereto,7.461538461538462
127,incremental revenue,7.449193500563363
128,valuation,7.448717948717949
129,debt incurrence,7.440277777777777
130,net income,7.42959701423482
131,marketing expense,7.423688204378742
132,level valuations,7.421568627450981
133,development expense technology,7.420841413488473
134,credit facility,7.4155722326454026
135,year note acquisitions,7.3853833425262
136,administrative expense,7.368280085927145
137,administrative expense,7.363366081013139
138,financial statement,7.360462311693212
139,development expense,7.358936651583711
140,balance sheet,7.357444668008048
141,market price,7.3465572275421795
142,publicly update forward,7.338709677419355
143,lost revenue,7.338641552511415
144,controllable revenue,7.3368558382257
145,key information,7.32258064516129
146,term,7.32
147,credit facility net,7.31713676980316
148,revenue general,7.308631245594329
149,easter holiday,7.296181630546956
150,customer service center,7.2819722650231125
151,federal examination,7.274976076555024
152,reporting unit,7.269230769230769
153,intangible asset,7.268398268398268
154,basis adjusting,7.258039215686274
155,market,7.254756871035941
156,consolidated statements,7.253968253968253
157,financial information,7.250366568914956
158,cash flow,7.2365003417635005
159,early shipment,7.216666666666667
160,incremental revenue,7.204438255808119
161,share data,7.203703703703704
162,fruit arrangement,7.192857142857142
163,activity marketing,7.18958543983822
164,administrative expense,7.189492207139265
165,edible arrangements,7.187728937728938
166,edible arrangements,7.180213464696223
167,operating expense,7.1728255404726
168,economic benefit,7.14978354978355
169,investment grade,7.144736842105263
170,based award,7.144416988106718
171,earnings,7.1425
172,equivalent trade,7.136996904024768
173,quot assets,7.133053221288516
174,legal executive,7.131808278867102
175,expense,7.131372549019607
176,integration expense,7.130639948287007
177,price,7.120588235294118
178,interim period,7.118499404525605
179,remote subsidiary,7.115844155844156
180,modified beginning,7.1072076743583095
181,easter holiday,7.106639146886826
182,customer purchase,7.105263157894736
183,continuing operation,7.104072398190046
184,average cost,7.1000988142292485
185,credit agreement,7.098792443806791
186,holiday season,7.090732714138287
187,ground transportation coverage,7.085714285714285
188,december,7.082219251336898
189,stock price,7.081829453092713
190,common share,7.077616747181964
191,state,7.0625
192,million wa assigned,7.061115355233002
193,share note,7.052352352352353
194,revenue marketing,7.0506994007059625
195,revenue growth,7.034925336295199
196,balance sheet classification,7.014587525150905
197,capital expenditure,7.010871848739496
198,prior year,7.003684500827358
199,quot revolver quot,6.991886409736308
200,complaint,6.986764705882353
201,harry london confection,6.9847931873479325
202,march wa le,6.977338476374156
203,credit agreement,6.973792443806791
204,shipping cost,6.9694927536231885
205,tax asset,6.963577331759151
206,prior year,6.95530612244898
207,market condition,6.954388320667391
208,net revenue,6.951764174441543
209,deferred revenue,6.951141552511416
210,york state award,6.947916666666666
211,capital expenditure,6.946393084260732
212,quarter,6.944264069264069
213,revenue recognition practice,6.937038988408851
214,amount,6.930092330883738
215,interest income borrowings,6.925306089540548
216,repay amount,6.9143502019482055
217,interest expense,6.905969879431812
218,floral product,6.905708245243128
219,liability,6.904901960784313
220,overhead assets,6.904761904761905
221,identifiable asset,6.9012987012987015
222,annual rate,6.896431501230516
223,accounting pronouncements,6.893939393939394
224,earnings,6.890931372549019
225,year revenue,6.876447674960396
226,financial covenant,6.874403259905886
227,impairment charge,6.869565217391305
228,october,6.867102396514161
229,margin percentage,6.866596638655462
230,harry david,6.865479705131223
231,fire,6.865315315315316
232,quality steak,6.85
233,harry david,6.845699485351004
234,florist transaction program,6.8452747252747255
235,liability line item,6.835374149659864
236,method,6.823275862068965
237,interest expense,6.819322152159085
238,income approach estimate,6.819241268285854
239,accounting policy,6.8106060606060606
240,carrying amount,6.780374816759444
241,financing cost,6.7799689440993784
242,commerce revenue,6.771654373024235
243,gifting company,6.770059081379836
244,year term loan,6.768855905998763
245,wa,6.761764705882353
246,replacement cost,6.7580310780438655
247,floral merchandise,6.754545454545454
248,working capital,6.751644736842105
249,remaining life,6.747826086956522
250,sale expense,6.745379437653362
251,david business,6.742579616713893
252,replacement cost,6.736462450592885
253,facility cost,6.736196050326486
254,carrying amount,6.717971118762526
255,significant influence,6.716517857142858
256,royalty rate,6.71583850931677
257,warehouse,6.71554054054054
258,business asu quot,6.707488706002938
259,gift baskets segment,6.7067661171735935
260,asset line item,6.696196660482375
261,principal payment,6.692307692307692
262,country harry david,6.688556628208147
263,financial asset,6.68794967304785
264,leverage ratio,6.680250305250306
265,david wolferman,6.677445517097036
266,credit facility,6.675187617260788
267,business entity,6.656725691208449
268,financial instrument,6.6481416549789625
269,david cheryl,6.640408480059999
270,shipping cost,6.639492753623188
271,amortization expense,6.637445423513535
272,asset rate,6.6270939205721815
273,warehouse fire,6.616176470588235
274,fine stationery,6.613765182186235
275,service condition,6.609684874993787
276,financial statement,6.606494057724958
277,valuation date,6.601300108342362
278,euroflorist,6.6
279,harry david,6.588556628208147
280,company,6.5821802935010485
281,quarter credit facility,6.581139998213169
282,tax rate,6.573571685231765
283,average number,6.571717171717172
284,floral segment,6.569185865504358
285,share award plan,6.567691798941799
286,company,6.565513626834381
287,average period,6.56395394998015
288,income,6.545191788354021
289,revolver typically peak,6.544827586206896
290,insurance recovery,6.542857142857143
291,service increase,6.528436911487759
292,debt,6.523790322580645
293,note investments,6.512285012285012
294,cash,6.511039755837798
295,stationery business,6.490865093768905
296,interest rate,6.476617037916751
297,floral product,6.473295454545454
298,present goodwill,6.462622549019608
299,warehouse fire marketing,6.457608695652174
300,quarter,6.455627705627705
301,revenue growth,6.451592002961865
302,nature amount timing,6.446110917335194
303,wholesale product,6.445384615384615
304,sale expense,6.4453794376533615
305,intangible amortization,6.433811802232855
306,adverse effect,6.425925925925926
307,wa year,6.407758659019163
308,debt liability,6.405092592592593
309,future event,6.402126099706745
310,reporting period,6.387730173756374
311,retail store,6.383333333333334
312,property plant,6.368938503721113
313,capital requirement,6.362980769230769
314,gourmet gift,6.340854061193044
315,brand,6.319607843137255
316,capital subject,6.317154255319149
317,time cash,6.313630528649784
318,based bonus,6.31045751633987
319,fiscal year,6.30530612244898
320,reconciliation table,6.3006535947712425
321,labor,6.299784086448067
322,condition change,6.291911045943305
323,performance measurement tool,6.291666666666667
324,loss approach,6.268065268065268
325,trademark misuse lack,6.266666666666667
326,david brand,6.255223294874813
327,aggregate consideration,6.254901960784313
328,effect adjustment,6.25
329,basis point increase,6.240286738351255
330,debt,6.222913354531002
331,david acquisition,6.2171280567795755
332,expense depreciation,6.174004563298481
333,financial statement,6.173160724391624
334,earnings method,6.172540567951319
335,debt liability,6.172149122807018
336,basis point decrease,6.1323502304147475
337,support cost,6.129968944099379
338,million share,6.124984177615756
339,credit loss,6.1225319396051106
340,period,6.111356547382748
341,liability management base,6.107516339869281
342,labor cost,6.093146942571495
343,financial asset,6.0901235860913285
344,accounting adjustment,6.082535885167464
345,asset liability revenue,6.078630730000593
346,company,6.065513626834381
347,company,6.065513626834381
348,year period,6.061987345156403
349,credit loss,6.055432372505543
350,future results,6.045008287645034
351,maintenance cost,6.040683229813665
352,fiscal year,6.021997851772288
353,receivables,6.019257703081232
354,cost method,6.006816234739773
355,historical cost,5.998800112930548
356,subject asset,5.989128726925973
357,million wa favorable,5.9841922783099255
358,online investment,5.973769100169779
359,company,5.964864276185031
360,million impairment,5.961773009599097
361,day fannie,5.953981592637055
362,quarter,5.933809523809524
363,company,5.9155136268343815
364,carrying amount,5.912776313567722
365,significant cash,5.9032346491228065
366,equity investment,5.886030374443571
367,year flowers,5.880027376804381
368,asc,5.869604243166055
369,acquisition,5.840336134453781
370,impairment test,5.840153452685422
371,gift basket order,5.7879590395480225
372,liability level measurement,5.775
373,operation,5.727278332716734
374,investment,5.705852197338265
375,share,5.685883997204751
376,note inventory,5.6789516789516785
377,equity method investment,5.66763956984587
378,fourth quarter,5.642770562770562
379,fire,5.615315315315316
380,customer list disposition,5.581818181818182
381,year note disposition,5.567201524344382
382,acquisition integration cost,5.555243669374104
383,actual result,5.546997461858143
384,early adoption,5.543197278911564
385,sherman act,5.514285714285714
386,easter fall,5.49578947368421
387,telephonic sale,5.492062941108411
388,revenue increase,5.490030441400304
389,holiday season,5.4107327141382875
390,iflorist asset,5.406575406575406
391,contribution margin,5.372549019607844
392,tax purpose,5.3617291799109985
393,sale comparison approach,5.340532087572747
394,business segment flowers,5.318206082391481
395,common stock,5.28743169398907
396,repurchase program,5.258928571428571
397,edible arrangements,5.226190476190476
398,typically peak,5.2
399,fasb asc,5.191044776119403
400,company,5.188816794255196
401,income approach,5.1763841254287115
402,balance sheet,5.157444668008048
403,income tax,5.153497920724325
404,tax credit,5.149096284351273
405,incremental general,5.147683397683398
406,quoted price,5.137254901960784
407,partially offset,5.107843137254902
408,net present,5.048199152542373
409,corporate expense,5.03393665158371
410,net income,5.001025585663392
411,income net,5.001025585663392
412,finished good,5.0
413,financial instrument,4.995967741935484
414,development expense,4.992269984917044
415,harry london,4.9847931873479325
416,term debt,4.9825
417,holiday,4.980392156862745
418,federal examination,4.944976076555024
419,development credit,4.9380081300813
420,diluted basis,4.921904761904761
421,revenue,4.917808219178082
422,base rate,4.914251207729468
423,liquidity,4.913333333333334
424,common share,4.9037037037037035
425,materially modified,4.892921960072595
426,leasehold position,4.888888888888889
427,easter holiday,4.8844169246646025
428,financial ratio,4.880583126550869
429,bear interest,4.8793248945147685
430,current practice,4.874493927125506
431,merchandise service,4.872881355932203
432,receivables,4.871428571428572
433,adjustment,4.865384615384615
434,consolidated statement,4.864494569757728
435,incremental revenue,4.8582844096542726
436,consolidated statements,4.8539682539682545
437,line item,4.8520408163265305
438,directly attributable,4.846153846153847
439,accounting standard fair,4.84613880742913
440,forfeiture,4.8339993339993335
441,corporate overhead,4.833333333333334
442,remaining balance,4.8266993263931415
443,operating result,4.82557354925776
444,administrative expense,4.822825540472599
445,primarily related,4.821235521235522
446,integration synergy,4.82051282051282
447,descriptive term,4.82
448,financial information,4.818548387096774
449,marketing expense,4.816545347235884
450,credit facility,4.800187617260788
451,underperformingretail store,4.800000000000001
452,trading security,4.8
453,harry david,4.788556628208147
454,effective july,4.786901270772239
455,cash flow,4.7819548872180455
456,credit agreement,4.773792443806791
457,net revenue,4.768090705053789
458,net retail,4.766949152542373
459,professional fee,4.7631578947368425
460,statement,4.7616891064871485
461,stock,4.754098360655737
462,treasury stock,4.754098360655737
463,consolidated level,4.753968253968254
464,consolidated financials,4.753968253968254
465,basis point,4.751397849462366
466,scheduled repayment,4.75
467,aggregate amount,4.740437158469945
468,applicable margin,4.738140417457306
469,easter,4.727554179566564
470,remaining service,4.720707442888726
471,production facility,4.720512820512821
472,retail store,4.716666666666667
473,primarily due,4.708378378378379
474,legal matter,4.705882352941177
475,margin,4.705882352941177
476,future revenue,4.70568700705687
477,price,4.701357466063349
478,deferred revenue,4.701141552511416
479,financial condition,4.700513196480939
480,informational purpose,4.6923076923076925
481,cash balance,4.689399555226093
482,claim,4.688811188811188
483,federal jurisdiction,4.681818181818182
484,federal statute,4.681818181818182
485,tax deficiency,4.669421487603306
486,cost approach,4.665133779264214
487,seasonal nature,4.657894736842105
488,reason,4.651162790697674
489,profit mark,4.65
490,debt liability,4.645833333333334
491,favorable placement,4.645299145299146
492,category,4.638959931798807
493,prior year,4.62530612244898
494,manufacturing labor,4.620320855614973
495,revenue,4.617808219178082
496,operating expense,4.617269984917044
497,valuation technique,4.615384615384615
498,debt discount,4.606944444444444
499,financial statement,4.606494057724958
500,discounted back,4.6
501,trademark,4.6
502,income statement,4.594602748910493
503,working capital,4.59375
504,real property,4.586956521739131
505,purchase price,4.575851393188854
506,inventory,4.568452380952381
507,capital expenditure,4.568014705882353
508,market rate,4.567997977755308
509,financial assets,4.567396313364055
510,state jurisdiction,4.5625
511,online technology,4.557603686635945
512,interest expense,4.546594879431812
513,fine stationery,4.536842105263158
514,accrued expense,4.53393665158371
515,term loan,4.532121212121211
516,consolidated ebitda,4.531746031746032
517,direct deduction,4.53015873015873
518,restated due,4.53
519,total amount,4.528315946348734
520,net loss,4.516949152542373
521,net realizable,4.516949152542373
522,marketing selling,4.513377926421405
523,wa named,4.511764705882353
524,incremental depreciation,4.51036866359447
525,revenue,4.501141552511415
526,equal utility,4.5
527,manufactured product,4.5
528,variable nature,4.5
529,misuse genericism,4.5
530,quality product,4.5
531,premium chocolate,4.5
532,executive officer,4.5
533,analytical tool,4.5
534,telephonic,4.5
535,prime steak,4.5
536,effectively integrate,4.5
537,financial liabilities,4.495967741935484
538,intangible assets,4.495670995670996
539,basis,4.493333333333333
540,table,4.49203431372549
541,year revenue,4.487876246388966
542,comprehensive income,4.484076433121019
543,liability,4.483333333333333
544,liability,4.483333333333333
545,employment credit,4.479674796747967
546,credit losses,4.479674796747967
547,financial liability,4.479301075268817
548,date basis,4.47924882629108
549,consumer,4.473295454545454
550,le cost,4.4728260869565215
551,cost saving,4.4728260869565215
552,economic condition,4.471212121212121
553,projected price,4.470588235294118
554,wa acquired,4.46890756302521
555,everyday gifting,4.454545454545455
556,iflorist,4.453791439530799
557,deferred taxes,4.45
558,qualified deferred,4.45
559,development cost,4.431159420289855
560,strategic benefit,4.428571428571429
561,executive finance,4.425925925925926
562,arrangement,4.425
563,uk based,4.421568627450981
564,asured based,4.421568627450981
565,aforementioned action,4.416666666666666
566,york society,4.416666666666666
567,york,4.416666666666666
568,cost,4.415683229813665
569,floral gift,4.40708782742681
570,estimated life,4.4
571,customer list,4.4
572,subsidiaries,4.4
573,contingencies litigation,4.4
574,business,4.39688013136289
575,cash,4.386996904024768
576,service interest,4.385539583780305
577,service offering,4.372881355932203
578,interest rate,4.371353880022014
579,vested share,4.37037037037037
580,share calculation,4.37037037037037
581,sale quot,4.368305531167691
582,increased license,4.366666666666667
583,wa completed,4.3617647058823525
584,prime rate,4.358695652173913
585,adjustedlibo rate,4.358695652173913
586,variable rate,4.358695652173913
587,uk resulting,4.346153846153847
588,financial asset,4.3401235860913285
589,replacement cost,4.336462450592886
590,operating efficiency,4.333333333333334
591,september including,4.332980972515856
592,flores,4.329032258064516
593,plaintiffs,4.325
594,wholesale market,4.324686940966011
595,quantitative information,4.32258064516129
596,facility,4.320512820512821
597,full term,4.32
598,gift basket,4.3192090395480225
599,legal proceeding,4.305882352941177
600,discount rate,4.303140096618358
601,inventory,4.302521008403361
602,early adopt,4.3
603,stationery product,4.3
604,interest coverage,4.298372513562387
605,facility cost,4.293338907469343
606,administrative agent,4.288888888888889
607,anticipated estimated,4.288888888888889
608,annual revenue,4.288877401568019
609,digital marketing,4.282608695652174
610,distribution facility,4.282051282051282
611,additional loss,4.272727272727273
612,amortization expense,4.270778756846868
613,reporting unit,4.269230769230769
614,intangible asset,4.268398268398268
615,economic obsolescence,4.266666666666667
616,economic rent,4.266666666666667
