,0,1
0,cloud computing arrangement,9.0
1,chase bank,9.0
2,repairs,9.0
3,deliver smiles,9.0
4,stuffed animals,9.0
5,negotiated transactions,8.619047619047619
6,tax benefits,8.5993399339934
7,tax positions,8.566006600660067
8,funds rate,8.425287356321839
9,balance sheets,8.422918463159911
10,additional indebtedness,8.333333333333334
11,production deductions,8.333333333333334
12,english muffins,8.304347826086957
13,credit agreements,8.301204819277109
14,ground transportation coverage,8.285714285714285
15,exit price notion,8.279069767441861
16,tax withholding purposes,8.271134805788272
17,mutual funds,8.26923076923077
18,administrative professionals,8.266666666666666
19,storage fees,8.225806451612904
20,state examinations,8.214285714285715
21,financial position,8.204340559753312
22,insurance recoveries,8.20274914089347
23,wholesale volumes,8.170731707317074
24,christmas holiday season,8.12280701754386
25,holiday season,8.12280701754386
26,shipping charges,8.098214285714285
27,future utilization,8.07482993197279
28,expe nses,8.0625
29,lived intangibles,8.055555555555555
30,gross margins,8.045081146062913
31,synergy savings,8.038461538461538
32,statutory rate,8.021032037172903
33,tax benefits,8.011104639875752
34,pool calculation,8.0
35,consolidated statements,7.988068525839655
36,quoted prices,7.96875
37,significant influence,7.949494949494949
38,sherman act,7.925415010521393
39,profit margin,7.918431628109047
40,debt issuance costs,7.918018018018017
41,crop volume,7.908163265306122
42,bank loan,7.897297297297298
43,related costs,7.887433825578155
44,gross profit,7.87865890083632
45,higher margins,7.857142857142858
46,trading market,7.856540084388186
47,added services,7.838383838383837
48,accounting policies,7.825757575757576
49,supplemental measure,7.8
50,gross profit,7.762587472264892
51,applicable margin,7.7595307917888565
52,present dtas,7.75
53,segment contribution margin,7.7387669801462895
54,income tax consequences,7.7379924162629035
55,lanham act,7.711129296235679
56,production deduction,7.708333333333334
57,corporate expenses,7.7024644720273425
58,florist transaction program,7.681818181818182
59,bloomnet wire service,7.675521821631879
60,category contribution margin,7.671717171717171
61,wholesale volume,7.670731707317073
62,finished goods,7.666666666666668
63,statutory requirement,7.666666666666667
64,expanded disclosures,7.66353345461896
65,london candies,7.651129943502825
66,customer service center,7.636433459014104
67,attrition rate,7.636171710063335
68,store count,7.63076923076923
69,seasonal fluctuations,7.615384615384615
70,reporting unit,7.602564102564102
71,principal payments,7.590909090909091
72,market capitalization,7.589873417721519
73,stock repurchase program,7.537735849056604
74,supplemental basis,7.537162162162162
75,sunday date placement,7.537111558238319
76,premium gift,7.535117056856188
77,price fluctuations,7.506342494714588
78,accounting pronouncements,7.5
79,shares,7.466793168880455
80,early shipment,7.466666666666667
81,management platform,7.447784810126582
82,earnings stream association,7.4375
83,easter holiday,7.43089430894309
84,royalty rate,7.425287356321839
85,consumer sentiment,7.423015236567762
86,material ingredients,7.42
87,recurring accruals,7.416666666666666
88,customer purchases,7.404761904761905
89,financial statements,7.403293439334465
90,term debt,7.39802371541502
91,credit facility,7.37366858739305
92,balance sheet,7.372264355362947
93,holiday season sales,7.359649122807017
94,term debt repayments,7.343478260869565
95,commerce sales channels,7.339699248120301
96,support services,7.3106060606060606
97,quality steaks,7.305555555555555
98,interim periods,7.292929292929292
99,comparable information,7.291732283464567
100,price guides,7.279069767441861
101,method,7.26896551724138
102,equity instruments,7.268175252768415
103,royalty method values,7.2555555555555555
104,costs,7.248547613033594
105,payment transactions,7.2416966786714685
106,financial information,7.238775378777559
107,controllable revenue,7.227505330490405
108,footnotes thereto,7.21505376344086
109,colonial gifts,7.1891891891891895
110,commerce customer service,7.187342549923194
111,margin percentage,7.173792251890724
112,cash flows,7.170491681521092
113,corporate purposes,7.168955115202579
114,fasb issued asu,7.166734599742153
115,professional florists,7.166666666666667
116,channel specialty retailer,7.166666666666666
117,shipping costs,7.163851351351351
118,financing costs,7.160107111720015
119,market prices,7.158623417721519
120,publicly update forward,7.151515151515151
121,incremental revenue,7.149463679047219
122,investment grade,7.143950263032042
123,key information,7.141732283464567
124,impairment charges,7.138655462184874
125,support costs,7.137433825578155
126,synergy savings,7.132211538461538
127,state income taxes,7.111761725966982
128,gourmet food,7.107825246049943
129,cost effectively acquire,7.104838709677419
130,fulfillment costs,7.101351351351351
131,pro gram,7.092727272727273
132,revenue recognition practices,7.07282552753474
133,resource management,7.072784810126582
134,reconciliation tables,7.0669856459330145
135,gourmet foods,7.055499664654594
136,intangible assets,7.04108527131783
137,intangible assets,7.041085271317829
138,lost revenues,7.003224815724815
139,principal payments,6.999072356215213
140,edible arrangements,6.996078431372549
141,revenue growth opportunities,6.989617131732641
142,revenue growth,6.989617131732641
143,annual rate,6.961650992685476
144,facility costs,6.959897593694097
145,financial information,6.94981433981652
146,trading securities,6.935897435897435
147,income tax expenses,6.930652966721619
148,income tax expense,6.915411771101613
149,gift baskets segment,6.908930150309461
150,administrative expense,6.898631476050831
151,tax assets,6.8587047752037025
152,cash flows,6.851382219554489
153,transaction costs,6.84197928012361
154,stationery businesses,6.836134453781513
155,stock repurchase plan,6.833718935737365
156,leverage ratio,6.83078231292517
157,corporate expenses,6.823154127199757
158,fire insurance settlement,6.822480620155039
159,term interest rates,6.818081435472739
160,operating expenses,6.8107161060142705
161,floral segment,6.798668319117397
162,easter holiday,6.794530672579453
163,balance sheet classification,6.79295401053536
164,incremental revenue,6.7649528094820015
165,year term loan,6.761608891500196
166,remote subsidiaries,6.753069306930694
167,estate property,6.75
168,repay amounts,6.745128205128204
169,related products,6.737062866383667
170,company facilities,6.726012793176972
171,term incentive,6.721639180409795
172,tax liabilities,6.698849277348656
173,capital expenditures,6.6919266300709594
174,interest expense,6.685355862775218
175,service increases,6.6815550041356495
176,tax rate,6.673424541174345
177,gourmet food products,6.667349055573753
178,remaining lives,6.6631274131274125
179,retrospective basis,6.662162162162162
180,income tax benefit,6.661069339339827
181,gift basket orders,6.651821862348179
182,company,6.626012793176972
183,financial statements,6.614177793075962
184,net income,6.607201309328969
185,goods inventory,6.606666666666667
186,fruit arrangements,6.606604747162023
187,economic benefit,6.597906855049713
188,share computation,6.5955334987593055
189,service conditions,6.592933947772658
190,interest expense,6.579295256714611
191,acquired companies,6.576604554865424
192,valuation approach,6.571153846153846
193,intangibles amortization,6.565359477124184
194,administrative expense,6.564775676677789
195,market conditions,6.548658310989171
196,consolidated statements,6.548068525839655
197,significant judgment,6.5462382445141065
198,administrative expenses,6.5426605504587165
199,payment accounting,6.539315726290517
200,floral products,6.537174066243834
201,business entities,6.528153430046718
202,net revenues,6.526457584968224
203,fees,6.516129032258064
204,accrued interest,6.511799436285417
205,profit allowance,6.507797270955166
206,market approach market,6.504746835443038
207,bloomnet initiatives,6.500137438152832
208,terms,6.5
209,gifting company,6.498740065904245
210,revenue growth,6.489617131732641
211,amount,6.48440065681445
212,common shares,6.483137254901961
213,financial assets,6.482500661003116
214,revolver typically peak,6.475862068965517
215,payment awards,6.474500911475702
216,based compensation,6.462905917083815
217,integration expenses,6.456015751958247
218,maintenance costs,6.449933825578155
219,credit agreement,6.444061962134252
220,adverse effect,6.42
221,labor costs,6.4044914479697095
222,shares,6.4024833814122655
223,edible arrangements,6.396078431372549
224,debt,6.389451476793249
225,customer lists,6.386128364389234
226,interest rates,6.373088023088023
227,interest rate risk,6.372617803652286
228,restricted stock,6.371069182389938
229,identifiable assets,6.370070778564207
230,design mark,6.361904761904762
231,floral merchandise,6.360071301247771
232,year revenues,6.326023852385239
233,liabilities,6.325447460537613
234,carrying amount,6.317733990147784
235,asset rate,6.31278735632184
236,net income,6.307750759878419
237,legal proceedings,6.3008999653859465
238,marketing expenses,6.2935008865931685
239,working capital,6.290919606709081
240,development expense technology,6.290541526784411
241,reporting period,6.282174778863521
242,net consists primarily,6.281766981454091
243,common share,6.269892473118279
244,states,6.269230769230769
245,interest expense,6.26159699752699
246,financial instruments,6.260947213635062
247,gourmet gifts,6.243606602761533
248,replacement cost,6.2387453435840525
249,adjusted ebitda,6.2099069512862615
250,gift baskets segments,6.200466200466201
251,prior year,6.198216365754223
252,trade receivables,6.197196261682243
253,stock price,6.1834722831651305
254,financial statements,6.180844459742628
255,replacement cost,6.17935942705528
256,retail stores,6.167680865449628
257,materials inventory,6.162222222222223
258,legal proceedings,6.1537037037037035
259,london confections,6.151129943502825
260,fair values,6.148610635952408
261,edible arrangements,6.146078431372549
262,based bonuses,6.123222016079159
263,interest rate,6.115354448450787
264,credit losses,6.094187275417459
265,net cash,6.090761336771974
266,net income,6.072788353863382
267,average cost,6.071505376344086
268,time cash,6.068538647342995
269,remaining period,6.057316304005045
270,earnings method,6.0492647058823525
271,debt liability,6.048148148148148
272,term loan&quot,6.017858891500196
273,labor,6.00912975912976
274,future results,6.006246113645732
275,credit losses,6.005371485943775
276,effect adjustment,6.0
277,sales expense marketing,5.985690031530439
278,fresh flowers,5.981942024394107
279,separate presentation,5.980730223123732
280,company,5.976012793176972
281,management,5.9616736990154715
282,fine stationery,5.9526758071649715
283,equity method investments,5.941293532338309
284,information technology group,5.87593707649289
285,equity investment,5.875439873801723
286,production operations,5.864720778355324
287,capital requirements,5.86015037593985
288,aggregate consideration,5.847953216374268
289,performance measurement tool,5.8441558441558445
290,expenses,5.83626642047968
291,average period,5.797792494481236
292,prior year,5.795720822082208
293,goodwill,5.794472428419936
294,intangible assets,5.736737445230873
295,carrying amount,5.72730845823289
296,online investment,5.70793944491169
297,significant cash,5.650883838383838
298,day fannie,5.643697478991596
299,company,5.626012793176972
300,year period,5.611695134745263
301,prior year,5.600569306930693
302,accounting adjustments,5.571428571428571
303,sales comparison approach,5.542169974115617
304,share award plan,5.537592731516213
305,income approach,5.52376177188699
306,repurchase program,5.5
307,factory brands,5.496969696969697
308,baskets/designpac wholesale business,5.488000783622295
309,impairment test,5.487087517934003
310,method investments,5.471505376344086
311,expense depreciation,5.466793168880455
312,fiscal year,5.464970355731225
313,early adoption,5.4615646258503405
314,continuing operations,5.4606557377049185
315,operations,5.420001864215224
316,contribution margin,5.393939393939394
317,bear interest,5.341269841269842
318,sherman act,5.32967032967033
319,iflorist assets,5.284825844470167
320,tax purposes,5.271134805788272
321,revenue increase,5.204291044776119
322,typically peak,5.2
323,gross profit,5.19115890083632
324,cost methods,5.190552995391705
325,balance sheet,5.172264355362946
