,0,1
0,wall street journal,9.0
1,decision maker,9.0
2,consumer,9.0
3,deep power,9.0
4,bridging ram,9.0
5,wa originally set,8.76923076923077
6,receivable allowances,8.69811320754717
7,core principle,8.666666666666666
8,owned subsidiary,8.5625
9,income tax consequence,8.49893379858486
10,note thereto,8.488888888888889
11,balance sheet arrangements,8.479166666666666
12,subsidiary overview,8.476785714285715
13,stock split,8.467948717948719
14,primarily manufactured assembled,8.461538461538462
15,underwriting discount,8.428571428571429
16,balance sheet,8.39345238095238
17,venture activity,8.38888888888889
18,financial statements,8.361654135338345
19,low power,8.333333333333334
20,tax position,8.289660615627467
21,semitech semiconductor pty,8.285714285714285
22,overhead expense,8.277777777777779
23,income taxes,8.269590643274853
24,special program,8.25
25,public offering,8.247641509433961
26,accounting pronouncements,8.217391304347826
27,income tax,8.19893379858486
28,california,8.19047619047619
29,income taxes provision,8.180701754385964
30,enhanced feature,8.166666666666666
31,granting award,8.160714285714285
32,months,8.077525252525252
33,receivable aging,8.077423552374757
34,square foot,8.075471698113208
35,leases,8.06082036775106
36,december,8.051546391752577
37,significant dilution,8.044444444444444
38,preferred stock,8.01923076923077
39,restricted stock,8.013403263403264
40,income tax,8.013219512870574
41,shipment volume,8.0
42,purchase window,8.0
43,full knowledge,7.9944444444444445
44,fable manufacturing strategy,7.978021978021978
45,amount,7.974025974025974
46,employee commences employment,7.972222222222222
47,audit tax,7.968232044198896
48,income tax,7.965600465251526
49,retrospective basis,7.964285714285714
50,consolidated statement,7.963466042154566
51,early adoption,7.944444444444445
52,income tax expense,7.943378243029304
53,plan,7.921568627450981
54,rrowing capacity,7.916666666666667
55,additional fund,7.901538461538461
56,income tax provision,7.89893379858486
57,tax expense,7.86267648864334
58,deductible goodwill,7.858232044198896
59,manufacturing cost,7.850202429149798
60,manufacturing cost,7.850202429149798
61,month,7.828185318531853
62,gross margin,7.806782945736434
63,book price,7.802083333333334
64,operating expense,7.790979097909791
65,related expense,7.7908631772268135
66,product mix,7.781081081081081
67,technology platform,7.75
68,cbram manufacturing technology,7.745337995337994
69,financial condition,7.736654135338346
70,ssds previously authorized,7.730769230769231
71,entity,7.728228228228229
72,unrestricted cash,7.714584578601315
73,intellectual property,7.694444444444445
74,tax year,7.690454266421118
75,stock warrants,7.68937728937729
76,liquid investment,7.685714285714286
77,alliance bank,7.681818181818182
78,month,7.6781853185318525
79,term loan,7.676339285714286
80,cbram technology,7.6737199582027165
81,increases,7.666666666666667
82,silicon foundries,7.666666666666667
83,average period,7.647379454926625
84,tax return,7.6468034727703245
85,financial covenant,7.637844611528822
86,purchase window,7.625
87,account receivable,7.619090219041423
88,total amount,7.618470418470419
89,income net,7.604056319141804
90,fusion flash product,7.599262899262899
91,month,7.597843438189972
92,tax expense,7.592428554759042
93,balance sheet arrangement,7.590277777777777
94,interest income expense,7.586848326489984
95,income expense net,7.581834096919581
96,party project expense,7.572649572649572
97,capital stock,7.572115384615385
98,average assumption,7.56984126984127
99,equity incentive plan,7.566305469556244
100,reasonable possibility,7.5625
101,application engineering activity,7.561302681992338
102,receivable balance,7.556590219041423
103,design phase,7.554834054834055
104,economic condition,7.541666666666666
105,account,7.538962013913218
106,operating activity,7.535423542354235
107,forfeiture rate,7.530416911332942
108,segment information,7.522222222222222
109,fund account,7.517423552374757
110,immaterial level,7.512820512820513
111,credit bear interest,7.510350776308224
112,related cost,7.504313469624474
113,financial statement,7.496548748921484
114,intangible asset,7.495184590690209
115,employee director,7.472222222222222
116,tax benefit,7.470757296724147
117,states components,7.466666666666667
118,joint development,7.462051709758132
119,north america europe,7.461538461538462
120,party valuation firm,7.455791335101679
121,credit facility,7.450806922029944
122,state income tax,7.448933798584861
123,currency translation,7.439024390243903
124,stock warrant,7.437309865275967
125,stock option,7.436698717948718
126,operating expense,7.435423542354235
127,income tax purpose,7.41893379858486
128,battery life,7.4186046511627906
129,financial statement,7.410834463207198
130,large order,7.409279204639603
131,interest rate,7.407503654377132
132,debt discount,7.392246642246643
133,quoted price,7.384615384615385
134,company,7.372834372834372
135,company,7.372834372834372
136,income tax benefit,7.362570162221223
137,adesto technologies corporation,7.361655773420479
138,design win,7.348484848484848
139,tax position,7.328122154089005
140,line method,7.317864923747276
141,risk factors,7.3108108108108105
142,common stock,7.310066944549703
143,selling price,7.307936507936509
144,collection experience,7.305555555555555
145,book price,7.302083333333334
146,revenue,7.299376299376299
147,service period,7.29182389937107
148,expense category,7.290979097909791
149,net loss,7.268775810177084
150,exchange gain,7.264024390243903
151,accounting policy,7.2618357487922705
152,accounting policies,7.2618357487922705
153,income tax uncertainty,7.2608385604896215
154,exchange commission filer,7.25
155,manufacturing agreement,7.23992673992674
156,geographic region,7.2395010395010395
157,credit line,7.236883942766296
158,exchange rate,7.234690415606446
159,stock unit,7.226169220850073
160,iot market,7.2254196642685855
161,term loan,7.218005952380952
162,transaction price allocate,7.217948717948718
163,transaction price specifies,7.217948717948718
164,design capability,7.216701902748414
165,offering period,7.206132075471698
166,plan,7.205085110967464
167,tax asset,7.199130920603389
168,leasehold improvement,7.191656828020465
169,net gain,7.181687898089172
170,related lease,7.176740017922931
171,stock award,7.1741175491175495
172,margin cost,7.16467768257854
173,administrative expense,7.14920634920635
174,date,7.140069500133654
175,offering period,7.136687631027254
