,0,1
0,underwriting discounts,9.0
1,wall street journal,9.0
2,peterson ridge,9.0
3,bridging ram,9.0
4,rrowing capacity,8.571428571428571
5,tax positions,8.556327543424317
6,executive officer,8.5
7,unamortized discount,8.36111111111111
8,amounts,8.326086956521738
9,awards,8.31111111111111
10,semitech semiconductor pty,8.285714285714285
11,stock split,8.254988913525498
12,balance sheets,8.228021978021978
13,balance sheet arrangements,8.150641025641026
14,venture activities,8.138297872340425
15,consolidated statements,8.117047619047618
16,accounting pronouncements,8.086206896551724
17,public offering,8.085283831046542
18,significant dilution,8.08
19,employee commences employment,8.076923076923077
20,owned subsidiaries,8.033333333333333
21,purchase window,8.030303030303031
22,notes thereto,8.0
23,preferred stock,7.988182190836423
24,service period,7.983240223463687
25,total amounts,7.970531400966184
26,income tax consequences,7.957164801404433
27,currency translation,7.950980392156863
28,restricted stock,7.939199439841288
29,term loan,7.931964374072241
30,receivable aging,7.925871379479627
31,fund accounts,7.925871379479627
32,production parts,7.857142857142858
33,stock units,7.855866106507955
34,exchange commission filer,7.852941176470589
35,enhanced features,7.833333333333334
36,sets,7.818181818181818
37,overhead expenses,7.802721088435374
38,test service costs,7.798127426353049
39,manufacturing costs,7.791630674728861
40,manufacturing costs,7.791630674728861
41,additional funds,7.7851485148514845
42,design phase,7.763333333333334
43,large orders,7.757326007326007
44,purchase window,7.744588744588745
45,retrospective basis,7.736263736263736
46,tax positions,7.731541218637993
47,product mix,7.725619834710744
48,manufacturing expenses,7.715764566696244
49,ssd rates,7.708140610545791
50,business opportunities,7.703703703703704
51,exchange rates,7.699186235759125
52,intangible assets,7.686767676767677
53,stock volatilities,7.680520828419116
54,financial statements,7.675083333333333
55,place,7.65625
56,impairment test,7.652873563218391
57,stock warrants,7.648896476550709
58,experience rates,7.642923219241443
59,book price,7.640881147540984
60,unrestricted cash,7.635364635364635
61,alliance bank,7.634615384615385
62,stock rotation rights,7.629988913525499
63,stock appreciation rights,7.629988913525499
64,tax positions,7.629202037351443
65,debt discount,7.628968253968253
66,consolidated results,7.627112135176651
67,early adoption,7.606829268292683
68,battery life,7.6
69,sales teams,7.596153846153847
70,tax benefits,7.595985663082438
71,receivable balances,7.592538046146293
72,technology platforms,7.583333333333334
73,financial statements,7.544130952380953
74,intellectual property,7.538461538461538
75,applications engineering activities,7.538297872340426
76,tax expense,7.5367124122344
77,liquid investments,7.527777777777778
78,tax returns,7.517531556802243
79,deductible goodwill,7.501382488479263
80,financial covenants,7.501157407407407
81,financial condition,7.496130952380953
82,tax assets,7.493456927450253
83,currency gains,7.474789915966387
84,manufacturing strategy,7.4685990338164245
85,economic conditions,7.462994214079075
86,borrowing capacity,7.456577086280056
87,tax years,7.446671242278654
88,credit bears interest,7.442448979591838
89,collection experience,7.434782608695652
90,selling prices,7.4264412416851435
91,months,7.422360248447205
92,september30,7.422360248447205
93,quarterly ebitda,7.415917415917415
94,party project expenses,7.405285190999477
95,party valuation firms,7.403559127439724
96,credit facility,7.387755102040817
97,forfeiture rate,7.387574807637504
98,operating expenses,7.367397705350797
99,term loan,7.358193882268964
100,interest expense,7.345477707006369
101,income tax provision,7.3381171823568145
102,recognition exception,7.3353204172876305
103,interest rate,7.328264462809917
104,exchange gains,7.327731092436975
105,tax liability,7.3260495200428455
106,discount rates,7.322291235334713
107,expected term,7.312423500611995
108,term assumption,7.312423500611995
109,dilutive securities,7.3
110,gross accounts,7.296241749849997
111,offering period,7.2907462767324525
112,additional personnel,7.2851485148514845
113,common stock,7.280121188657774
114,balance sheet components,7.261752136752136
115,expense categories,7.256820990588459
116,stock awards,7.250310550952399
117,special programs,7.25
118,design wins,7.25
119,risks,7.248
120,stock options,7.244462597736025
121,incentive stock options,7.244462597736025
122,form factor,7.232558139534884
123,ssds previously authorized,7.230769230769231
124,term loan facility,7.197270496521221
125,employee director,7.188034188034187
126,accounting policies,7.166206896551724
127,entity,7.159166666666667
128,income taxes,7.140959204998614
129,book price,7.140881147540984
130,debt securities,7.139285714285714
131,earliest period,7.133240223463687
132,offering period,7.132016118002293
133,gross margin,7.123311546840959
134,total amounts,7.112322445742303
135,stock option exercises,7.105735182182215
136,accounting policies,7.086206896551724
137,additional sales,7.081302361005331
138,additional sales,7.081302361005331
139,term loan,7.073755418848361
140,leasehold improvements,7.0664150943396224
141,tax expense,7.03898957553954
142,inventory method,7.025614399446175
143,asset coverage ratios,7.025
144,months,7.022360248447205
145,stock warrants,7.012264045800631
