,0,1
0,exchanging offer,9.0
1,middle east,9.0
2,double counting,9.0
3,onlay veneer,9.0
4,east europe,9.0
5,optical corporation,8.9
6,north carolina,8.76923076923077
7,commodity price swap,8.635658914728682
8,coal mine dust,8.6
9,switzerland semfinder,8.6
10,hoya vision,8.541666666666666
11,efficient coding,8.5
12,venezuelan bolivar,8.483870967741936
13,netting agreements,8.481707317073171
14,innovation program,8.461538461538462
15,hospital pharmaceutical dental,8.444444444444445
16,subclass,8.431372549019608
17,wastewater treatment plant,8.414814814814815
18,protection equipment,8.40032679738562
19,currency swap,8.396946564885496
20,industrial sector,8.361904761904762
21,cash outflow,8.355172413793102
22,cash inflow,8.355172413793102
23,waste systems,8.285714285714285
24,america canada,8.26818181818182
25,industry knowledge,8.266666666666666
26,selling price,8.256871035940803
27,cash flows,8.255172413793103
28,health advisory,8.236842105263158
29,identity verification,8.228571428571428
30,oral argument,8.222222222222221
31,dilutive effect,8.214285714285715
32,film business,8.196078431372548
33,chapter bankruptcy protection,8.194444444444445
34,structural overhead largely,8.175
35,tax benefit,8.156956764964438
36,wastewater treatment sludge,8.148148148148149
37,high temperature,8.142857142857142
38,tax base,8.133922434953362
39,lake elmo,8.133802816901408
40,stock units,8.133489461358314
41,requires expanded qualitative,8.13063063063063
42,mesothelioma,8.112655971479501
43,cencoex rate,8.11111111111111
44,term borrowings,8.106796116504855
45,manufacturing defect,8.101449275362318
46,integrated enterprise,8.09090909090909
47,madison county illinois,8.083333333333332
48,rating agency,8.080338266384778
49,lava,8.065656565656566
50,key initiative,8.063636363636363
51,aquatic life,8.052631578947368
52,indemnification,8.04935064935065
53,private bidder,8.041666666666666
54,hundred plaintiff,8.03921568627451
55,growing market,8.017241379310345
56,diverse market,8.017241379310345
57,alternative source,8.004573170731707
58,world trade organization,8.0
59,receiver,7.983552631578947
60,credit rating,7.980666853460353
61,credit rating,7.980666853460353
62,quoted price,7.9689922480620154
63,currency acquirement,7.968375136314068
64,international swaps,7.960734319224885
65,price volatility,7.957628611698379
66,joint arthroplasty,7.947368421052632
67,holding represented le,7.938800489596083
68,protection product,7.933080808080808
69,marine aircraft,7.931818181818182
70,care solution,7.930555555555555
71,term borrowing,7.924977934686673
72,consolidated group,7.9248901719593325
73,life science,7.9145363408521305
74,business transformation,7.910364145658264
75,advertising act,7.905263157894737
76,strategic alternative,7.893382352941177
77,severally liable typically,7.892857142857142
78,tax position,7.888362589393517
79,central bank,7.883870967741936
80,metropolitan council,7.879800853485063
81,benefit plans,7.869688941222647
82,hyannis water system,7.868796526054591
83,technical advisory,7.868181818181818
84,american business,7.865309200603318
85,cash receipt,7.855172413793103
86,selling price,7.851465630535397
87,manufacturing efficiency,7.851449275362318
88,north america,7.844230769230769
89,usage,7.843971631205674
90,unregulated substance,7.836363636363637
91,finding,7.836363636363636
92,comprehensive model,7.833185971117006
93,morgan counties,7.828689370485036
94,product,7.827593418851087
95,administrative expenses,7.822916666666666
96,illinois plant,7.822222222222223
97,west europe,7.819726285983955
98,cash flow,7.8161653215945215
99,cash flow,7.8161653215945215
100,scott safety,7.804733727810651
101,private equity,7.803030303030303
102,venezuelan government,7.802052785923754
103,venezuelan government,7.802052785923754
104,transweb corporation,7.8
105,analytical procedure,7.794117647058823
106,tax deduction,7.788876739907668
107,hazardous waste,7.785714285714286
108,european commission,7.785714285714286
109,john case,7.785185185185185
110,related debt,7.785160845401809
111,simadi rate,7.783401499659169
112,drinking water,7.782659151193634
113,rate debt,7.781793842034807
114,solutions division,7.781578947368422
115,touch system product,7.770894428152493
116,aerospace solutions division,7.746658312447787
117,packaging food,7.742647058823529
118,stock option,7.741071428571429
119,provisional level,7.735283873214907
120,noncontrolling interest,7.734939759036145
121,indirect interest,7.734939759036145
122,financial statements,7.727924074910991
123,entity transfers,7.727891156462585
124,warranty failure,7.727272727272727
125,currency simadi,7.718375136314068
126,income tax,7.70970935989283
127,foam segment,7.702516115616553
128,segment serf,7.702516115616552
129,stock unit,7.692312990770079
130,climate change,7.689138576779026
131,water treatment system,7.683611340869406
132,precision application,7.679802955665025
133,interest rate swap,7.6793842034805895
134,ethic rule,7.666666666666667
135,spot exchange rate,7.665374677002584
136,trade,7.657695769576957
137,selling price,7.656871035940803
138,water source,7.653611632270168
139,product line,7.650401069518717
140,cash flow,7.649498654927855
141,receivables loan,7.647058823529412
142,area landfill,7.644886363636363
143,term rating,7.641679837435087
144,graphics segment serf,7.64061135371179
145,municipal bond,7.635746606334841
146,commodity price fluctuation,7.6356589147286815
147,injunctive relief,7.62296918767507
148,major geography,7.6190476190476195
149,sludge incorporation area,7.614583333333334
150,financial institution,7.613786591123702
151,ongoing pumping,7.605890603085554
152,trade practice,7.590909090909091
153,unimpaired claimant,7.583333333333334
154,bond market,7.57606490872211
155,spot rate information,7.575478927203065
156,investment,7.575208022189034
157,credit facility,7.568860055607043
158,library system business,7.567046173308033
159,debt security,7.560978089573485
160,periodic pension,7.553944742094758
161,titled measure,7.55
162,estate ship,7.55
163,cathode battery technology,7.55
164,tax gain,7.542168452501706
165,medical clinic,7.541304347826086
166,business segment,7.53668978508434
167,paper market,7.528352490421456
168,riverkeeper,7.528301886792453
169,safety brand,7.519019442096365
170,insurance receivables,7.513422307539955
171,unstated damage,7.512673362027739
172,credit rating,7.508968740252806
173,cash flows,7.505172413793103
174,punitive damage,7.502353444587078
175,essential import,7.5
176,macroeconomic consideration,7.4954304954304956
177,flame detection,7.494059405940595
178,perfluorooctane sulfonate pfos,7.488095238095238
179,etowah county alabama,7.48391812865497
180,united states,7.482758620689655
181,master netting agreement,7.481707317073171
182,cash overdraft balance,7.476667740895907
183,rate bond,7.474747474747475
184,insurance proceeds,7.465832052788574
185,call date,7.462676056338028
186,capital market,7.46168582375479
187,income entities,7.458872701438417
188,labor dol,7.4523809523809526
189,global provider,7.444444444444445
190,term debt,7.444145514095217
