,0,1
0,offers,9.0
1,double counting,9.0
2,cleanup methods,9.0
3,auto body shops,9.0
4,advertising acts,8.8
5,optical corporation,8.63529411764706
6,panda temple power,8.625
7,works councils,8.571428571428571
8,intersegment cooperation,8.555555555555555
9,efficient coding,8.5
10,subclasses,8.457142857142857
11,commodity price swaps,8.447474747474747
12,hoya vision,8.421686746987952
13,innovation programs,8.410714285714285
14,alternative sources,8.393939393939394
15,auction mechanism,8.357142857142858
16,macroeconomic considerations,8.27377521613833
17,financing lease,8.272727272727273
18,unstated compensatory,8.272727272727273
19,global supplier,8.268292682926829
20,3m,8.25503355704698
21,3m deutschland gmbh,8.25503355704698
22,3m austria gmbh,8.25503355704698
23,3m produced documents,8.25503355704698
24,identified sources,8.227272727272728
25,enterprise resource planning,8.222222222222221
26,currency acquirement,8.200382457929628
27,foreign currency,8.200382457929628
28,industry knowledge,8.2
29,cash outflow,8.176638176638177
30,cash inflow,8.176638176638177
31,3m,8.171700223713646
32,3m,8.171700223713646
33,tax benefits,8.16510333863275
34,protection equipment,8.096536796536796
35,lease payments,8.088888888888889
36,private bidders,8.080882352941178
37,drinking water,8.071681415929204
38,venezuelan bolivars,8.06989247311828
39,films business,8.048947368421054
40,business transformation,8.013233082706767
41,central bank,8.003225806451614
42,hazardous wastes,8.0
43,professional ethics,8.0
44,netting agreements,7.9965838509316765
45,price protection agreements,7.985714285714286
46,commodity price fluctuations,7.95
47,precision applications,7.941558441558442
48,security master files,7.940869565217391
49,price volatility,7.930263157894737
50,coal mine dust,7.916666666666666
51,integrated enterprise,7.909090909090909
52,cash flow,7.903910903910903
53,indirect interest,7.902714932126697
54,global manufacturer,7.894736842105263
55,rating agencies,7.8510101010101
56,usage,7.849498327759197
57,identity verification,7.846153846153847
58,analytical procedures,7.839285714285714
59,industrial sector,7.8344370860927155
60,technical advisory,7.83030303030303
61,tax positions,7.820014347202296
62,credit ratings,7.819545454545455
63,sludge incorporation areas,7.800000000000001
64,joint ventures,7.791666666666667
65,features,7.780952380952382
66,hygiene products,7.776187378009109
67,areas,7.76561403508772
68,receiver,7.763115021179537
69,twelve months,7.760752688172043
70,incentive stock options,7.759120258272801
71,stock options,7.759120258272801
72,stock options,7.759120258272801
73,m purification,7.75503355704698
74,3m purification sasin,7.75503355704698
75,interest rate swaps,7.751959591105869
76,rate debt,7.746099808411641
77,lake elmo,7.73202614379085
78,metropolitan council,7.7317073170731705
79,venezuelan government,7.721407624633431
80,venezuelan government,7.721407624633431
81,selling prices,7.716867469879518
82,design solutions,7.707885304659498
83,economic growth,7.706081081081081
84,waste systems,7.695968274950429
85,exchange mechanism,7.690476190476192
86,care solutions,7.685127607203005
87,stock units,7.680115929268472
88,monetary damages,7.674603174603174
89,credit rating,7.670555555555556
90,medical clinics,7.666666666666667
91,tax bases,7.664705882352941
92,lava,7.661311914323963
93,tax deductions,7.6590693337853875
94,water source,7.657395701643489
95,protection agency,7.65626102292769
96,commodity price management,7.655056179775281
97,currency risk,7.654927912475083
98,wastewater treatment plants,7.654040404040404
99,private equity,7.647440794499618
100,retrospective method,7.647222222222222
101,currency options,7.6408586484058185
102,sales districts,7.6372340425531915
103,sales districts,7.6372340425531915
104,systems products,7.63308795040682
105,touch systems products,7.63308795040682
106,lifetime health advisories,7.630208333333334
107,lifetime health advisory,7.630208333333334
108,previous diversity,7.62962962962963
109,library systems business,7.628042578356003
110,balance sheet,7.62043530206223
111,merit,7.620253164556962
112,punitive damages,7.612332112332112
113,interest rate volatility,7.609748001525858
114,ongoing pumping,7.609243697478991
115,currency risks,7.6084905660377355
116,unstated damages,7.6079365079365076
117,income tax benefit/expense,7.605960714658865
118,income tax audits,7.605960714658865
119,cencoex rate,7.601769911504425
120,infection prevention products,7.600985221674877
121,trade practices,7.6
122,hyannis water system,7.593903638151426
123,financial institutions,7.593434343434344
124,currency translation,7.592539320674726
125,bond market,7.5909530720851475
126,aerospace solutions division,7.5888166338666885
127,health risk limit,7.584753787878789
128,exchange rate,7.57699513672965
129,denominated cash,7.576638176638177
130,respirator mask/asbestos litigation,7.5745627980922094
131,protection products,7.572413793103449
132,strategic alternatives,7.569444444444445
133,spot rate information,7.545359655094169
134,insurance recoveries,7.543005985369097
135,requires expanded qualitative,7.5353925353925355
136,spot rates,7.534232090933122
137,observable price,7.533333333333333
138,injunctive relief,7.525146422205246
139,solutions division,7.5219040943514095
140,comprehensive model,7.520801232665639
141,excess tax benefits/deficiencies,7.518814192343604
142,business segments,7.5151635846372695
143,cash receipts,7.5099715099715105
144,spot exchange rates,7.508591065292096
145,credit facility,7.507857142857143
146,retrospective adoption,7.502614379084967
147,restrictions,7.5
148,borrowing costs,7.497611464968153
149,wastewater treatment sludge,7.487373737373737
150,climate change,7.481481481481481
151,superior court,7.480286738351255
152,currency effects,7.479452225371489
153,respirator mask/asbestos claims,7.471119949380818
154,response actions,7.470588235294118
155,balance sheet,7.46570384426172
156,water sources,7.465620809868598
157,call options,7.4642857142857135
158,interest rate risk,7.459030298176577
159,currency impacts,7.452234309781479
160,cathode battery technology,7.45
161,stock option exercises,7.447676325861126
162,american business,7.429716599190283
163,sheet credit exposures,7.427378167641326
164,actuarial gain/loss amortization,7.425000000000001
165,income margins,7.4241079735624265
166,unstated damages,7.423520923520924
167,compensatory damages,7.423520923520924
168,growth initiatives,7.420366795366796
169,related debt,7.418105113045545
170,flame detection instruments,7.41673640167364
171,healthcare benefits,7.412162162162162
172,discovery responses,7.409090909090909
173,titled measures,7.408658008658009
174,industrial segment,7.405865657521287
175,identity management solutions,7.397984219477514
176,library system business,7.389590643274854
177,netting arrangements,7.382664437012263
178,graphics segment,7.377551020408164
179,commodity transactions,7.375951293759513
180,water supplies,7.368018412266199
181,foreign currency,7.367049124596295
182,scott safety,7.365384615384615
183,antitrust damages,7.365079365079366
184,personal injury,7.35377358490566
185,supply chain footprint,7.35
186,control business,7.342425629290618
187,unimpaired claimants,7.333333333333334
188,initial analyses,7.333333333333334
189,exchange mechanism,7.332368082368083
190,term incentive plan,7.321879553181156
191,noncontrolling interest,7.319381598793363
192,stock appreciation rights,7.31864406779661
193,call date,7.305764411027569
194,early adoption,7.301276303204208
195,equivalents,7.298611111111111
196,activities,7.290842490842492
197,master netting arrangement,7.288647342995168
198,european commission,7.285714285714286
199,transportation division,7.278071077273612
200,investment strategy,7.276276276276276
201,3m stock price,7.27367762484359
202,intangible assets,7.2716117216117215
203,energy division,7.270064418340279
204,global provider,7.268292682926829
205,income tax benefits,7.268122876821027
206,currency risk,7.26303602058319
207,currency impacts,7.260342417889588
208,stock options,7.259120258272801
209,stock options,7.259120258272801
210,intrinsic values,7.250751879699249
211,compensatory damages,7.235539413505515
212,cash flows,7.23443534130557
213,capital structure,7.22167325428195
214,security solutions,7.221218637992831
215,medical corp,7.215506715506715
216,3m,7.213366890380312
217,3m reviews impairments,7.2121764141898375
218,income tax rate,7.20773062616329
219,3m common stock,7.207010958176923
220,growth objectives,7.206081081081081
221,substantive vesting,7.206027456027456
222,product lines,7.196610169491526
223,stock price,7.195114656031904
224,waste management,7.19035029742234
225,cash flow,7.18962518962519
226,exchange rate impacts,7.18695509668961
227,retained earnings,7.1856157635467985
228,exchange rate fluctuations,7.185103244837759
229,tax benefits,7.180976354505766
230,credit risk,7.178519813519815
231,pension funding decisions,7.1688311688311686
232,price impacts,7.16871932173137
