,0,1
0,ontario canada,9.0
1,incentive,9.0
2,distinguishing liabilities,9.0
3,regional bank,9.0
4,john,8.785714285714285
5,duration contracts,8.761904761904763
6,retrospective approach,8.571428571428571
7,multiple tornado,8.568181818181818
8,tax base,8.488372093023255
9,insurance,8.471428571428572
10,unrealized gain,8.445707070707071
11,needed management,8.415730337078651
12,rata basis,8.4
13,trading volatility,8.329230769230769
14,periodic basis,8.3
15,gulf coast area,8.285714285714285
16,segment property,8.276653171390013
17,financial measures,8.23855421686747
18,tax planning strategy,8.238372093023255
19,month premiums,8.219484108705664
20,trading pattern,8.196363636363635
21,brokerage sharing agreement,8.178571428571429
22,program,8.151269668172613
23,security,8.148148148148149
24,owned subsidiary,8.1001221001221
25,holdings,8.098039215686274
26,financial measure,8.095697074010328
27,financial services,8.093099671412924
28,tax position,8.067319461444308
29,legal proceedings,8.038461538461538
30,cumulative dividend,8.032
31,peril policy,8.019323671497585
32,unrealized gain,8.008207070707071
33,objective indication,8.0
34,liquidation dissolution,8.0
35,collateral,7.988004362050163
36,carlo model,7.972972972972973
37,greater subjectivity,7.972972972972973
38,retrospective basis,7.9714285714285715
39,diluted earnings,7.966666666666666
40,cat xol program,7.962705082032813
41,property insurance holdings,7.958608058608059
42,unrealized gain,7.9368313310621
43,wage,7.933333333333334
44,updated management,7.915730337078651
45,duration contract,7.899835796387521
46,gaap principles,7.894117647058824
47,debt rating,7.8658743633276735
48,consecutive hour,7.857142857142858
49,loss adjustment expenses,7.809083654741322
50,reserve homeowners,7.78125
51,cat xol treaty,7.771457448958965
52,baton rouge louisiana,7.768656716417911
53,cash flow,7.761180909485994
54,cash flow,7.726182850228652
55,tax treatment,7.724735729386892
56,loss,7.716853183131994
57,cautionary note,7.705314009661835
58,fully realized based,7.704761904761906
59,parish individually ha,7.671152869476892
60,financial statements,7.661556638174976
61,court decision,7.660256410256411
62,cash equivalents,7.653846153846153
63,liquid investment,7.6464088397790055
64,month,7.642863878542129
65,wind hail,7.631350412505428
66,cat xol coverage,7.6300045599635204
67,related factor,7.628378378378379
68,management services agreement,7.59430176565008
69,line basis,7.58867924528302
70,accounting pronouncement,7.569128787878788
71,active market,7.565928270042194
72,rbc,7.56190243882933
73,government agency bond,7.560690789473684
74,rata portion,7.555555555555555
75,maison insurance holdings,7.555198204936425
76,month,7.549095357671754
77,valuation adjustment,7.547097867532834
78,quarter,7.542830616876418
79,month,7.538594685628743
80,currency exchange rate,7.531746031746032
81,average number,7.530100334448161
82,market fluctuation,7.526949775418538
83,financing activity,7.516015566531957
84,objective expectation,7.5
85,effect adjustment,7.49822425164891
86,financial measure,7.495697074010327
87,expense,7.491169977924944
88,insurance policy,7.490752242926156
89,readily determinable fair,7.490636704119851
90,significant influence,7.488372093023256
91,business,7.486486486486486
92,preferred shares,7.484565596216082
93,insurance commissioners,7.4714285714285715
94,policy administration service,7.462505489679403
95,unrealized loss,7.445118662351671
96,investors service,7.443181818181818
97,interest rate,7.42904953145917
98,financial statement,7.427925685794024
99,insured premiums,7.423076923076923
100,interest payment,7.418186713333782
101,rbc,7.412599822537711
102,lae reserve,7.398897058823529
103,investment manager,7.3964088397790055
104,based award,7.3907834101382495
105,banking institution,7.388888888888888
106,lease interest,7.373493975903615
107,cash payment,7.371615814353245
108,florida insurance code,7.360317460317461
109,loss position,7.357399364106058
110,common stock,7.355862775217614
111,party transactions,7.352737352737353
112,owned company,7.351631154448056
113,common stock,7.345761765116604
114,premium reserve,7.342796840958606
115,unrealized loss,7.340951995685006
116,common stock,7.327579946934786
117,service period,7.317131398013752
118,reinsurance contract premiums,7.313533210084934
119,parish combine,7.3121212121212125
120,line method,7.308679245283019
121,preferred shares,7.308095007980787
122,management service subsidiary,7.303356599704914
123,administrative expense,7.298862285617252
124,intercompany balance,7.294454382826476
125,financial statement,7.290637550200804
126,share buyback program,7.2880353858281515
127,government government agency,7.287006578947368
128,debt instrument,7.282689281342892
129,redemption date,7.281060606060606
130,common stock,7.280307219662058
131,stock option award,7.263257277734068
132,leasehold improvement property,7.256410256410256
133,stock units,7.252688172043011
134,note wa issued,7.247250550644178
135,louisiana insurance code,7.240085287846482
136,rsus,7.227450980392157
137,administrative expenses,7.2109181141439205
138,future performance,7.209276018099548
139,company,7.207767384630087
140,income tax,7.201431565739381
141,policy processing fee,7.1978951000690135
142,market volatility level,7.195007524121449
143,active market,7.190928270042194
144,share data,7.182490137425759
145,agreement mmi,7.178571428571429
146,tax benefit,7.175872093023256
147,investment manager,7.174186617556783
148,respective analysis,7.172029172029172
149,united states,7.166666666666666
150,independent adjuster,7.1607843137254905
151,treasury share,7.150166905102527
152,accounting policy,7.1339070048309186
153,loss adjustment expense,7.1335869659996
154,company,7.131175632316555
155,company,7.131175632316555
156,company,7.131175632316555
157,earned premium,7.127314814814815
158,parent,7.124242424242425
159,single county,7.12280701754386
160,depopulation program,7.115646258503402
161,property damage,7.112179487179487
162,financial instrument,7.107090468577455
163,equity security,7.102346621430591
164,common stock,7.09121631057115
165,contractual obligations,7.086666666666666
166,net cash,7.084714003944773
167,cash,7.077993641063832
168,net income,7.077199606087028
169,premium loss,7.0761099477547225
170,lae reserve,7.065563725490195
171,wa previously established,7.06522443927024
172,net premium,7.055939075169844
173,geographic diversification,7.051500223914017
174,consolidated statements,7.048159654011909
175,denominated instrument,7.0462134764460345
176,related event,7.045045045045045
177,management service agreement,7.037483583831898
178,insurance policy,7.036206788380701
179,department personnel,7.026806526806527
180,amortization,7.023809523809524
181,advisors,7.022710886806055
182,quota share agreement,7.0176272225628455
183,case reserve reserve,7.017045454545455
184,loss event,7.014563106796117
185,core loss,7.014563106796117
186,agency,7.012152777777778
187,wind hail,7.006350412505428
188,entitles,7.0063157894736845
189,common stock,7.000307219662059
190,insurance subsidiary maison,6.99964264938087
191,aggregate coverage,6.992248062015504
192,accounting basis,6.985171568627452
193,capital surplus,6.984045991653437
194,earnings loss,6.9812297734627835
195,related claim,6.980942480942481
196,balance,6.967674691720493
197,fl oir prior,6.959677419354839
198,action level,6.956277056277056
199,based compensation,6.952073732718894
200,net loss,6.946863837739381
201,insurance code,6.945502645502645
202,rbc ratio,6.942945695826786
203,customer payment,6.9426519211036375
204,agency expense,6.937256689636657
205,process,6.935897435897436
206,gross reserve,6.934659090909091
207,expense net,6.933274630436838
208,grantee discontinue employment,6.9326923076923075
209,based award,6.925627044711014
210,balance sheet,6.925086544081283
211,redemption amount,6.916220735785954
212,cash flow asu,6.910256410256411
213,financial instrument,6.905996077332587
214,management,6.90461922596754
215,quoted price,6.904474966770049
216,comprehensive income,6.903535663192317
217,cash,6.8953441295546565
218,independent agent,6.894117647058824
219,policy period,6.893273251329518
220,quarter,6.8869972334539264
221,maison ha agreed,6.885938545765493
222,stock option vest,6.885479499956291
223,company,6.883855686672588
224,underwriting profit,6.882352941176471
225,interest,6.878971284197824
226,unknown fact,6.878378378378379
227,valuation trend,6.877119444129753
228,trade date accounting,6.872916666666667
229,insured amount,6.866220735785953
230,common stock,6.864137006896101
231,catastrophic event,6.857142857142857
232,preferred shares,6.855994167644653
233,individual claim,6.847662141779789
234,common share,6.845008174943798
235,surplus note,6.840415019762846
236,installment payment,6.839737782475213
237,march pih,6.839655860158355
238,commencement period,6.835488041370395
239,redemption amount,6.830124479101462
240,term nature,6.822754360067792
241,amount,6.818510812121831
242,financial instrument,6.812972821518633
243,market price,6.812069903478909
244,basis loss,6.809911944005418
245,redemption amount,6.808302847222905
246,future result,6.807607403633894
247,advisors,6.798869441163386
248,company,6.7978422989832215
249,oir maison,6.7934470528626925
250,income taxes,6.784488044144696
251,prior approval,6.783333333333333
252,quarter,6.78272804054054
253,additional disclosure,6.782608695652174
254,award type,6.782608695652174
255,treaty year,6.774393292583794
256,quarter,6.774080616876418
257,financial result,6.773193345838174
258,preferred shares,6.768656505306991
259,operating payment,6.766586228554429
260,financial loss,6.756565599525656
261,wind hail coverage,6.74762948227287
262,performance shares,6.742211473448796
263,preferred shares,6.734565596216082
264,cash flow risk,6.732226107226107
265,written premium,6.7278141905950894
266,income loss,6.727622579512242
267,hail event,6.725227963525836
268,fire insurance,6.7214285714285715
269,data nature,6.720951675887298
270,reinsurance treaty,6.719559536869535
271,taxable income,6.718553978210631
272,note thereto,6.715415019762846
273,agent,6.711111111111111
