,0,1
0,objective indications,9.0
1,incentives,9.0
2,regional banks,9.0
3,gulf coast area,9.0
4,multiple tornadoes,8.75
5,tax planning strategies,8.666666666666666
6,tax bases,8.5
7,consecutive hours,8.5
8,retrospective approach,8.428571428571429
9,carlo model,8.428571428571429
10,debt ratings,8.352941176470589
11,management,8.346774193548388
12,insurance,8.299242424242424
13,trading patterns,8.297902097902098
14,tax positions,8.291666666666666
15,tax benefits,8.279569892473118
16,policy contract,8.278985507246377
17,denominated instruments,8.244094488188976
18,securities,8.173076923076923
19,financial statements,8.122401576453818
20,respective analyses,8.09779614325069
21,debt instruments,8.097035664659565
22,tax benefits,8.029569892473118
23,coastal areas,8.0
24,exchange rates,7.995642701525055
25,currency exchange rates,7.995642701525055
26,brokerage sharing agreement,7.959677419354839
27,insurance product lines,7.942099567099566
28,tax credit carry,7.938511326860841
29,interest rates,7.91146761734997
30,interest rates,7.91146761734997
31,interest rates,7.91146761734997
32,balance sheets,7.911371237458194
33,financial instruments,7.90291801760074
34,policy processing fees,7.824962518740629
35,financial measures,7.809617180205416
36,banking institutions,7.805555555555555
37,home insurance,7.799242424242424
38,unrealized gains,7.7955859816324935
39,single county,7.789473684210526
40,award types,7.773913043478261
41,unknown facts,7.764462809917355
42,segment property,7.7557658190419865
43,premium reserve,7.741338112305855
44,tax benefits,7.720430107526882
45,trading volatility,7.717094017094016
46,financial services,7.687837069063602
47,accumulated deficit,7.666666666666667
48,debt investment,7.592641551002423
49,typical adjustments,7.582010582010581
50,investment manager,7.573033707865168
51,retrospective basis,7.571428571428571
52,business,7.56043956043956
53,financial measures,7.547712418300653
54,common stock,7.533683459767879
55,services insurance,7.532534038760572
56,financial statements,7.519088947054232
57,legal proceedings,7.5
58,significant influence,7.494949494949495
59,agency expenses,7.467233219584316
60,unrealized gains,7.463709779499252
61,unrealized gains,7.460702260702261
62,management services subsidiary,7.457827644508429
63,performance,7.437923475488242
64,owned subsidiary,7.399054297088124
65,general agent,7.388888888888888
66,cat xol treaties,7.378809869375907
67,stock units,7.365923384791309
68,service period,7.364926084883167
69,court decisions,7.355145929339478
70,policy administration services,7.35345359235276
71,tax treatment,7.34
72,securities laws,7.339743589743589
73,general agency,7.335249042145593
74,active market,7.3288223437949895
75,reinsurance treaties,7.3107926448701335
76,unrealized losses,7.283536814561492
77,insurance contracts,7.274852180339985
78,valuation model,7.272608125819135
79,government agency bonds,7.26098003629764
80,average number,7.260869565217392
81,active markets,7.2597826086956525
82,lessee obligations,7.256802721088436
83,consolidated statements,7.253578047042053
84,stock option award,7.229559748427673
85,redemption date,7.2233420681314255
86,intercompany balances,7.222222222222222
87,loss positions,7.22066437386705
88,loss adjustment expenses,7.211742739945417
89,interest rate,7.1880971880971885
90,independent adjusters,7.183050847457627
91,management group,7.18010752688172
92,policy period,7.171689369907321
93,debt instruments,7.169574524763192
94,valuation adjustments,7.140332993544003
95,unearned premiums,7.128090400118588
96,financial results,7.114950011625203
97,rsus,7.1079365079365076
98,insurance policies,7.106138975966562
99,quoted prices,7.104657247514391
100,diluted earnings,7.1020408163265305
101,premium reserves,7.100744052899914
102,loss events,7.100227378430056
103,common stock,7.089239015323434
104,cash flows,7.071186080149749
105,treaty years,7.0562515352493245
106,individual claims,7.048803827751196
107,financial instruments,7.041806906489629
108,treaty year,7.040610840745091
109,installment payments,7.034792480247026
110,future results,7.031769305962855
111,balance sheet,7.022482348569305
112,equity securities,7.007471827535522
113,public offering,7.000000000000001
114,legal outcomes,7.0
115,valuation trends,6.999182626587184
116,unrealized losses,6.998653093631259
117,reinsurance retentions,6.992016113730241
118,investment managers,6.989700374531836
119,taxable income,6.982783651094847
120,company,6.981958470441393
121,accounting pronouncements,6.971212121212121
122,fully realized based,6.967275702208889
123,loss position,6.966034744237421
124,future performance,6.964139567280483
125,income tax expense,6.963492063492064
126,gross premium,6.958266139493373
127,handling process,6.957894736842105
128,policy acquisition,6.9555991235151655
129,credit quality,6.953662842012356
130,credit risk,6.941017592525002
131,credit ratings,6.938511326860841
132,common stock,6.933683459767879
133,grantee discontinue employment,6.9326923076923075
134,entitles,6.926315789473684
135,financial instruments,6.924194613345422
136,commercial lines wind/hail,6.916758951642672
137,liquid investments,6.909774436090226
138,financial instruments,6.902918017600741
139,premiums,6.900090891074224
140,loss adjustment expense,6.899776927979605
141,reporting periods,6.895360407265996
142,trading day period,6.895151415108497
143,day trading period,6.895151415108497
144,management services agreement,6.880919698009609
145,amortization,6.88
146,management judgment,6.873089983022071
147,force policy counts,6.860286320254507
148,market volatility levels,6.849595290654893
149,reinsurance agreements,6.8422391857506355
150,tax effects,6.8402203856749315
151,casualty insurance companies,6.836385281385281
152,tax assets,6.826859504132232
153,accounting policies,6.823563218390804
154,additional disclosures,6.816770186335404
155,cash payment,6.816459760273973
156,core loss,6.816443594646271
157,commencement period,6.809370529327611
158,operating payments,6.799248120300753
159,gross premiums,6.797078842881453
160,written premiums,6.797078842881452
161,cat xol coverage,6.767399267399267
162,installment payments,6.764894887720975
163,surplus,6.759139784946236
164,administrative expenses,6.7544945475979965
165,trade date accounting,6.752203856749311
166,share buyback program,6.746388443017657
167,performance cash awards,6.738935721812435
168,income securities,6.728235653235654
169,fair values,6.727593699076589
170,united states,6.726666666666667
171,lae reserves,6.726072607260726
172,financing fees,6.723593758676217
173,agencies,6.718954248366013
174,party investment manager,6.716973101804562
175,market prices,6.7129826968994415
176,compensation stock compensation,6.711041229909155
177,cash flow risk,6.6965701926048
178,common shares,6.692215152063225
179,louisiana insurance code,6.691399286987522
180,policy fee,6.690217391304348
181,insurance policies,6.689472309299896
182,future payments,6.680233037353416
183,income taxes,6.671736555318645
184,existing business,6.643772893772894
185,administrative expenses,6.643383436486886
186,florida insurance code,6.627111276701441
187,net premium,6.626389937360134
188,depopulation program,6.6190476190476195
189,holdings,6.606060606060606
190,temporary impairments,6.59962764508219
191,loss adjustments,6.591372369575047
192,special property,6.591292134831461
193,interest,6.590905079388003
194,cash payments,6.586444879321592
195,net income,6.586178297148493
196,effect adjustment,6.581782945736434
197,past events,6.575885125065453
198,net premiums,6.568214688940984
199,ceded recoveries,6.565300563491569
200,rata basis,6.559523809523808
201,assets,6.556859504132232
202,company,6.532135566073035
203,insurance code,6.526828631138976
204,maison insurance holdings,6.523331564673978
205,net losses,6.513903247841619
206,annual periods,6.510963244145428
207,tax liabilities,6.505445544554455
208,agents,6.50191570881226
209,property claims services,6.498654956779949
210,notes thereto,6.4982993197278915
211,management,6.497567844342037
212,accounting estimates,6.493410852713178
213,redemption amount,6.4881830213650975
214,earliest period,6.4864538626609445
215,wind/hail premium,6.483161068044788
216,compensation expense,6.479946267511034
217,certificates,6.472638463448961
218,financial loss,6.469832341449341
219,party transactions,6.4690082644628095
220,property damage,6.466292134831461
221,fair values,6.454168199844638
222,tax rate,6.448198198198198
223,fl oir prior,6.444247787610619
224,reinsurance premiums,6.432695177267074
225,sale debt securities,6.426018099547511
226,subsidiary obligations,6.420581069398235
227,valuation techniques,6.416575557351333
228,financial instruments,6.416226002391616
229,credit losses,6.414610307937989
230,reinsurance recoveries,6.4140401754996645
231,trading days,6.413919413919414
232,accident years,6.412363729639605
233,net cash,6.412222960889147
234,geographic diversification,6.411231884057971
235,accounting basis,6.40952380952381
236,ceded premiums,6.407122658183104
237,investment income,6.40619995682089
238,stock options,6.398309748427673
239,property risks,6.39486356340289
240,lae reserves,6.392739273927393
241,review process,6.388888888888889
242,direct premiums,6.387195121951219
243,casualty insurance business,6.383491508491508
244,personal lines wind/hail,6.377076411960132
245,insurance policies,6.370601785883919
246,financial impact,6.366953610712578
247,customer payment,6.363136574074074
248,investment income,6.361087174866004
249,reinsurance treaty,6.358444954409571
250,rbc,6.3512504665920115
251,reinsurance,6.348905852417303
252,interest method,6.336052836052836
253,tax asset,6.33125
254,financial instruments,6.327160441843166
255,fiscal years,6.317052112241752
256,catastrophic event,6.306749740394601
257,acquisition costs,6.304048582995952
258,acquisition costs,6.304048582995952
259,reinsurance agreement,6.3019166051054745
260,fire insurance,6.299242424242424
261,service period,6.293497513454596
262,catastrophe reinsurance program,6.29291945785948
263,fl oir,6.28888888888889
264,income statement charges,6.287692976734073
265,redemption amount,6.280052940064284
266,independent actuaries,6.268765133171913
267,investment securities,6.267387226686772
268,comprehensive income,6.265079365079364
269,average shares,6.263695305457319
270,based awards,6.253087610716072
271,accounting practices,6.243939393939394
272,equity treasury shares,6.238359361054634
273,insurance agencies,6.223469742288287
274,actual payments,6.220535714285714
275,payment awards,6.207755206257473
276,loss catastrophe treaties,6.199963040160326
277,surplus notes,6.197269613148704
278,common stock,6.196183459767878
279,performance shares,6.192485717943384
280,treaty year beginning,6.189547010957858
281,commission revenue,6.179192455054524
282,action levels,6.161904761904761
283,written approval,6.155263157894737
284,risk reinsurance treaties,6.146632243867627
285,equity incentive plan,6.132640518493686
286,insurance companies,6.112575757575758
287,future loss,6.110962346285401
288,interest payment,6.106860040623628
289,related events,6.103802149256694
290,lease commitments,6.091478696741855
291,casualty insurance company,6.090724704207627
292,preferred shares,6.086892927089272
293,amounts potentially due,6.085116398493667
294,treaty year,6.08485862835571
295,cash equivalents,6.083537611151166
296,incurred losses,6.082379972812684
297,common stock,6.075350126434546
298,preferred shares,6.07317759639741
299,accrue interest,6.071531642960215
300,preferred shares,6.058601854596265
301,prior approval,6.0495109455053555
302,stock options,6.046135835384194
303,accounting policies,6.045785440613027
304,income tax provision,6.03015873015873
305,net losses,6.020924681692321
306,incurred losses,6.020924681692321
307,loss ratio,6.019451113443264
308,dividend payment,6.010307000314268
309,insurance agents,6.006431202734534
310,employs risk,6.00250626566416
311,surplus notes,5.969939104674127
312,event participation,5.96706720071206
313,losses,5.963997531801785
314,control level,5.9508442265795205
315,treasury shares,5.945631123262703
316,statement recognition,5.937047431159521
317,ten dollars,5.9366515837104075
318,maturity periods,5.919197616568321
319,investment credit,5.918952442133417
320,net income,5.904594820384293
321,preferred shares,5.904184575460222
322,commissions,5.902288140771065
323,estimated payments,5.895622822299652
324,stock warrants,5.890826316910736
325,quarterly payment,5.886191819955407
326,payment accounting,5.878268026770293
327,higher limits,5.876344086021505
328,original policies,5.8752984887701425
329,expected recoveries,5.875179697591369
330,net earnings,5.872865349569751
331,storm activity,5.871572871572871
332,fair values,5.8669665213762405
333,annual statement,5.84874871685958
334,credit rating agencies,5.83802113078241
335,cost basis,5.835966117216117
336,incurred losses,5.833790178768345
337,liability companies,5.831352958667855
338,premium deposits,5.82723311546841
339,amortization expense,5.811129476584021
340,remaining amount,5.804213873981316
341,market inputs,5.801732042791645
342,capital surplus,5.79381062045084
343,writing,5.7676727561556795
344,period development,5.749451650271563
345,growth company,5.748064913018425
346,repurchase program,5.746388443017656
347,interim periods,5.71395681168625
348,expenses,5.708271571574031
349,period redundancy,5.7016575326245045
350,loss events,5.695054964636952
351,wind/hail coverage,5.67377970866343
352,data liquidity,5.640041358729396
353,cash flows,5.622635355512068
354,date,5.620576050186271
355,process claims,5.614144736842105
356,performance shares,5.59792050055208
357,insured amounts,5.590551181102362
358,specific estimates,5.582347634322374
359,consent order,5.580074410913601
360,vest,5.530475368040134
361,purchase price,5.488486842105263
362,loss development,5.47742844313112
363,point estimate,5.4769736842105265
364,consolidated statements,5.463578047042053
365,rsus,5.463492063492064
366,cash deposits,5.425000746112753
367,funds,5.424084487035495
368,rate certificate,5.392428967428968
369,cash,5.378403349762985
370,estimated reserves,5.37100840241307
371,mmi contracts,5.3437593370131
372,case,5.306411433066737
373,hail event,5.294985034512248
374,tax positions,5.291666666666666
375,early adoption,5.286661661661661
376,principal amount,5.2794389073458845
377,unrealized gains,5.26070226070226
378,financial statements,5.25718418514947
379,tax rates,5.254901960784314
380,gross reserve,5.234883720930233
381,liability investments,5.227794061424748
382,share data shareholders,5.226339118940199
383,agency expenses,5.202770409666961
384,financial reporting,5.192156862745097
385,maison reinsures twia,5.181520597863011
386,management,5.18010752688172
387,temporary differences,5.156593406593406
388,accounting estimates,5.149660852713178
389,rbc requirements,5.108646616541353
390,investments,5.105263157894737
391,period,5.10351244351903
392,liability company,5.085692381490201
393,time cash payment,5.079617655010814
394,cat xol,5.076923076923077
395,termination transaction,5.072204968944099
396,share percentage,5.067817014446228
397,unearned premium,5.041338112305855
398,financial position,5.029193899782134
399,debt securities,5.026018099547511
400,maison insurance company,5.018277048102384
401,coastal areas,5.0
402,owned subsidiary,4.987289591205771
403,service charges,4.972222222222222
404,professional fees,4.962643678160919
405,management services,4.92124227865477
406,court decisions,4.914285714285715
407,interest rates,4.91146761734997
408,financial instruments,4.902918017600741
409,quota share agreement,4.8703515766582095
410,statements,4.86282346565506
411,wholly owned,4.862468931234465
412,exchange commission,4.851851851851852
413,holdings,4.8452661328309
414,pih,4.841219397363465
415,insurance subsidiary,4.835827790096083
416,actuarial methods,4.833333333333334
417,policy fees,4.82496251874063
418,casualty insurance,4.823051948051948
419,prices,4.818942961800104
420,diluted weighted,4.809523809523809
421,future performance,4.806244830438379
422,treasury stock,4.800988319856245
423,income tax,4.796825396825397
424,calculated based,4.786824574389341
425,unrealized gain,4.779220779220779
426,policy administration,4.778985507246377
427,administrative expenses,4.7544945475979965
428,multiple simulations,4.75
429,unrealized losses,4.748653093631259
430,trading days,4.747252747252747
431,investment manager,4.739700374531835
432,volatility,4.728888888888889
433,respective period,4.7260371959942775
434,determined reserves,4.725683199161037
435,future events,4.724643998837547
436,continually evolving,4.714285714285714
437,inflationary trends,4.714285714285714
438,interest payments,4.708946608946609
439,amounts,4.697143754984656
440,expenses,4.689158794421953
441,financial condition,4.658823529411764
442,financial situation,4.658823529411764
443,financial instrument,4.658823529411764
444,financial commitments,4.658823529411764
445,allied lines,4.642857142857142
446,unrecognized cost,4.635416666666667
447,active markets,4.6347826086956525
448,issuable based,4.628094415659183
449,managing member,4.611111111111111
450,recent transaction,4.597402597402597
451,gross reserves,4.594289661524292
452,inaugural depopulation,4.583333333333334
453,professional experience,4.583333333333334
454,operating performance,4.575910931174089
455,federal regulators,4.571428571428571
456,fixed income,4.55515873015873
457,financial review,4.547712418300653
458,taxable income,4.541923436041083
459,common stock,4.533683459767879
460,installment basis,4.527472527472527
461,term investments,4.526053505857668
462,consolidated statement,4.52275163787969
463,domiciled insurer,4.519862490450726
464,single event,4.518445646827349
465,accounting treatment,4.516666666666667
466,accounting pronouncements,4.516666666666667
467,future periods,4.500561707591077
468,techniques,4.5
469,potentially expose,4.5
470,values,4.5
471,legal proceedings,4.5
472,facts,4.5
473,manufactured homes,4.5
474,offsetting charges,4.5
475,actuarial studies,4.5
476,installment premiums,4.496810506566604
477,average amount,4.492248062015504
478,interest expense,4.48989898989899
479,reinsurance treaties,4.4774593115367995
480,statutory surplus,4.475806451612903
481,continued service,4.472222222222222
482,stock compensation,4.470300489168414
483,owned companies,4.464037558685446
484,actual events,4.462355212355212
485,financing activity,4.459627329192546
486,based payments,4.458253145817912
487,interest income,4.453391053391053
488,written consent,4.449999999999999
489,stock options,4.448309748427673
490,company,4.446392153519144
491,annual basis,4.445182724252492
492,prior approval,4.444247787610619
